file_name,group_label,subtype_label,Mg#,Fe#,Ca#,Na#,K#,wave,formula,major_category,file_name_clean,file_path,match_method,file_exists,spectrum_id,parsed_file_name,mineral_species,source_id,source_type,spectrum_type,excitation_nm,instrument,data_level,orientation,sample_provenance,measurement_conditions,label_basis,reference,source_note,spectral_min_cm-1,spectral_max_cm-1,n_original_points,spectral_range_cm-1,file_sha256,parent_group,preprocessing_planned,augmentation_used,qc_status,qc_reason,recommended_action,split_main,split_zero_shot_protocol,rruff_header_file,rruff_official_name,rruff_official_id,rruff_ideal_chemistry,rruff_locality,rruff_owner,rruff_source,rruff_description,rruff_status,rruff_url,rruff_measured_chemistry,rruff_header_parse_status,rruff_metadata_match,rruff_metadata_match_basis,model_label,raw_file_path,is_augmented,parent_spectrum_id,augmentation_seed,augmentation_parameters_json,repository_file,augmented_id,random_seed
Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213,Pyroxene,Diopside,48.7,2.0,48.7,0.5,0.0,532,,Pyroxene,Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213,data/augmented_spectra_v3/original_spectra/PARENT_0000__original.csv,name_match,True,PARENT_0000,Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213.csv,Diopside,R040009,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,536c253ad902a729ee4f31a6bec3d161d4835d4ae29014c603791330d4a85548,RRUFF database__R040009,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213.txt,Diopside,R040009,CaMgSi2O6,"Otter Lake, Quebec, Canada",RRUFF,University of Arizona Mineral Museum,Green square prismatic crystal associated with pale orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040009,(Ca0.97Fe0.02Na0.01)Σ=1(Mg0.97Fe0.02Al0.01)Σ=1Si2.00O6; trace amounts of Mn and Ti,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0000__Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213.csv,no,PARENT_0000,,,data/augmented_spectra_v3/original_spectra/PARENT_0000__original.csv,,
Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295,Pyroxene,Diopside,48.7,2.0,48.7,0.5,0.0,514,,Pyroxene,Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295,data/augmented_spectra_v3/original_spectra/PARENT_0001__original.csv,name_match,True,PARENT_0001,Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295.csv,Diopside,R040009,RRUFF database,Raman,514.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,d72c615ed7d953b6f5894e1d123239feda7a498154f60cd4934702acaa132875,RRUFF database__R040009,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295.txt,Diopside,R040009,CaMgSi2O6,"Otter Lake, Quebec, Canada",RRUFF,University of Arizona Mineral Museum,Green square prismatic crystal associated with pale orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040009,(Ca0.97Fe0.02Na0.01)Σ=1(Mg0.97Fe0.02Al0.01)Σ=1Si2.00O6; trace amounts of Mn and Ti,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0001__Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295.csv,no,PARENT_0001,,,data/augmented_spectra_v3/original_spectra/PARENT_0001__original.csv,,
Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211,Pyroxene,Diopside,48.7,2.0,48.7,0.5,0.0,780,,Pyroxene,Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211,data/augmented_spectra_v3/original_spectra/PARENT_0002__original.csv,name_match,True,PARENT_0002,Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211.csv,Diopside,R040009,RRUFF database,Raman,780.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,04c3be6a489987882394073535e25c3ed61c967a99250dae6e319860a38658e7,RRUFF database__R040009,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211.txt,Diopside,R040009,CaMgSi2O6,"Otter Lake, Quebec, Canada",RRUFF,University of Arizona Mineral Museum,Green square prismatic crystal associated with pale orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040009,(Ca0.97Fe0.02Na0.01)Σ=1(Mg0.97Fe0.02Al0.01)Σ=1Si2.00O6; trace amounts of Mn and Ti,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0002__Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211.csv,no,PARENT_0002,,,data/augmented_spectra_v3/original_spectra/PARENT_0002__original.csv,,
Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829,Pyroxene,Diopside,42.8,4.6,52.6,0.0,0.0,532,,Pyroxene,Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829,data/augmented_spectra_v3/original_spectra/PARENT_0003__original.csv,name_match,True,PARENT_0003,Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829.csv,Diopside,R040097,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,d34c15ded1e3a980a5adb796a0ce32518c74830661b4b25bb152a0e38af1a6b9,RRUFF database__R040097,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829.txt,Diopside,R040097,CaMgSi2O6,"Fassathal, Tyrol",RRUFF,University of Arizona Mineral Museum,Green prismatic crystals,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040097,Ca1.00(Mg0.83Al0.10Fe0.09Ca0.02Ti0.02)(Si0.88Al0.12)2O6,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0003__Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829.csv,no,PARENT_0003,,,data/augmented_spectra_v3/original_spectra/PARENT_0003__original.csv,,
Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831,Pyroxene,Diopside,42.8,4.6,52.6,0.0,0.0,780,,Pyroxene,Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831,data/augmented_spectra_v3/original_spectra/PARENT_0004__original.csv,name_match,True,PARENT_0004,Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831.csv,Diopside,R040097,RRUFF database,Raman,780.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,4652ea461350ed0ef6350e86cf378a8d9915fe07ffabb8ae09d57d994548352a,RRUFF database__R040097,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831.txt,Diopside,R040097,CaMgSi2O6,"Fassathal, Tyrol",RRUFF,University of Arizona Mineral Museum,Green prismatic crystals,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040097,Ca1.00(Mg0.83Al0.10Fe0.09Ca0.02Ti0.02)(Si0.88Al0.12)2O6,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0004__Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831.csv,no,PARENT_0004,,,data/augmented_spectra_v3/original_spectra/PARENT_0004__original.csv,,
Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473,Pyroxene,Diopside,52.0,23.0,25.0,0.0,0.0,785,,Pyroxene,Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473,data/augmented_spectra_v3/original_spectra/PARENT_0005__original.csv,name_match,True,PARENT_0005,Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473.csv,Diopside,X050056.3,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,Processed,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,22aae0504a608d614588970819ac1bb24aab5dd3b1333ab282cf414f95f7a731,RRUFF database__X050056.3,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473.txt,Diopside,X050056,CaMgSi2O6,"Maui, Hawaii, USA",Caltech,CIT,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050056,,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0005__Diopside__X050056.csv,no,PARENT_0005,,,data/augmented_spectra_v3/original_spectra/PARENT_0005__original.csv,,
Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474,Pyroxene,Diopside,,,,,,785,,Pyroxene,Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474,data/augmented_spectra_v3/original_spectra/PARENT_0006__original.csv,name_match,True,PARENT_0006,Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474.csv,Diopside,X050056.4,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,Processed,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,f214e554639d0c2271c8c0e341ec4158e1c42df560c4a92c6811220ad0e68535,RRUFF database__X050056.4,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474.txt,Diopside,X050056,CaMgSi2O6,"Maui, Hawaii, USA",Caltech,CIT,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050056,,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0006__Diopside__X050056.csv,no,PARENT_0006,,,data/augmented_spectra_v3/original_spectra/PARENT_0006__original.csv,,
Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475,Pyroxene,Diopside,,,,,,785,,Pyroxene,Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475,data/augmented_spectra_v3/original_spectra/PARENT_0007__original.csv,name_match,True,PARENT_0007,Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475.csv,Diopside,X050057.3,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,Processed,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,321a9b9db3649338bd93d6c30b82df8e57436292d5c71f12f18f408ec12e308b,RRUFF database__X050057.3,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475.txt,Diopside,X050057,CaMgSi2O6,"Natural Bridge, New York, USA",Caltech,CIT,and wollastonite,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050057,,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0007__Diopside__X050057.csv,no,PARENT_0007,,,data/augmented_spectra_v3/original_spectra/PARENT_0007__original.csv,,
Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477,Pyroxene,Diopside,,,,,,785,,Pyroxene,Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477,data/augmented_spectra_v3/original_spectra/PARENT_0008__original.csv,name_match,True,PARENT_0008,Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477.csv,Diopside,X050058.3,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,Processed,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,1c1f73573ee7ad3dfd9a36d4da64fe26a467c18760a136171b3b709163b9cd60,RRUFF database__X050058.3,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,train,earth_train_pool,source_rruff_header/Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477.txt,Diopside,X050058,CaMgSi2O6,"Cherbadung, Binntal, Wallis, Switzerland",Caltech,CIT,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050058,,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0008__Diopside__X050058.csv,no,PARENT_0008,,,data/augmented_spectra_v3/original_spectra/PARENT_0008__original.csv,,
Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479,Pyroxene,Diopside,,,,,,785,,Pyroxene,Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479,data/augmented_spectra_v3/original_spectra/PARENT_0009__original.csv,name_match,True,PARENT_0009,Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479.csv,Diopside,X050059,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,Processed,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,200.0,1224.0,1024,200-1224,7a10354c00dfc398e2c5d1ece15b14abfa15b5a968e5b04d26d4bbd904576062,RRUFF database__X050059,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,val,earth_train_pool,source_rruff_header/Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479.txt,Diopside,X050059,CaMgSi2O6,"Rajasthan, India",Caltech,G.R. Rossman,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050059,,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id,Pyroxene,data/spectra/parent/PARENT_0009__Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479.csv,no,PARENT_0009,,,data/augmented_spectra_v3/original_spectra/PARENT_0009__original.csv,,
