Wave,Augite
141.022,4947.85
141.886,4808.13
142.748,4683.34
143.612,4533.38
144.474,4399.53
145.336,4275.85
146.2,4173.45
147.061,4087.42
147.925,4020.7
148.787,3970.48
149.65,3938.71
150.512,3923.06
151.373,3920.66
152.236,3931.21
153.097,3946.32
153.96,3966.9
154.821,3990.79
155.682,4021.19
156.545,4055.07
157.406,4092.1
158.266,4131.74
159.129,4170.07
159.989,4209.81
160.85,4239.23
161.712,4257.38
162.572,4267.22
163.433,4283.74
164.295,4301.57
165.155,4308.63
166.015,4304.84
166.877,4290.33
167.736,4267.56
168.596,4239.59
169.456,4204.79
170.317,4167.94
171.177,4152.83
172.036,4156.75
172.897,4179.4
173.757,4219.58
174.616,4276.64
175.475,4349.95
176.334,4439.21
177.195,4541.25
178.053,4653.91
178.912,4769.07
179.771,4929.43
180.631,4908.26
181.49,4735.86
182.348,4584.96
183.207,4452.81
184.065,4344.72
184.925,4262.71
185.783,4208.21
186.641,4178.43
187.499,4171.63
188.357,4182.76
189.215,4215.02
190.075,4254.77
190.932,4307.29
191.79,4371.19
192.647,4445.98
193.504,4401.94
194.362,4345.5
195.219,4270.18
196.076,4243.77
196.935,4225.2
197.792,4204.84
198.649,4190.05
199.506,4180.88
200.363,4175.92
201.219,4175.14
202.076,4177.93
202.932,4184.82
203.789,4194.67
204.645,4206.39
205.501,4218.96
206.358,4228.35
207.214,4237.89
208.07,4248.03
208.926,4280.9
209.782,4311.55
210.637,4345.2
211.493,4381.26
212.349,4416.55
213.204,4452.14
214.06,4487.81
214.915,4525.71
215.77,4566.81
216.626,4612.11
217.481,4679.13
218.336,4750.87
219.191,4831.81
220.046,4921.43
220.901,5020.73
221.755,5129.48
222.61,5247.87
223.465,5376.49
224.319,5514.9
225.174,5664.23
226.028,5822.15
226.882,5980.65
227.737,6099.24
228.589,6181.91
229.443,6173.9
230.297,6132.68
231.15,6066.9
232.004,5959.6
232.858,5833.51
233.712,5703.29
234.565,5566.89
235.417,5409.47
236.27,5241.27
237.123,5085.55
237.977,4942.09
238.83,4844.26
239.683,4756.94
240.534,4691.63
241.387,4648.83
242.24,4630.88
243.093,4635.35
243.945,4657.5
244.796,4689.4
245.648,4634.85
246.501,4646.02
247.353,4674.57
248.204,4710.81
249.056,4755.63
249.908,4810.85
250.76,4873.88
251.61,4911.35
252.462,4921.52
253.314,4905.44
254.166,4861.28
255.015,4792.07
255.867,4706.82
256.718,4625.42
257.57,4552.04
258.419,4489.73
259.27,4442.07
260.122,4407.29
260.971,4385.2
261.822,4370.39
262.673,4353.36
263.522,4337.71
264.373,4322.96
265.223,4310.05
266.072,4299.19
266.923,4293.74
267.773,4290.81
268.621,4289.28
269.472,4286.36
270.32,4281.79
271.17,4277.79
272.02,4275.78
272.868,4278.24
273.718,4283.89
274.566,4292.63
275.416,4307.18
276.266,4307
277.113,4306
277.963,4305
278.81,4304
279.66,4304.26
280.507,4304.12
281.356,4334.39
282.203,4355.91
283.053,4370.9
283.902,4386.83
284.749,4406.11
285.597,4425.13
286.444,4445.94
287.293,4466.63
288.139,4487.75
288.988,4519.89
289.834,4553.45
290.683,4589.87
291.529,4617.81
292.375,4644.8
293.224,4678.38
294.07,4724.36
294.918,4782.38
295.763,4852.9
296.611,4940.72
297.457,5039.8
298.305,5148.2
299.15,5237.23
299.996,5303.29
300.843,5327.37
301.689,5308.42
302.536,5273.53
303.381,5246.05
304.226,5234.78
305.073,5241.08
305.918,5259.46
306.765,5299.72
307.61,5358.18
308.455,5439.43
309.302,5553.27
310.146,5717.72
310.991,5868.83
311.837,5992.74
312.681,6031.53
313.526,6146.2
314.372,6351.07
315.216,6663.1
316.06,7071.91
316.906,7581.07
317.75,8193
318.594,8909.75
319.437,9729.53
320.283,10653
321.127,11679.9
321.97,12592.5
322.816,13052.3
323.659,13002.6
324.502,12575.6
325.345,11995.9
326.189,11111.2
327.034,10321.1
327.877,9458.35
328.719,8665.37
329.562,8048.1
330.407,7732.76
331.25,7277.03
332.092,6924.09
332.935,6619.57
333.777,6362.75
334.622,6150.36
335.464,5972.8
336.306,5831.68
337.148,5715.66
337.99,5618.47
338.832,5543.83
339.676,5487.24
340.518,5444.45
341.359,5417.74
342.201,5402.3
343.043,5393.11
343.884,5388.48
344.726,5387.18
345.567,5389.27
346.408,5394.43
347.251,5400.55
348.092,5433.91
348.933,5499.17
349.774,5544.46
350.615,5659.44
351.456,6506
352.297,7204.5
353.137,6694.37
353.978,6470.48
354.818,6513.98
355.659,6628.43
356.499,6698.72
357.339,6686.82
358.18,6576.07
359.02,6347.67
359.86,6115.28
360.7,6099.29
361.54,6066.31
362.379,6187.74
363.219,6829.9
364.059,7452.52
364.898,7846.85
365.738,8144.83
366.577,8105.96
367.417,8094.63
368.256,8037.44
369.095,7823.26
369.934,7540.26
370.773,7137.14
371.612,6659.14
372.451,6110.66
373.29,5558.31
374.126,5816.87
374.965,5843.39
375.804,5897.98
376.642,5938.33
377.481,5997.2
378.319,6082.16
379.157,6219.9
379.995,6399.56
380.833,6639.9
381.669,6951.46
382.507,7361.51
383.345,7886.72
384.183,8519.97
385.021,9282.6
385.858,10170.4
386.694,11181.2
387.531,12305.7
388.369,13289.2
389.206,14077
390.044,14196
390.879,13895
391.716,13044
392.553,12021.5
393.39,10852.5
394.225,9798.35
395.061,8883.78
395.898,8094.53
396.735,7426.82
397.569,6887.58
398.406,6465.65
399.242,6175.19
400.079,5950.31
400.913,5753.85
401.749,5591.65
402.585,5455.65
403.419,5342.46
404.255,5245.6
405.091,5167.62
405.927,5104.56
406.761,5060.28
407.596,5030.11
408.432,5008.38
409.265,4985.65
410.101,4947.81
