Wave,Biotite
100.473,2530
101.341,2641.64
102.207,2578.27
103.075,2783.91
103.941,2897.49
104.808,2985.67
105.674,2960.33
106.541,2886.08
107.409,2832.07
108.274,2821.22
109.141,2820.48
110.007,2841.35
110.874,2885.66
111.739,2953.41
112.606,3030.85
113.47,3132.52
114.337,3181.08
115.202,3208.37
116.068,3133.8
116.933,3106.15
117.799,3098.48
118.664,3150.05
119.53,3241.36
120.394,3303.05
121.26,3303.25
122.124,3283.84
122.988,3245
123.854,3214.23
124.718,3229.87
125.583,3245.26
126.447,3267.85
127.313,3302.97
128.176,3323.58
129.039,3342.02
129.905,3309.76
130.768,3264.87
131.633,3249.27
132.496,3310.12
133.359,3344.25
134.224,3379.9
135.087,3421.59
135.951,3464.59
136.814,3490.94
137.677,3517.63
138.541,3512.98
139.404,3485.29
140.266,3476.01
141.13,3478.88
141.992,3494.96
142.854,3543.01
143.718,3576.04
144.58,3503.54
145.442,3454.22
146.304,3400.9
147.168,3349.75
148.029,3297.35
148.891,3274.18
149.754,3250.73
150.615,3256.37
151.477,3266.07
152.338,3276.47
153.201,3265.83
154.062,3252.62
154.923,3240.6
155.784,3236.38
156.647,3236.09
157.507,3237.58
158.368,3243.91
159.229,3250.97
160.089,3254.18
160.952,3252.99
161.812,3238.63
162.672,3231.54
163.532,3226.29
164.392,3222.28
165.254,3219.52
166.114,3217.66
166.974,3217.21
167.834,3218.26
168.693,3220.9
169.553,3223.77
170.415,3230.16
171.274,3263
172.133,3260
172.993,3265
173.852,3250
174.711,3212.77
175.57,3231.35
176.429,3243.96
177.288,3227.79
178.149,3246.36
179.007,3265.72
179.866,3291.06
180.724,3318.39
181.583,3346.84
182.441,3376.92
183.3,3408.06
184.158,3440.76
185.016,3474.91
185.874,3511
186.732,3561.12
187.59,3621.04
188.448,3689.57
189.306,3765.12
190.163,3871.79
191.021,3955.11
191.878,4016.9
192.736,4055.69
193.593,4057.04
194.45,4028.4
195.308,3978.92
196.165,3920.07
197.022,3831.15
197.879,3740.62
198.736,3658.05
199.592,3578.56
200.449,3513.75
201.306,3455.13
202.162,3406.16
203.019,3363.92
203.875,3329.03
204.732,3300.41
205.588,3275.45
206.442,3255.57
207.298,3241.29
208.154,3231.62
209.01,3227.35
209.866,3225.08
210.722,3218.27
211.577,3211.04
212.433,3202.26
213.286,3192.36
214.142,3180.58
214.997,3167.3
215.853,3151.25
216.708,3140.72
217.563,3132.18
218.418,3134.73
219.271,3143.68
220.126,3148.93
220.981,3154.52
221.835,3161.23
222.69,3166.01
223.543,3170.7
224.397,3169.87
225.252,3165.01
226.106,3156.32
226.958,3143.66
227.812,3137.44
228.666,3132.12
229.52,3127.79
230.372,3126.12
231.226,3127.37
232.08,3131.92
232.934,3143.42
233.785,3161.21
234.639,3181.85
235.492,3169.01
236.346,3161.43
237.197,3150.98
238.05,3138.94
238.904,3124.55
239.755,3110.86
240.608,3119.03
241.46,3132.71
242.311,3146.72
243.164,3160.59
244.017,3172.75
244.867,3181.81
245.72,3187.82
246.572,3178.98
247.423,3166.75
248.275,3152.18
249.125,3142.26
249.977,3132.03
250.829,3121.89
251.679,3112.46
252.531,3104.55
253.381,3098.21
254.233,3097.25
255.084,3111.98
255.934,3121.72
256.786,3128.59
257.635,3134.39
258.486,3139.93
259.335,3145.12
260.187,3150.67
261.038,3156.49
261.887,3162.34
262.738,3168.03
263.587,3173.23
264.438,3170.3
265.286,3177.56
266.137,3182.6
266.985,3192.53
267.836,3211.23
268.684,3234.6
269.535,3255.46
270.383,3274
271.233,3288.12
272.081,3299.88
272.929,3309.86
273.779,3318.26
274.627,3325.66
275.477,3332.08
276.324,3338.52
277.174,3343.11
278.021,3345.81
278.871,3346.49
279.718,3343.18
280.566,3337.11
281.415,3327.77
282.262,3315.88
283.111,3301.3
283.958,3285.79
284.805,3275.94
285.654,3266.99
286.501,3259.84
287.347,3251.27
288.196,3236.93
289.042,3221.45
289.889,3195.62
290.737,3184.03
291.583,3174.75
292.43,3168.85
293.278,3166.2
294.124,3167.27
294.97,3171.97
295.818,3178.95
296.664,3182.73
297.509,3187.86
298.357,3181.83
299.203,3174.77
300.048,3163.6
300.893,3155.43
301.741,3151.63
302.586,3151.72
303.431,3157.69
304.276,3163.51
305.124,3169.78
305.968,3177.95
306.813,3180.72
307.658,3186.75
308.505,3194.59
309.35,3204.95
310.194,3214.67
311.039,3242.64
311.883,3220
312.729,3200
313.574,3240
314.418,3216.02
315.262,3179.01
316.106,3168.91
316.95,3176.77
317.796,3199.55
318.64,3200.32
319.483,3209.71
320.327,3220.5
321.171,3231.35
322.014,3237.64
322.857,3256.37
323.701,3270.69
324.546,3303.66
325.389,3332.3
326.232,3350.43
327.075,3335.54
327.918,3317.7
328.761,3306.88
329.604,3292.2
330.447,3288.07
331.289,3289.96
332.132,3295.7
332.974,3302.74
333.817,3310.56
334.659,3317.93
335.501,3322.2
336.343,3326.25
337.185,3331.56
338.027,3336.33
338.869,3340.05
339.711,3342.11
340.553,3340.52
341.395,3336.88
342.236,3330.39
343.078,3321.11
343.919,3319.62
344.761,3320.14
345.602,3320.84
346.443,3319.65
347.285,3316.47
348.126,3312.5
348.967,3308.11
349.808,3304.04
350.648,3299.78
351.489,3294.99
