Wave,Calcite
96.5973,1273.25
97.4635,1273.08
98.3318,1273.2
99.1979,1272.84
100.066,1273.34
100.932,1274.71
101.8,1276.76
102.668,1281.37
103.534,1287.38
104.401,1293.18
105.267,1299.06
106.134,1304.58
107,1310.13
107.867,1315.43
108.734,1320.68
109.6,1325.62
110.467,1329.96
111.332,1333.34
112.199,1335.14
113.063,1335.91
113.93,1335.59
114.795,1333.87
115.662,1332.08
116.526,1336.54
117.393,1339.82
118.257,1346.27
119.123,1352.2
119.988,1357.27
120.852,1361.79
121.718,1361.55
122.582,1360.67
123.448,1357.1
124.311,1358.45
125.177,1362.02
126.041,1365.08
126.904,1367.43
127.77,1369.05
128.633,1369.97
129.499,1370.12
130.362,1369.41
131.225,1367.73
132.09,1366.51
132.953,1372.94
133.818,1376.71
134.681,1377.56
135.544,1375.47
136.408,1370.39
137.271,1370.68
138.133,1378.23
138.998,1383.78
139.86,1389.38
140.722,1397.34
141.587,1404.17
142.449,1407.62
143.311,1409.48
144.175,1408.68
145.037,1403.43
145.898,1397.68
146.762,1397.98
147.624,1403.83
148.485,1414.99
149.347,1431.08
150.21,1452.05
151.072,1477.56
151.933,1508.09
152.794,1534.81
153.657,1562.01
154.518,1581.61
155.379,1579.02
156.24,1561
157.103,1523.25
157.963,1493.5
158.824,1467.96
159.684,1445.18
160.545,1439.13
161.407,1429.94
162.267,1426.06
163.128,1425.5
163.988,1426.81
164.848,1427.04
165.71,1425.97
166.57,1424.12
167.429,1421.66
168.289,1418.46
169.149,1414.66
170.008,1410.22
170.868,1405.78
171.729,1404.26
172.588,1407.94
173.448,1415.06
174.307,1417.69
175.166,1418.73
176.025,1421.43
176.884,1420.52
177.742,1417.48
178.601,1415.66
179.462,1414.91
180.321,1415.19
181.179,1416.39
182.038,1418.69
182.896,1421.06
183.754,1422.78
184.612,1423.06
185.47,1422.29
186.328,1420.16
187.186,1425.79
188.044,1428.98
188.902,1431.89
189.76,1434.81
190.617,1438.43
191.475,1441.87
192.332,1440.34
193.19,1434.94
194.047,1431.56
194.904,1428.69
195.762,1427.67
196.619,1423.54
197.476,1426.71
198.333,1435.85
199.189,1435.69
200.046,1433.83
200.903,1427.65
201.759,1409.42
202.616,1424.73
203.47,1432.09
204.327,1433.25
205.183,1433.41
206.039,1433.74
206.895,1434.93
207.751,1436.1
208.607,1437.02
209.463,1437.5
210.319,1437.64
211.173,1437.72
212.028,1438.27
