Wave,Enstatite
95.4877,2822
96.0105,2792.5
96.5354,2841.69
97.0581,2926.66
97.583,2950.73
98.1078,2940.55
98.6305,2936.09
99.1552,2940.12
99.6778,2953.18
100.203,2976.56
100.725,3009.97
101.25,3054.15
101.772,3109.09
102.297,3175.31
102.821,3252.65
103.344,3341.85
103.868,3442.46
104.391,3548.59
104.915,3607.18
105.437,3639.4
105.962,3645.01
106.484,3651.94
107.008,3660.47
107.53,3676.49
108.055,3716.75
108.577,3771.85
109.101,3837.41
109.623,3913.3
110.145,3995.24
110.669,4086.83
111.191,4186.22
111.715,4294.54
112.237,4410.16
112.761,4534.23
113.283,4636.25
113.805,4671.41
114.329,4635.3
114.85,4581.67
115.374,4520.41
115.896,4453.64
116.42,4380.11
116.941,4315.72
117.463,4266.13
117.987,4235.03
118.508,4226.52
119.03,4233.73
119.553,4259.14
120.075,4298.91
120.596,4350.23
121.12,4400.55
121.641,4407.42
122.162,4385.46
122.686,4366.44
123.207,4358.5
123.728,4363.84
124.252,4386.21
124.773,4424.73
125.294,4483.31
125.817,4559.59
126.339,4653.93
126.86,4768
127.383,4903.43
127.904,5116.55
128.425,5397.85
128.946,5666.13
129.469,6179.63
129.99,6721.13
130.511,7454.63
131.031,8689.13
131.554,10107.6
132.075,11511.1
132.596,12977.6
133.117,13924.1
133.64,14313.6
134.16,13224.1
134.681,14501.6
135.201,15257.2
135.722,10337.7
136.245,8281.15
136.765,6564.44
137.286,6021.97
137.806,5746.07
138.327,5412.81
138.849,5176.7
139.37,5020.57
139.89,4885.68
140.41,4780.75
140.931,4702.51
141.451,4652.63
141.971,4625.29
142.493,4606.19
143.014,4605.43
143.534,4622.23
144.054,4655.07
144.574,4670.47
145.094,4644.89
145.614,4592.76
146.134,4521.08
146.654,4466.07
147.174,4436.32
147.696,4428.56
148.216,4440.8
148.736,4470
149.256,4513.71
149.775,4567.35
150.295,4629.73
150.815,4699.11
151.335,4771.24
151.854,4840.45
152.374,4896.26
152.894,4927.06
153.413,4928.61
153.933,4895.02
154.452,4823.99
154.972,4714.24
155.491,4590.25
156.011,4508.93
156.53,4455.79
157.05,4427.98
157.569,4408.56
158.088,4393.79
158.608,4383.8
159.127,4381.25
159.646,4384.22
160.165,4388.48
160.685,4392.88
161.204,4389.25
161.723,4375.46
162.242,4359.57
162.761,4348.81
163.28,4354.96
163.797,4376.55
164.316,4413.62
164.835,4474.28
165.354,4551.98
165.873,4624.88
166.392,4667.54
166.91,4623
167.429,4553.14
167.948,4485.55
168.465,4422.27
168.983,4369.23
169.502,4318.57
170.021,4278.47
170.539,4245.92
171.058,4228.48
171.577,4222.07
172.093,4237
172.612,4249.95
173.13,4247.52
173.649,4245.89
174.167,4242.2
174.683,4238.78
175.202,4234.63
175.72,4231.18
176.238,4230
176.757,4230.05
177.273,4230.49
177.791,4234.58
178.309,4240.26
178.828,4247.16
179.344,4254.56
179.862,4261.91
180.38,4267.64
180.898,4268.51
181.414,4269.2
181.932,4267.56
182.45,4267.99
182.968,4270.92
183.484,4290.47
184.001,4300
184.519,4300
185.035,4310
185.553,4312
186.071,4300
186.586,4273.32
187.104,4297.49
187.622,4311.05
188.139,4327.46
188.655,4351.13
189.172,4383.39
189.688,4423.71
190.205,4470.54
190.723,4521.16
191.238,4567.58
191.756,4600.86
192.273,4624.52
192.789,4627.54
193.306,4625.16
193.821,4619.05
194.339,4612.34
194.856,4611.97
195.371,4609.8
195.888,4609.74
196.403,4608.99
196.92,4607.67
197.438,4602.91
197.953,4559.85
198.47,4539.73
198.985,4525.66
199.502,4530.26
200.017,4553.52
200.534,4597.35
201.048,4663.63
201.565,4748.88
202.08,4853.58
202.597,4977.25
203.114,5119.13
203.628,5279.73
204.145,5457.47
204.66,5489.66
205.177,5322.65
205.691,5138.22
206.206,4926.41
206.722,4804.34
207.237,4674.13
207.753,4610.81
208.268,4562.02
208.784,4526.71
209.299,4505.22
209.815,4504.52
210.33,4500.45
210.846,4493.76
211.36,4479.58
211.874,4462.68
212.391,4445.28
212.905,4430.77
213.421,4420.63
213.935,4408.51
214.449,4400.66
214.966,4416.63
215.48,4441.14
215.996,4464.69
216.51,4485.98
217.024,4502.79
217.54,4517.15
218.054,4527.06
218.568,4532.62
219.083,4534.61
219.597,4534.41
220.111,4532.72
220.627,4532.98
221.141,4538.85
221.654,4548.26
222.17,4536.29
222.684,4526.73
223.197,4521.12
223.713,4517.62
224.227,4516.57
224.74,4512.52
225.254,4534.6
225.769,4562.09
226.283,4608.44
226.796,4640.02
227.312,4648.6
227.825,4661.18
228.338,4682.86
228.852,4709.66
229.367,4741.88
229.88,4781.47
230.393,4831.63
230.907,4898.34
231.42,4983.26
231.935,5124.68
232.448,5287.04
232.961,5526.62
233.474,5815.41
233.987,6131.37
234.502,6434.17
235.015,6666.36
235.528,6858.72
236.041,6968.98
236.554,7027.63
237.067,6981.14
237.582,6903.81
238.094,6662.36
238.607,6371.16
239.12,6051.67
239.633,5774.34
240.145,5590.77
240.658,5485.86
241.171,5461.72
241.685,5413.02
242.198,5381.42
242.71,5367.11
243.223,5328.19
243.735,5302.95
244.248,5265.27
244.76,5215.94
245.273,5155.44
245.785,5084.62
246.297,5001.94
246.81,4909.28
247.322,4832.84
247.834,4785.97
248.348,4713.16
248.861,4665.91
249.373,4670
249.885,4665
250.397,4670
250.909,4665
251.421,4669.52
251.933,4638.3
252.445,4612.42
252.957,4591.46
253.469,4576.29
253.981,4565.33
254.493,4557.27
255.005,4553.69
255.514,4554.13
256.026,4559.12
256.538,4567.58
257.05,4582.17
257.561,4605.37
258.073,4618.46
258.585,4611.65
259.096,4586.48
259.608,4574.99
260.12,4574.18
260.631,4569.62
261.143,4565.31
261.654,4562.28
262.164,4559.65
262.675,4560.5
263.186,4562.58
263.698,4564.76
264.209,4562.83
264.72,4506.56
265.232,4491.29
265.743,4508.08
266.252,4521.23
266.763,4526.65
267.274,4527.86
267.786,4525.67
268.297,4522.04
268.808,4516.43
269.317,4515.02
269.828,4522.46
270.339,4535.97
270.85,4565.08
271.361,4596.11
271.87,4619.42
272.38,4635.94
272.891,4643.42
273.402,4640.63
273.911,4624.16
274.422,4615.67
274.932,4613.88
275.443,4617.64
275.952,4626.11
276.462,4636.47
276.973,4640.88
277.484,4636.08
277.992,4638.9
278.503,4626.03
279.013,4606.53
279.524,4605.19
280.032,4600.94
280.543,4612
281.053,4633.78
281.561,4651.91
282.072,4664.25
282.582,4671.37
283.09,4679.84
283.6,4678.84
284.111,4676.62
284.619,4673.49
285.129,4673.49
285.639,4685.29
286.147,4696.09
286.657,4705.71
287.165,4717.02
287.675,4727.55
288.185,4740.46
288.693,4754.56
289.203,4768.77
289.713,4782.85
290.221,4796.99
290.731,4810.8
291.239,4822.72
291.749,4835.24
292.256,4847.56
292.766,4859.28
293.276,4871.32
293.783,4866.27
294.293,4870.43
294.801,4890.46
295.31,4921.13
295.818,4945.08
296.327,4964.76
296.835,4978.28
297.344,4995.96
297.852,5033.5
298.361,5077.68
298.869,5131.07
299.378,5171.6
299.885,5206.17
300.395,5196.42
300.902,5156.55
301.411,5118.25
301.918,5082.43
302.428,5050.04
302.935,5022.17
303.444,4998.86
303.951,4976.29
304.458,4957.09
304.967,4940.28
305.474,4930.15
305.983,5023.09
306.49,5029.26
306.999,5019.57
307.506,5028.11
308.013,5049.96
308.522,5069.08
309.028,5086.07
309.537,5100.26
310.044,5110.82
310.551,5117.79
311.059,5121.06
311.566,5120.45
312.073,5113.05
312.581,5099.96
313.088,5082.94
313.594,5064.91
314.103,5052.26
314.61,5038.82
315.116,5026.24
315.625,5014.83
316.131,5005.86
316.637,5000.23
317.146,5000.15
317.652,5005.66
318.158,5021.2
318.665,5027.25
319.173,5031.83
319.679,5042.72
320.185,5053.51
320.694,5079.24
321.2,5102.43
321.706,5121.25
322.212,5136.67
322.72,5151
323.226,5162.54
323.732,5171.87
324.238,5178.25
324.744,5188.19
325.252,5215.02
325.758,5257.21
326.264,5316.68
326.769,5367.8
327.275,5425.67
327.783,5492.61
328.289,5558.41
328.794,5627.63
329.3,5685.61
329.806,5740.71
330.311,5793.76
330.819,5866.94
331.325,5957.5
331.83,6073.63
332.336,6215.14
332.841,6378.45
333.347,6566.34
333.852,6778.49
334.357,7015.25
334.865,7282.75
335.37,7573.05
335.876,7906.91
336.381,8290.36
336.886,8725.67
337.391,9186.75
337.897,9732.98
338.402,10362.4
338.907,11074.8
339.412,11795.3
339.917,12549.8
340.422,13239.6
340.927,13936.2
341.432,14448.7
341.937,14798.9
342.442,14962.6
342.947,14728.4
343.454,14367.1
343.959,13911.6
344.464,13435.7
344.969,12745.9
345.471,12016.9
345.976,11341.4
346.481,10734.3
346.986,10151.9
347.49,9620.34
347.995,9138.95
348.499,8708.23
349.004,8327.52
349.509,8004.55
350.013,7733.3
350.518,7485.56
351.022,7280.25
351.527,7119.6
352.031,6984.57
352.535,6852.94
353.04,6722.62
353.544,6601.41
354.046,6489.33
354.551,6394.52
355.055,6310.75
355.559,6239.86
356.064,6181.63
356.568,6135.95
357.072,6102.83
357.576,6081.13
358.078,6063.76
358.582,6056.78
359.086,6038.76
359.59,6006.78
360.094,5960.96
360.598,5899.7
361.1,5835.89
361.604,5769.88
362.108,5704.44
362.612,5649.29
363.115,5608.47
363.617,5572.22
364.121,5541.48
364.625,5515.22
365.128,5492.25
365.63,5474.26
366.134,5440.78
366.637,5405.69
367.141,5374.7
367.642,5428.13
368.146,5238.55
368.65,5350
369.153,5370
369.654,5380
370.158,5350.54
370.661,5341.7
371.165,5302.57
371.666,5304.63
372.169,5245.03
372.673,5271.7
373.174,5268.67
373.677,5270.91
374.18,5277.52
374.681,5289.7
375.185,5307.65
375.688,5333.67
376.189,5358.21
376.692,5383.3
377.195,5409.09
377.696,5438.4
378.199,5456.58
378.7,5462.05
379.203,5454.64
379.706,5462.93
380.206,5480.83
380.709,5535.85
381.21,5589.68
381.713,5619.71
382.216,5626.33
382.716,5607.68
383.219,5576.73
383.72,5535.92
384.222,5489.2
384.723,5443.41
385.226,5406.81
385.726,5374.04
386.229,5344.43
386.731,5321.71
387.232,5306.6
387.734,5298.84
388.235,5300.24
388.737,5311.94
389.237,5329.07
389.74,5351.09
390.24,5375.19
390.742,5396.71
391.242,5419.58
391.745,5452.63
392.245,5492.42
392.745,5537.54
393.247,5589.1
393.747,5646.48
394.249,5710.36
394.749,5780.95
395.252,5858.24
395.752,5950.8
396.254,6074.98
396.753,6239.1
397.253,6424.63
397.755,6604.9
398.255,6783.92
398.757,6922.92
399.257,7063.09
399.757,7166.19
400.258,7232.41
400.758,7257.08
401.258,7234.14
401.759,7171.44
402.259,7072.25
402.761,6953.37
403.26,6811.65
403.76,6659.76
404.261,6528.35
404.761,6392.19
405.26,6258.34
405.76,6165.38
406.261,6090.82
406.761,6031.74
407.26,5983.41
407.761,5947.6
408.261,5917.29
408.76,5894.17
409.261,5878.39
409.761,5869.19
410.26,5867
410.759,5870.29
411.26,5881.02
411.759,5899.07
412.258,5925.83
412.757,5962.9
413.258,6009.35
413.757,6068.37
414.256,6142.98
414.755,6234.14
415.254,6343.93
415.755,6478.78
416.254,6626.08
416.753,6810.78
417.252,7025.49
417.75,7268.69
418.251,7538.82
418.75,7804.08
419.249,7958.07
419.747,8119.33
420.246,8172.6
420.745,8192.05
421.243,8088.65
421.744,7906.45
422.242,7664.58
422.741,7397.52
423.239,7098.24
423.738,6819.22
424.236,6579.7
424.735,6358.43
425.233,6169.49
425.731,6013.28
426.232,5882.94
426.73,5782.73
427.228,5709.43
427.727,5661.28
428.225,5630.67
428.723,5576.35
429.221,5535.05
429.719,5491.8
430.217,5459.54
430.716,5440.42
431.214,5426.68
431.712,5416.91
432.21,5410.93
432.708,5408.67
433.206,5410.71
433.703,5416.72
434.201,5408.27
434.699,5401.43
435.197,5405.19
435.695,5417
436.193,5438.44
436.69,5475.16
437.188,5514.22
437.686,5547.3
438.184,5595.65
438.681,5658.76
439.179,5743.29
439.676,5852.32
440.174,5981.84
440.669,6131.08
441.167,6300.63
441.664,6490.17
442.162,6697.76
442.659,6904.68
443.157,7059.82
443.654,7164.78
444.151,7173.98
444.649,7090.03
445.144,6978.53
445.641,6831.5
446.139,6655.5
446.636,6479.49
447.133,6319.26
447.63,6149.23
448.125,6007.49
448.622,5885.2
449.119,5749.49
449.616,5638.19
450.113,5573.36
450.61,5534.05
451.105,5509.29
451.602,5482.11
452.099,5442.09
452.596,5411.1
453.091,5387.32
453.588,5371.04
454.085,5357.18
454.581,5349.28
455.078,5348.91
455.573,5349.96
456.07,5349.35
456.566,5336.57
457.061,5325.8
457.557,5315.18
458.054,5304.96
458.551,5295.43
459.045,5285.44
459.542,5274.11
460.038,5263.14
460.533,5252.53
461.029,5242.29
461.525,5234.22
462.02,5246.06
462.516,5253.42
463.012,5264.43
463.507,5274.32
464.003,5275.14
464.499,5270.5
464.993,5257.64
465.49,5246.3
465.986,5237.34
466.48,5230.84
466.976,5230.44
467.47,5235.88
467.966,5246.08
468.462,5255.46
468.956,5265.33
469.452,5272.71
469.946,5273.83
470.442,5271.67
470.938,5256.17
471.432,5235.43
471.927,5214.68
472.421,5196.47
472.917,5193.01
473.411,5192.42
473.906,5197.96
474.4,5209.61
474.896,5230.65
475.389,5256.24
475.885,5255.56
476.379,5213.78
476.874,5215.4
477.368,5228.53
477.863,5245.72
478.357,5255.71
478.852,5263.03
479.345,5269.34
479.841,5272.6
480.334,5273.02
480.83,5270.41
481.323,5263.87
481.818,5253.23
482.311,5238.04
482.805,5227.04
483.3,5220.88
483.793,5219.62
484.288,5222.65
484.781,5223.16
485.274,5221.33
485.77,5216.9
486.263,5211.48
486.758,5209.59
487.251,5205.37
487.743,5217.8
488.238,5239.02
488.731,5280.49
489.224,5293.51
489.719,5289.07
490.212,5285
490.705,5280
491.2,5275
491.692,5270
492.185,5265
492.68,5260
493.172,5255
493.665,5250
494.16,5245
494.652,5240
495.145,5241
495.637,5243
496.132,5240
496.624,5237
497.117,5235
497.611,5233
498.104,5230
498.596,5227
499.088,5225
499.581,5222.33
500.075,5218
500.567,5216.32
501.059,5216.17
501.552,5217.48
502.046,5218.92
502.538,5224.26
503.03,5231.74
503.522,5242.59
504.014,5232.11
504.506,5224.84
505,5233.82
505.492,5250.23
505.984,5264.39
506.476,5275.33
506.968,5284.37
507.46,5291.73
507.954,5297.74
508.446,5302.21
508.938,5305.44
509.429,5308.77
509.921,5312.61
510.413,5317.83
510.904,5325.05
511.396,5333.96
511.888,5343.81
512.379,5353.91
512.873,5362.74
513.365,5370.35
513.856,5375.94
514.348,5381.76
514.839,5404.1
515.331,5430.64
515.822,5460.29
516.313,5493.02
516.805,5521.67
517.296,5543.04
517.788,5549.72
518.279,5560.68
518.77,5572.16
519.261,5595.04
519.753,5603.22
520.244,5593.62
520.735,5584.42
521.226,5584.8
521.717,5594.55
522.208,5604.57
522.699,5618.27
523.19,5633.31
523.681,5649.14
524.172,5659.99
524.663,5658.53
525.154,5643.12
525.643,5626.05
526.134,5612.72
526.625,5595.09
527.116,5574.66
527.607,5552.35
528.097,5527.67
528.588,5501.63
529.079,5472.04
529.569,5458.06
530.058,5468.69
530.549,5478.35
531.039,5492.34
531.53,5490.44
532.021,5489.78
532.511,5488.16
533.002,5485.57
533.49,5481.48
533.98,5477.16
534.471,5472.8
534.961,5481.32
535.452,5499.53
535.94,5555.95
536.43,5593.9
536.921,5600
537.411,5675
537.901,5680
538.389,5686.6
538.88,5674.95
539.37,5639.75
539.86,5648.62
540.348,5724.23
540.838,5702.94
541.328,5682.99
541.818,5624.54
542.306,5586.25
542.796,5556.28
543.286,5534.99
543.774,5552.91
544.264,5571.46
544.754,5588.57
545.244,5605.23
545.731,5617.98
546.221,5625.83
546.711,5630.86
547.199,5632.95
547.688,5632.64
548.178,5629.87
548.666,5626.53
549.155,5635.97
549.643,5647.16
550.133,5661.91
550.622,5670.73
551.11,5674.82
551.599,5674.13
552.089,5669
552.576,5659.58
553.065,5646
553.553,5628.7
554.042,5608.44
554.53,5585.95
555.019,5562.61
555.508,5536.84
555.995,5511.94
556.485,5495.14
556.972,5486.72
557.461,5490.54
557.948,5492.11
558.437,5495.07
558.924,5500.77
559.414,5506.4
559.901,5519.13
560.39,5517.04
560.877,5473.43
561.366,5433.03
561.853,5408.52
562.341,5427
562.828,5460.3
563.317,5489.75
563.804,5487.03
564.293,5480.61
564.78,5476.96
565.268,5476.69
565.755,5477.34
566.244,5478.07
566.731,5479.04
567.217,5480.72
567.706,5482.4
568.193,5483.53
568.681,5481.63
569.168,5471.98
569.654,5473.82
570.143,5480.39
570.629,5485.6
571.118,5489.73
571.604,5494.3
572.09,5498.77
572.579,5504.46
573.065,5508.51
573.551,5515
574.04,5530
574.526,5545
575.012,5560
575.5,5575
575.987,5590
576.473,5600
576.961,5610
577.447,5620
577.933,5625
578.419,5630
578.907,5635
579.393,5640
579.879,5645
580.367,5650
580.853,5655
581.339,5660
581.825,5661.2
582.313,5664.28
582.799,5662.59
583.284,5656.77
583.77,5654.01
584.256,5654.28
584.744,5657.81
585.229,5665.35
585.715,5681.21
586.201,5772.16
586.686,5800
587.174,5800
587.659,5750
588.145,5707.21
588.63,5730.78
589.116,5743.59
589.601,5743.76
590.089,5726.06
590.574,5721.79
