Wave,FoAlb
96.5973,3016.24
97.4635,3030.48
98.3318,3036.23
99.1979,3033.07
100.066,3032.52
100.932,3029.68
101.8,3019.53
102.668,3008.21
103.534,2988
104.401,2967.08
105.267,2945.8
106.134,2932.94
107,3052.44
107.867,3179.73
108.734,3333.12
109.6,3506.6
110.467,3462.17
111.332,3406.38
112.199,3384.68
113.063,3368.63
113.93,3396.18
114.795,3428.42
115.662,3467.35
116.526,3510.51
117.393,3558.67
118.257,3599.23
119.123,3609.35
119.988,3602.62
120.852,3577.48
121.718,3544.22
122.582,3530.89
123.448,3532.1
124.311,3551.32
125.177,3626.87
126.041,3679.39
126.904,3708.71
127.77,3571.22
128.633,3492.51
129.499,3463.37
130.362,3473.49
131.225,3526.66
132.09,3547.49
132.953,3555.67
133.818,3561.89
134.681,3564.49
135.544,3560.98
136.408,3561.08
137.271,3571.62
138.133,3596.57
138.998,3634.63
139.86,3685.24
140.722,3749.11
141.587,3821.86
142.449,3871.22
143.311,3896.96
144.175,3901.72
145.037,3904.96
145.898,3906.74
146.762,3920.93
147.624,3939.07
148.485,3951.56
149.347,3960.77
150.21,3961.48
151.072,3948.2
151.933,3933.09
152.794,3934.18
153.657,3949.37
154.518,3979.36
155.379,4023.69
156.24,4083.23
157.103,4144.33
157.963,4200.14
158.824,4228.3
159.684,4268.95
160.545,4331.42
161.407,4427.46
162.267,4549.24
163.128,4673.06
163.988,4795.62
164.848,4929.74
165.71,5041.55
166.57,5116.42
167.429,5171.95
168.289,5205.72
169.149,5222.73
170.008,5254.05
170.868,5291.08
171.729,5342.42
172.588,5412.8
173.448,5461.65
174.307,5513.38
175.166,5527.14
176.025,5535.61
176.884,5521.21
177.742,5518.62
178.601,5511.6
179.462,5522.61
180.321,5515.2
181.179,5469.94
182.038,5412.35
182.896,5362.18
183.754,5309.46
184.612,5256.53
185.47,5205.36
186.328,5156.97
187.186,5109.96
188.044,5064.34
188.902,5019.7
189.76,4974.91
190.617,4923.31
191.475,4870.65
192.332,4815.7
193.19,4760.87
194.047,4708.28
194.904,4667.29
195.762,4630.42
196.619,4597.77
197.476,4570.95
198.333,4548.93
199.189,4531.29
200.046,4517.52
200.903,4506.07
201.759,4496.9
202.616,4487.48
203.47,4478.33
204.327,4469.59
205.183,4465.81
206.039,4466.83
206.895,4473.52
207.751,4479.61
208.607,4479.81
209.463,4474.84
210.319,4452.37
211.173,4418.77
212.028,4366.3
212.884,4304
213.739,4242.86
214.595,4184.31
215.45,4128.24
216.305,4078.54
217.159,4036.71
218.014,4001.33
218.869,3970.2
219.724,3940.04
220.578,3900.53
221.431,3865.89
222.286,3835
223.141,3807.76
223.995,3780.91
224.85,3768.39
225.702,3768.72
226.556,3789.02
227.41,3796.34
228.265,3790.2
229.117,3764.82
229.971,3681.06
230.825,3745
231.678,3740
232.53,3735
233.384,3725
234.237,3715
235.089,3705
235.942,3695
236.796,3685
237.649,3680
238.5,3674.35
239.353,3689.08
240.206,3705.08
241.057,3712.98
241.91,3720.5
242.763,3728.02
243.614,3735.9
244.466,3744.42
245.319,3753.98
246.169,3766.61
247.022,3780.87
247.872,3796.36
248.724,3812.75
249.576,3829.89
250.426,3847.4
251.278,3864.87
252.13,3880.54
252.98,3895.34
253.832,3908.59
254.682,3917.24
255.533,3922.34
256.383,3924.07
257.234,3925.62
258.086,3924.61
258.935,3922.08
259.786,3916.53
260.635,3912
261.486,3933.84
262.335,3958.06
263.186,3983.21
264.035,4007.83
264.886,4034.35
265.735,4014.6
266.585,4017.11
267.434,4035.57
268.284,4059.76
269.132,4080.86
269.983,4097.78
270.831,4113.84
271.681,4129.91
272.529,4164.01
273.379,4215.31
274.227,4250.41
275.075,4288.36
275.925,4327.4
276.772,4367.36
277.622,4406.37
278.469,4444.19
279.319,4483.97
280.166,4526.2
281.013,4573.9
281.863,4625.12
282.71,4679.84
283.559,4738.33
284.406,4800.11
285.252,4865.34
286.101,4934.33
286.948,5009.95
287.795,5087.62
288.643,5161.27
289.49,5215.85
290.336,5245.5
291.184,5257.74
292.031,5254.88
292.877,5235.8
293.725,5200.69
294.571,5149.55
295.417,5081.62
296.265,4997.98
297.11,4899.28
297.956,4789.45
298.802,4693.58
299.649,4615.98
300.495,4554.51
301.34,4504.91
302.185,4439.08
303.033,4372.91
303.878,4313.83
304.723,4259.36
305.568,4208.53
306.415,4162.34
307.26,4119.97
308.104,4082.52
308.949,4050.53
309.796,4023.72
310.64,4002.1
311.485,3978.13
312.329,3959.66
313.173,3932.55
314.018,3898.97
314.864,3860.3
315.708,3828.99
316.552,3805.36
317.396,3788.28
318.24,3806.5
319.083,3815.65
319.927,3822.01
320.773,3825.07
321.616,3824.62
322.46,3824.75
323.303,3826.3
324.146,3841.51
324.989,3855.3
325.833,3865.74
326.676,3874.25
327.519,3882.59
328.362,3888.78
329.206,3893.7
330.049,3897.34
330.892,3901.42
331.734,3907.47
332.577,3927.48
333.419,3951.22
334.262,3966.53
335.104,3973.88
335.946,3975.31
336.788,3970.43
337.63,3960.46
338.472,3943.3
339.314,3920.52
340.156,3893.44
340.998,3864.92
341.84,3844.24
342.681,3826.13
343.523,3814.65
344.364,3806.03
345.205,3799.6
346.047,3795.28
346.888,3793.09
347.729,3785.52
348.57,3780.79
