Wave,FoAug
96.5973,2902.12
97.4635,2929.23
98.3318,2923.28
99.1979,2929.83
100.066,2947.65
100.932,2975.35
101.8,2982.71
102.668,2993.61
103.534,2991.42
104.401,2997.41
105.267,3015.18
106.134,3054.78
107,3161.58
107.867,3289.13
108.734,3458.14
109.6,3612.52
110.467,3517.01
111.332,3453.84
112.199,3420.84
113.063,3415.74
113.93,3436.5
114.795,3479.96
115.662,3573.18
116.526,3668.31
117.393,3723.32
118.257,3804.06
119.123,3741.92
119.988,3743.55
120.852,3727.09
121.718,3737.08
122.582,3727.85
123.448,3744.65
124.311,3720
125.177,3700
126.041,3690
126.904,3685
127.77,3681.91
128.633,3698.67
129.499,3711.82
130.362,3734.1
131.225,3753.32
132.09,3769.94
132.953,3766.03
133.818,3719.91
134.681,3687.72
135.544,3671.4
136.408,3672.87
137.271,3690.95
138.133,3722.44
138.998,3766
139.86,3822.15
140.722,3891.46
141.587,3956.65
142.449,3943.89
143.311,3821.75
144.175,3779.93
145.037,3812.84
145.898,3837.17
146.762,3851.24
147.624,3855.23
148.485,3849.49
149.347,3834.28
150.21,3810.3
151.072,3776.94
151.933,3737.58
152.794,3720.6
153.657,3721.52
154.518,3742.55
155.379,3779.55
156.24,3850.2
157.103,3904.77
157.963,3929.84
158.824,3919.93
159.684,3881.7
160.545,3856.65
161.407,3833.74
162.267,3813.82
163.128,3801.25
163.988,3797.6
164.848,3795.52
165.71,3793.35
166.57,3791.58
167.429,3790.76
168.289,3790.71
169.149,3791.32
170.008,3794.04
170.868,3799.29
171.729,3806.85
172.588,3818.44
173.448,3835.48
174.307,3856.86
175.166,3882.09
176.025,3908.62
176.884,3936.19
177.742,3959.92
178.601,3978.42
179.462,3988.68
180.321,3984.09
181.179,3972.08
182.038,3954.06
182.896,3934.39
183.754,3912.35
184.612,3884.06
185.47,3866.12
186.328,3857.13
187.186,3855.53
188.044,3855.64
188.902,3850.1
189.76,3844.92
190.617,3840.12
191.475,3836.57
192.332,3832.52
193.19,3829.48
194.047,3827.41
194.904,3827.67
195.762,3884.09
196.619,3840.51
197.476,3798.74
198.333,3814.07
199.189,3826.53
200.046,3837.62
200.903,3868.6
201.759,3891.8
202.616,3907.87
203.47,3917.61
204.327,3919.44
205.183,3895.62
206.039,3894.31
206.895,3893.95
207.751,3896.02
208.607,3900.34
209.463,3907.14
210.319,3915.58
211.173,3925.97
212.028,3937.78
212.884,3950.4
213.739,3964.14
214.595,3978.49
215.45,3994.24
216.305,4011.93
217.159,4031.97
218.014,4054.98
218.869,4082.94
219.724,4113.85
220.578,4147.35
221.431,4177.19
222.286,4192.91
223.141,4211.66
223.995,4218.95
224.85,4195.99
225.702,4172.55
226.556,4154.31
227.41,4142.32
228.265,4131.48
229.117,4114.29
229.971,4093.81
230.825,4074.65
231.678,4058.34
232.53,4051.86
233.384,4047.88
234.237,4045.33
235.089,4042.08
235.942,4037.21
236.796,4032.42
237.649,4027.44
238.5,4022.91
239.353,4018.98
240.206,4015.68
241.057,4013.35
241.91,4012.1
242.763,4010.54
243.614,4008.64
244.466,4006.48
245.319,4003.65
246.169,4000.2
247.022,3996.27
247.872,3991.97
248.724,3987.96
249.576,3984.13
250.426,3980.03
251.278,3974.92
252.13,3955.35
252.98,3968.32
253.832,3991.47
254.682,4003.71
255.533,4003.19
256.383,4010.02
257.234,3955.72
258.086,3913.76
258.935,3938.04
259.786,4002.66
260.635,4016.2
261.486,4003.25
262.335,4003.75
263.186,3999.25
264.035,3999.6
264.886,4001.14
265.735,4003.18
266.585,4005.09
267.434,4006.88
268.284,4007.88
269.132,4008.12
269.983,4007.66
270.831,4006.55
271.681,4004.94
272.529,4002.73
273.379,4000.26
274.227,3997.73
275.075,3995.2
275.925,3992.98
276.772,3990.68
277.622,3990.21
278.469,4012.24
279.319,4042.93
280.166,4054.81
281.013,4054.49
281.863,4053.19
282.71,4058.95
283.559,4064.93
284.406,4070.3
285.252,4075.47
286.101,4079.84
286.948,4083.57
287.795,4086.87
288.643,4089.81
289.49,4093.07
290.336,4096.74
291.184,4101.84
292.031,4105.74
292.877,4108.76
293.725,4109.27
294.571,4110.19
295.417,4115.09
296.265,4120.88
297.11,4128.05
297.956,4136.19
298.802,4144.98
299.649,4152.5
300.495,4152.55
301.34,4155.59
302.185,4160.65
303.033,4166.09
303.878,4169.64
304.723,4173.08
305.568,4165.25
306.415,4144.43
307.26,4133.08
308.104,4123.99
308.949,4115.36
309.796,4114.28
310.64,4119.43
311.485,4121.44
312.329,4121.47
313.173,4120.82
314.018,4117.08
314.864,4109.52
315.708,4099.36
316.552,4088.09
317.396,4074.24
318.24,4080.44
319.083,4112
319.927,4156.9
320.773,4174.9
321.616,4175.46
322.46,4155.74
323.303,4115.28
324.146,4098.09
324.989,4107.54
325.833,4111.05
326.676,4124.25
327.519,4144.82
328.362,4159.41
329.206,4166.4
330.049,4166.44
330.892,4163.68
331.734,4165.11
332.577,4165.04
333.419,4160.2
334.262,4161.07
335.104,4165.45
335.946,4174.79
