Wave,Forsterite
95.4877,1113.83
96.0105,1125.42
96.5354,1125.58
97.0581,1136.66
97.583,1144.87
98.1078,1149.04
98.6305,1145.63
99.1552,1143.05
99.6778,1138.27
100.203,1133.88
100.725,1130.8
101.25,1129.83
101.772,1130.92
102.297,1134
102.821,1139.59
103.344,1148.95
103.868,1164.08
104.391,1179.57
104.915,1196.7
105.437,1209.41
105.962,1211.61
106.484,1205.27
107.008,1187.04
107.53,1174.33
108.055,1163.16
108.577,1157.02
109.101,1165.24
109.623,1167.77
110.145,1172.34
110.669,1175.45
111.191,1175.71
111.715,1176.89
112.237,1178.96
112.761,1182.35
113.283,1187.1
113.805,1192.64
114.329,1198.27
114.85,1203.53
115.374,1208.31
115.896,1210.55
116.42,1209.2
116.941,1200.79
117.463,1191.69
117.987,1183.77
118.508,1179.4
119.03,1178.68
119.553,1181.65
120.075,1188.39
120.596,1198.85
121.12,1213.02
121.641,1231.03
122.162,1248.33
122.686,1241.33
123.207,1224.83
123.728,1209.8
124.252,1198.68
124.773,1190.96
125.294,1185.19
125.817,1191.16
126.339,1196.63
126.86,1202.37
127.383,1208.52
127.904,1213.44
128.425,1214.95
128.946,1214.34
129.469,1211.33
129.99,1206.99
130.511,1201.77
131.031,1197.31
131.554,1193.4
132.075,1190.03
132.596,1187.24
133.117,1185.14
133.64,1183.74
134.16,1183.09
134.681,1183.21
135.201,1186.44
135.722,1192.33
136.245,1200.47
136.765,1207.36
137.286,1212.45
137.806,1215.35
138.327,1211.92
138.849,1207.81
139.37,1203.2
139.89,1200.02
140.41,1198.69
140.931,1197.77
141.451,1197.49
141.971,1197.77
142.493,1198.64
143.014,1200.17
143.534,1201.92
144.054,1205.03
144.574,1208.36
145.094,1211.35
145.614,1213.32
146.134,1211.7
146.654,1209.28
147.174,1205.43
147.696,1200.2
148.216,1197.63
148.736,1196.56
149.256,1196.93
149.775,1197.88
150.295,1199.47
150.815,1201.44
151.335,1203.44
151.854,1205.7
152.374,1208.69
152.894,1211.67
153.413,1213.83
153.933,1215.31
154.452,1214.16
154.972,1212.78
155.491,1208.56
156.011,1204.57
156.53,1200.87
157.05,1197.52
157.569,1198.84
158.088,1199.62
158.608,1202.24
159.127,1205.06
159.646,1207.14
160.165,1208.6
160.685,1209.05
161.204,1208.33
161.723,1205.53
162.242,1202.53
162.761,1199.22
163.28,1194.89
163.797,1193.15
164.316,1194.81
164.835,1197
165.354,1199.72
165.873,1203.02
166.392,1206.68
166.91,1210.73
167.429,1214.51
167.948,1211.74
168.465,1208.6
168.983,1207.57
169.502,1207.69
170.021,1209.33
170.539,1211.29
171.058,1211.04
171.577,1210.13
172.093,1208.51
172.612,1206.07
173.13,1202.5
173.649,1199.01
174.167,1199.11
174.683,1200.52
175.202,1204.82
175.72,1207.86
176.238,1210.08
176.757,1210.2
177.273,1209.72
177.791,1208
178.309,1207.46
178.828,1208.08
179.344,1209.55
179.862,1211.17
180.38,1213.62
180.898,1216.72
181.414,1219.74
181.932,1222.33
182.45,1223.25
182.968,1223.54
183.484,1222.94
184.001,1221.23
184.519,1218.55
185.035,1214.16
185.553,1211.3
186.071,1212.81
186.586,1213.9
187.104,1215.63
187.622,1215.9
188.139,1215.38
188.655,1213.86
189.172,1211.71
189.688,1208.79
190.205,1205.39
190.723,1203.2
191.238,1201.51
191.756,1202.77
