Wave,Gypsum
96.5973,2779.28
97.4635,2783.68
98.3318,2812.51
99.1979,2826.02
100.066,2844.66
100.932,2865.72
101.8,2890.71
102.668,2918.91
103.534,2952.77
104.401,2988.72
105.267,3026.53
106.134,3066.98
107,3107.7
107.867,3152.88
108.734,3198.89
109.6,3243.07
110.467,3284.27
111.332,3320.5
112.199,3355.19
113.063,3386.26
113.93,3414.77
114.795,3440.23
115.662,3464.67
116.526,3510.27
117.393,3550.42
118.257,3587.18
119.123,3618.96
119.988,3645.59
120.852,3666.52
121.718,3684
122.582,3697.14
123.448,3705.81
124.311,3715.44
125.177,3724.21
126.041,3731.77
126.904,3740.18
127.77,3746.94
128.633,3754.98
129.499,3766.04
130.362,3786.85
131.225,3811.23
132.09,3835.03
132.953,3858.82
133.818,3886.38
134.681,3897.42
135.544,3883.65
136.408,3864.86
137.271,3853.41
138.133,3847.13
138.998,3842.85
139.86,3839.27
140.722,3837.83
141.587,3838.29
142.449,3840.48
143.311,3844.47
144.175,3849.88
145.037,3856.99
145.898,3865.19
146.762,3875.78
147.624,3882.75
148.485,3881.64
149.347,3875.59
150.21,3867.94
151.072,3861.8
151.933,3851.71
152.794,3840.19
153.657,3827.33
154.518,3815.56
155.379,3806.06
156.24,3801.65
157.103,3800.36
157.963,3802.28
158.824,3807.41
159.684,3816.52
160.545,3828.9
161.407,3844.97
162.267,3862.72
163.128,3873.96
163.988,3883.01
164.848,3884.99
165.71,3886.11
166.57,3884.27
167.429,3882.64
168.289,3882.05
169.149,3893.13
170.008,3904.7
170.868,3902.18
171.729,3906.41
172.588,3912.59
173.448,3921.86
174.307,3933.63
175.166,3954.07
176.025,3964.16
176.884,3981.93
177.742,3991.48
178.601,3986.04
179.462,3976.37
180.321,3977.59
181.179,3990.22
182.038,4003.18
182.896,4010.85
183.754,4017.85
184.612,4023.68
185.47,4026.17
186.328,4026.99
187.186,4023.95
188.044,4019.04
188.902,4012.05
189.76,4003.95
190.617,3997.98
191.475,3991.27
192.332,3984.23
193.19,3977.35
194.047,3970.71
194.904,3965.04
195.762,3964.83
196.619,3969.35
197.476,3987.13
198.333,4009.14
199.189,4025.55
200.046,4035.19
200.903,4034.7
201.759,4013.44
202.616,4005.71
203.47,4007.15
204.327,4011.82
205.183,4032.35
206.039,4057.65
206.895,4086.39
207.751,4120.12
208.607,4132.09
209.463,4135.28
210.319,4133.23
211.173,4130.38
212.028,4130.36
212.884,4137.07
213.739,4144.27
214.595,4141.16
215.45,4137.76
216.305,4134.72
217.159,4130.49
218.014,4123.04
218.869,4136.68
219.724,4155.65
220.578,4176.49
221.431,4195.38
222.286,4195.3
223.141,4190.66
223.995,4182.36
224.85,4172.65
225.702,4164.54
226.556,4153.86
227.41,4156.35
228.265,4162
229.117,4172.07
229.971,4193.02
230.825,4213.6
231.678,4225.5
232.53,4231.25
233.384,4233.65
234.237,4228.42
235.089,4208.16
235.942,4196.16
236.796,4188.24
237.649,4188.77
238.5,4198.57
239.353,4218.19
240.206,4230.25
241.057,4235.04
241.91,4239.06
242.763,4238.01
243.614,4235.1
244.466,4230.81
245.319,4227.3
246.169,4228.7
247.022,4228.62
247.872,4225.27
248.724,4230.82
249.576,4234.07
250.426,4281.56
251.278,4228.19
252.13,4219.1
252.98,4238.95
253.832,4261.21
254.682,4278.08
255.533,4278.31
256.383,4276.64
257.234,4274.42
258.086,4270.57
258.935,4264.23
259.786,4257.2
260.635,4255.54
261.486,4265.88
262.335,4288.89
263.186,4310.69
264.035,4320.27
264.886,4323.47
265.735,4315.71
266.585,4304.62
267.434,4302.13
268.284,4302.31
269.132,4304.2
269.983,4326.33
270.831,4321.07
271.681,4301.25
272.529,4300.17
273.379,4318.22
274.227,4348.78
275.075,4371.29
275.925,4381.05
276.772,4393.27
277.622,4403.76
278.469,4410.48
279.319,4414.41
280.166,4417.71
281.013,4420.62
281.863,4424.17
282.71,4427.79
283.559,4432.4
284.406,4434.98
285.252,4434.68
286.101,4447.53
286.948,4475.93
287.795,4495.33
288.643,4513.67
289.49,4512.13
290.336,4508.11
291.184,4489.97
292.031,4477.16
292.877,4462.79
293.725,4453.22
294.571,4450.72
295.417,4455.54
296.265,4462.07
297.11,4474.77
297.956,4489.41
298.802,4505.84
299.649,4519.37
300.495,4526.57
301.34,4526.27
302.185,4527.71
303.033,4529
303.878,4531.91
304.723,4535.83
305.568,4540.37
306.415,4545.02
307.26,4548.69
308.104,4552.22
308.949,4554.22
309.796,4550.54
310.64,4549.12
311.485,4548.83
312.329,4551.75
313.173,4556.03
314.018,4562.24
314.864,4570.37
315.708,4580.98
316.552,4593.4
317.396,4608.43
318.24,4623.78
319.083,4633.47
319.927,4653.22
320.773,4698.34
321.616,4630.98
322.46,4633.19
323.303,4634.52
324.146,4634.4
324.989,4629.99
325.833,4629.11
326.676,4623.68
327.519,4621.41
328.362,4622.02
329.206,4624.77
330.049,4628.96
330.892,4634.4
331.734,4643.43
332.577,4650.16
333.419,4650.15
334.262,4655.11
335.104,4664.59
335.946,4672.53
336.788,4688.02
337.63,4658.73
338.472,4660.58
339.314,4668.65
340.156,4685.66
340.998,4706.31
341.84,4724.17
