Wave,Hornblende
99.0209,88.98666667
99.8869,153.32
100.755,266.5133333
101.621,455.5333333
102.487,634.2933333
103.354,832.5333333
104.22,1050.813333
105.088,1246.973333
105.953,1422.5
106.821,1509.606667
107.686,1636.513333
108.551,1759.84
109.418,1885.76
110.283,2003.673333
111.148,2091.82
112.015,2152.693333
112.88,2190.173333
113.747,2180.486667
114.612,2150.353333
115.476,2091.18
116.343,2034.046667
117.207,1973.873333
118.072,1932.54
118.938,1900.073333
119.802,1871.613333
120.666,1847
121.533,1823.486667
122.397,1776.98
123.26,1741.506667
124.126,1705.36
124.99,1697.8
125.854,1711.486667
126.717,1729.653333
127.583,1759.133333
128.446,1795
129.309,1818.566667
130.175,1825.306667
131.038,1823.626667
131.901,1823.626667
132.764,1831.506667
133.629,1864.48
134.492,1892.806667
135.354,1940.28
136.217,1980.366667
137.08,2010.72
137.944,2030.046667
138.807,2014.193333
139.669,1989.82
140.531,1978.673333
141.393,1992.026667
142.258,2050.66
143.12,2074.033333
143.982,2091.173333
144.844,2089.6
145.705,2068.426667
146.567,2041.393333
147.431,2010.373333
148.292,1974.56
149.154,1958.78
150.015,1975.353333
150.876,2016.606667
151.738,2062.033333
152.599,2111.446667
153.46,2164.12
154.323,2218.706667
155.184,2276.513333
156.045,2337.46
156.905,2401.56
157.766,2464.82
158.627,2529.04
159.487,2551.1
160.348,2534.56
161.208,2498.006667
162.068,2440.793333
162.928,2377.54
163.788,2318.326667
164.649,2276.1
165.508,2299.36
166.368,2301.786667
167.228,2320.006667
168.088,2359.08
168.947,2395.406667
169.807,2431.726667
170.667,2464.306667
171.526,2493.773333
172.385,2519.14
173.244,2540.206667
174.104,2557.193333
174.963,2569.8
175.822,2577.78
176.681,2580.166667
177.539,2577.96
178.398,2571.32
179.257,2560.873333
180.115,2546.513333
180.974,2527.913333
181.832,2507.533333
182.691,2486.9
183.549,2466.993333
184.407,2446.786667
185.263,2428.366667
186.121,2412.773333
186.979,2399.9
187.837,2391.586667
188.695,2387.56
189.553,2388.713333
190.41,2394.253333
191.268,2402.2
192.123,2410.013333
192.981,2408.786667
193.838,2433.006667
194.695,2475.046667
195.553,2546.713333
196.41,2567.82
197.265,2567.94
198.121,2554.686667
198.978,2548.773333
199.835,2551.133333
200.692,2562.113333
201.546,2571.533333
202.403,2595.786667
203.259,2619.233333
204.116,2653.28
204.972,2674.8
205.826,2676.026667
206.682,2680.033333
207.538,2686.913333
208.394,2700.84
209.248,2720.52
210.104,2744.16
210.96,2771.786667
211.815,2804.12
212.669,2840.96
213.524,2883.38
214.38,2907.226667
215.233,2925.66
216.088,2935.133333
216.944,2938.88
217.797,2954.273333
218.652,3021.913333
219.507,3093.986667
220.36,3181.173333
221.214,3270.9
222.069,3371.873333
222.922,3465.52
223.776,3553.946667
224.631,3621.533333
225.483,3665.36
226.337,3698.226667
227.192,3725.226667
228.044,3739.706667
228.898,3743.286667
229.75,3725.653333
230.604,3688.94
231.458,3641.646667
232.309,3577.88
233.163,3519.46
234.014,3470.806667
234.868,3417.313333
235.719,3359.966667
236.573,3301.073333
237.426,3220.42
238.277,3144.533333
239.13,3078.746667
239.981,3008.76
240.834,2941.193333
241.685,2906.633333
242.538,2896.52
243.389,2894.86
244.241,2897.493333
245.092,2886.12
245.945,2852.7
246.795,2812.686667
247.647,2768.846667
248.497,2757.266667
249.35,2747.54
250.2,2751.666667
251.052,2735.366667
251.902,2711.826667
252.752,2689.02
253.603,2669.326667
254.453,2651.913333
255.305,2636.246667
256.154,2623.393333
257.006,2612.726667
257.855,2604.64
258.704,2598.76
259.556,2595.053333
260.405,2592.56
261.256,2585.886667
262.105,2586
262.954,2604.6
263.805,2623.086667
264.653,2629.946667
265.502,2637.846667
266.353,2640.033333
267.201,2639.54
268.05,2635.773333
268.9,2629.066667
269.748,2618.273333
270.596,2608.253333
271.447,2638.573333
272.295,2666.026667
273.143,2672.573333
273.993,2675.346667
274.84,2671.286667
275.688,2675.926667
276.538,2666.273333
277.385,2676.02
278.233,2704.16
279.08,2740.353333
279.93,2766.073333
280.777,2787.373333
281.624,2805.28
282.471,2820.306667
283.32,2832.846667
284.167,2843.186667
285.014,2848.466667
285.861,2864.313333
286.708,2879.746667
287.556,2896.793333
288.403,2913.846667
289.249,2925.78
290.096,2926.32
290.942,2924.933333
291.79,2918.58
292.636,2909.146667
293.483,2893.966667
294.329,2899.186667
295.174,2923.353333
296.02,2945.886667
296.868,2965.846667
297.714,2984.173333
298.56,3001.133333
299.405,3016.433333
300.251,3029.946667
301.096,3042.133333
301.941,3041.08
302.786,3030.146667
303.632,3021.033333
304.479,3011.846667
305.324,3013.373333
306.169,3017.98
307.014,3026.226667
307.858,3038.606667
308.703,3053.366667
309.548,3076.593333
310.392,3069.166667
311.237,3078.513333
312.081,3041.8
312.925,3012.166667
313.77,2992.206667
314.614,2997.92
315.458,3040.493333
316.302,3000
317.146,3000
317.99,3000
318.833,2964.653333
319.677,3083.56
320.521,3011.986667
321.364,2990.933333
322.208,2972.113333
323.051,2968.5
323.894,2985.053333
324.738,2987.293333
325.581,2988.48
326.424,2991.673333
327.267,2996.053333
328.11,3000.78
328.953,3005.333333
329.795,3013.726667
330.636,3032.293333
331.479,3055.873333
332.321,3076.94
333.164,3094.806667
334.006,3112.053333
334.848,3128.806667
335.69,3144.06
336.533,3157.5
337.375,3169.226667
338.215,3177.2
339.057,3180.64
339.898,3172.9
340.74,3172.173333
341.582,3172.72
342.423,3214.906667
343.263,3228.46
344.104,3238.073333
344.946,3250.173333
345.787,3263.1
346.628,3276.64
347.467,3290.226667
348.308,3304.346667
349.149,3319.053333
349.99,3332.94
350.829,3346.613333
351.67,3358.56
352.511,3372.566667
353.351,3387.853333
354.19,3408.88
355.03,3444.046667
355.871,3461.186667
356.711,3483.453333
357.549,3509.846667
358.389,3539.706667
359.229,3571.886667
360.067,3607.746667
360.907,3647.446667
361.747,3690.653333
362.587,3738.253333
363.424,3788.04
364.264,3833.346667
365.104,3861.98
365.941,3872.966667
366.78,3862.026667
367.62,3839.38
368.457,3810.553333
369.296,3778.386667
370.133,3740.506667
370.972,3695.626667
371.811,3647.14
372.648,3595.866667
373.487,3560.866667
374.323,3551.313333
375.162,3537.32
376,3524.753333
376.837,3510.273333
377.675,3496.76
378.511,3482.653333
379.35,3468.54
380.186,3452.866667
381.024,3437.146667
381.862,3421.34
382.698,3406.673333
383.536,3396.066667
384.371,3387.1
385.209,3376.533333
386.045,3368.753333
386.882,3362.373333
387.718,3362.586667
388.555,3461.366667
389.39,3427.7
390.228,3412.28
391.063,3345.266667
391.9,3349.68
392.735,3343.28
393.572,3430.146667
394.406,3456.666667
395.241,3427.686667
396.078,3421.646667
396.913,3418.56
397.749,3436.88
398.584,3473.873333
399.42,3511.753333
400.254,3510.906667
401.088,3520.113333
401.925,3523.073333
402.759,3520.8
403.595,3512.606667
404.429,3498.586667
405.262,3477.986667
406.098,3472.213333
406.932,3478.533333
407.766,3473.286667
408.601,3467.333333
409.435,3459.013333
410.27,3441.94
411.103,3440.886667
411.937,3444.64
412.77,3449.22
413.605,3454.24
414.438,3460.72
415.271,3466.606667
416.106,3470.346667
416.938,3476.886667
417.771,3483.7
418.606,3490.553333
419.438,3498.2
420.271,3505.253333
421.103,3515.893333
421.938,3450
422.77,3438.46
423.602,3546.02
424.434,3481.293333
425.268,3520.373333
426.1,3564.94
426.932,3560.186667
427.764,3580.24
428.595,3574.773333
429.429,3560.18
430.261,3549.14
431.092,3539.22
431.924,3526.473333
432.755,3532.366667
433.588,3540.626667
434.419,3558.3
435.251,3551.66
436.082,3545.513333
436.913,3510.886667
437.743,3475.746667
438.574,3444.68
439.407,3416.473333
440.238,3391.76
441.068,3373.346667
441.899,3361.346667
442.729,3354.166667
443.56,3352.366667
444.39,3355.58
445.22,3364.473333
446.05,3377.426667
446.88,3385.273333
447.712,3388.333333
448.542,3376.52
449.372,3360.486667
450.202,3350.646667
451.031,3345.96
451.861,3344.013333
452.691,3350.286667
453.52,3357.08
454.349,3361.173333
455.179,3366.226667
456.008,3372.473333
456.837,3379.193333
457.666,3385.733333
458.495,3386.086667
459.324,3324.22
460.153,3392.54
460.982,3382.053333
461.81,3375.946667
462.639,3372.266667
463.468,3371.58
464.296,3372.226667
465.125,3376.646667
465.951,3399.406667
466.779,3420.606667
467.607,3438.686667
468.435,3454.926667
469.263,3468.34
470.091,3479.873333
470.919,3482.506667
471.747,3465.426667
472.575,3453.833333
473.402,3446.1
474.228,3441.573333
475.056,3440.373333
475.883,3442.133333
476.71,3445.246667
477.538,3450.373333
478.365,3455.566667
479.192,3458.553333
480.017,3461.26
480.844,3471.86
481.671,3486.1
482.498,3503.893333
483.324,3522.393333
484.149,3536.84
484.976,3542.766667
485.802,3544.46
486.629,3544.713333
487.455,3542.666667
488.279,3540.12
489.106,3537.306667
489.932,3534.293333
490.758,3530.72
491.582,3527.76
492.408,3524.486667
493.234,3523.853333
494.059,3538.586667
494.883,3555.393333
495.709,3572.033333
496.534,3592.22
497.358,3611.286667
498.183,3628.253333
499.009,3641.98
499.832,3650.733333
500.657,3650.393333
501.482,3648.64
502.305,3647.533333
503.13,3652.68
503.955,3663.54
504.778,3677.46
505.603,3694.426667
506.427,3711.78
507.25,3710.42
508.074,3712.68
508.899,3728.626667
509.721,3750.053333
510.545,3772.073333
511.368,3792.32
512.192,3809.006667
513.014,3823.78
513.838,3833.153333
514.662,3838.38
515.484,3843.38
516.307,3850.473333
517.129,3869.333333
517.953,3891.786667
518.774,3913.913333
519.598,3926.273333
520.419,3920.753333
521.242,3903.253333
522.064,3888.053333
522.887,3879.233333
523.708,3875.586667
524.531,3874.546667
525.352,3876.82
526.175,3881.193333
526.996,3888.553333
527.818,3896.973333
528.639,3859.173333
529.462,3822.46
530.282,3803.433333
531.104,3823.3
531.925,3862.873333
532.747,3903.813333
533.567,3967.873333
534.387,4014.586667
535.21,4019.913333
536.03,3991.486667
536.851,3957.153333
537.671,3951.713333
538.491,3937.506667
539.313,3933.466667
540.132,3932.506667
540.954,3941.826667
541.773,3962.753333
542.593,4007.486667
543.414,4000
544.233,4000
545.053,3981.493333
545.874,3900.973333
546.693,3856.32
547.512,3909.5
548.333,3939.213333
549.151,3953.48
549.97,3943.326667
550.791,3925.853333
551.609,3915.486667
552.428,3905.366667
553.246,3891.246667
554.067,3882.44
554.885,3892.406667
555.703,3915.433333
556.521,3941.246667
557.341,3960.393333
558.159,3977.36
558.977,3992.96
559.795,4005.486667
560.615,4015.433333
561.433,4019.786667
562.25,4031.746667
563.068,4119.186667
563.885,4066.666667
564.705,4066.666667
565.522,4025.82
566.339,4038.06
567.156,3955.613333
567.974,3954.693333
568.791,3929.566667
569.61,3919.033333
570.426,3917.033333
571.243,3921.866667
572.06,3929.96
572.877,3937.32
573.693,3941.6
574.51,3941.96
575.326,3935.586667
576.145,3929.713333
576.961,3925.953333
577.777,3922.753333
578.593,3918.733333
579.409,3915.48
580.225,3914.006667
581.041,3916.52
581.857,3926.36
582.673,3947.493333
583.489,3975.713333
584.304,4003.373333
585.12,4017.686667
585.935,4018.573333
586.751,4007.22
587.566,3995.78
588.381,3984.266667
589.197,3970.693333
590.012,3956.873333
590.827,3937.073333
591.642,3917.066667
592.457,3897.76
593.272,3883.8
594.086,3904.866667
594.901,3933.986667
595.716,3965.26
596.53,3990.573333
597.345,4004.7
598.159,4009.686667
598.974,3995.606667
599.788,3980.186667
600.602,3979.953333
601.416,3993.3
602.228,3999.56
603.042,4000.133333
603.856,3999.353333
604.67,3999.086667
605.484,3999.386667
606.297,4001.906667
607.111,4007.106667
607.924,4014.146667
608.736,4024.926667
609.549,4038.32
610.362,4054.246667
611.176,4073.233333
