Wave,Microcline
95.4877,1666.19
96.0105,1700.52
96.5354,1692.38
97.0581,1689.91
97.583,1692.62
98.1078,1700.77
98.6305,1710.27
99.1552,1720.83
99.6778,1733.16
100.203,1746.49
100.725,1752.45
101.25,1760.13
101.772,1765.85
102.297,1775.66
102.821,1787.28
103.344,1806.68
103.868,1833.83
104.391,1857.15
104.915,1877.84
105.437,1895.11
105.962,1908.3
106.484,1918.35
107.008,1925.2
107.53,1928.71
108.055,1929.55
108.577,1930.82
109.101,1938.66
109.623,1957.79
110.145,1976.94
110.669,1999.24
111.191,2015.53
111.715,2025.62
112.237,2029.78
112.761,2025.28
113.283,2022.41
113.805,2017
114.329,2018.21
114.85,2023.55
115.374,2033.94
115.896,2050.65
116.42,2065.36
116.941,2066.58
117.463,2068.48
117.987,2070.88
118.508,2071.55
119.03,2067.06
119.553,2077.32
120.075,2090.51
120.596,2111.23
121.12,2130.9
121.641,2148.89
122.162,2151.67
122.686,2150.18
123.207,2162.16
123.728,2174.22
124.252,2187.14
124.773,2200.38
125.294,2209.71
125.817,2218.88
126.339,2216.63
126.86,2206.44
127.383,2184.56
127.904,2162.26
128.425,2143.81
128.946,2127
129.469,2113.74
129.99,2103.05
130.511,2094.14
131.031,2086.92
131.554,2081.56
132.075,2077.83
132.596,2074.45
133.117,2073.81
133.64,2073.93
134.16,2095.33
134.681,2131.79
135.201,2167.4
135.722,2201.89
136.245,2245.46
136.765,2286.93
137.286,2334.74
137.806,2357.92
138.327,2382.65
138.849,2389.12
139.37,2372.48
139.89,2355.54
140.41,2341.12
140.931,2331.36
141.451,2333.52
141.971,2343.71
142.493,2361.62
143.014,2387.92
143.534,2422.54
144.054,2465.67
144.574,2517.54
145.094,2578.55
145.614,2657.6
146.134,2744.37
146.654,2828.61
147.174,2892.11
147.696,2945.34
148.216,2961.01
148.736,2934.32
149.256,2893.55
149.775,2838.73
150.295,2784.55
150.815,2737.32
151.335,2708.06
151.854,2690.36
152.374,2683.1
152.894,2685.49
153.413,2701.75
153.933,2728.41
154.452,2764.46
154.972,2804.15
155.491,2822.38
156.011,2832.38
156.53,2828.35
157.05,2803.91
157.569,2780.01
158.088,2747.8
158.608,2707.69
159.127,2658.85
159.646,2606.23
160.165,2557.79
160.685,2506.32
161.204,2461.64
161.723,2432.56
162.242,2408.95
162.761,2393
163.28,2375.46
163.797,2360.18
164.316,2335.92
164.835,2306.02
165.354,2279.5
165.873,2255.45
166.392,2232.02
166.91,2219.13
167.429,2207.38
167.948,2198.14
168.465,2191.56
168.983,2188.49
169.502,2187.72
170.021,2187.36
170.539,2187.15
171.058,2187.68
171.577,2189.27
172.093,2190.9
172.612,2193.14
173.13,2196.21
173.649,2200.3
174.167,2205.42
174.683,2211.79
175.202,2219.6
175.72,2228.26
176.238,2237.92
176.757,2248.69
177.273,2259.52
177.791,2266.3
178.309,2259.6
178.828,2254.84
179.344,2243.26
179.862,2223.6
180.38,2204.01
180.898,2195.71
181.414,2196.3
181.932,2197.94
182.45,2199.88
182.968,2201.5
183.484,2199.13
184.001,2196.59
184.519,2192.91
185.035,2188.23
185.553,2182.63
186.071,2176.64
186.586,2174.45
187.104,2178.45
187.622,2179.31
188.139,2176.23
188.655,2168.95
189.172,2156.82
189.688,2151.7
190.205,2145.79
190.723,2150.69
191.238,2162.68
191.756,2172.24
192.273,2180.22
192.789,2186.74
193.306,2184.24
193.821,2193.64
194.339,2202.68
194.856,2223.9
195.371,2245.98
195.888,2272.56
196.403,2295.23
196.92,2309.72
197.438,2310.51
197.953,2295.31
198.47,2283.97
198.985,2267.58
199.502,2247.22
200.017,2228.2
200.534,2211.58
201.048,2197.56
201.565,2185.33
202.08,2182.65
202.597,2184.14
203.114,2183.26
203.628,2185.04
204.145,2188.55
204.66,2191.59
205.177,2190.04
205.691,2186.04
206.206,2181.49
206.722,2175.17
207.237,2165.11
207.753,2159.78
208.268,2164.05
208.784,2169.94
209.299,2175.46
209.815,2174.81
210.33,2171.38
210.846,2165.33
211.36,2156.97
211.874,2145.3
212.391,2131.22
212.905,2115.06
213.421,2098.69
213.935,2094.13
214.449,2092.74
214.966,2097.26
215.48,2098.88
215.996,2101.04
216.51,2106.29
217.024,2110.66
217.54,2109.82
218.054,2106.72
218.568,2104.94
219.083,2104.39
219.597,2105.02
220.111,2107.92
220.627,2117.52
221.141,2126.68
221.654,2136.94
222.17,2136.43
222.684,2136.37
223.197,2132.52
223.713,2126.85
224.227,2117.63
224.74,2113.93
225.254,2122.33
225.769,2127.9
226.283,2134.26
226.796,2141.04
227.312,2140.25
227.825,2144.51
228.338,2138.13
228.852,2135.19
229.367,2134.38
229.88,2142.01
230.393,2157.12
230.907,2161.69
231.42,2164.46
231.935,2159.86
232.448,2154.26
232.961,2151.98
233.474,2145.85
233.987,2145.26
234.502,2149.4
235.015,2153.6
235.528,2157.21
236.041,2160.22
236.554,2162.39
237.067,2164.27
237.582,2165.63
238.094,2166.64
238.607,2167.54
239.12,2168.11
239.633,2169.19
240.145,2170.72
240.658,2173.22
241.171,2176.64
241.685,2181.31
242.198,2187.45
242.71,2194.08
243.223,2200.01
243.735,2203.77
244.248,2200.88
244.76,2199.6
245.273,2201.14
245.785,2206.16
246.297,2215.68
246.81,2230.02
247.322,2242.19
247.834,2255.28
248.348,2260.76
248.861,2246.13
249.373,2253.61
249.885,2269.65
250.397,2293.68
250.909,2318.43
251.421,2342.89
251.933,2367.02
252.445,2390.42
252.957,2413.79
253.469,2436.74
253.981,2458.9
254.493,2478.62
255.005,2496.83
255.514,2498.34
256.026,2487.33
256.538,2463.95
257.05,2432.76
257.561,2405.18
258.073,2380.88
258.585,2358.23
259.096,2348.23
259.608,2350.12
260.12,2357.91
260.631,2365.08
261.143,2371.98
261.654,2379.44
262.164,2386.53
262.675,2394.08
263.186,2401.13
263.698,2406.76
264.209,2410.34
264.72,2405.58
265.232,2398.08
265.743,2387.17
266.252,2372.11
266.763,2351.36
267.274,2330.9
267.786,2312.65
268.297,2300.64
268.808,2292.34
269.317,2286.55
269.828,2286.42
270.339,2288.98
270.85,2294.45
271.361,2303.1
271.87,2306.16
272.38,2307.41
272.891,2308.68
273.402,2309.24
273.911,2310.24
274.422,2310.27
274.932,2316.1
275.443,2327.83
275.952,2344.31
276.462,2363.99
276.973,2385.33
277.484,2409.15
277.992,2435.22
278.503,2464.32
279.013,2497.27
279.524,2532.4
280.032,2570.98
280.543,2611.68
281.053,2654.57
281.561,2698.71
282.072,2744.59
282.582,2792.12
283.09,2841.08
283.6,2889.7
284.111,2905.61
284.619,2838.91
285.129,2824.1
285.639,2798.15
286.147,2763.82
286.657,2728.11
287.165,2681.61
287.675,2637.22
288.185,2597.17
288.693,2562.65
289.203,2545.97
289.713,2529.98
290.221,2515.72
290.731,2501.66
291.239,2486.95
291.749,2471.51
292.256,2454.22
292.766,2437.08
293.276,2423.72
293.783,2415.29
294.293,2410.6
294.801,2407.75
295.31,2398.19
295.818,2386.16
296.327,2373.56
296.835,2360.07
297.344,2343.99
297.852,2328.53
298.361,2315.16
298.869,2303.94
299.378,2294.46
299.885,2286.9
300.395,2280.78
300.902,2275.91
301.411,2271.03
301.918,2267.72
302.428,2265.94
302.935,2264.6
303.444,2262.31
303.951,2255.82
304.458,2249.52
304.967,2247.24
305.474,2245.97
305.983,2245.49
306.49,2245.81
306.999,2246.89
307.506,2248.64
308.013,2250.24
308.522,2251.08
309.028,2250.39
309.537,2247.88
310.044,2243.48
310.551,2239.84
311.059,2236.81
