Wave,Muscovite
95.4877,5695.97
96.0105,5823.64
96.5354,5989.76
97.0581,6137.34
97.583,6258.61
98.1078,6334.24
98.6305,6402.6
99.1552,6468.11
99.6778,6528.85
100.203,6584.9
100.725,6635.15
101.25,6687.93
101.772,6763.26
102.297,6850.69
102.821,6963.54
103.344,7072.06
103.868,7229.58
104.391,7390.79
104.915,7541.21
105.437,7696.81
105.962,7756.11
106.484,7778.64
107.008,7743.09
107.53,7767.51
108.055,7874.46
108.577,7977.73
109.101,8088.99
109.623,8165.49
110.145,8256.62
110.669,8257.98
111.191,8270.13
111.715,8291.17
112.237,8327
112.761,8475.69
113.283,8682.61
113.805,8612.72
114.329,8631.18
114.85,8636.79
115.374,8656.8
115.896,8654.63
116.42,8647.41
116.941,8625.76
117.463,8606.99
117.987,8588.42
118.508,8584.87
119.03,8596.38
119.553,8623.44
120.075,8660.56
120.596,8757.58
121.12,8805.23
121.641,8801.09
122.162,8780.62
122.686,8634.7
123.207,8578.81
123.728,8552.88
124.252,8531.48
124.773,8539.19
125.294,8560.84
125.817,8590.57
126.339,8620.35
126.86,8651.23
127.383,8679.85
127.904,8702.37
128.425,8721.68
128.946,8741.19
129.469,8745.89
129.99,8742.58
130.511,8732.41
131.031,8719.75
131.554,8712.29
132.075,8710.2
132.596,8717.61
133.117,8720.22
133.64,8726.31
134.16,8735.03
134.681,8745.95
135.201,8759.22
135.722,8792.08
136.245,8837.49
136.765,8938.38
137.286,8994.68
137.806,8988.15
138.327,8916.59
138.849,8837.15
139.37,8791.88
139.89,8780.57
140.41,8801.54
140.931,8819.48
141.451,8841.01
141.971,8867.94
142.493,8899.2
143.014,8897.17
143.534,8895.48
144.054,8904.91
144.574,8919.87
145.094,8951.44
145.614,8968.82
146.134,8964.46
146.654,8940.85
147.174,8923.01
147.696,8909.18
148.216,8894.88
148.736,8904.12
149.256,8930.44
149.775,8990.78
150.295,9021.75
150.815,9033.92
151.335,9047.76
151.854,9059.22
152.374,9069.93
152.894,9082.45
153.413,9093.83
153.933,9101.76
154.452,9108.27
154.972,9112.25
155.491,9114.27
156.011,9110.6
156.53,9109.97
157.05,9112.29
157.569,9117.81
158.088,9126.52
158.608,9137.91
159.127,9153.07
159.646,9176.19
160.165,9204.77
160.685,9240
161.204,9270.67
161.723,9294.17
162.242,9315.64
162.761,9334.31
163.28,9345.64
163.797,9354.46
164.316,9367.42
164.835,9379.58
165.354,9415.79
165.873,9448.25
166.392,9477.25
166.91,9503.66
167.429,9533.14
167.948,9560.98
168.465,9577.91
168.983,9575.89
169.502,9550.86
170.021,9507.24
170.539,9490.04
171.058,9477.66
171.577,9477.63
172.093,9470.38
172.612,9465.33
173.13,9464.24
173.649,9463.53
174.167,9466.75
174.683,9470.48
175.202,9473.55
175.72,9473.78
176.238,9465.99
176.757,9456.63
177.273,9443.53
177.791,9426.76
178.309,9406.34
178.828,9382.16
179.344,9353.99
179.862,9322.57
180.38,9287.24
180.898,9255.96
181.414,9263.67
181.932,9267.87
182.45,9268.44
182.968,9262.59
183.484,9256.72
184.001,9254.08
184.519,9267.06
185.035,9316.16
185.553,9333.49
186.071,9348.53
186.586,9354.33
187.104,9353.37
187.622,9360.78
188.139,9375.94
188.655,9399.09
189.172,9438.63
189.688,9483.99
