Wave,Quartz
100.156,1091.74
101.022,1078.67
101.889,1080.35
102.755,1083.88
103.623,1088.41
104.489,1092.51
105.356,1096.37
106.224,1099.7
107.089,1102.47
107.957,1104.63
108.822,1106.08
109.689,1106.59
110.554,1106.5
111.421,1105.9
112.286,1105.7
113.153,1113.37
114.018,1123.37
114.884,1133.18
115.749,1137.02
116.616,1143.44
117.48,1144.38
118.346,1150.09
119.211,1177.7
120.077,1213.71
120.941,1255.65
121.807,1310.46
122.671,1379.01
123.537,1495.85
124.401,1676.94
125.264,1839.93
126.13,1999.19
126.994,1938.89
127.859,1775.73
128.722,1626.77
129.586,1443.72
130.451,1356.31
131.314,1282.65
132.179,1238.44
133.042,1212.32
133.905,1198.77
134.77,1188.99
135.633,1180.08
136.498,1173.35
137.36,1168.69
138.223,1165.68
139.087,1164.01
139.949,1163.96
140.812,1165.29
141.676,1167.13
142.538,1168.1
143.4,1168.8
144.264,1167.44
145.126,1162.76
145.988,1158.29
146.849,1153.59
147.713,1149.03
148.574,1143.31
149.436,1138.47
150.299,1135.02
151.161,1131.63
152.022,1129.87
152.883,1128.51
153.746,1127.36
154.607,1126.51
155.468,1125.68
156.329,1124.32
157.189,1123.55
158.052,1123.01
158.913,1123.85
159.773,1125.11
160.634,1128.2
161.496,1130.86
162.356,1132.92
163.217,1131.1
164.077,1130.73
164.937,1130.16
165.797,1130.09
166.658,1130.93
167.518,1132.18
168.378,1133.68
169.238,1135.33
170.097,1137.16
170.956,1139.18
171.816,1141.17
172.677,1143.7
173.536,1146.31
174.396,1149.35
175.255,1153.11
176.114,1158.57
176.973,1168.09
177.831,1172.46
178.69,1175.24
179.549,1178.72
180.407,1183.1
181.268,1188.91
182.126,1195.83
182.985,1203.94
183.843,1213.24
184.701,1223.52
185.559,1234.77
186.417,1235.27
187.275,1239.35
188.133,1250.03
188.991,1267.08
189.848,1293.38
190.706,1316.29
191.564,1331.9
192.421,1350.54
193.279,1364.54
194.136,1384.74
194.993,1404.06
195.85,1432.92
196.707,1463.76
197.564,1493.24
198.421,1522.52
199.278,1552.84
200.135,1584.4
200.991,1612.72
201.848,1634.22
202.702,1647.72
203.559,1654.74
204.415,1656.87
205.272,1648.29
206.128,1633.11
206.984,1609.76
207.84,1588.79
208.696,1600.58
209.552,1600.82
210.408,1581.77
211.261,1558.27
212.117,1529.26
212.972,1497.18
213.828,1462.6
214.683,1430.01
215.539,1403.94
216.394,1382.45
217.247,1365.56
218.102,1352.1
218.957,1338.71
219.812,1324.94
220.667,1310.97
221.52,1297.26
222.374,1283.39
223.229,1269.95
224.083,1256.99
224.938,1244.73
225.79,1233.56
226.645,1224.01
227.499,1214.43
228.353,1205.76
229.205,1193.12
230.059,1189.87
230.913,1189.02
231.767,1189.06
232.618,1189.32
233.472,1189.57
234.326,1186.42
235.179,1179.87
236.031,1170.28
236.884,1162.65
237.737,1159.95
238.588,1161.69
239.441,1165.4
240.294,1167.67
241.145,1168.3
241.998,1167.6
242.851,1165.18
243.702,1161.58
244.554,1157.07
245.407,1152.33
246.257,1152.63
247.11,1152.81
247.962,1151.4
248.812,1148.73
249.665,1145.56
250.515,1142.85
251.367,1141
252.219,1139.08
253.068,1140.93
253.92,1146.19
254.77,1151.19
255.621,1156.87
256.473,1163.17
257.322,1170.31
258.174,1164.85
259.023,1183.33
259.874,1209.11
260.723,1239.22
261.575,1266.85
262.423,1295.86
263.274,1305.87
264.123,1281.71
264.974,1259.51
265.823,1229.68
266.673,1198.55
267.522,1173.24
268.372,1151.87
269.22,1140.95
270.071,1138.25
270.919,1134.24
271.769,1131.49
272.617,1128.39
273.467,1124.98
274.315,1121.73
275.165,1119.25
276.012,1117.52
276.86,1116.59
277.71,1116.75
278.557,1118.97
279.407,1120.25
280.254,1120.08
281.103,1117.24
281.95,1114.54
282.797,1112.29
283.646,1110.43
284.493,1109.2
285.34,1108.14
286.189,1107.19
287.036,1105.84
287.884,1105.07
288.731,1104.94
289.577,1105.07
290.426,1105.5
291.272,1106.16
292.118,1106.8
292.967,1107.13
293.813,1104.4
294.659,1101.92
295.507,1099.83
296.352,1098.1
297.198,1097.12
298.044,1099.61
298.892,1104.02
299.737,1106.74
300.582,1108.55
301.428,1109.67
302.275,1110.37
303.12,1110.38
303.966,1109.85
304.811,1108.64
305.658,1106.94
306.503,1104.91
307.347,1103.02
308.192,1102.65
309.039,1102.19
309.883,1102.51
310.728,1103.07
311.572,1104.19
312.417,1105.26
313.263,1106.05
314.107,1106.54
314.951,1106.5
315.795,1106.52
316.639,1106.71
317.483,1106.62
318.329,1106.32
319.173,1105.57
320.017,1104.57
320.86,1103.17
321.704,1101.5
322.547,1099.6
323.39,1097.65
324.234,1097.31
325.079,1098.67
325.922,1101.59
326.765,1103.49
327.608,1105.19
328.451,1106.33
329.294,1106.99
330.137,1107.1
330.979,1106.39
331.822,1105.48
332.664,1105.05
333.507,1105
334.349,1105.69
335.191,1106.54
336.034,1107.55
336.876,1108.66
337.718,1109.93
338.56,1111.23
339.402,1112.32
340.243,1112.99
341.085,1111.77
341.927,1110.58
342.768,1110.31
343.61,1110.32
344.451,1110.53
345.293,1110.9
346.134,1113.03
346.975,1118.75
347.816,1128.04
348.657,1141.32
349.498,1159.02
350.339,1181.03
351.18,1218.25
352.021,1255.92
352.861,1288.95
353.7,1305.99
354.54,1278.88
355.381,1230.28
356.221,1185.08
357.061,1161.72
357.902,1135.27
358.742,1126.15
359.582,1119.51
360.42,1115.68
361.26,1114.48
362.099,1115.4
362.939,1117.32
363.779,1117.89
364.618,1115.33
365.456,1113.28
366.295,1111.94
367.135,1110.16
367.974,1108.41
368.813,1106.74
369.65,1105.44
370.489,1104.59
371.328,1104.2
372.167,1105
373.006,1106.24
373.843,1108.31
374.681,1110.68
375.52,1108.75
376.358,1105.36
377.195,1102.43
378.033,1104.14
378.872,1105.98
379.708,1107.66
380.546,1109.41
381.384,1111.54
382.222,1113.49
383.058,1113.37
383.896,1110.19
384.733,1108.53
385.569,1108.97
386.407,1111.46
387.244,1117.48
388.079,1120.97
388.917,1138.76
389.754,1158.26
390.589,1182.05
391.426,1208.06
392.263,1214.36
393.098,1207.64
393.935,1177.17
394.77,1155.15
395.607,1139.02
396.444,1129.81
397.278,1139.1
398.115,1147.17
398.949,1159.42
399.785,1168.99
400.62,1183.3
401.456,1186.11
402.292,1178.16
403.126,1166.5
403.962,1149.73
404.796,1135.03
405.632,1124.21
406.466,1117.16
407.301,1115.77
408.135,1115.71
408.97,1115.75
409.804,1116.2
410.639,1116.42
411.473,1116.78
412.308,1117.08
413.141,1117.31
413.976,1117.53
414.809,1117.63
415.644,1117.69
416.477,1117.73
417.311,1117.92
418.144,1120.28
418.977,1120.94
419.811,1118.24
420.644,1111.18
421.478,1119.09
422.31,1120.78
423.145,1122.35
423.977,1124.35
424.809,1124.05
425.643,1125.2
426.475,1125.02
427.309,1122.72
428.14,1121.91
428.972,1122.5
429.806,1124.24
430.637,1126.38
431.469,1128.76
432.302,1131.03
433.134,1127.72
433.965,1128.87
434.798,1131.04
435.629,1133.35
436.46,1136.8
437.293,1140.53
438.124,1144.01
438.955,1146.59
439.785,1148.89
440.618,1151.2
441.449,1153.88
442.279,1156.67
443.112,1160.26
443.942,1163.19
444.772,1169.38
445.602,1180.03
446.434,1196.11
447.264,1210.55
448.094,1228.73
448.924,1241.94
449.754,1256.81
450.586,1273.56
451.415,1293.52
452.245,1317.9
453.075,1360.59
453.904,1407.9
454.735,1465.39
455.565,1532.22
456.394,1621.55
457.223,1760.97
458.052,1944.75
458.881,2180.21
459.712,2468.29
460.541,2789.05
461.369,3165.45
462.198,3496.49
463.027,3621.9
463.855,3597.03
464.684,3407.43
465.512,3023.73
466.34,2701.03
467.171,2388.46
467.999,2174.09
468.827,1976.04
469.655,1846.93
470.483,1747.62
471.311,1646.74
472.138,1565.99
472.966,1501.52
473.794,1451.62
474.621,1414.46
475.449,1385.69
476.276,1364.18
477.103,1348.11
477.931,1326.34
478.758,1311.47
479.585,1302.53
480.412,1295.92
481.239,1292.47
482.066,1278.62
482.893,1259.54
483.719,1244.84
484.546,1232.52
485.373,1223.1
486.199,1215.83
487.026,1211.17
487.852,1208.49
488.678,1207.54
489.504,1206.25
490.331,1201.59
491.155,1195.01
491.98,1187.53
492.806,1181.68
493.632,1176.94
494.458,1173.49
495.284,1171.14
496.109,1169.47
496.935,1168.35
497.76,1167.81
498.584,1166.52
499.409,1164.51
500.234,1159.55
501.059,1160.74
501.884,1161.92
502.709,1167.83
