odr_datarecord_id,odr_sort_index,sample_id,mineral_name,mineral_group,sample_type,location,number_of_spectra,data_set,project_superclass_mapping,overlap_note,dataset_citation,paper_citation
516435,0,Gabbro slab – 0% dust,,,Rock,Madagascar,8952,Test,rock_test_set,"Useful as external robustness test, not single-mineral superclass label","Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516436,1,Granite slab - 0% dust,,,Rock,Unknown,11028,Test,rock_test_set,"Useful as external robustness test, not single-mineral superclass label","Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516445,2,Granite slab - 50% dust,,,Rock,Unknown,10000,Test,rock_test_set,"Useful as external robustness test, not single-mineral superclass label","Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516453,3,Gabbro slab – 50% dust,,,Rock,Madagascar,9740,Test,rock_test_set,"Useful as external robustness test, not single-mineral superclass label","Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516439,4,Feldspar - Albite,Albite,Feldspar,Single phase mineral,"Bancroft, ON, Canada",5875,Training,Tectosilicate,Maps to feldspar/plagioclase-type tectosilicate superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516437,5,Feldspar - Anorthite,Anorthite,Feldspar,Single phase mineral,"Miyaka-jima, Tokyo, Japan",5600,Training,Tectosilicate,Maps to feldspar/plagioclase-type tectosilicate superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516440,6,Pyroxene - Augite,Augite,Pyroxene,Single phase mineral,"Trento Province, Italy",6103,Training,Pyroxene,Direct overlap with pyroxene superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516450,7,Mica - Biotite,Biotite,Mica,Single phase mineral,"Bancroft, ON, Canada",7925,Training,Phyllosilicate,Mica maps to the phyllosilicate/clay-related silicate group,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516448,8,Carbonate - Calcite,Calcite,Carbonate,Single phase mineral,Unknown,5032,Training,Carbonate,Direct overlap with carbonate superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516441,9,Pyroxene - Enstatite,Enstatite,Pyroxene,Single phase mineral,"Mpwa, Tanzania",5600,Training,Pyroxene,Direct overlap with pyroxene superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516451,10,Olivine - Forsterite,Forsterite,Olivine,Single phase mineral,"San Carlos, AZ, United States",6140,Training,Olivine,Direct overlap with olivine superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516447,11,50% Forsterite / 50% Albite Mix,Forsterite + Albite,Olivine + Feldspar,Mixture,Powder mix from locations above,5220,Training,mixture_or_rock,Not directly used as single-label mineral-superclass training data,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516443,12,50% Forsterite / 50% Augite Mix,Forsterite + Augite,Olivine + Pyroxene,Mixture,Powder mix from locations above,5040,Training,mixture_or_rock,Not directly used as single-label mineral-superclass training data,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516449,13,Sulfate - Gypsum,Gypsum,Sulfate,Single phase mineral,Unknown,5000,Training,Sulfate,Direct overlap with sulfate superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516438,14,Amphibole - Hornblende,Hornblende,Amphibole,Single phase mineral,"Dresden, SN, Germany",5054,Training,Other Silicate,Amphibole is a chain silicate but was not a primary class in all current splits,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516446,15,Feldspar - Microcline,Microcline,Feldspar,Single phase mineral,"Fremont, CO, United States",5600,Training,Tectosilicate,Maps to K-feldspar/tectosilicate superclass,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516444,16,Mica - Muscovite,Muscovite,Mica,Single phase mineral,"Ottawa, ON, Canada",5900,Training,Phyllosilicate,Mica maps to the phyllosilicate/clay-related silicate group,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
516442,17,Quartz,Quartz,Silicate,Single phase mineral,"Spruce Pine, NC, United States",10032,Training,Silica Phase,Quartz maps to silica phase,"Berlanga, Williams, and Temiquel (2022), MLROD, DOI:10.48484/PWRB-R137","Berlanga et al. (2022), Earth and Space Science, DOI:10.1029/2021EA002125"
