raman_shift_cm-1,intensity_normalized,first_derivative_normalized,valid_mask
0.0,0.0,0.0,0
0.9758478,0.0,0.0,0
1.9516956,0.0,0.0,0
2.9275434,0.0,0.0,0
3.9033911,0.0,0.0,0
4.8792386,0.0,0.0,0
5.855087,0.0,0.0,0
6.8309345,0.0,0.0,0
7.8067822,0.0,0.0,0
8.78263,0.0,0.0,0
9.758477,0.0,0.0,0
10.734325,0.0,0.0,0
11.710174,0.0,0.0,0
12.686021,0.0,0.0,0
13.661869,0.0,0.0,0
14.637716,0.0,0.0,0
15.6135645,0.0,0.0,0
16.589413,0.0,0.0,0
17.56526,0.0,0.0,0
18.541107,0.0,0.0,0
19.516954,0.0,0.0,0
20.492804,0.0,0.0,0
21.46865,0.0,0.0,0
22.444498,0.0,0.0,0
23.420347,0.0,0.0,0
24.396194,0.0,0.0,0
25.372042,0.0,0.0,0
26.347889,0.0,0.0,0
27.323738,0.0,0.0,0
28.299585,0.0,0.0,0
29.275433,0.0,0.0,0
30.251282,0.0,0.0,0
31.227129,0.0,0.0,0
32.202976,0.0,0.0,0
33.178825,0.0,0.0,0
34.15467,0.0,0.0,0
35.13052,0.0,0.0,0
36.10637,0.0,0.0,0
37.082214,0.0,0.0,0
38.058064,0.0,0.0,0
39.03391,0.0,0.0,0
40.009758,0.0,0.0,0
40.985607,0.0,0.0,0
41.961452,0.0,0.0,0
42.9373,0.0,0.0,0
43.91315,0.0,0.0,0
44.888996,0.0,0.0,0
45.864845,0.0,0.0,0
46.840694,0.0,0.0,0
47.81654,0.0,0.0,0
48.79239,0.0,0.0,0
49.768234,0.0,0.0,0
50.744083,0.0,0.0,0
51.719933,0.0,0.0,0
52.695778,0.0,0.0,0
53.671627,0.0,0.0,0
54.647476,0.0,0.0,0
55.62332,0.0,0.0,0
56.59917,0.0,0.0,0
57.57502,0.0,0.0,0
58.550865,0.0,0.0,0
59.526714,0.0,0.0,0
60.502563,0.0,0.0,0
61.47841,0.0,0.0,0
62.454258,0.0,0.0,0
63.430103,0.0,0.0,0
64.40595,0.0,0.0,0
65.3818,0.0,0.0,0
66.35765,0.0,0.0,0
67.333496,0.0,0.0,0
68.30934,0.0,0.0,0
69.285194,0.0,0.0,0
70.26104,0.0,0.0,0
71.236885,0.0,0.0,0
72.21274,0.0,0.0,0
73.18858,0.0,0.0,0
74.16443,0.0,0.0,0
75.14028,0.0,0.0,0
76.11613,0.0,0.0,0
77.09197,0.0,0.0,0
78.06782,0.0,0.0,0
79.04367,0.0,0.0,0
80.019516,0.0,0.0,0
80.99536,0.0,0.0,0
81.971214,0.0,0.0,0
82.94706,0.0,0.0,0
83.922905,0.0,0.0,0
84.89876,0.0,0.0,0
85.8746,0.0,0.0,0
86.85045,0.0,0.0,0
87.8263,0.0,0.0,0
88.80215,0.0,0.0,0
89.77799,0.0,0.0,0
90.753845,0.0,0.0,0
91.72969,0.0,0.0,0
92.705536,0.0,0.0,0
93.68139,0.0,0.0,0
94.657234,0.0,0.0,0
95.63308,0.0,0.0,0
96.60893,0.0,0.0,0
97.58478,0.0,0.0,0
98.56062,0.0,0.0,0
99.53647,0.0,0.0,0
100.51232,0.0,0.0,0
101.48817,0.0,0.0,0
102.46401,0.0,0.0,0
103.439865,0.0,0.0,0
104.41571,0.0,0.0,0
105.391556,0.0,0.0,0
106.36741,0.0,0.0,0
107.343254,0.0,0.0,0
108.3191,0.0,0.0,0
109.29495,0.0,0.0,0
110.2708,0.0,0.0,0
111.24664,0.0,0.0,0
112.222496,0.0,0.0,0
113.19834,0.0,0.0,0
114.17419,0.0,0.0,0
115.15004,0.0,0.0,0
116.125885,0.0,0.0,0
117.10173,0.0,0.0,0
118.07758,0.0,0.0,0
119.05343,0.0,0.0,0
120.029274,0.0,0.0,0
121.00513,0.0,0.0,0
121.98097,0.0,0.0,0
122.95682,0.0,0.0,0
123.93266,0.0,0.0,0
124.908516,0.0,0.0,0
125.88436,0.0,0.0,0
126.86021,0.0,0.0,0
127.83606,0.0,0.0,0
128.8119,0.0,0.0,0
129.78775,0.0,0.0,0
130.7636,0.0,0.0,0
131.73946,0.0,0.0,0
132.7153,0.0,0.0,0
133.69115,0.0,0.0,0
134.66699,0.0,0.0,0
135.64284,0.0,0.0,0
136.61868,0.0,0.0,0
137.59453,0.0,0.0,0
138.57039,0.0,0.0,0
139.54623,0.0,0.0,0
140.52208,0.0,0.0,0
141.49792,0.0,0.0,0
142.47377,0.0,0.0,0
143.44962,0.0,0.0,0
144.42548,0.0,0.0,0
145.40132,0.0,0.0,0
146.37717,0.0,0.0,0
147.35301,0.0,0.0,0
148.32886,0.0,0.0,0
149.3047,0.0,0.0,0
150.28056,0.0,0.0,0
151.25641,0.0,0.0,0
152.23225,0.0,0.0,0
153.2081,0.0,0.0,0
154.18394,0.0,0.0,0
155.15979,0.0,0.0,0
156.13564,0.0,0.052454103,1
157.1115,0.010919042,0.025780002,1
158.08734,0.005366635,-0.052455332,1
159.06319,0.0,0.025398422,1
160.03903,0.010653541,0.032755744,1
161.01488,0.0068183984,-0.013878786,1
161.99072,0.0077645495,-0.009773832,1
162.96658,0.004783811,0.315671,1
163.94243,0.073473655,0.58401716,1
164.91827,0.12635216,0.29956636,1
165.89412,0.13583104,0.062812366,1
166.86996,0.13942711,0.003017098,1
167.84581,0.13645908,0.0691943,1
168.82167,0.15383095,0.31434157,1
169.79752,0.20189211,0.17666349,1
170.77336,0.19060501,0.021452272,1
171.7492,0.20635758,0.1100341,1
172.72505,0.21350959,0.20074439,1
173.7009,0.24814431,0.09765729,1
174.67676,0.23383719,0.001440439,1
175.6526,0.24844372,0.23295769,1
176.62845,0.2823294,0.42583358,1
177.6043,0.33708474,0.3250093,1
178.58014,0.34998298,0.1814432,1
179.55598,0.37485376,0.2138433,1
180.53183,0.39449635,0.13072132,1
181.50769,0.40206456,0.24070016,1
182.48354,0.4446001,0.30244064,1
183.45938,0.46502027,0.24219202,1
184.43523,0.49501452,0.100537896,1
185.41107,0.48594812,0.009343433,1
186.38692,0.49695942,-0.11395563,1
187.36278,0.4622263,-0.357331,1
188.33862,0.42257738,-0.6012008,1
189.31447,0.33708102,-0.4688397,1
190.29031,0.32498422,-0.30555332,1
191.26616,0.2734774,-0.3760324,1
192.242,0.24670976,-0.29141533,1
193.21786,0.21281613,-0.12950972,1
194.19371,0.21975034,0.17815366,1
195.16956,0.2499004,-0.06410142,1
196.1454,0.20640707,-0.1586049,1
197.12125,0.21688537,0.089250565,1
198.09709,0.22498536,-0.017754354,1
199.07294,0.21318965,0.087538384,1
200.0488,0.24320802,0.24289148,1
201.02464,0.26375023,0.20296219,1
202.00049,0.2854564,0.20795594,1
202.97633,0.3070381,0.087382674,1
203.95218,0.30364588,-0.014043093,1
204.92802,0.3041149,0.10065707,1
205.90388,0.32459897,0.30286217,1
206.87973,0.36715853,0.129548,1
207.85558,0.35156554,-0.010099419,1
208.83142,0.36505625,0.26030773,1
209.80727,0.4057509,0.2199113,1
210.78311,0.41083273,-0.00046789818,1
211.75897,0.4056533,0.04527505,1
212.73482,0.4202569,0.11492566,1
213.71066,0.4295761,0.11017081,1
214.68651,0.44318995,0.1794699,1
215.66235,0.46693435,0.11391679,1
216.6382,0.46690273,-0.1583315,1
217.61406,0.43397543,-0.19751744,1
218.5899,0.42578706,0.0013148373,1
219.56575,0.43424913,0.030034201,1
220.5416,0.43203893,0.0729421,1
221.51744,0.44943267,0.14050595,1
222.49329,0.46128651,0.19865721,1
223.46913,0.49078494,-0.037232485,1
224.44499,0.45353508,-0.29114625,1
225.42084,0.43017963,0.06218603,1
226.39668,0.46647966,0.11636037,1
227.37253,0.45440105,-0.114658386,1
228.34837,0.4426125,-0.35355654,1
229.32422,0.38080513,-0.31050095,1
230.30008,0.37797937,-0.065742,1
231.27592,0.36712041,-0.23866245,1
232.25177,0.32829967,-0.2495722,1
233.22762,0.31516975,-0.1520461,1
234.20346,0.29664993,-0.15845095,1
235.1793,0.28218678,-0.12639482,1
236.15517,0.27033955,-0.094524376,1
237.13101,0.2625105,-0.15243617,1
238.10686,0.2386086,-0.20422946,1
239.0827,0.21999834,-0.21909204,1
240.05855,0.19300266,-0.2104988,1
241.0344,0.17618115,-0.13231361,1
242.01025,0.16546026,-0.16534346,1
242.9861,0.14176339,-0.03663989,1
243.96194,0.15783334,-0.1727502,1
244.93779,0.10580391,-0.19597274,1
245.91364,0.117039874,0.022390759,1
246.88948,0.11046474,-0.24817811,1
247.86533,0.0653794,-0.04345201,1
248.84119,0.101421006,0.048141994,1
249.81703,0.07540164,-0.19132607,1
250.79288,0.061594788,-0.073575646,1
251.76872,0.060086217,0.14027362,1
252.74457,0.09079398,0.09069679,1
253.72041,0.07896556,-0.3677471,1
254.69627,0.014242729,-0.13640963,1
255.67212,0.050568886,0.3613789,1
256.64795,0.089466326,0.02684021,1
257.6238,0.056153655,-0.13035142,1
258.59967,0.062332097,0.19937111,1
259.5755,0.09765361,-0.011599306,1
260.55136,0.05991531,-0.17869645,1
261.5272,0.060455166,0.03322517,1
262.50305,0.0668316,0.03945895,1
263.4789,0.06866902,-0.059850853,1
264.45474,0.05437363,-0.041712202,1
265.4306,0.05998687,0.14997712,1
266.40643,0.085592076,-0.07048724,1
267.3823,0.045312263,-0.4057094,1
268.35812,0.0011401974,-0.1518322,1
269.33398,0.01370882,0.26248637,1
270.30984,0.05577991,0.25269842,1
271.28568,0.066311225,0.051903028,1
272.26154,0.06658366,-0.07069337,1
273.23737,0.051596254,-0.16688332,1
274.21323,0.031845268,-0.16050841,1
275.18906,0.01818482,0.018890917,1
276.16492,0.035778552,0.08663363,1
277.14078,0.036218658,0.065491796,1
278.1166,0.049410854,0.08145803,1
279.09247,0.05317457,-0.101745,1
280.0683,0.02823263,-0.15834814,1
281.04416,0.020213528,0.06035113,1
282.02002,0.04079545,0.2250167,1
282.99585,0.06705257,0.12968728,1
283.9717,0.067790195,-0.11881832,1
284.94754,0.04232031,-0.2572062,1
285.9234,0.014250365,-0.1150874,1
286.89923,0.018362846,-0.06845571,1
287.8751,0.0,-0.038125426,1
288.85095,0.010426576,-3.1328955e-06,1
289.82678,0.0,0.018622512,1
290.80264,0.0143037895,0.10421659,1
291.77847,0.021693824,-0.012557116,1
292.75433,0.01168937,-0.104217894,1
293.73016,0.0,-0.05615776,1
294.70602,0.0,0.029262446,1
295.6819,0.0060913325,0.04849535,1
296.6577,0.010094802,0.12470302,1
297.63358,0.03204993,-0.039239056,1
298.6094,0.0019284735,-0.017788077,1
299.58527,0.028348953,0.35643238,1
300.56113,0.07612419,-0.07364285,1
301.53696,0.01302301,-0.28231746,1
302.51282,0.017359417,0.06337206,1
303.48865,0.026214326,0.044141073,1
304.4645,0.026547503,0.010208116,1
305.44034,0.028339194,0.044915684,1
306.4162,0.035897277,-0.1265866,1
307.39206,0.0019886624,-0.17244658,1
308.3679,0.0,0.014175607,1
309.34375,0.004939657,0.0973614,1
310.31958,0.020266313,0.13689263,1
311.29544,0.033435002,0.06059479,1
312.27127,0.032880086,0.08462555,1
313.24713,0.05105114,-0.016666872,1
314.223,0.029410675,0.14031191,1
315.19882,0.080256045,0.19051692,1
316.17468,0.06906652,-0.0003418423,1
317.1505,0.08018419,0.057812776,1
318.12637,0.081100434,-0.056816448,1
319.10223,0.06835716,-0.16797741,1
320.07806,0.04613475,-0.02058703,1
321.05392,0.06407304,-0.05880545,1
322.02975,0.03389538,-0.09960577,1
323.0056,0.043340452,0.089472674,1
323.98145,0.05251992,0.09834887,1
324.9573,0.0638127,-0.11832748,1
325.93317,0.027888624,-0.1238441,1
326.909,0.038032018,0.23415682,1
327.88486,0.07663132,-0.0042290194,1
328.8607,0.037154153,-0.14522927,1
329.83655,0.04640208,0.13645233,1
330.8124,0.06555836,0.19569698,1
331.78824,0.08713807,-0.028252933,1
332.7641,0.059675723,-0.11106801,1
333.73993,0.064017296,0.03951038,1
334.7158,0.06790014,0.11237021,1
335.69162,0.08740766,0.0833148,1
336.66748,0.085242175,0.00756475,1
337.64334,0.08898235,0.079626486,1
338.61917,0.10181685,-0.07583401,1
339.59503,0.073195525,-0.2064929,1
340.57086,0.058833085,-0.008326778,1
341.54672,0.07146307,0.16957787,1
342.52255,0.09413192,0.036253132,1
343.4984,0.079008296,-0.079620264,1
344.47427,0.07755799,0.03005949,1
345.4501,0.08526516,0.08851739,1
346.42596,0.09598376,-0.014036631,1
347.4018,0.08234408,-0.009793134,1
348.37766,0.09394602,0.030690154,1
349.35352,0.08873261,0.10273037,1
350.32935,0.115329266,0.15988842,1
351.3052,0.122014165,0.034676194,1
352.28104,0.12254762,-0.4027563,1
353.2569,0.038174223,-0.19628748,1
354.23273,0.08168465,0.1180594,1
355.2086,0.062747374,0.09598126,1
356.18445,0.10166431,0.17408882,1
357.16028,0.09898682,0.06727877,1
358.13614,0.11566958,0.028026145,1
359.11197,0.10482158,-0.19172753,1
360.08783,0.07575922,-0.25320756,1
361.06366,0.052114017,-0.1215412,1
362.03952,0.050460026,0.023973426,1
363.01538,0.057104375,0.19228132,1
363.9912,0.090484254,0.039274022,1
364.96707,0.06527778,-0.22425133,1
365.9429,0.043804247,0.10967738,1
366.91876,0.08811014,0.19326966,1
367.89462,0.084035665,0.037659306,1
368.87045,0.09594877,0.086574994,1
369.8463,0.10205683,0.14426821,1
370.82214,0.12597893,-0.070321545,1
371.798,0.08741682,-0.38336915,1
372.77383,0.046177343,-0.0694628,1
373.7497,0.072959654,-0.1269479,1
374.72556,0.019751599,-0.19158402,1
375.7014,0.033077665,-0.09488017,1
376.67725,0.0,0.00608816,1
377.65308,0.034342863,0.24659774,1
378.62894,0.051330954,-0.1649942,1
379.60477,0.0,-0.20262042,1
380.58063,0.0091556115,0.0,1
381.5565,0.0,-0.043982398,1
382.53232,0.0,0.0,1
383.50818,0.0,0.0,1
384.484,0.0,0.0,1
385.45987,0.0,0.014280809,1
386.43573,0.0029727232,0.10545487,1
387.41156,0.021950863,0.038230743,1
388.38742,0.010929852,0.14214845,1
389.36325,0.05153871,0.1324213,1
390.3391,0.038492836,-0.028311491,1
391.31494,0.045644794,-0.18491255,1
392.2908,0.0,-0.21927524,1
393.26666,0.0,0.0,1
394.2425,0.0,0.0,1
395.21835,0.0,0.0039835162,1
396.19418,0.00082917826,0.03336968,1
397.17004,0.0069463593,0.1344741,1
398.14587,0.028820658,0.19383751,1
399.12173,0.047295246,0.09521431,1
400.0976,0.04864067,-0.09601687,1
401.07343,0.027309198,-0.010615781,1
402.0493,0.04643216,-0.109544404,1
403.02512,0.004508472,-0.1154858,1
404.00098,0.022394635,0.16612352,1
404.97684,0.039089095,0.2093341,1
405.95267,0.065969065,0.0975786,1
406.92853,0.059399895,-0.03908651,1
407.90436,0.05783271,-0.009666118,1
408.88022,0.05738784,0.1737146,1
409.85605,0.093991786,0.20497568,1
410.8319,0.10005438,-0.05953725,1
411.80777,0.081598386,-0.23316841,1
412.7836,0.051518682,-0.053764492,1
413.75946,0.07040836,0.16917965,1
414.7353,0.08673501,0.13329324,1
415.71115,0.098154366,-0.08013951,1
416.687,0.070053,-0.16431557,1
417.66284,0.06394995,0.035164807,1
418.6387,0.07737347,-0.13522442,1
419.61453,0.03580352,-0.0969635,1
420.5904,0.05719162,0.23390348,1
421.56622,0.08449242,0.3660565,1
422.54208,0.13339019,0.3568841,1
423.51794,0.15878217,0.09369385,1
424.49377,0.15289438,-0.32121375,1
425.46964,0.09191695,-0.2811072,1
426.44547,0.09437745,0.041977726,1
427.42133,0.100655094,0.13581835,1
428.39716,0.12264876,0.13941413,1
429.37302,0.1296749,0.014936556,1
430.34888,0.12575799,-0.10005341,1
431.3247,0.10884832,-0.11267943,1
432.30057,0.102303095,0.01565014,1
433.2764,0.11210553,-0.046492334,1
434.25226,0.09262438,-0.055545446,1
435.22812,0.100543074,-0.030323198,1
436.20395,0.08631304,-0.031669155,1
437.1798,0.09395153,0.20389579,1
438.15564,0.12875491,0.1241547,1
439.1315,0.11979405,-0.09888834,1
440.10733,0.10817052,-0.10200111,1
441.0832,0.09856167,0.011180553,1
442.05905,0.110497884,-0.0459623,1
443.03488,0.08899526,0.07165301,1
444.01074,0.1254149,0.3600374,1
444.98657,0.16394018,0.16077898,1
445.96243,0.15888108,-0.044417914,1
446.93826,0.15469418,-0.20574765,1
447.91412,0.11605181,-0.2561314,1
448.88998,0.10137734,-0.21122593,1
449.8658,0.07208372,-0.016445002,1
450.84167,0.09795589,0.14822285,1
451.8175,0.10293828,-0.031491093,1
452.79337,0.09140021,-0.21528503,1
453.76923,0.05812409,-0.10985891,1
454.74506,0.06853075,-0.015073125,1
455.72092,0.054985736,-0.100485295,1
456.69675,0.047613665,0.01578629,1
457.6726,0.05827235,0.17841645,1
458.64844,0.08475214,0.20895755,1
459.6243,0.10176841,0.19301744,1
460.60016,0.12493106,0.13826814,1
461.576,0.13055071,0.15731956,1
462.55185,0.15767917,0.115813814,1
463.52768,0.15465933,-0.23498353,1
464.50354,0.10876392,-0.15824051,1
465.47937,0.12171835,0.008151543,1
466.45523,0.11045997,0.14040288,1
467.4311,0.1509449,0.20289876,1
468.40692,0.15269637,-0.12616415,1
469.38278,0.12468177,-0.17465872,1
470.3586,0.116339,-0.008341623,1
471.33447,0.12294585,0.048341922,1
472.31033,0.12640196,-0.14781842,1
473.28616,0.09217734,-0.13450442,1
474.26202,0.098404944,-0.17514986,1
475.23785,0.055719886,-0.21859121,1
476.2137,0.052904494,-0.07685563,1
477.18954,0.039722033,0.10780037,1
478.1654,0.07534562,0.17820828,1
479.14127,0.07681824,0.005530811,1
480.1171,0.07649697,0.06378137,1
481.09296,0.09009533,0.04682171,1
482.0688,0.086243875,-0.10059507,1
