raman_shift_cm-1,intensity_normalized,first_derivative_normalized,valid_mask
0.0,0.0,0.0,0
0.9758478,0.0,0.0,0
1.9516956,0.0,0.0,0
2.9275434,0.0,0.0,0
3.9033911,0.0,0.0,0
4.8792386,0.0,0.0,0
5.855087,0.0,0.0,0
6.8309345,0.0,0.0,0
7.8067822,0.0,0.0,0
8.78263,0.0,0.0,0
9.758477,0.0,0.0,0
10.734325,0.0,0.0,0
11.710174,0.0,0.0,0
12.686021,0.0,0.0,0
13.661869,0.0,0.0,0
14.637716,0.0,0.0,0
15.6135645,0.0,0.0,0
16.589413,0.0,0.0,0
17.56526,0.0,0.0,0
18.541107,0.0,0.0,0
19.516954,0.0,0.0,0
20.492804,0.0,0.0,0
21.46865,0.0,0.0,0
22.444498,0.0,0.0,0
23.420347,0.0,0.0,0
24.396194,0.0,0.0,0
25.372042,0.0,0.0,0
26.347889,0.0,0.0,0
27.323738,0.0,0.0,0
28.299585,0.0,0.0,0
29.275433,0.0,0.0,0
30.251282,0.0,0.0,0
31.227129,0.0,0.0,0
32.202976,0.0,0.0,0
33.178825,0.0,0.0,0
34.15467,0.0,0.0,0
35.13052,0.0,0.0,0
36.10637,0.0,0.0,0
37.082214,0.0,0.0,0
38.058064,0.0,0.0,0
39.03391,0.0,0.0,0
40.009758,0.0,0.0,0
40.985607,0.0,0.0,0
41.961452,0.0,0.0,0
42.9373,0.0,0.0,0
43.91315,0.0,0.0,0
44.888996,0.0,0.0,0
45.864845,0.0,0.0,0
46.840694,0.0,0.0,0
47.81654,0.0,0.0,0
48.79239,0.0,0.0,0
49.768234,0.0,0.0,0
50.744083,0.0,0.0,0
51.719933,0.0,0.0,0
52.695778,0.0,0.0,0
53.671627,0.0,0.0,0
54.647476,0.0,0.0,0
55.62332,0.0,0.0,0
56.59917,0.0,0.0,0
57.57502,0.0,0.0,0
58.550865,0.0,0.0,0
59.526714,0.0,0.0,0
60.502563,0.0,0.0,0
61.47841,0.0,0.0,0
62.454258,0.0,0.0,0
63.430103,0.0,0.0,0
64.40595,0.0,0.0,0
65.3818,0.0,0.0,0
66.35765,0.0,0.0,0
67.333496,0.0,0.0,0
68.30934,0.0,0.0,0
69.285194,0.0,0.0,0
70.26104,0.0,0.0,0
71.236885,0.0,0.0,0
72.21274,0.0,0.0,0
73.18858,0.0,0.0,0
74.16443,0.0,0.0,0
75.14028,0.0,0.0,0
76.11613,0.0,0.0,0
77.09197,0.0,0.0,0
78.06782,0.0,0.0,0
79.04367,0.0,0.0,0
80.019516,0.0,0.0,0
80.99536,0.0,0.0,0
81.971214,0.0,0.0,0
82.94706,0.0,0.0,0
83.922905,0.0,0.0,0
84.89876,0.0,0.0,0
85.8746,0.0,0.0,0
86.85045,0.0,0.0,0
87.8263,0.0,0.0,0
88.80215,0.0,0.0,0
89.77799,0.0,0.0,0
90.753845,0.6679713,1.0,1
91.72969,0.5919494,-0.23081332,1
92.705536,0.5313434,-0.15642707,1
93.68139,0.49935362,-0.12416258,1
94.657234,0.45784625,-0.08529631,1
95.63308,0.4488632,-0.07903932,1
96.60893,0.4110592,-0.045725845,1
97.58478,0.42179573,-0.029455248,1
98.56062,0.39362344,-0.009475926,1
99.53647,0.41618654,-0.12454816,1
100.51232,0.31989703,-0.2409421,1
101.48817,0.27356204,-0.11640573,1
102.46401,0.25099164,-0.021793814,1
103.439865,0.26066157,-0.016097166,1
104.41571,0.24146326,-0.09781666,1
105.391556,0.20275985,-0.07600413,1
106.36741,0.19647335,0.066067554,1
107.343254,0.24186772,-0.09481773,1
108.3191,0.14034681,-0.2676529,1
109.29495,0.08343266,-0.20974664,1
110.2708,0.016188718,-0.14094752,1
111.24664,0.0,-0.027348628,1
112.222496,0.0,0.05710415,1
113.19834,0.03380217,0.0,1
114.17419,0.0,-0.040825725,1
115.15004,0.009635985,0.027424,1
116.125885,0.016233485,-0.005254925,1
117.10173,0.0065253777,-0.026658095,1
118.07758,0.00045342522,-0.0110235745,1
119.05343,0.0,0.0049150176,1
120.029274,0.0033628272,0.028773824,1
121.00513,0.01703256,-0.005681399,1
121.98097,0.0,-0.02877407,1
122.95682,0.0,0.00075016555,1
123.93266,0.00044405396,0.020022586,1
124.908516,0.011852326,0.07330267,1
125.88436,0.043834936,0.034419134,1
126.86021,0.032226432,-0.02377216,1
127.83606,0.02976323,-0.045311045,1
128.8119,0.0054050246,-0.05028071,1
129.78775,0.0,-0.009131014,1
130.7636,0.0,0.021503692,1
131.73946,0.012729221,-6.7248953e-07,1
132.7153,0.0,-0.021504195,1
133.69115,0.0,0.0,1
134.66699,0.0,0.0,1
135.64284,0.0,0.0,1
136.61868,0.0,0.0,1
137.59453,0.0,0.04300719,1
138.57039,0.025458327,-1.3449729e-06,1
139.54623,0.0,-0.043008197,1
140.52208,0.0,0.033753432,1
141.49792,0.01998005,0.0,1
142.47377,0.0,0.04793747,1
143.44962,0.04835622,0.022630835,1
144.42548,0.013394927,-0.0816897,1
145.40132,0.0,-0.02262881,1
146.37717,0.0,0.0,1
147.35301,0.0,0.0,1
148.32886,0.0,0.018251503,1
149.3047,0.010803818,0.014424014,1
150.28056,0.008538031,-0.012698292,1
151.25641,0.0032871638,0.015679296,1
152.23225,0.017819254,0.01322968,1
153.2081,0.011118358,-0.030103076,1
154.18394,0.0,-0.018782873,1
155.15979,0.0,0.043726414,1
156.13564,0.02588347,0.05003614,1
157.1115,0.02961834,-0.04372696,1
158.08734,0.0,-0.050035942,1
159.06319,0.0,0.028817702,1
160.03903,0.017058387,0.0,1
161.01488,0.0,-0.028817702,1
161.99072,0.0,0.0073895925,1
162.96658,0.004374307,0.06485214,1
163.94243,0.038388498,0.032185916,1
164.91827,0.023426479,-0.064459704,1
165.89412,0.00023213586,-0.03957568,1
166.86996,0.0,0.0030091195,1
167.84581,0.002013358,1.0636646e-07,1
168.82167,0.0,-0.0034012003,1
169.79752,0.0,0.057043895,1
170.77336,0.033766635,0.0021466045,1
171.7492,0.0012706638,-0.057043895,1
172.72505,0.0,0.01242141,1
173.7009,0.008623409,4.5557795e-07,1
174.67676,0.0,-0.014567673,1
175.6526,0.0,0.019115413,1
176.62845,0.011315202,0.0061711017,1
177.6043,0.0036529298,-0.019115413,1
178.58014,0.0,0.00081156194,1
179.55598,0.004133327,0.0,1
180.53183,0.0,-0.006982718,1
181.50769,0.0,0.015282691,1
182.48354,0.009046385,0.0253168,1
183.45938,0.01498606,-0.015282571,1
184.43523,0.0,0.03518505,1
185.41107,0.035813544,0.019323854,1
186.38692,0.011438588,-0.036217976,1
187.36278,0.014374887,-0.013818222,1
188.33862,0.0032591687,0.0015533668,1
189.31447,0.015294389,-0.0055058985,1
190.29031,0.0,-0.025837678,1
191.26616,0.0,0.008059059,1
192.242,0.00477049,2.5202675e-07,1
193.21786,0.0,0.018834855,1
194.19371,0.015919384,0.0,1
195.16956,0.0,-0.026893517,1
196.1454,0.0,0.0072167856,1
197.12125,0.0042719133,0.041214474,1
198.09709,0.02439655,0.007423606,1
199.07294,0.008666252,0.03126924,1
200.0488,0.042907026,0.016611805,1
201.02464,0.01850046,-0.058926094,1
202.00049,0.0080262385,-0.031253878,1
202.97633,0.0,-0.01355918,1
203.95218,0.0,0.0,1
204.92802,0.0,0.0,1
205.90388,0.0,0.06540796,1
206.87973,0.03871737,0.0,1
207.85558,0.0,-0.065407455,1
208.83142,0.0,0.009991807,1
209.80727,0.0059145633,0.016710775,1
210.78311,0.009891798,-0.008691824,1
211.75897,0.00076926843,-0.015783237,1
212.73482,0.00054883596,-0.0012995688,1
213.71066,0.0,0.014899198,1
214.68651,0.0093682865,0.041093037,1
215.66235,0.024324665,-0.008329221,1
216.6382,0.0044378764,-0.041093122,1
217.61406,0.0,-0.004975661,1
218.5899,0.0014924621,0.04766986,1
219.56575,0.028217759,0.08815613,1
220.5416,0.053675715,0.010755549,1
221.51744,0.034584414,-0.064664945,1
222.49329,0.015397859,0.011297961,1
223.46913,0.04127214,0.03635588,1
224.44499,0.036918096,-0.012779692,1
225.42084,0.033707242,-0.0575313,1
226.39668,0.0028629445,-0.055767745,1
227.37253,0.000696013,-0.0048365346,1
228.34837,0.0,-0.0011758142,1
229.32422,0.0,0.0,1
230.30008,0.0,0.027553223,1
231.27592,0.016309762,0.045059767,1
232.25177,0.026672736,0.00012036702,1
233.22762,0.016381012,-0.045059767,1
234.20346,0.0,0.0012289203,1
235.1793,0.01710846,0.039284483,1
236.15517,0.023254117,-0.013299912,1
237.13101,0.009235948,-0.0392845,1
238.10686,0.0,-0.015602811,1
239.0827,0.0,0.012589189,1
240.05855,0.0074520605,0.079388954,1
241.0344,0.0469936,0.00046003176,1
242.01025,0.007723141,-0.0793875,1
242.9861,0.0,-0.013047141,1
243.96194,0.0,0.0,1
244.93779,0.0,0.0,1
245.91364,0.0,0.0,1
246.88948,0.0,0.012973493,1
247.86533,0.0076795463,4.057133e-07,1
248.84119,0.0,-0.01297319,1
249.81703,0.0,0.04632096,1
250.79288,0.02741929,0.0,1
251.76872,0.0,-0.021459104,1
252.74457,0.014716759,0.013983994,1
253.72041,0.008277703,0.0056104343,1
254.69627,0.018038085,-0.01398462,1
255.67212,0.0,-0.030472523,1
256.64795,0.0,0.022382405,1
257.6238,0.013249483,0.043390278,1
258.59967,0.025684897,-0.022385119,1
259.5755,0.0,-0.04339231,1
260.55136,0.0,0.026156534,1
261.5272,0.015482648,1.6359336e-06,1
262.50305,0.0,-0.02600411,1
263.4789,8.950304e-05,-9.457104e-09,1
264.45474,0.0,0.044478666,1
265.4306,0.02641909,0.0066577303,1
266.40643,0.0039425143,-0.02503308,1
267.3823,0.011601917,0.009581132,1
268.35812,0.009614284,-0.019599374,1
269.33398,0.0,0.009149627,1
270.30984,0.015030411,-1.5881492e-06,1
271.28568,0.0,0.00843264,1
272.26154,0.020023134,0.019982565,1
273.23737,0.011829388,-0.01857903,1
274.21323,0.009025606,0.0027405138,1
275.18906,0.013451386,-0.01086433,1
276.16492,0.0025940815,0.010798476,1
277.14078,0.019843549,-0.0043842895,1
278.1166,0.0,-0.03352388,1
279.09247,0.0,0.0,1
280.0683,0.0,0.005831024,1
281.04416,0.0034517315,0.023836184,1
282.02002,0.014109842,0.008958365,1
282.99585,0.008755058,-0.023836376,1
283.9717,0.0,-0.014789956,1
284.94754,0.0,0.0,1
285.9234,0.0,0.0,1
286.89923,0.0,0.0,1
287.8751,0.0,0.0,1
288.85095,0.0,0.0,1
289.82678,0.0,0.0,1
290.80264,0.0,0.0,1
291.77847,0.0,0.05187206,1
292.75433,0.03070617,-3.2444873e-06,1
293.73016,0.0,-0.04553062,1
294.70602,0.0037557918,0.017053735,1
295.6819,0.010094967,0.036768094,1
296.6577,0.02552006,-0.017051838,1
297.63358,0.0,-0.04311114,1
298.6094,0.0,0.0,1
299.58527,0.0,0.0043490278,1
300.56113,0.0025744091,-2.7201824e-07,1
301.53696,0.0,0.00560812,1
302.51282,0.0058943513,-6.228112e-07,1
303.48865,0.0,0.0064395717,1
304.4645,0.009706687,-1.0256318e-06,1
305.44034,0.0,-0.016398571,1
306.4162,0.0,0.007955278,1
307.39206,0.004709131,0.002916709,1
308.3679,0.001726761,-0.007955468,1
309.34375,0.0,-0.0029170243,1
310.31958,0.0,0.033386994,1
311.29544,0.019763757,0.011016905,1
312.27127,0.006522393,-0.028870357,1
313.24713,0.0026744956,-0.0060734088,1
314.223,0.0029272356,-0.004518346,1
315.19882,0.0,0.022629706,1
316.17468,0.016323293,0.030499315,1
317.1505,0.01805426,-0.027574822,1
318.12637,0.0,-0.03049961,1
319.10223,0.0,0.0,1
320.07806,0.0,0.0,1
321.05392,0.0,0.011491235,1
322.02975,0.0068019237,0.020898849,1
323.0056,0.012370851,-0.011491825,1
323.98145,0.0,-0.020899434,1
324.9573,0.0,0.0060064257,1
325.93317,0.0035555067,0.042318664,1
326.909,0.025049603,-0.00600406,1
327.88486,0.0,-0.03753289,1
328.8607,0.0028314665,0.04118411,1
329.83655,0.024379158,0.015877236,1
330.8124,0.012230003,0.010986074,1
331.78824,0.030881308,-0.020658223,1
332.7641,0.0,-0.026211644,1
333.73993,0.01536411,1.6234086e-06,1
334.7158,0.0,-0.025954653,1
335.69162,0.0,0.034224126,1
336.66748,0.020259306,0.016705573,1
337.64334,0.009888872,-0.03422517,1
338.61917,0.0,-0.016706355,1
339.59503,0.0,0.0,1
340.57086,0.0,0.0,1
341.54672,0.0,0.0,1
342.52255,0.0,0.022267113,1
343.4984,0.013181234,0.032218847,1
344.47427,0.019071963,0.05665251,1
345.4501,0.046715513,-0.032215424,1
346.42596,0.0,-0.078916706,1
347.4018,0.0,0.0,1
348.37766,0.0,0.027261596,1
349.35352,0.016137516,-1.7051285e-06,1
350.32935,0.0,0.0060447184,1
351.3052,0.019716755,0.037735216,1
352.28104,0.022337565,-0.033307314,1
353.2569,0.0,-0.037734937,1
354.23273,0.0,0.011257538,1
355.2086,0.006664009,0.019000316,1
356.18445,0.011247247,0.036853205,1
357.16028,0.028478548,-0.0065551777,1
358.13614,0.0073657674,-0.048109703,1
359.11197,0.0,-0.012443799,1
360.08783,0.0,0.0,1
361.06366,0.0,0.0,1
362.03952,0.0,0.043007802,1
363.01538,0.02545849,-2.690005e-06,1
363.9912,0.0,-0.04300982,1
364.96707,0.0,0.0,1
365.9429,0.0,0.0,1
366.91876,0.0,0.038805716,1
367.89462,0.022971064,0.094857685,1
368.87045,0.05614986,0.0075456016,1
369.8463,0.02743568,-0.04798376,1
370.82214,0.027745388,0.014902548,1
371.798,0.036257368,0.0023225225,1
372.77383,0.029120678,-0.061250467,1
373.7497,0.0,-0.049194448,1
374.72556,0.0,0.0,1
375.7014,0.0,0.03600812,1
376.67725,0.021315357,-2.2522315e-06,1
377.65308,0.0,-0.03601037,1
378.62894,0.0,0.058975626,1
379.60477,0.034909014,0.034774087,1
380.58063,0.020582678,-0.025979003,1
381.5565,0.019530728,-0.034772463,1
382.53232,0.0,-0.0329954,1
383.50818,0.0,0.011522092,1
384.484,0.0068201884,7.206374e-07,1
385.45987,0.0,0.025759315,1
386.43573,0.022068428,-2.331803e-06,1
387.41156,0.0,-0.037282616,1
388.38742,0.0,0.0,1
389.36325,0.0,0.0,1
390.3391,0.0,0.08912693,1
391.31494,0.05275626,0.0011413032,1
392.2908,0.0006723058,-0.051099233,1
393.26666,0.022508044,-0.0011381072,1
394.2425,0.0,-0.03802531,1
395.21835,0.0,0.0,1
396.19418,0.0,0.039852057,1
397.17004,0.023590812,-2.4926617e-06,1
398.14587,0.0,0.032961387,1
399.12173,0.0431041,0.025557376,1
400.0976,0.015128702,-0.04452805,1
401.07343,0.016745187,-0.025556805,1
402.0493,0.0,-0.028287714,1
403.02512,0.0,0.0,1
404.00098,0.0,0.0,1
404.97684,0.0,0.037623487,1
405.95267,0.022270199,2.3531225e-06,1
406.92853,0.0,-0.030166697,1
407.90436,0.0044124536,0.046203163,1
408.88022,0.027350135,-0.007456866,1
409.85605,0.0,-0.034320816,1
410.8319,0.0070353015,0.009574814,1
411.80777,0.005667816,-0.011885363,1
412.7836,0.0,0.005912671,1
413.75946,0.009168233,-9.687375e-07,1
414.7353,0.0,-0.0154889,1
415.71115,0.0,0.04160492,1
416.687,0.024628054,0.007813643,1
417.66284,0.0046266136,-0.019390946,1
418.6387,0.0131506445,0.018667122,1
419.61453,0.015676642,0.02157375,1
420.5904,0.025921276,-0.015060205,1
421.56622,0.006762805,-0.037017457,1
422.54208,0.0040096273,-0.011424612,1
423.51794,0.0,0.013660004,1
424.49377,0.012095044,1.2779914e-06,1
425.46964,0.0,0.06337296,1
426.44547,0.04960619,5.2415085e-06,1
427.42133,0.0,-0.07507822,1
428.39716,0.005162583,0.018831734,1
429.37302,0.011147306,-0.008721309,1
430.34888,0.0,-0.01883119,1
431.3247,0.0,0.0,1
432.30057,0.0,0.0,1
433.2764,0.0,0.0,1
434.25226,0.0,0.023120647,1
435.22812,0.01368628,0.01810058,1
436.20395,0.010715001,-0.011125698,1
437.1798,0.0071004992,-0.018101647,1
438.15564,0.0,0.014848008,1
439.1315,0.015890365,0.05046777,1
440.10733,0.029874016,-0.026842179,1
441.0832,0.0,-0.044122484,1
442.05905,0.0037556868,0.043585356,1
443.03488,0.025799397,-0.0063421675,1
444.01074,0.0,-0.024669135,1
444.98657,0.011195563,0.12619011,1
445.96243,0.07469877,0.14843303,1
446.93826,0.09906042,-0.09940445,1
447.91412,0.015853817,-0.16734579,1
448.88998,0.0,-0.023859331,1
449.8658,0.001729945,0.108347625,1
450.84167,0.06413732,0.2218429,1
451.8175,0.13304771,0.1309552,1
452.79337,0.14165321,-0.007396693,1
453.76923,0.12866925,-0.06399864,1
454.74506,0.10377015,-0.068727404,1
455.72092,0.087986946,-0.022997823,1
456.69675,0.09015624,0.00017609652,1
457.6726,0.088091046,0.0035708891,1
458.64844,0.092269816,0.008651096,1
459.6243,0.093211874,0.036549468,1
460.60016,0.11390529,0.083254084,1
461.576,0.14249316,0.12710133,1
462.55185,0.18914236,-0.06342145,1
463.52768,0.1049555,-0.24005964,1
464.50354,0.04704198,-0.017900506,1
465.47937,0.09435618,0.18060082,1
466.45523,0.15394743,0.24667361,1
467.4311,0.24037474,0.19737676,1
468.40692,0.27078465,0.00045725895,1
469.38278,0.2406435,-0.055239405,1
470.3586,0.23808534,0.027546769,1
471.33447,0.25695023,-0.020070262,1
472.31033,0.22620474,-0.08283356,1
473.28616,0.20791724,0.039278112,1
474.26202,0.24945691,0.04350052,1
475.23785,0.2336688,0.108210206,1
476.2137,0.31351393,0.050029248,1
477.18954,0.26328728,-0.05230832,1
478.1654,0.28255263,0.035985548,1
479.14127,0.28458893,0.031394433,1
