raman_shift_cm-1,intensity_normalized,first_derivative_normalized,valid_mask
0.0,0.0,0.0,0
0.9758478,0.0,0.0,0
1.9516956,0.0,0.0,0
2.9275434,0.0,0.0,0
3.9033911,0.0,0.0,0
4.8792386,0.0,0.0,0
5.855087,0.0,0.0,0
6.8309345,0.0,0.0,0
7.8067822,0.0,0.0,0
8.78263,0.0,0.0,0
9.758477,0.0,0.0,0
10.734325,0.0,0.0,0
11.710174,0.0,0.0,0
12.686021,0.0,0.0,0
13.661869,0.0,0.0,0
14.637716,0.0,0.0,0
15.6135645,0.0,0.0,0
16.589413,0.0,0.0,0
17.56526,0.0,0.0,0
18.541107,0.0,0.0,0
19.516954,0.0,0.0,0
20.492804,0.0,0.0,0
21.46865,0.0,0.0,0
22.444498,0.0,0.0,0
23.420347,0.0,0.0,0
24.396194,0.0,0.0,0
25.372042,0.0,0.0,0
26.347889,0.0,0.0,0
27.323738,0.0,0.0,0
28.299585,0.0,0.0,0
29.275433,0.0,0.0,0
30.251282,0.0,0.0,0
31.227129,0.0,0.0,0
32.202976,0.0,0.0,0
33.178825,0.0,0.0,0
34.15467,0.0,0.0,0
35.13052,0.0,0.0,0
36.10637,0.0,0.0,0
37.082214,0.0,0.0,0
38.058064,0.0,0.0,0
39.03391,0.0,0.0,0
40.009758,0.0,0.0,0
40.985607,0.0,0.0,0
41.961452,0.0,0.0,0
42.9373,0.0,0.0,0
43.91315,0.0,0.0,0
44.888996,0.0,0.0,0
45.864845,0.0,0.0,0
46.840694,0.0,0.0,0
47.81654,0.0,0.0,0
48.79239,0.0,0.0,0
49.768234,0.0,0.0,0
50.744083,0.0,0.0,0
51.719933,0.0,0.0,0
52.695778,0.0,0.0,0
53.671627,0.0,0.0,0
54.647476,0.0,0.0,0
55.62332,0.0,0.0,0
56.59917,0.0,0.0,0
57.57502,0.0,0.0,0
58.550865,0.0,0.0,0
59.526714,0.0,0.0,0
60.502563,0.0,0.0,0
61.47841,0.0,0.0,0
62.454258,0.0,0.0,0
63.430103,0.0,0.0,0
64.40595,0.0,0.0,0
65.3818,0.0,0.0,0
66.35765,0.0,0.0,0
67.333496,0.0,0.0,0
68.30934,0.0,0.0,0
69.285194,0.0,0.0,0
70.26104,0.0,0.0,0
71.236885,0.0,0.0,0
72.21274,0.0,0.0,0
73.18858,0.0,0.0,0
74.16443,0.0,0.0,0
75.14028,0.0,0.0,0
76.11613,0.0,0.0,0
77.09197,0.0,0.0,0
78.06782,0.0,0.0,0
79.04367,0.0,0.0,0
80.019516,0.0,0.0,0
80.99536,0.0,0.0,0
81.971214,0.0,0.0,0
82.94706,0.0,0.0,0
83.922905,0.0,0.0,0
84.89876,0.0,0.0,0
85.8746,0.0,0.0,0
86.85045,0.0,0.0,0
87.8263,0.0,0.0,0
88.80215,0.0,0.0,0
89.77799,0.0,0.0,0
90.753845,0.0,0.0,0
91.72969,0.03856869,0.23407824,1
92.705536,0.028648185,0.14323476,1
93.68139,0.056099154,0.16835965,1
94.657234,0.0492536,-0.15224214,1
95.63308,0.037466664,0.06351097,1
96.60893,0.057026807,0.10129259,1
97.58478,0.049863838,-0.3421877,1
98.56062,0.015147408,-0.2387801,1
99.53647,0.020640206,0.14093447,1
100.51232,0.032396097,0.16686845,1
101.48817,0.041062873,0.022743776,1
102.46401,0.035179645,-0.12022718,1
103.439865,0.026348524,0.07868482,1
104.41571,0.044809487,-0.03615661,1
105.391556,0.021923417,0.25105214,1
106.36741,0.075535774,-0.0027995682,1
107.343254,0.021581627,-0.3849648,1
108.3191,0.028421009,-0.031948317,1
109.29495,0.01767141,-0.15403895,1
110.2708,0.009568517,0.1148003,1
111.24664,0.0317215,0.18136191,1
112.222496,0.03176481,0.22695036,1
113.19834,0.059497215,0.017245572,1
114.17419,0.033875447,-0.23383878,1
115.15004,0.0308784,0.043870863,1
116.125885,0.039244615,0.10761744,1
117.10173,0.044049397,0.025508057,1
118.07758,0.042366434,-0.20943153,1
119.05343,0.018417733,-0.34321144,1
120.029274,0.00036174039,0.094453335,1
121.00513,0.02997803,0.3216776,1
121.98097,0.03973127,-0.02122362,1
122.95682,0.02738053,-0.19898008,1
123.93266,0.015378652,-0.0029064852,1
124.908516,0.027024997,0.12934703,1
125.88436,0.031209193,-0.02597434,1
126.86021,0.02384607,0.17816061,1
127.83606,0.05301414,-0.19484568,1
128.8119,0.0,-0.29830202,1
129.78775,0.016505785,0.2596621,1
130.7636,0.031779323,0.2566304,1
131.73946,0.047914315,0.15359771,1
132.7153,0.05057808,-0.10255379,1
133.69115,0.03536304,0.02320201,1
134.66699,0.05341771,-0.0629315,1
135.64284,0.02766103,0.005726148,1
136.61868,0.054118514,0.13904066,1
137.59453,0.044677828,0.07746817,1
138.57039,0.063600145,-0.18536656,1
139.54623,0.021992102,-0.25839108,1
140.52208,0.031976383,0.12450964,1
141.49792,0.03723049,-0.07893867,1
142.47377,0.022315297,0.25321302,1
143.44962,0.068220526,0.1480885,1
144.42548,0.04043842,-0.33236638,1
145.40132,0.027542584,0.09219226,1
146.37717,0.051721577,-0.07516526,1
147.35301,0.018343318,-0.15491939,1
148.32886,0.03276142,0.24379453,1
149.3047,0.04818065,0.08728153,1
150.28056,0.04344333,-0.3838173,1
151.25641,0.0012065447,-0.0032109888,1
152.23225,0.043050345,0.25634924,1
153.2081,0.032580413,0.057895258,1
154.18394,0.050135985,0.21496513,1
155.15979,0.058889396,-0.07096089,1
156.13564,0.04145128,-0.07006504,1
157.1115,0.05031467,0.0070332424,1
158.08734,0.04231233,-0.029517353,1
159.06319,0.04670212,-0.0405268,1
160.03903,0.03735237,-0.3495745,1
161.01488,0.003918669,0.043552086,1
161.99072,0.042682588,0.24077478,1
162.96658,0.033385903,-0.08720379,1
163.94243,0.032009754,-0.09878655,1
164.91827,0.021295693,-0.0632576,1
165.89412,0.024267832,0.25712535,1
166.86996,0.05276455,0.05824846,1
167.84581,0.0313967,-0.07797432,1
168.82167,0.04322193,-0.021663927,1
169.79752,0.028745705,-0.120747596,1
170.77336,0.028443966,-0.096115075,1
171.7492,0.01698245,-0.106225446,1
172.72505,0.01544333,0.17180786,1
173.7009,0.038009536,0.02687946,1
174.67676,0.018732402,-0.068711944,1
175.6526,0.029599538,0.10284585,1
176.62845,0.03131942,0.059790358,1
177.6043,0.036917113,0.09446335,1
178.58014,0.042880528,-0.0074712774,1
179.55598,0.036002725,-0.0100924475,1
180.53183,0.04164534,0.037914395,1
181.50769,0.04064289,-0.07193216,1
182.48354,0.032841805,0.039453886,1
183.45938,0.045471545,0.04228179,1
184.43523,0.038016558,0.10132696,1
185.41107,0.057872668,-0.07065212,1
186.38692,0.029369641,-0.3068428,1
187.36278,0.020319037,0.2382616,1
188.33862,0.05852931,0.09649532,1
189.31447,0.032128833,-0.11150391,1
190.29031,0.04488266,0.1349693,1
191.26616,0.048647348,0.0192774,1
192.242,0.047241963,-0.16827422,1
193.21786,0.028052293,-0.25431436,1
194.19371,0.016116785,0.15827791,1
195.16956,0.047423486,0.14961386,1
196.1454,0.03442761,0.05853584,1
197.12125,0.054587524,-0.009661779,1
198.09709,0.033245128,-0.3783942,1
199.07294,0.0082769105,-0.0010442798,1
200.0488,0.0331181,0.2986035,1
201.02464,0.044822652,-0.24905978,1
202.00049,0.0026363635,0.04620899,1
202.97633,0.05047804,0.3503775,1
203.95218,0.04551809,-0.06323036,1
204.92802,0.042739455,-0.10520434,1
205.90388,0.032642204,0.036375433,1
206.87973,0.047190998,0.29736856,1
207.85558,0.06903631,-0.13157608,1
208.83142,0.031087767,-0.30477884,1
209.80727,0.03173528,-0.13022158,1
210.78311,0.01515031,0.088840686,1
211.75897,0.042609014,0.05447374,1
212.73482,0.021818006,-0.12157316,1
213.71066,0.027730012,0.33631408,1
214.68651,0.06297855,0.34935984,1
215.66235,0.070487194,0.62685347,1
216.6382,0.1396974,0.48098534,1
217.61406,0.12935285,0.11747059,1
218.5899,0.15407386,0.39474747,1
219.56575,0.1776649,1.0,1
220.5416,0.2764611,0.68737644,1
221.51744,0.261791,-0.015187667,1
222.49329,0.2746023,-0.054031536,1
223.46913,0.2551782,-0.16128288,1
224.44499,0.25486347,-0.22576274,1
225.42084,0.22754797,-0.15400878,1
226.39668,0.23601475,-0.1910614,1
227.37253,0.2041645,-0.52483636,1
228.34837,0.1717815,-0.63968146,1
229.32422,0.12587567,-0.69241756,1
230.30008,0.08703787,-0.65480274,1
231.27592,0.045735598,-0.22967547,1
232.25177,0.058928523,-0.18301407,1
233.22762,0.023337016,-0.10947698,1
234.20346,0.045529943,0.23309252,1
235.1793,0.05186456,0.06733004,1
236.15517,0.05377027,0.060809806,1
237.13101,0.059306912,-0.2069166,1
238.10686,0.028446324,-0.1736599,1
239.0827,0.038053162,-0.15539417,1
240.05855,0.009428063,-0.013350902,1
241.0344,0.036419183,0.14288722,1
242.01025,0.026915198,-0.11774288,1
242.9861,0.022008779,-0.1383198,1
243.96194,0.009986621,0.004349933,1
244.93779,0.022541154,0.23780498,1
245.91364,0.03909091,0.11683264,1
246.88948,0.036839977,-0.31940353,1
247.86533,0.0,-0.0114604635,1
248.84119,0.035438478,-9.0552685e-06,1
249.81703,0.0,-0.2895603,1
250.79288,0.0,0.30366772,1
251.76872,0.03716505,0.3529845,1
252.74457,0.04320079,0.1284114,1
253.72041,0.05288096,-0.079817235,1
254.69627,0.033431645,-0.098928235,1
255.67212,0.040772904,-0.03992638,1
256.64795,0.028545512,-0.19808765,1
257.6238,0.016529514,-0.038529772,1
258.59967,0.023829887,0.20576355,1
259.5755,0.041712012,0.29065353,1
260.55136,0.059402153,-0.035103362,1
261.5272,0.037417054,-0.41841426,1
262.50305,0.008193368,-0.027279118,1
263.4789,0.034078386,0.21282691,1
264.45474,0.034241468,0.19588318,1
265.4306,0.05805272,0.09189499,1
266.40643,0.045489382,-0.11864922,1
267.3823,0.0435319,0.12829977,1
268.35812,0.061191022,-0.019572858,1
269.33398,0.041135248,-0.26080784,1
270.30984,0.029270975,-0.08452595,1
271.28568,0.030789938,0.16437703,1
272.26154,0.049389154,0.027710974,1
273.23737,0.034182467,0.045516722,1
274.21323,0.05496094,-0.15253563,1
275.18906,0.01551594,-0.09973269,1
276.16492,0.042757016,-0.12677549,1
277.14078,0.0,-0.1306326,1
278.1166,0.026767084,0.13034786,1
279.09247,0.015951736,-0.016747804,1
280.0683,0.024716757,0.21523668,1
281.04416,0.042294227,0.084138,1
282.02002,0.03501433,0.16410169,1
282.99585,0.06237709,-0.0060756966,1
283.9717,0.034269005,-0.31421134,1
284.94754,0.023921091,0.14508088,1
285.9234,0.052026246,-0.09206055,1
286.89923,0.012656169,-0.073215045,1
287.8751,0.04306784,0.086982235,1
288.85095,0.02330185,-0.06349647,1
289.82678,0.035295695,0.3366554,1
290.80264,0.064504705,0.13535906,1
291.77847,0.051863227,-0.15726872,1
292.75433,0.045257214,-0.013867621,1
293.73016,0.050165653,0.07622945,1
294.70602,0.05458671,-0.11931104,1
295.6819,0.03556328,-0.17478503,1
296.6577,0.03319474,0.14115386,1
297.63358,0.05283939,-0.12127692,1
298.6094,0.01835369,-0.1083056,1
299.58527,0.039585907,0.08009014,1
300.56113,0.028155852,0.20711,1
301.53696,0.06493202,0.1755865,1
302.51282,0.049643762,-0.3057159,1
303.48865,0.027516518,-0.09260496,1
304.4645,0.038311128,0.17673004,1
305.44034,0.049146015,0.16542718,1
306.4162,0.05855725,-0.1559978,1
307.39206,0.03005358,-0.0723704,1
308.3679,0.049698535,-0.028423572,1
309.34375,0.02657356,-0.23000364,1
310.31958,0.021548467,-0.0024451779,1
311.29544,0.026274605,0.13704863,1
312.27127,0.03832124,0.022895293,1
313.24713,0.029076027,0.12569663,1
314.223,0.05370514,0.033725053,1
315.19882,0.033204958,-0.063217975,1
316.17468,0.045969106,0.21608587,1
317.1505,0.05965108,-0.097283825,1
318.12637,0.03406158,-0.29570806,1
319.10223,0.023459628,0.00779139,1
320.07806,0.035014458,0.33031923,1
321.05392,0.063887015,0.26359645,1
322.02975,0.06727609,-0.24652344,1
323.0056,0.03371454,-0.06350212,1
323.98145,0.059502393,0.26466444,1
324.9573,0.06610548,-0.16575266,1
325.93317,0.039216068,-0.23388454,1
326.909,0.037480216,-0.18786705,1
327.88486,0.016222931,-0.025698693,1
328.8607,0.034333795,0.088767305,1
329.83655,0.02708612,-0.24883455,1
330.8124,0.0038791534,0.025512958,1
331.78824,0.030207032,-0.0022414445,1
332.7641,0.0036031734,0.11364693,1
333.73993,0.044113867,0.53109425,1
334.7158,0.06860182,-0.07353887,1
335.69162,0.035115466,-0.3577623,1
336.66748,0.024817012,-0.28691655,1
337.64334,0.0,-0.14097062,1
338.61917,0.0075630005,0.076568075,1
339.59503,0.009370773,0.15873408,1
340.57086,0.026989529,0.11667419,1
341.54672,0.023649545,-0.08545288,1
342.52255,0.016531311,0.13435195,1
343.4984,0.040093463,0.2643072,1
344.47427,0.048879635,0.2745419,1
345.4501,0.07369339,-0.08345966,1
346.42596,0.038663365,-0.19133393,1
347.4018,0.05027511,-0.13538001,1
348.37766,0.022093337,-0.3263492,1
349.35352,0.01033352,-0.083782695,1
350.32935,0.011838994,0.20482855,1
351.3052,0.035402603,0.13347422,1
352.28104,0.028175496,-0.121832035,1
353.2569,0.020491906,-0.020294366,1
354.23273,0.025691323,0.003368476,1
355.2086,0.02090385,-0.048977368,1
356.18445,0.019697025,0.19187629,1
357.16028,0.04438625,0.21262264,1
358.13614,0.045718584,-0.12199763,1
359.11197,0.029455852,-0.10480988,1
360.08783,0.032891806,0.046289083,1
361.06366,0.035121083,-0.017862868,1
362.03952,0.03070541,0.16175133,1
363.01538,0.05491769,-0.13093823,1
363.9912,0.014682262,-0.3990729,1
364.96707,0.0060772556,0.014494503,1
365.9429,0.016455611,-0.049649112,1
366.91876,0.0,-0.13445322,1
367.89462,0.0,0.41490316,1
368.87045,0.050777253,0.31240568,1
369.8463,0.038232476,-0.21245798,1
370.82214,0.024775144,-0.18966782,1
371.798,0.015019674,-0.16577868,1
372.77383,0.004485978,0.33052012,1
373.7497,0.05547303,0.31511918,1
374.72556,0.043053135,-0.0884189,1
375.7014,0.044651255,-0.065376274,1
376.67725,0.035051562,-0.11856708,1
377.65308,0.030140018,0.12542428,1
378.62894,0.05040267,-0.11849572,1
379.60477,0.015639381,-0.08774077,1
380.58063,0.039666157,0.07980667,1
381.5565,0.02540685,-0.11694174,1
382.53232,0.025353543,0.109976076,1
383.50818,0.038866937,0.22671828,1
384.484,0.05310094,0.0008649014,1
385.45987,0.038971897,-0.25229648,1
386.43573,0.022222595,-0.088709414,1
387.41156,0.028114295,0.13863662,1
388.38742,0.039190102,0.025377125,1
389.36325,0.03122073,-0.087712735,1
390.3391,0.028455347,0.117801666,1
391.31494,0.04563753,0.070043415,1
392.2908,0.037026957,-0.23798254,1
393.26666,0.016511053,0.20558724,1
394.2425,0.06218614,0.23673877,1
395.21835,0.045482896,-0.16864508,1
396.19418,0.04154574,-0.14421563,1
397.17004,0.027832437,-0.14462654,1
398.14587,0.023845,0.03840576,1
399.12173,0.032533206,-0.017713029,1
400.0976,0.021677118,-0.06924763,1
401.07343,0.02405777,0.04407161,1
402.0493,0.027070936,0.18644582,1
403.02512,0.04687583,0.08971886,1
404.00098,0.03805048,-0.05027092,1
404.97684,0.040723216,-0.04486215,1
405.95267,0.03256027,-0.1801324,1
406.92853,0.018677134,-0.020563537,1
407.90436,0.03004277,-0.15259632,1
408.88022,0.0,-0.05408402,1
409.85605,0.023421906,0.26464105,1
410.8319,0.032388225,0.06969612,1
411.80777,0.031951953,-0.004207179,1
412.7836,0.03187331,-0.011365205,1
413.75946,0.030560957,-0.17191286,1
414.7353,0.0108339535,-0.026332889,1
415.71115,0.02733928,0.22735687,1
416.687,0.038659964,-0.107735425,1
417.66284,0.014154963,-0.07212064,1
418.6387,0.029834572,-0.072216764,1
419.61453,0.005317812,-0.13418302,1
420.5904,0.013413305,0.15826198,1
421.56622,0.024686959,0.10045994,1
422.54208,0.025707996,0.08456372,1
423.51794,0.03503664,-0.21006595,1
424.49377,0.0,-0.12974189,1
425.46964,0.019159583,0.2614984,1
426.44547,0.03200426,0.105137534,1
427.42133,0.03202667,0.06748626,1
428.39716,0.04026346,0.027467882,1
429.37302,0.035387974,-0.21275869,1
430.34888,0.01422411,0.004285952,1
431.3247,0.035911184,0.20930842,1
432.30057,0.039840225,-0.19416161,1
433.2764,0.012149276,-0.19303404,1
434.25226,0.016216317,0.03325499,1
435.22812,0.016219325,0.08874096,1
436.20395,0.027076738,0.051484626,1
437.1798,0.022519901,-0.012112347,1
438.15564,0.025594106,0.29379085,1
439.1315,0.05847707,0.077709675,1
440.10733,0.035106536,-0.21845281,1
441.0832,0.03174186,-0.16064751,1
442.05905,0.015445028,-0.2043426,1
443.03488,0.0067327064,0.18936814,1
444.01074,0.038622536,0.39896616,1
444.98657,0.05556153,-0.03278858,1
445.96243,0.034608446,-0.011002498,1
446.93826,0.0542137,0.09915956,1
447.91412,0.046743456,-0.38258865,1
448.88998,0.007389007,-0.17659064,1
449.8658,0.02512924,0.015275852,1
450.84167,0.009257524,-0.032291554,1
451.8175,0.021176301,0.1967518,1
452.79337,0.033337433,0.17367068,1
453.76923,0.042431705,0.07750637,1
454.74506,0.042823497,-0.14541884,1
455.72092,0.024633717,0.050897658,1
456.69675,0.04905139,-0.0024349599,1
457.6726,0.02433417,-0.2212264,1
458.64844,0.021975415,0.17742594,1
459.6243,0.04604966,0.2081119,1
460.60016,0.04744605,-0.03271058,1
461.576,0.042046517,-0.026436614,1
462.55185,0.04421078,0.002841925,1
463.52768,0.04239446,-0.1384517,1
