file_name,group_label,subtype_label,Mg#,Fe#,Ca#,Na#,K#,wave,formula,major_category,file_name_clean,file_path,match_method,file_exists,spectrum_id,parsed_file_name,mineral_species,source_id,source_type,spectrum_type,excitation_nm,instrument,data_level,orientation,sample_provenance,measurement_conditions,label_basis,reference,source_note,spectral_min_cm-1,spectral_max_cm-1,n_original_points,spectral_range_cm-1,file_sha256,parent_group,preprocessing_planned,augmentation_used,qc_status,qc_reason,recommended_action,split_main,split_zero_shot_protocol
Halite__R070292__Raman__785__0__unoriented__Raman_Data_RAW__20361,,Halite,,,,,,,,Halides,Halite__R070292__Raman__785__0__unoriented__Raman_Data_RAW__20361,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Halite__R070292__Raman__785__0__unoriented__Raman_Data_RAW__20361.csv,fallback_augmented_dir_name_match,True,PARENT_0489,Halite__R070292__Raman__785__0__unoriented__Raman_Data_RAW__20361.csv,Halite,R070292,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,182.248,1238.08,2191,182.248-1238.08,091f13567f6152dde2589450807847850cc35daaabdcad626da18020e422aea0,RRUFF database__R070292,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,halide/salt class may be Raman-inactive or weak-feature; verify bands before supervised training; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,exclude_or_move_to_rejection_class_unless_diagnostic_bands_confirmed,train,earth_train_pool
Halite__R070292__Raman__532__0__unoriented__Raman_Data_RAW__20363,,Halite,,,,,,,,Halides,Halite__R070292__Raman__532__0__unoriented__Raman_Data_RAW__20363,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Halite__R070292__Raman__532__0__unoriented__Raman_Data_RAW__20363.csv,fallback_augmented_dir_name_match,True,PARENT_0490,Halite__R070292__Raman__532__0__unoriented__Raman_Data_RAW__20363.csv,Halite,R070292,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,158.822,1312.05,2393,158.822-1312.05,619f7020874c7eeba7d725d4f3d54adefabf92f983e82a77f194edebde7a4fab,RRUFF database__R070292,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,halide/salt class may be Raman-inactive or weak-feature; verify bands before supervised training; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,exclude_or_move_to_rejection_class_unless_diagnostic_bands_confirmed,train,earth_train_pool
Halite__R070586__Raman__532__0__unoriented__Raman_Data_RAW__23114,,Halite,,,,,,,,Halides,Halite__R070586__Raman__532__0__unoriented__Raman_Data_RAW__23114,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Halite__R070586__Raman__532__0__unoriented__Raman_Data_RAW__23114.csv,fallback_augmented_dir_name_match,True,PARENT_0491,Halite__R070586__Raman__532__0__unoriented__Raman_Data_RAW__23114.csv,Halite,R070586,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,140.209,1283.31,2372,140.209-1283.31,8b9659b2ed68c49df269f2c2077b461cae3996f0d35189b14ee710f773d89515,RRUFF database__R070586,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,halide/salt class may be Raman-inactive or weak-feature; verify bands before supervised training; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,exclude_or_move_to_rejection_class_unless_diagnostic_bands_confirmed,train,earth_train_pool
Halite__R070586__Raman__780__0__unoriented__Raman_Data_RAW__23116,,Halite,,,,,,,,Halides,Halite__R070586__Raman__780__0__unoriented__Raman_Data_RAW__23116,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Halite__R070586__Raman__780__0__unoriented__Raman_Data_RAW__23116.csv,fallback_augmented_dir_name_match,True,PARENT_0492,Halite__R070586__Raman__780__0__unoriented__Raman_Data_RAW__23116.csv,Halite,R070586,RRUFF database,Raman,780.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,92.7499,1278.76,2461,92.7499-1278.76,b01a286f8605161a27ccd062ef41fb1000261ce19254e32d930286628e852d8d,RRUFF database__R070586,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,halide/salt class may be Raman-inactive or weak-feature; verify bands before supervised training; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,exclude_or_move_to_rejection_class_unless_diagnostic_bands_confirmed,train,earth_train_pool
Halite__R070534__Raman__785__0__unoriented__Raman_Data_RAW__22607,,Halite,,,,,,,,Halides,Halite__R070534__Raman__785__0__unoriented__Raman_Data_RAW__22607,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Halite__R070534__Raman__785__0__unoriented__Raman_Data_RAW__22607.csv,fallback_augmented_dir_name_match,True,PARENT_0493,Halite__R070534__Raman__785__0__unoriented__Raman_Data_RAW__22607.csv,Halite,R070534,RRUFF database,Raman,785.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,155.63,1267.39,2307,155.63-1267.39,5b4d30f946e0d2de34d2676e041bd70d5f930151b9f037e24f1fcc58b0dccfad,RRUFF database__R070534,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,halide/salt class may be Raman-inactive or weak-feature; verify bands before supervised training; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,exclude_or_move_to_rejection_class_unless_diagnostic_bands_confirmed,test,earth_train_pool
Halite__R070534__Raman__532__0__unoriented__Raman_Data_RAW__22609,,Halite,,,,,,,,Halides,Halite__R070534__Raman__532__0__unoriented__Raman_Data_RAW__22609,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Halite__R070534__Raman__532__0__unoriented__Raman_Data_RAW__22609.csv,fallback_augmented_dir_name_match,True,PARENT_0494,Halite__R070534__Raman__532__0__unoriented__Raman_Data_RAW__22609.csv,Halite,R070534,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,155.941,1286.02,2345,155.941-1286.02,793a26a7b4d66a933eba8af6660628a8771caf6de8a5e5aa30dc8fd93cbac410,RRUFF database__R070534,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,halide/salt class may be Raman-inactive or weak-feature; verify bands before supervised training; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,exclude_or_move_to_rejection_class_unless_diagnostic_bands_confirmed,test,earth_train_pool
Berthierine__R110177__Raman__532__0__unoriented__Raman_Data_RAW__35981,,Berthierine,,,,,,,,Clay,Berthierine__R110177__Raman__532__0__unoriented__Raman_Data_RAW__35981,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Berthierine__R110177__Raman__532__0__unoriented__Raman_Data_RAW__35981.csv,fallback_augmented_dir_name_match,True,PARENT_0612,Berthierine__R110177__Raman__532__0__unoriented__Raman_Data_RAW__35981.csv,Berthierine,R110177,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,202.343,1303.02,2284,202.343-1303.02,0d2b351bafe7d7a0d6c6a1f98f37290b44efc06da5336260e4aaf554ab4ca6dd,RRUFF database__R110177,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,phyllosilicate taxonomy overlaps Clay/Serpentine/Mica; harmonize class hierarchy; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,review_taxonomy_and_reference_quality,train,earth_train_pool
Berthierine__R110177__Raman__780__0__unoriented__Raman_Data_RAW__35979,,Berthierine,,,,,,,,Clay,Berthierine__R110177__Raman__780__0__unoriented__Raman_Data_RAW__35979,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Berthierine__R110177__Raman__780__0__unoriented__Raman_Data_RAW__35979.csv,fallback_augmented_dir_name_match,True,PARENT_0613,Berthierine__R110177__Raman__780__0__unoriented__Raman_Data_RAW__35979.csv,Berthierine,R110177,RRUFF database,Raman,780.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,188.509,1285.32,2276,188.509-1285.32,0391b6db2835d3dd3ddd4906c550926f4018cf7ba9bf1caeb9775e9fd0440cdc,RRUFF database__R110177,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,phyllosilicate taxonomy overlaps Clay/Serpentine/Mica; harmonize class hierarchy; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,review_taxonomy_and_reference_quality,train,earth_train_pool
Annite__R060204__Raman__514__0__unoriented__Raman_Data_RAW__8408,,Annite,,,,,,,,Mica,Annite__R060204__Raman__514__0__unoriented__Raman_Data_RAW__8408,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Annite__R060204__Raman__514__0__unoriented__Raman_Data_RAW__8408.csv,fallback_augmented_dir_name_match,True,PARENT_0618,Annite__R060204__Raman__514__0__unoriented__Raman_Data_RAW__8408.csv,Annite,R060204,RRUFF database,Raman,514.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,246.025,1323.42,840,246.025-1323.42,596f3132135382a75080706efcac4604bd8253b4e879c55e60c22b067325f9ec,RRUFF database__R060204,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,phyllosilicate taxonomy overlaps Clay/Serpentine/Mica; harmonize class hierarchy; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,review_taxonomy_and_reference_quality,train,earth_train_pool
Annite__R060204__Raman__532__0__unoriented__Raman_Data_RAW__33303,,Annite,,,,,,,,Mica,Annite__R060204__Raman__532__0__unoriented__Raman_Data_RAW__33303,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\Annite__R060204__Raman__532__0__unoriented__Raman_Data_RAW__33303.csv,fallback_augmented_dir_name_match,True,PARENT_0619,Annite__R060204__Raman__532__0__unoriented__Raman_Data_RAW__33303.csv,Annite,R060204,RRUFF database,Raman,532.0,RRUFF database instrument metadata; verify per RRUFF record,RAW,unoriented,RRUFF database mineral specimen,Visible/NIR Raman from RRUFF; excitation wavelength parsed from filename,RRUFF mineral label; retained only after diagnostic band and quality-control review,"Lafuente, B., Downs, R. T., Yang, H., & Stone, N. (2015). The power of databases: The RRUFF project.",RRUFF-style filename with R/X identifier,93.0424,1304.12,2513,93.0424-1304.12,95333ced21f43d057de92331c768b767cc234f7e3aad4748b8d3b83f8d858761,RRUFF database__R060204,Parse wavenumber/intensity columns; remove NaN; sort and deduplicate wavenumber axis; interpolate to common grid; mask out-of-range regions; baseline correction; nonnegative clipping; max-intensity normalization; first derivative channel,no,review_required,phyllosilicate taxonomy overlaps Clay/Serpentine/Mica; harmonize class hierarchy; visible/NIR Raman used for DUV transfer; document excitation-domain limitation,review_taxonomy_and_reference_quality,train,earth_train_pool
