split_v3,source_type,mineral_superclass,n_spectra
domain_adaptation_only,SHERLOC calibration target Mars meteorite SaU 008,not reported in source record,36
mlrod_test,MLROD Raman open dataset,Carbonate,503
mlrod_test,MLROD Raman open dataset,K-Feldspar,559
mlrod_test,MLROD Raman open dataset,Olivine,614
mlrod_test,MLROD Raman open dataset,Other Silicates,504
mlrod_test,MLROD Raman open dataset,Phyllosilicates,1382
mlrod_test,MLROD Raman open dataset,Plagioclase,1257
mlrod_test,MLROD Raman open dataset,Pyroxene,1170
mlrod_test,MLROD Raman open dataset,Silica Phase,1001
mlrod_test,MLROD Raman open dataset,Sulfate,500
mlrod_train,MLROD Raman open dataset,Carbonate,4026
mlrod_train,MLROD Raman open dataset,K-Feldspar,4482
mlrod_train,MLROD Raman open dataset,Olivine,4912
mlrod_train,MLROD Raman open dataset,Other Silicates,4046
mlrod_train,MLROD Raman open dataset,Phyllosilicates,11061
mlrod_train,MLROD Raman open dataset,Plagioclase,10061
mlrod_train,MLROD Raman open dataset,Pyroxene,9363
mlrod_train,MLROD Raman open dataset,Silica Phase,8029
mlrod_train,MLROD Raman open dataset,Sulfate,4000
mlrod_val,MLROD Raman open dataset,Carbonate,503
mlrod_val,MLROD Raman open dataset,K-Feldspar,559
mlrod_val,MLROD Raman open dataset,Olivine,614
mlrod_val,MLROD Raman open dataset,Other Silicates,504
mlrod_val,MLROD Raman open dataset,Phyllosilicates,1382
mlrod_val,MLROD Raman open dataset,Plagioclase,1257
mlrod_val,MLROD Raman open dataset,Pyroxene,1170
mlrod_val,MLROD Raman open dataset,Silica Phase,1002
mlrod_val,MLROD Raman open dataset,Sulfate,500
sherloc_external_validation,SHERLOC in-situ Mars 2020,Phosphate,1
sherloc_external_validation,SHERLOC in-situ Mars 2020,Sulfate,30
sherloc_finetune_pool,SHERLOC in-situ Mars 2020,Carbonate,151
sherloc_finetune_pool,SHERLOC in-situ Mars 2020,Olivine,125
sherloc_finetune_pool,SHERLOC in-situ Mars 2020,Other Silicate,38
sherloc_finetune_pool,SHERLOC in-situ Mars 2020,Perchlorate,3
sherloc_finetune_pool,SHERLOC in-situ Mars 2020,Pyroxene,2
sherloc_finetune_pool,SHERLOC in-situ Mars 2020,Sulfate,380
test,Lab-acquired DUV spectra,Carbonate,6
test,Lab-acquired DUV spectra,Clay,2
test,Lab-acquired DUV spectra,Glass,2
test,Lab-acquired DUV spectra,Halides,2
test,Lab-acquired DUV spectra,K-Feldspar,1
test,Lab-acquired DUV spectra,Mica,1
test,Lab-acquired DUV spectra,Olivine,1
test,Lab-acquired DUV spectra,Other Silicates,1
test,Lab-acquired DUV spectra,Pyroxene,1
test,Lab-acquired DUV spectra,Serpentine,1
test,Lab-acquired DUV spectra,Sulfate,4
test,Martian meteorite spectra,Oxides/Hydroxides,1
test,RRUFF database,Carbonate,13
test,RRUFF database,Clay,9
test,RRUFF database,Halides,2
test,RRUFF database,K-Feldspar,3
test,RRUFF database,Mica,4
test,RRUFF database,Olivine,4
test,RRUFF database,Other Silicates,16
test,RRUFF database,Oxides/Hydroxides,7
test,RRUFF database,Phosphate,14
test,RRUFF database,Plagioclase,7
test,RRUFF database,Pyroxene,23
test,RRUFF database,Silica Phase,2
test,RRUFF database,Sulfate,10
train,Lab-acquired DUV spectra,Borate,3
train,Lab-acquired DUV spectra,Carbonate,10
train,Lab-acquired DUV spectra,Clay,7
train,Lab-acquired DUV spectra,Halides,6
train,Lab-acquired DUV spectra,K-Feldspar,2
train,Lab-acquired DUV spectra,Mica,3
train,Lab-acquired DUV spectra,Olivine,4
