source_id,file_name_clean,major_category,subtype_label,source_type,excitation_nm,data_level,orientation,rruff_official_id,rruff_official_name,rruff_ideal_chemistry,rruff_measured_chemistry,rruff_locality,rruff_source,rruff_owner,rruff_description,rruff_status,rruff_url,rruff_header_file,rruff_header_parse_status,rruff_metadata_match,rruff_metadata_match_basis
R040009,Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R040009,Diopside,CaMgSi2O6,(Ca0.97Fe0.02Na0.01)Σ=1(Mg0.97Fe0.02Al0.01)Σ=1Si2.00O6; trace amounts of Mn and Ti,"Otter Lake, Quebec, Canada",University of Arizona Mineral Museum,RRUFF,Green square prismatic crystal associated with pale orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040009,source_rruff_header/Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R040009,Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295,Pyroxene,Diopside,RRUFF database,514.0,RAW,unoriented,R040009,Diopside,CaMgSi2O6,(Ca0.97Fe0.02Na0.01)Σ=1(Mg0.97Fe0.02Al0.01)Σ=1Si2.00O6; trace amounts of Mn and Ti,"Otter Lake, Quebec, Canada",University of Arizona Mineral Museum,RRUFF,Green square prismatic crystal associated with pale orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040009,source_rruff_header/Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R040009,Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R040009,Diopside,CaMgSi2O6,(Ca0.97Fe0.02Na0.01)Σ=1(Mg0.97Fe0.02Al0.01)Σ=1Si2.00O6; trace amounts of Mn and Ti,"Otter Lake, Quebec, Canada",University of Arizona Mineral Museum,RRUFF,Green square prismatic crystal associated with pale orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040009,source_rruff_header/Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R040097,Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R040097,Diopside,CaMgSi2O6,Ca1.00(Mg0.83Al0.10Fe0.09Ca0.02Ti0.02)(Si0.88Al0.12)2O6,"Fassathal, Tyrol",University of Arizona Mineral Museum,RRUFF,Green prismatic crystals,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040097,source_rruff_header/Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R040097,Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R040097,Diopside,CaMgSi2O6,Ca1.00(Mg0.83Al0.10Fe0.09Ca0.02Ti0.02)(Si0.88Al0.12)2O6,"Fassathal, Tyrol",University of Arizona Mineral Museum,RRUFF,Green prismatic crystals,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R040097,source_rruff_header/Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050056.3,Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473,Pyroxene,Diopside,RRUFF database,785.0,Processed,unoriented,X050056,Diopside,CaMgSi2O6,,"Maui, Hawaii, USA",CIT,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050056,source_rruff_header/Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050056.4,Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474,Pyroxene,Diopside,RRUFF database,785.0,Processed,unoriented,X050056,Diopside,CaMgSi2O6,,"Maui, Hawaii, USA",CIT,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050056,source_rruff_header/Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050057.3,Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475,Pyroxene,Diopside,RRUFF database,785.0,Processed,unoriented,X050057,Diopside,CaMgSi2O6,,"Natural Bridge, New York, USA",CIT,Caltech,and wollastonite,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050057,source_rruff_header/Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050058.3,Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477,Pyroxene,Diopside,RRUFF database,785.0,Processed,unoriented,X050058,Diopside,CaMgSi2O6,,"Cherbadung, Binntal, Wallis, Switzerland",CIT,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050058,source_rruff_header/Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050059,Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479,Pyroxene,Diopside,RRUFF database,785.0,Processed,unoriented,X050059,Diopside,CaMgSi2O6,,"Rajasthan, India",G.R. Rossman,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050059,source_rruff_header/Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050060,Diopside__X050060__Raman__514__0__unoriented__Raman_Data_RAW__6525,Pyroxene,Diopside,RRUFF database,514.0,RAW,unoriented,X050060,Diopside,CaMgSi2O6,,"DeKalb, New York, USA",G.R. Rossman,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050060,source_rruff_header/Diopside__X050060__Raman__514__0__unoriented__Raman_Data_RAW__6525.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050406,Diopside__R050406__Raman__532__0__unoriented__Raman_Data_RAW__30047,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R050406,Diopside,CaMgSi2O6,(Ca0.95Na0.05)(Mg0.75Fe^2+^0.18Fe^3+^0.05Al0.01Ti0.01Mn^2+^0.01)(Si0.98Al0.02)2O6,unknown,University of Arizona Mineral Museum,RRUFF,Brownish gray massive,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050406,source_rruff_header/Diopside__R050406__Raman__532__0__unoriented__Raman_Data_RAW__30047.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050406,Diopside__R050406__Raman__780__0__unoriented__Raman_Data_RAW__30049,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R050406,Diopside,CaMgSi2O6,(Ca0.95Na0.05)(Mg0.75Fe^2+^0.18Fe^3+^0.05Al0.01Ti0.01Mn^2+^0.01)(Si0.98Al0.02)2O6,unknown,University of Arizona Mineral Museum,RRUFF,Brownish gray massive,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050406,source_rruff_header/Diopside__R050406__Raman__780__0__unoriented__Raman_Data_RAW__30049.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050496,Diopside__R050496__Raman__532__0__unoriented__Raman_Data_RAW__32237,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R050496,Diopside,CaMgSi2O6,Ca(Mg0.66Fe0.33Mn0.01)(Si0.95Al0.05)2O6,"New City Quarry, Riverside, Riverside County, Calfornia, USA",California Institute of Technology,RRUFF,Aggregate of light green irregular grains,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050496,source_rruff_header/Diopside__R050496__Raman__532__0__unoriented__Raman_Data_RAW__32237.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050496,Diopside__R050496__Raman__780__0__unoriented__Raman_Data_RAW__32239,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R050496,Diopside,CaMgSi2O6,Ca(Mg0.66Fe0.33Mn0.01)(Si0.95Al0.05)2O6,"New City Quarry, Riverside, Riverside County, Calfornia, USA",California Institute of Technology,RRUFF,Aggregate of light green irregular grains,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050496,source_rruff_header/Diopside__R050496__Raman__780__0__unoriented__Raman_Data_RAW__32239.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050666,Diopside__R050666__Raman__532__0__unoriented__Raman_Data_RAW__32868,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R050666,Diopside,CaMgSi2O6,Ca(Mg0.66Mn0.33Fe0.01)Si2O6,"Franklin, Sussex County, New Jersey, USA",University of Arizona Mineral Museum,RRUFF,Brown cleavage fragment with white hardystonite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050666,source_rruff_header/Diopside__R050666__Raman__532__0__unoriented__Raman_Data_RAW__32868.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050666,Diopside__R050666__Raman__780__0__unoriented__Raman_Data_RAW__32870,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R050666,Diopside,CaMgSi2O6,Ca(Mg0.66Mn0.33Fe0.01)Si2O6,"Franklin, Sussex County, New Jersey, USA",University of Arizona Mineral Museum,RRUFF,Brown cleavage fragment with white hardystonite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050666,source_rruff_header/Diopside__R050666__Raman__780__0__unoriented__Raman_Data_RAW__32870.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060061,Diopside__R060061__Raman__532__0__unoriented__Raman_Data_RAW__27056,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R060061,Diopside,CaMgSi2O6,(Ca0.99Mn0.01)Σ=1(Mg0.92Fe^2+^0.06Mn0.02)Σ=1(Si1.99Al0.01)Σ=2O6,"Oka, near Montreal, Quebec, Canada",University of Arizona Mineral Museum,RRUFF,Pale green prismatic single crystal,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,https://rruff.info/R060061,source_rruff_header/Diopside__R060061__Raman__532__0__unoriented__Raman_Data_RAW__27056.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060061,Diopside__R060061__Raman__780__0__unoriented__Raman_Data_RAW__27054,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R060061,Diopside,CaMgSi2O6,(Ca0.99Mn0.01)Σ=1(Mg0.92Fe^2+^0.06Mn0.02)Σ=1(Si1.99Al0.01)Σ=2O6,"Oka, near Montreal, Quebec, Canada",University of Arizona Mineral Museum,RRUFF,Pale green prismatic single crystal,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,https://rruff.info/R060061,source_rruff_header/Diopside__R060061__Raman__780__0__unoriented__Raman_Data_RAW__27054.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060085,Diopside__R060085__Raman__532__0__unoriented__Raman_Data_RAW__27595,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R060085,Diopside,CaMgSi2O6,(Ca0.97Na0.03)Σ=1(Mg0.79Fe^2+^0.10Fe^3+^0.04Al0.04Ti0.02Cr0.01)Σ=1(Si1.90Al0.10)Σ=2O6,"Tyrol, Austria",University of Arizona Mineral Museum,RRUFF,Brownish-green massive,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060085,source_rruff_header/Diopside__R060085__Raman__532__0__unoriented__Raman_Data_RAW__27595.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060085,Diopside__R060085__Raman__780__0__unoriented__Raman_Data_RAW__36683,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R060085,Diopside,CaMgSi2O6,(Ca0.97Na0.03)Σ=1(Mg0.79Fe^2+^0.10Fe^3+^0.04Al0.04Ti0.02Cr0.01)Σ=1(Si1.90Al0.10)Σ=2O6,"Tyrol, Austria",University of Arizona Mineral Museum,RRUFF,Brownish-green massive,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060085,source_rruff_header/Diopside__R060085__Raman__780__0__unoriented__Raman_Data_RAW__36683.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060171,Diopside__R060171__Raman__532__0__unoriented__Raman_Data_RAW__33158,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R060171,Diopside,CaMgSi2O6,Ca1.00(Mg0.98Mn0.02)Σ=1Si2.00O6,"Jeffrey mine, Asbestos, Quebec, Canada",Guy Ouellet,RRUFF,"Yellowish-brown tabular crystals associated with vesuvianite, R060170",The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060171,source_rruff_header/Diopside__R060171__Raman__532__0__unoriented__Raman_Data_RAW__33158.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
