target,scan_name,product_stem,pds_product_lid,pds_csv_url,pds_label_url,extracted_spectrum_id,pds_table_name,pds_table_row_index,candidate_label,label_status,dominant_band_cm-1,pds_start_date_time,pds_stop_date_time,pds_release_number,pds_records_by_table,pds_table_names,provenance_status
Montpezat,0349_Montpezat HDR_500_1,ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.xml,SHERLOC_WEAK_MONTPEZAT_R1_00,LASER-NORMALIZED SPECTRA REGION 1,0,mixed_silicate_carbonate_perchlorate_or_phosphate,weak_scan_level_label_not_point_level,4117.01,2022-02-12T16:18:29.053Z,2022-02-12T16:18:39.652Z,0004,1|1|1|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,
Montpezat,0349_Montpezat HDR_500_1,ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.xml,SHERLOC_WEAK_MONTPEZAT_R2_00,LASER-NORMALIZED SPECTRA REGION 2,0,mixed_silicate_carbonate_perchlorate_or_phosphate,weak_scan_level_label_not_point_level,6546.38,2022-02-12T16:18:29.053Z,2022-02-12T16:18:39.652Z,0004,1|1|1|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,
Montpezat,0349_Montpezat HDR_500_1,ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.xml,SHERLOC_WEAK_MONTPEZAT_R3_00,LASER-NORMALIZED SPECTRA REGION 3,0,mixed_silicate_carbonate_perchlorate_or_phosphate,weak_scan_level_label_not_point_level,3813.03,2022-02-12T16:18:29.053Z,2022-02-12T16:18:39.652Z,0004,1|1|1|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,
Alfalfa,0370_Alfalfa HDR_500_1,ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00370/ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00370/ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.xml,SHERLOC_WEAK_ALFALFA_R1_00,LASER-NORMALIZED SPECTRA REGION 1,0,predominantly_silicate_with_minor_carbonate_perchlorate_or_phosphate,weak_scan_level_label_not_point_level,4079.55,2022-03-06T05:35:31.667Z,2022-03-06T05:35:42.331Z,0004,1|1|1|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,
Alfalfa,0370_Alfalfa HDR_500_1,ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00370/ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00370/ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.xml,SHERLOC_WEAK_ALFALFA_R2_00,LASER-NORMALIZED SPECTRA REGION 2,0,predominantly_silicate_with_minor_carbonate_perchlorate_or_phosphate,weak_scan_level_label_not_point_level,7424.07,2022-03-06T05:35:31.667Z,2022-03-06T05:35:42.331Z,0004,1|1|1|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,
Alfalfa,0370_Alfalfa HDR_500_1,ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00370/ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00370/ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.xml,SHERLOC_WEAK_ALFALFA_R3_00,LASER-NORMALIZED SPECTRA REGION 3,0,predominantly_silicate_with_minor_carbonate_perchlorate_or_phosphate,weak_scan_level_label_not_point_level,10943.71,2022-03-06T05:35:31.667Z,2022-03-06T05:35:42.331Z,0004,1|1|1|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,
Montpezat,0349_Montpezat Survey_15_1 or HDR component,ss__0349_0697951251_495rrs__0092982srlc11360w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697951251_495rrs__0092982srlc11360w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697951251_495rrs__0092982srlc11360w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697951251_495rrs__0092982srlc11360w108cgnj02.xml,,,,unlabeled_pds_point_spectra_component,no_point_level_label_available,,2022-02-12T15:26:24.981Z,2022-02-12T15:36:59.630Z,0004,50|50|50|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,ok
Montpezat,0349_Montpezat Survey_15_1 or HDR component,ss__0349_0697951900_355rrs__0092982srlc11360w208cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697951900_355rrs__0092982srlc11360w208cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697951900_355rrs__0092982srlc11360w208cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697951900_355rrs__0092982srlc11360w208cgnj02.xml,,,,unlabeled_pds_point_spectra_component,no_point_level_label_available,,2022-02-12T15:37:13.995Z,2022-02-12T15:47:48.639Z,0004,50|50|50|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,ok
Montpezat,0349_Montpezat Survey_15_1 or HDR component,ss__0349_0697952686_570rrs__0092982srlc11420w108cgnj07,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697952686_570rrs__0092982srlc11420w108cgnj07,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697952686_570rrs__0092982srlc11420w108cgnj07.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697952686_570rrs__0092982srlc11420w108cgnj07.xml,,,,unlabeled_pds_point_spectra_component,no_point_level_label_available,,2022-02-12T15:50:20.051Z,2022-02-12T16:01:21.654Z,0004,1296|1296|1296|1,LASER-NORMALIZED SPECTRA REGION 1|LASER-NORMALIZED SPECTRA REGION 2|LASER-NORMALIZED SPECTRA REGION 3|WAVELENGTH NM,ok
Montpezat,0349_Montpezat Survey_15_1 or HDR component,ss__0349_0697953530_075rrs__0092982srlc11420b108zpzj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0349_0697953530_075rrs__0092982srlc11420b108zpzj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697953530_075rrs__0092982srlc11420b108zpzj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00349/ss__0349_0697953530_075rrs__0092982srlc11420b108zpzj02.xml,,,,unlabeled_pds_point_spectra_component,no_point_level_label_available,,2022-02-12T16:04:19.866Z,2022-02-12T16:04:44.643Z,0004,2|2|2|1,PROCESS DATA SPECTRA REGION 1|PROCESS DATA SPECTRA REGION 2|PROCESS DATA SPECTRA REGION 3|WAVELENGTH NM,ok
