product_stem,dataset_memberships,point_spectrum_count,regions,targets,scan_names,sheet_names,mineral_labels,major_categories,pds_product_lid,pds_bundle_lid,pds_processed_collection_lid,pds_bundle_doi,pds_sol_directory,pds_csv_url,pds_label_url,release_number,sol,sclk,sub_sclk,product_id,product_type_description,site,drive,sequence,sequence_numeric,proc_flag_1,experiment_id,aci_image_number,proc_flag_2,proc_flag_3,proc_flag_4,processing_flags_description,producer,version,pds_label_fetch_status,pds_start_date_time,pds_stop_date_time,pds_earth_received_start_date_time,pds_earth_received_stop_date_time,pds_raw_product_lids,pds_intermediate_product_lids,pds_document_lids,provenance_note
ss__0162_0681350015_835rrs__0060000srlc10500w108cgnj06,sherloc_region_point_dataset,34,guillaumes,Guillaumes,0162_Guillaumes HDR_250_1,detail_500.1,Na perchlorate|perchlorate/chlorate|silicate|sulfate,Other Silicate|Perchlorate|Perchlorate/Chlorate|Sulfate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0162_0681350015_835rrs__0060000srlc10500w108cgnj06,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00162,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00162/ss__0162_0681350015_835rrs__0060000srlc10500w108cgnj06.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00162/ss__0162_0681350015_835rrs__0060000srlc10500w108cgnj06.xml,Mars 2020 Release 2 (sols 90-179; public release 2021-11-22),0162,0681350015,835,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,006,0000,srlc10500,10500,w,1,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,06,ok,2021-08-04T11:56:58.327Z,2021-08-04T12:07:39.769Z,2021-08-04T19:10:42.818Z,2021-08-04T19:13:25.035Z,,,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,parent_945_sherloc_rows,4,bellegarde,Bellegarde,0186_Bellegarde; exact scan name to verify against mission label set,,Anhydrite|Phosphate,Phosphate|Sulfate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00186,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0186,0683477446,620,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,0000,srlc10500,10500,w,2,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,04,ok,2021-08-29T02:54:25.932Z,2021-08-29T03:05:07.532Z,2021-08-29T08:15:40.758Z,2021-08-29T08:16:49.205Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0186_0683477446_620epa__0070000srlc10500_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0186_0683477446_620rrs__0070000srlc10500w208cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0208_0685432333_690rrs__0071836srlc11370w108cgnj03,sherloc_region_point_dataset,41,garde,Garde,0208_Garde Detail_500_1,detail_500_1.1,carbonate|olivine|perchlorate/phospate|silicate,Carbonate|Olivine|Other Silicate|Perchlorate/Phosphate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0208_0685432333_690rrs__0071836srlc11370w108cgnj03,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00208,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685432333_690rrs__0071836srlc11370w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685432333_690rrs__0071836srlc11370w108cgnj03.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0208,0685432333,690,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,1836,srlc11370,11370,w,1,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,03,ok,2021-09-20T17:56:08.396Z,2021-09-20T18:06:42.952Z,2021-09-21T01:50:28.740Z,2021-09-21T01:51:52.002Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0208_0685432333_690epa__0071836srlc11370_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0208_0685432333_690rrs__0071836srlc11370w108cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0208_0685432982_755rrs__0071836srlc11370w208cgnj03,sherloc_region_point_dataset,30,garde,Garde,0208_Garde Detail_500_1,detail_500_1.2,carbonate|olivine|perchlorate/phospate|silicate,Carbonate|Olivine|Other Silicate|Perchlorate/Phosphate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0208_0685432982_755rrs__0071836srlc11370w208cgnj03,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00208,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685432982_755rrs__0071836srlc11370w208cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685432982_755rrs__0071836srlc11370w208cgnj03.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0208,0685432982,755,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,1836,srlc11370,11370,w,2,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,03,ok,2021-09-20T18:06:57.438Z,2021-09-20T18:17:31.949Z,2021-09-21T01:51:52.070Z,2021-09-21T01:53:15.127Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0208_0685432982_755epa__0071836srlc11370_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0208_0685432982_755rrs__0071836srlc11370w208cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0208_0685433804_710rrs__0071836srlc11371w108cgnj03,sherloc_region_point_dataset,37,garde,Garde,0208_Garde Detail_500_2,detail_500_2.1,carbonate|olivine|perchlorate/phospate,Carbonate|Olivine|Perchlorate/Phosphate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0208_0685433804_710rrs__0071836srlc11371w108cgnj03,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00208,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685433804_710rrs__0071836srlc11371w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685433804_710rrs__0071836srlc11371w108cgnj03.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0208,0685433804,710,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,1836,srlc11371,11371,w,1,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,03,ok,2021-09-20T18:20:39.385Z,2021-09-20T18:31:13.964Z,2021-09-21T01:58:16.113Z,2021-09-21T01:59:39.170Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0208_0685433804_710epa__0071836srlc11371_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0208_0685433804_710rrs__0071836srlc11371w108cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0208_0685434454_680rrs__0071836srlc11371w208cgnj03,sherloc_region_point_dataset,35,garde,Garde,0208_Garde Detail_500_2,detail_500_2.2,carbonate|olivine|perchlorate/phospate,Carbonate|Olivine|Perchlorate/Phosphate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0208_0685434454_680rrs__0071836srlc11371w208cgnj03,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00208,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685434454_680rrs__0071836srlc11371w208cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685434454_680rrs__0071836srlc11371w208cgnj03.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0208,0685434454,680,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,1836,srlc11371,11371,w,2,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,03,ok,2021-09-20T18:31:29.295Z,2021-09-20T18:42:03.969Z,2021-09-21T01:59:39.307Z,2021-09-21T02:01:03.184Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0208_0685434454_680epa__0071836srlc11371_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0208_0685434454_680rrs__0071836srlc11371w208cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0208_0685435280_635rrs__0071836srlc11372w108cgnj03,sherloc_region_point_dataset,27,garde,Garde,0208_Garde Detail_500_3,detail_500_3.1,carbonate|olivine|perchlorate/phospate|pyroxene|silicate,Carbonate|Olivine|Other Silicate|Perchlorate/Phosphate|Pyroxene,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0208_0685435280_635rrs__0071836srlc11372w108cgnj03,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00208,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685435280_635rrs__0071836srlc11372w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685435280_635rrs__0071836srlc11372w108cgnj03.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0208,0685435280,635,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,1836,srlc11372,11372,w,1,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,03,ok,2021-09-20T18:45:15.452Z,2021-09-20T18:55:49.966Z,2021-09-21T02:06:01.572Z,2021-09-21T02:07:24.082Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0208_0685435280_635epa__0071836srlc11372_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0208_0685435280_635rrs__0071836srlc11372w108cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0208_0685435929_750rrs__0071836srlc11372w208cgnj03,sherloc_region_point_dataset,21,garde,Garde,0208_Garde Detail_500_3,detail_500_3.2,carbonate|olivine|silicate,Carbonate|Olivine|Other Silicate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0208_0685435929_750rrs__0071836srlc11372w208cgnj03,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00208,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685435929_750rrs__0071836srlc11372w208cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00208/ss__0208_0685435929_750rrs__0071836srlc11372w208cgnj03.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0208,0685435929,750,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,007,1836,srlc11372,11372,w,2,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,03,ok,2021-09-20T18:56:04.455Z,2021-09-20T19:06:38.981Z,2021-09-21T02:07:24.834Z,2021-09-21T02:08:47.275Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0208_0685435929_750epa__0071836srlc11372_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0208_0685435929_750rrs__0071836srlc11372w208cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04,sherloc_region_point_dataset,54,dourbes,Dourbes,0269_Dourbes Detail_500_1,detail_500_1.1,carbonate|perchlorate/phospate|sulfate,Carbonate|Perchlorate/Phosphate|Sulfate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00269,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00269/ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00269/ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0269,0690849690,630,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,008,0000,srlc11370,11370,w,1,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,04,ok,2021-11-22T10:46:08.245Z,2021-11-22T10:56:42.648Z,2021-11-22T23:17:40.027Z,2021-11-22T23:19:03.152Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0269_0690849690_630epa__0080000srlc11370_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0269_0690849690_630rrs__0080000srlc11370w108cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04,sherloc_region_point_dataset,22,dourbes,Dourbes,0269_Dourbes Detail_500_1,detail_500_1.2,carbonate|olivine|sulfate,Carbonate|Olivine|Sulfate,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04,urn:nasa:pds:mars2020_sherloc,urn:nasa:pds:mars2020_sherloc:data_processed,10.17189/1522643,sol_00269,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00269/ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00269/ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04.xml,Mars 2020 Release 3 (sols 180-299; public release 2022-03-22),0269,0690850340,585,rrs,RRS: dark-subtracted spectral data of a non-internal target; additional processing is indicated by the filename flags.,008,0000,srlc11370,11370,w,2,08,c,g,n,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied,j,04,ok,2021-11-22T10:56:57.734Z,2021-11-22T11:07:32.653Z,2021-11-22T23:19:03.221Z,2021-11-22T23:20:26.346Z,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0269_0690850340_585epa__0080000srlc11370_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0269_0690850340_585rrs__0080000srlc11370w208cg_j.csv,urn:nasa:pds:mars2020_sherloc:document:sherloc_bundle_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_edr_sis|urn:nasa:pds:mars2020_sherloc:document:sherloc_rdr_sis,Local point spectra are derived from this PDS SHERLOC processed spectroscopy RRS product. The PDS4 XML label is the authoritative product-level metadata source.
