split_main,major_category,count
external_sherloc,Phosphate,1
external_sherloc,Sulfate,30
test,Carbonate,19
test,Clay,11
test,Glass,2
test,Halides,4
test,K-Feldspar,4
test,Mica,5
test,Olivine,5
test,Other Silicates,17
test,Oxides/Hydroxides,8
test,Phosphate,14
test,Plagioclase,7
test,Pyroxene,24
test,Serpentine,1
test,Silica Phase,2
test,Sulfate,14
train,Borate,14
train,Carbonate,82
train,Clay,45
train,Glass,1
train,Halides,10
train,K-Feldspar,38
train,Mica,41
train,Olivine,33
train,Other Silicates,82
train,Oxides/Hydroxides,28
train,Phosphate,28
train,Plagioclase,43
train,Pyroxene,109
train,Serpentine,10
train,Silica Phase,38
train,Sulfate,38
val,Borate,1
val,Carbonate,23
val,Clay,11
val,Halides,3
val,K-Feldspar,5
val,Mica,6
val,Olivine,15
val,Other Silicates,17
val,Oxides/Hydroxides,7
val,Phosphate,5
val,Plagioclase,8
val,Pyroxene,20
val,Serpentine,3
val,Silica Phase,8
val,Sulfate,5
