review_label,raw_parent_total,included_parent_total,earth_train_parent,earth_validation_parent,earth_test_parent,external_sherloc_parent,augmentation_target_per_class,generated_train_spectra_required,effective_train_after_reproducible_augmentation,augmentation_policy
Borate,15,15,14,1,0,0,200,186,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Carbonate,124,124,82,23,19,0,200,118,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Glass,3,3,1,0,2,0,200,199,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
K-Feldspar,47,47,38,5,4,0,200,162,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Olivine,53,53,33,15,5,0,200,167,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Other Silicates,116,116,82,17,17,0,200,118,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Oxides/Hydroxides,43,43,28,7,8,0,200,172,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Phosphate,48,47,28,5,14,1,200,172,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Phyllosilicates,133,133,96,20,17,0,200,104,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Plagioclase,58,58,43,8,7,0,200,157,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Pyroxene,153,153,109,20,24,0,200,91,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Silica Phase,48,48,38,8,2,0,200,162,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
Sulfate,87,57,38,5,14,30,200,162,200,"augment_train_only; preserve Raman band positions; perturb intensity, baseline, noise, and band width"
