sherloc_region,major_category,paper_table1_superclass,sherloc_label_status,sherloc_training_label_usable,n_point_label_rows
dourbes,Carbonate,Carbonate,supported_table1_closed_set,True,46
dourbes,Olivine,Olivine,supported_table1_closed_set,True,23
dourbes,Other Silicate,Other Silicate,broad_sherloc_silicate_mapped_to_table1_other_silicate,True,16
dourbes,Perchlorate/Phosphate,,ambiguous_sherloc_label_spelled_phospate_not_directly_usable_for_closed_set_training,False,4
dourbes,Sulfate,Sulfate,supported_table1_closed_set,True,43
garde,Carbonate,Carbonate,supported_table1_closed_set,True,57
garde,Olivine,Olivine,supported_table1_closed_set,True,98
garde,Other Silicate,Other Silicate,broad_sherloc_silicate_mapped_to_table1_other_silicate,True,18
garde,Perchlorate/Phosphate,,ambiguous_sherloc_label_spelled_phospate_not_directly_usable_for_closed_set_training,False,16
garde,Pyroxene,Pyroxene,supported_table1_closed_set,True,2
guillaumes,Other Silicate,Other Silicate,broad_sherloc_silicate_mapped_to_table1_other_silicate,True,1
guillaumes,Perchlorate,Perchlorate,species_level_sherloc_label_mapped_to_table1_perchlorate,True,3
guillaumes,Perchlorate/Chlorate,,ambiguous_sherloc_salt_label_not_directly_usable_for_closed_set_training,False,18
guillaumes,Sulfate,Sulfate,supported_table1_closed_set,True,12
quartier,Carbonate,Carbonate,supported_table1_closed_set,True,48
quartier,Olivine,Olivine,supported_table1_closed_set,True,4
quartier,Other Silicate,Other Silicate,broad_sherloc_silicate_mapped_to_table1_other_silicate,True,3
quartier,Perchlorate/Chlorate,,ambiguous_sherloc_salt_label_not_directly_usable_for_closed_set_training,False,5
quartier,Perchlorate/Phosphate,,ambiguous_sherloc_label_spelled_phospate_not_directly_usable_for_closed_set_training,False,9
quartier,Sulfate,Sulfate,supported_table1_closed_set,True,325
