product_stem,sol,sol_dir,sequence_id,pds_product_lid,pds_csv_url,pds_label_url,local_csv,local_xml,start_time_utc,calibration_target_number,calibration_target_name,region_count,point_spectrum_count
ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02,27,sol_00027,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00027/ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00027/ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02.xml,data/external_sherloc_sau008_pds/products/ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02.csv,data/external_sherloc_sau008_pds/products/ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02.xml,2021-03-18T09:58:39.431Z,3,Mars Meteorite SaU 008,3,3888
ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04,27,sol_00027,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00027/ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00027/ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04.xml,data/external_sherloc_sau008_pds/products/ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04.csv,data/external_sherloc_sau008_pds/products/ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04.xml,2021-03-18T10:08:08.214Z,3,Mars Meteorite SaU 008,3,3888
ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02,27,sol_00027,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00027/ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00027/ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02.xml,data/external_sherloc_sau008_pds/products/ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02.csv,data/external_sherloc_sau008_pds/products/ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02.xml,2021-03-18T10:10:50.215Z,3,Mars Meteorite SaU 008,3,6
ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02,59,sol_00059,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.xml,data/external_sherloc_sau008_pds/products/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.csv,data/external_sherloc_sau008_pds/products/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.xml,2021-04-20T12:23:49.057Z,3,Mars Meteorite SaU 008,3,3888
ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04,59,sol_00059,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.xml,data/external_sherloc_sau008_pds/products/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.csv,data/external_sherloc_sau008_pds/products/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.xml,2021-04-20T12:33:17.792Z,3,Mars Meteorite SaU 008,3,3888
ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04,59,sol_00059,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.xml,data/external_sherloc_sau008_pds/products/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.csv,data/external_sherloc_sau008_pds/products/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.xml,2021-04-20T12:36:29.793Z,3,Mars Meteorite SaU 008,3,6
ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03,181,sol_00181,srlc15031,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.xml,data/external_sherloc_sau008_pds/products/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.csv,data/external_sherloc_sau008_pds/products/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.xml,2021-08-24T00:17:50.870Z,3,Mars Meteorite SaU 008,3,300
ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03,181,sol_00181,srlc15031,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.xml,data/external_sherloc_sau008_pds/products/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.csv,data/external_sherloc_sau008_pds/products/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.xml,2021-08-24T00:30:58.611Z,3,Mars Meteorite SaU 008,3,3
ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06,181,sol_00181,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06.xml,data/external_sherloc_sau008_pds/products/ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06.csv,data/external_sherloc_sau008_pds/products/ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06.xml,2021-08-24T00:33:53.876Z,3,Mars Meteorite SaU 008,3,3888
ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03,181,sol_00181,srlc15030,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03.xml,data/external_sherloc_sau008_pds/products/ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03.csv,data/external_sherloc_sau008_pds/products/ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03.xml,2021-08-24T00:51:41.414Z,3,Mars Meteorite SaU 008,3,6
