raman_shift_cm-1,intensity
6.471245409295079,-6152.5
16.982579577175784,-5792.5
27.488420826121,-6495.0
37.82727112300927,-5050.0
48.32222378472943,-3637.5
58.81169636159757,-3425.0
69.13444233852351,-6460.0
79.61305175918096,-5782.5
90.08619388911029,-6775.0
100.3928731441556,-6677.5
110.85517746976257,-5330.0
121.31202725896583,-5697.5
131.60267727325845,-5777.5
142.04871453120722,-5635.0
152.32872661711735,-7037.5
162.76396810560982,-6572.5
173.03335875001358,-7055.0
183.45782119622163,-6242.5
193.7166068519291,-3460.0
204.13030694848567,-3057.5
214.37850403435004,-1005.0
224.78145843945094,225.0
235.01908334044856,-20.0
245.41130867790343,-72.5
255.63837774522108,-92.5
265.8602158678186,165.0
276.23642015571386,232.5
286.44772684514464,20.0
296.8132434111685,-12.5
307.0140349346548,102.5
317.20961565855396,-7.5
327.3999895745583,-177.5
337.7442627077253,-92.5
347.9241537664129,137.5
358.09885002992814,95.0
368.26835547362134,-165.0
378.5914504125685,-20.0
388.7505051753542,-57.5
398.904381081913,-135.0
409.05308209132636,45.0
419.19661215865926,75.0
429.33497523493133,2.5
439.6264655721243,132.5
449.75442592354375,142.5
459.8772311743669,380.0
469.994885259468,535.0
480.1073921097559,485.0
490.2147556521086,355.0
500.31697980943136,270.0
510.41406850063504,540.0
520.5060256406432,385.0
530.5928551403995,420.0
540.6745609068894,205.0
550.7511468431039,347.5
560.8226168481124,132.5
570.888974816975,117.5
580.9502246408374,287.5
590.8492821665932,242.5
600.9004070215669,355.0
610.9464353206786,460.0
620.9873709393723,1110.0
631.0232177491416,2040.0
641.0539796175653,3035.0
650.9230482019848,3050.0
660.9437310766662,1687.5
670.9593405290361,765.0
680.9698804110958,697.5
690.8190579752118,540.0
700.8195493193562,435.0
710.8149825658329,195.0
720.805361551138,280.0
730.6347081696731,257.5
740.615068950312,255.0
750.4345613154874,592.5
760.404918953056,490.0
770.3702413346182,285.0
780.174941402227,297.5
790.130283235645,587.5
799.925166080895,652.5
809.870542352357,580.0
819.6556227125038,540.0
829.5910483782136,470.0
839.3663409610526,345.0
849.2918309472952,370.0
859.0573504311906,242.5
868.972919634427,155.0
878.7286806683987,382.5
888.6343439553166,255.0
898.3803611591575,245.0
908.1215502254199,105.0
918.0124213310337,390.0
927.743888384779,-42.5
937.4705381077074,15.0
947.3466501411676,147.5
957.0635996041165,32.5
966.7757425107775,317.5
976.6371284824854,-220.0
986.3395928168538,285.0
996.0372613373547,260.0
1005.7301375988682,152.5
1015.5719657306545,62.5
1025.2551921985141,405.0
1034.9336371072422,355.0
1044.6073039976618,295.0
1054.2761964070742,67.5
1063.9403178693246,207.5
1073.5996719147442,142.5
1083.407471143284,265.0
1093.0572253991559,365.0
1102.7022228641872,232.5
1112.342467054761,160.0
1121.9779614837971,100.0
1131.6087096607444,330.0
1141.2347150916103,310.0
1150.855981278939,117.5
1160.4725117218331,327.5
1170.0843099159465,185.0
1179.6913793534914,240.0
1189.293723523253,270.0
1198.7390395597322,220.0
1208.3320185130287,125.0
1217.9202825891407,32.5
1227.5038352631818,145.0
1237.0826800068826,142.5
1246.656820288561,-157.5
1256.226259573108,-72.5
1265.639216696829,30.0
1275.1993388504197,285.0
1284.7547703264208,135.0
1294.3055145761755,65.0
1303.7000868433097,-197.5
1313.2415412453192,-125.0
1322.778318700337,-37.5
1332.3104226462892,-5.0
1341.686663866676,212.5
1351.209505141669,85.0
1360.7276831467534,132.5
1370.0902294598854,57.5
1379.5991650801443,92.5
1388.9526223370776,170.0
1398.4523290278594,60.0
1407.7967104575146,292.5
1417.287201648047,150.0
1426.7730533080103,-10.0
1436.103809547145,357.5
1445.5804658554116,-125.0
1454.9021792800195,92.5
1464.369653600741,10.0
1473.6823373500956,302.5
1482.9905472474493,40.0
1492.444310209452,-2.5
1501.7435100404182,95.0
1511.1881242589807,-85.0
1520.4783270994303,47.5
1529.7640722760407,120.0
1539.1950247490095,-52.5
1548.4717924494325,97.5
1557.7441121511074,97.5
1567.1614324998736,62.5
1576.4247941832873,120.0
1585.6837175051332,155.0
1594.9382056544855,97.5
1604.3374199708414,47.5
1613.5829759239496,112.5
1622.824106304739,395.0
1632.0608142900164,390.0
1641.2931030535765,-167.5
1650.6697762525364,75.0
1659.8931649322622,60.0
1669.1121439444323,55.0
1678.3267164506542,-85.0
1687.5368856095301,127.5
1696.7426545766357,-425.0
1705.9440265045123,77.5
1715.1410045427256,162.5
1724.3335918377925,100.0
1733.5217915332687,-20.0
1742.7056067696903,-17.5
1751.8850406845886,162.5
1761.0600964125188,97.5
1770.2307770850239,95.0
1779.3970858307002,95.0
1788.5590257751173,82.5
1797.7166000408906,-7.5
1806.8698117476524,210.0
1816.018664012081,-132.5
1825.163159947857,142.5
1834.155915533025,40.0
1843.29177827917,15.0
1852.4232939699286,157.5
1861.5504657072088,-137.5
1870.6732965899719,-77.5
1879.6447516459302,-142.5
1888.758979994156,-35.0
1897.8688767172498,80.0
1906.974444902422,242.5
1915.9289277003045,90.0
1925.025917750907,110.0
1934.118588458099,-90.0
1943.060390766601,150.0
1952.144501554074,-70.0
1961.2243021666218,137.5
1970.153450902042,37.5
1979.224709758193,-60.0
1988.1454604369865,47.5
1997.208189584475,105.0
2006.1205540488954,20.0
2015.1747655127983,27.5
2024.0787555828574,105.0
2033.12446136566,-90.0
2042.0200888391628,105.0
2051.057300920809,-102.5
2059.9445775734057,75.0
2068.9733079113576,82.5
2077.852245496608,62.5
2086.8725060258876,172.5
2095.743116275291,27.5
2104.6096010526526,97.5
2113.6172135316083,-30.0
2122.47538848166,240.0
2131.329446630596,-25.0
2140.324437642892,105.0
2149.170203423986,357.5
2158.011861050589,142.5
2166.994257105456,-50.0
2175.8276397748195,82.5
2184.656922912145,-1635.0
2193.4821093706196,47.5
2202.303202000803,55.0
2211.2647105948345,100.0
2220.077557114593,170.0
2228.886318388424,62.5
2237.690997256308,-280.0
2246.4915965555338,155.0
2255.2881191208,52.5
2264.0805677841927,-27.5
2272.8689453751285,70.0
2281.6532547204406,-15.0
2290.5774032157206,55.0
2299.353517963289,15.0
2308.125572976198,222.5
2316.8935710707883,152.5
2325.6575150607896,30.0
2334.273835606982,112.5
2343.029746164546,267.5
2351.7816109971245,477.5
2360.5294329081007,127.5
2369.273214698267,205.0
2378.0129591658333,142.5
2386.7486691064187,72.5
2395.4803473130596,162.5
2404.2079965762314,62.5
2412.7886419143615,135.0
2421.5083075861257,-160.0
2430.2239526247868,205.0
2438.9355798105607,92.5
2447.64319192111,145.0
2456.204142101218,170.0
2464.9037980916983,257.5
2473.5994472792227,152.5
2482.1486387123514,52.5
2490.836348166158,172.5
2499.5200590665554,0.0
2508.0575159626023,145.0
2516.73330347069,110.0
2525.405100652257,425.0
2533.930847154741,297.5
2542.5947372405863,272.5
2551.112711590584,100.0
2559.768705390503,497.5
2568.2789182109263,82.5
2576.927026515041,195.0
2585.571163571316,395.0
2594.069721988235,235.0
2602.5644435408976,532.5
2611.196813145194,275.0
