raman_shift_cm-1,intensity
6.471245409295079,-47.5
16.982579577175784,17.5
27.488420826121,-17.5
37.82727112300927,-32.5
48.32222378472943,-37.5
58.81169636159757,32.5
69.13444233852351,-20.0
79.61305175918096,42.5
90.08619388911029,-2.5
100.3928731441556,77.5
110.85517746976257,-57.5
121.31202725896583,-90.0
131.60267727325845,47.5
142.04871453120722,-87.5
152.32872661711735,32.5
162.76396810560982,15.0
173.03335875001358,27.5
183.45782119622163,-5.0
193.7166068519291,10.0
204.13030694848567,-57.5
214.37850403435004,57.5
224.78145843945094,170.0
235.01908334044856,125.0
245.41130867790343,-67.5
255.63837774522108,2.5
265.8602158678186,-185.0
276.23642015571386,-65.0
286.44772684514464,295.0
296.8132434111685,-152.5
307.0140349346548,-62.5
317.20961565855396,-147.5
327.3999895745583,-35.0
337.7442627077253,37.5
347.9241537664129,-60.0
358.09885002992814,-167.5
368.26835547362134,-47.5
378.5914504125685,-232.5
388.7505051753542,-540.0
398.904381081913,-47.5
409.05308209132636,-45.0
419.19661215865926,-57.5
429.33497523493133,222.5
439.6264655721243,-247.5
449.75442592354375,45.0
459.8772311743669,382.5
469.994885259468,87.5
480.1073921097559,-47.5
490.2147556521086,475.0
500.31697980943136,57.5
510.41406850063504,-447.5
520.5060256406432,-375.0
530.5928551403995,-17.5
540.6745609068894,252.5
550.7511468431039,122.5
560.8226168481124,-300.0
570.888974816975,237.5
580.9502246408374,-285.0
590.8492821665932,235.0
600.9004070215669,-132.5
610.9464353206786,50.0
620.9873709393723,92.5
631.0232177491416,-82.5
641.0539796175653,-325.0
650.9230482019848,-122.5
660.9437310766662,-287.5
670.9593405290361,-165.0
680.9698804110958,-345.0
690.8190579752118,-90.0
700.8195493193562,-460.0
710.8149825658329,-387.5
720.805361551138,-12.5
730.6347081696731,2.5
740.615068950312,42.5
750.4345613154874,-170.0
760.404918953056,-167.5
770.3702413346182,-10.0
780.174941402227,30.0
790.130283235645,115.0
799.925166080895,-85.0
809.870542352357,12.5
819.6556227125038,120.0
829.5910483782136,-245.0
839.3663409610526,-97.5
849.2918309472952,-432.5
859.0573504311906,-297.5
868.972919634427,-340.0
878.7286806683987,42.5
888.6343439553166,360.0
898.3803611591575,-442.5
908.1215502254199,15.0
918.0124213310337,324.957
