raman_shift_cm-1,wavelength_nm,intensity
-323.608033,246.616000,0.000000
-312.759145,246.682000,0.000000
-301.916061,246.748000,0.000000
-291.078776,246.814000,-0.018500
-280.083216,246.881000,-0.043000
-269.257603,246.947000,-0.020000
-258.437774,247.013000,-0.458000
-247.623726,247.079000,0.609000
-236.815454,247.145000,0.505500
-226.012953,247.211000,-0.813500
-215.216219,247.277000,-0.196000
-204.425246,247.343000,-0.030000
-193.640031,247.409000,-0.850500
-182.860568,247.475000,0.615000
-172.086854,247.541000,-1.025500
-161.318883,247.607000,-0.684000
-150.556651,247.673000,-0.264500
-139.800153,247.739000,-0.101500
-129.049385,247.805000,-0.755500
-118.467103,247.870000,0.313500
-107.727694,247.936000,0.170000
-96.994001,248.002000,0.744000
-86.266020,248.068000,-0.279500
-75.543746,248.134000,-0.229000
-64.827174,248.200000,0.089000
-54.278543,248.265000,-1.505500
-43.573277,248.331000,-0.159000
-32.873698,248.397000,0.415500
-22.179805,248.463000,0.766000
-11.653491,248.528000,-0.152000
-0.970866,248.594000,-0.631000
9.706087,248.660000,-1.022500
20.377375,248.726000,0.248000
30.881442,248.791000,0.340000
41.541497,248.857000,0.312500
52.195898,248.923000,0.281000
62.683348,248.988000,0.024500
73.326542,249.054000,-0.257000
83.802964,249.119000,-0.376000
94.434970,249.185000,-0.555500
104.900381,249.250000,-0.764000
115.521215,249.316000,-0.360500
125.975632,249.381000,-0.579500
136.585313,249.447000,-0.533000
147.028754,249.512000,0.519500
157.627298,249.578000,0.773000
168.059780,249.643000,0.946000
178.647205,249.709000,-0.178000
189.068746,249.774000,-1.994500
199.645070,249.840000,0.560000
210.055686,249.905000,-0.183500
220.620926,249.971000,-3.078000
231.020635,250.036000,-12.621500
241.414938,250.101000,-1.608000
251.963627,250.167000,-1.102500
262.347049,250.232000,0.161000
272.725077,250.297000,-5.514000
283.097717,250.362000,-19.360000
293.624427,250.428000,-2.137500
303.986219,250.493000,-6.407500
314.342635,250.558000,-2.768000
324.693679,250.623000,-2.302500
335.198478,250.689000,-0.271000
345.538708,250.754000,1.052500
355.873579,250.819000,-0.029000
366.203095,250.884000,-2.063000
376.527259,250.949000,-1.498500
386.846077,251.014000,-2.002500
397.318179,251.080000,3.627500
407.626234,251.145000,2.340500
417.928954,251.210000,-1.970000
428.226343,251.275000,1.807500
438.518407,251.340000,1.662500
448.805149,251.405000,0.775500
459.086573,251.470000,-1.058000
469.362683,251.535000,-3.190500
479.633483,251.600000,-3.444000
489.898978,251.665000,-1.529500
500.159172,251.730000,3.320500
510.414069,251.795000,4.008000
520.663672,251.860000,3.909000
530.907986,251.925000,2.541000
541.147015,251.990000,7.440000
551.223361,252.054000,4.226000
561.451914,252.119000,3.386000
571.675194,252.184000,13.674500
581.893205,252.249000,-1.098500
592.105952,252.314000,-0.613500
602.313438,252.379000,-5.377000
612.358750,252.443000,-2.533500
622.555807,252.508000,-6.538500
632.747617,252.573000,-2.073500
642.934182,252.638000,0.108000
652.958910,252.702000,-3.520000
663.135079,252.767000,-6.599500
673.306016,252.832000,-3.990500
683.315368,252.896000,1.402000
693.475932,252.961000,-1.392000
703.631276,253.026000,-2.432000
713.625287,253.090000,-4.013000
723.770283,253.155000,-1.378000
733.910070,253.220000,-0.702000
743.888776,253.284000,0.016000
754.018238,253.349000,-1.136500
763.986786,253.413000,-0.548500
774.105940,253.478000,-0.910500
784.064345,253.542000,-2.993000
794.173206,253.607000,0.385000
