raman_shift_cm-1,wavelength_nm,intensity
-311.444523,246.690000,0.000000
-300.766377,246.755000,0.000000
-290.093855,246.820000,0.000000
-279.262891,246.886000,0.000000
-268.601691,246.951000,0.433780
-257.946101,247.016000,1.225320
-247.296118,247.081000,3.829040
-236.651737,247.146000,-3.360360
-226.012953,247.211000,-2.753090
-215.216219,247.277000,-4.484710
-204.588703,247.342000,-6.811930
-193.966771,247.407000,-3.305420
-183.350419,247.472000,1.074320
-172.739643,247.537000,-1.582160
-162.134437,247.602000,-5.795900
-151.534799,247.667000,2.929510
-140.940722,247.732000,-8.326350
-130.352203,247.797000,3.426330
-119.769238,247.862000,6.088490
-109.191822,247.927000,-1.393350
-98.619951,247.992000,2.591730
-88.053621,248.057000,2.342420
-77.655258,248.121000,7.793980
-67.099910,248.186000,-6.743330
-56.550089,248.251000,0.111040
-46.005792,248.316000,-1.071810
-35.467013,248.381000,6.513950
-24.933749,248.446000,-1.544800
-14.405995,248.511000,-12.123810
-4.045586,248.575000,-3.261970
6.471245,248.640000,-2.232280
16.982580,248.705000,5.059110
27.488421,248.770000,-1.479030
37.827271,248.834000,0.902710
48.322224,248.899000,-0.893070
58.811696,248.964000,1.398570
69.134442,249.028000,-8.738920
79.613052,249.093000,-1.843810
90.086194,249.158000,-6.201920
100.392873,249.222000,-6.628230
110.855177,249.287000,-2.172790
121.312027,249.352000,6.041110
131.602677,249.416000,-5.518950
142.048715,249.481000,-1.069190
152.328727,249.545000,-2.616470
162.763968,249.610000,-0.017790
173.033359,249.674000,-0.386020
183.457821,249.739000,0.302240
193.716607,249.803000,14.295350
204.130307,249.868000,14.940440
214.378504,249.932000,36.426540
224.781458,249.997000,34.504450
235.019083,250.061000,49.319480
245.411309,250.126000,73.203780
255.638378,250.190000,58.356270
265.860216,250.254000,59.931350
276.236420,250.319000,9.094100
286.447727,250.383000,-71.546720
296.813243,250.448000,27.213810
307.014035,250.512000,-11.125070
317.209616,250.576000,11.116840
327.399990,250.640000,-18.574030
337.744263,250.705000,19.562840
347.924154,250.769000,-2.822320
358.098850,250.833000,46.779390
368.268355,250.897000,60.131690
378.591450,250.962000,1.030040
388.750505,251.026000,-1.930250
398.904381,251.090000,42.762140
409.053082,251.154000,-6.849260
419.196612,251.218000,-27.057250
429.334975,251.282000,-18.659300
439.626466,251.347000,10.935060
449.754426,251.411000,18.379030
459.877231,251.475000,-18.984920
469.994885,251.539000,59.297680
480.107392,251.603000,31.514570
490.214756,251.667000,21.874430
500.316980,251.731000,-17.102450
510.414069,251.795000,-19.329560
520.506026,251.859000,-2.932800
530.592855,251.923000,-13.730680
540.674561,251.987000,28.644750
550.751147,252.051000,15.977810
560.822617,252.115000,67.894940
570.888975,252.179000,-3.781750
580.950225,252.243000,-5.737400
590.849282,252.306000,-12.307220
600.900407,252.370000,-3.257500
610.946435,252.434000,56.361850
620.987371,252.498000,13.957030
631.023218,252.562000,20.079200
641.053980,252.626000,10.373070
650.923048,252.689000,-2.925620
660.943731,252.753000,-32.482490
670.959341,252.817000,95.011260
680.969880,252.881000,-18.763700
690.819058,252.944000,-8.379750
700.819549,253.008000,6.091700
710.814983,253.072000,-15.321110
720.805362,253.136000,-3.408870
730.634708,253.199000,-21.112890
740.615069,253.263000,14.262860
750.434561,253.326000,54.449190
760.404919,253.390000,67.866580
770.370241,253.454000,65.003950
780.174941,253.517000,-35.957330
790.130283,253.581000,4.545220
799.925166,253.644000,84.293210
809.870542,253.708000,57.765400
819.655623,253.771000,67.151580
829.591048,253.835000,53.318990
839.366341,253.898000,64.412240
849.291831,253.962000,19.008130
859.057350,254.025000,-47.250540
868.972920,254.089000,-52.968610
878.728681,254.152000,-1.655010
888.634344,254.216000,-80.834270
898.380361,254.279000,-44.772910
908.121550,254.342000,-9.344820
918.012421,254.406000,-13.178310
927.743888,254.469000,-5.842270
937.470538,254.532000,19.973290
947.346650,254.596000,49.509370
957.063600,254.659000,3.026370
966.775743,254.722000,46.289430
976.637128,254.786000,44.501180
986.339593,254.849000,-33.658910
996.037261,254.912000,124.655140
1005.730138,254.975000,72.607680
1015.571966,255.039000,13.206670
1025.255192,255.102000,46.462310
1034.933637,255.165000,64.935150
1044.607304,255.228000,-12.770490
1054.276196,255.291000,49.050800
1063.940318,255.354000,-19.548450
1073.599672,255.417000,-24.801710
1083.407471,255.481000,4.608990
1093.057225,255.544000,75.408050
1102.702223,255.607000,8.224010
1112.342467,255.670000,-2.436150
1121.977961,255.733000,-49.976860
1131.608710,255.796000,5.741140
1141.234715,255.859000,-19.255440
1150.855981,255.922000,-9.391490
1160.472512,255.985000,31.903180
1170.084310,256.048000,5.540830
1179.691379,256.111000,-17.973290
1189.293724,256.174000,37.729960
1198.739040,256.236000,-22.222760
1208.332019,256.299000,59.026760
1217.920283,256.362000,41.458270
1227.503835,256.425000,35.995550
1237.082680,256.488000,40.103270
1246.656820,256.551000,3.913800
1256.226260,256.614000,-2.715680
1265.639217,256.676000,42.596880
1275.199339,256.739000,82.821270
1284.754770,256.802000,74.038700
1294.305515,256.865000,134.382400
1303.700087,256.927000,141.381580
1313.241541,256.990000,53.593530
1322.778319,257.053000,62.400560
1332.310423,257.116000,84.532430
1341.686664,257.178000,50.057280
1351.209505,257.241000,87.133150
1360.727683,257.304000,59.847110
1370.090229,257.366000,3.143340
1379.599165,257.429000,55.168790
1388.952622,257.491000,48.582650
1398.452329,257.554000,-32.390610
1407.796710,257.616000,34.450220
1417.287202,257.679000,-35.850760
1426.773053,257.742000,23.469240
1436.103810,257.804000,11.255230
1445.580466,257.867000,5.401790
1454.902179,257.929000,102.995140
1464.369654,257.992000,45.210480
1473.682337,258.054000,21.186090
1482.990547,258.116000,-47.489510
1492.444310,258.179000,-2.469100
1501.743510,258.241000,13.989900
1511.188124,258.304000,44.622280
1520.478327,258.366000,-2.682490
1529.764072,258.428000,26.741430
1539.195025,258.491000,13.187810
1548.471792,258.553000,37.388970
1557.744112,258.615000,29.322940
1567.161432,258.678000,14.953810
1576.424794,258.740000,6.724880
1585.683718,258.802000,8.121290
1594.938206,258.864000,41.056930
1604.337420,258.927000,-10.510230
1613.582976,258.989000,46.719890
1622.824106,259.051000,71.488060
1632.060814,259.113000,24.038250
1641.293103,259.175000,32.893400
1650.669776,259.238000,-25.919620
1659.893165,259.300000,31.572060
1669.112144,259.362000,28.097970
1678.326716,259.424000,28.143080
1687.536886,259.486000,-19.627420
1696.742655,259.548000,35.584580
1705.944027,259.610000,46.620800
1715.141005,259.672000,-34.486180
1724.333592,259.734000,48.118690
1733.521792,259.796000,-14.550030
1742.705607,259.858000,64.473050
1751.885041,259.920000,33.345800
1761.060096,259.982000,42.877810
1770.230777,260.044000,45.114240
1779.397086,260.106000,107.288010
1788.559026,260.168000,60.795360
1797.716600,260.230000,67.928520
1806.869812,260.292000,86.017250
1816.018664,260.354000,66.622210
1825.163160,260.416000,36.751940
1834.155916,260.477000,67.483250
1843.291778,260.539000,19.033140
1852.423294,260.601000,-35.896130
1861.550466,260.663000,27.806760
1870.673297,260.725000,-2.095070
1879.644752,260.786000,9.381480
1888.758980,260.848000,15.649410
1897.868877,260.910000,3.909920
1906.974445,260.972000,-36.972920
1915.928928,261.033000,25.589560
1925.025918,261.095000,36.623000
1934.118588,261.157000,47.399010
1943.060391,261.218000,94.987030
1952.144502,261.280000,55.236100
1961.224302,261.342000,13.215530
1970.153451,261.403000,-5.807590
1979.224710,261.465000,-6.114720
1988.145460,261.526000,-49.972690
1997.208190,261.588000,43.628760
2006.120554,261.649000,-24.793020
2015.174766,261.711000,30.869560
2024.078756,261.772000,51.057280
2033.124461,261.834000,67.979460
2042.020089,261.895000,67.703410
2051.057301,261.957000,34.662380
2059.944578,262.018000,23.281950
2068.973308,262.080000,-8.494560
2077.852245,262.141000,-11.551220
2086.872506,262.203000,1.907520
2095.743116,262.264000,0.460920
2104.609601,262.325000,27.303940
2113.617214,262.387000,25.774860
2122.475388,262.448000,-10.933540
2131.329447,262.509000,15.377420
2140.324438,262.571000,26.227460
2149.170203,262.632000,26.048070
2158.011861,262.693000,49.939380
2166.994257,262.755000,-0.590590
2175.827640,262.816000,16.280720
2184.656923,262.877000,80.665460
2193.482109,262.938000,55.038390
2202.303202,262.999000,52.796770
2211.264711,263.061000,73.857710
2220.077557,263.122000,38.988680
2228.886318,263.183000,35.218760
2237.690997,263.244000,64.484180
2246.491597,263.305000,11.893750
2255.288119,263.366000,17.355210
2264.080568,263.427000,14.909090
2272.868945,263.488000,16.101320
2281.653255,263.549000,-5.903140
2290.577403,263.611000,10.662900
2299.353518,263.672000,-0.399460
2308.125573,263.733000,-40.506520
2316.893571,263.794000,7.359560
2325.657515,263.855000,78.122260
2334.273836,263.915000,92.315330
2343.029746,263.976000,142.729240
2351.781611,264.037000,109.454760
2360.529433,264.098000,101.393250
2369.273215,264.159000,172.742730
2378.012959,264.220000,107.940360
2386.748669,264.281000,72.436140
2395.480347,264.342000,59.033450
2404.207997,264.403000,-11.609790
2412.788642,264.463000,45.729940
2421.508308,264.524000,61.949230
2430.223953,264.585000,41.274320
2438.935580,264.646000,30.171000
2447.643192,264.707000,46.011160
2456.204142,264.767000,30.085210
2464.903798,264.828000,38.053730
2473.599447,264.889000,-1.486400
2482.148639,264.949000,-27.722210
2490.836348,265.010000,31.932660
2499.520059,265.071000,50.695900
2508.057516,265.131000,-14.920890
2516.733303,265.192000,-29.824550
2525.405101,265.253000,11.652750
2533.930847,265.313000,-60.608820
2542.594737,265.374000,-13.150330
2551.112712,265.434000,-6.035790
2559.768705,265.495000,-24.517300
2568.278918,265.555000,7.481080
2576.927027,265.616000,-16.714980
2585.571164,265.677000,37.418840
2594.069722,265.737000,5.153330
2602.564444,265.797000,59.053070
2611.196813,265.858000,2.125560
2619.683805,265.918000,-24.379800
2628.308321,265.979000,3.686810
2636.787594,266.039000,-2.253340
2645.404268,266.100000,36.598740
2653.875831,266.160000,59.191090
2662.343577,266.220000,25.859870
2670.948539,266.281000,22.545490
2679.408591,266.341000,2.341730
2687.864833,266.401000,3.828420
2696.458108,266.462000,-7.215890
2704.906672,266.522000,-7.170250
2713.351433,266.582000,-2.386150
2721.792393,266.642000,14.137860
2730.370143,266.703000,0.862940
2738.803447,266.763000,19.933450
2747.232958,266.823000,-37.334330
2755.658679,266.883000,-6.488160
2764.220946,266.944000,-12.738910
2772.639032,267.004000,-9.483660
2781.053334,267.064000,38.010560
2789.463857,267.124000,-101.913550
