raman_shift_cm-1,wavelength_nm,intensity
-311.444523,246.690000,0.000000
-300.766377,246.755000,0.000000
-290.093855,246.820000,0.000000
-279.262891,246.886000,0.000000
-268.601691,246.951000,0.150000
-257.946101,247.016000,0.410000
-247.296118,247.081000,1.420000
-236.651737,247.146000,-1.170000
-226.012953,247.211000,-1.010000
-215.216219,247.277000,-1.510000
-204.588703,247.342000,-2.490000
-193.966771,247.407000,-1.200000
-183.350419,247.472000,0.430000
-172.739643,247.537000,-0.560000
-162.134437,247.602000,-2.130000
-151.534799,247.667000,1.180000
-140.940722,247.732000,-2.960000
-130.352203,247.797000,1.230000
-119.769238,247.862000,2.130000
-109.191822,247.927000,-0.510000
-98.619951,247.992000,0.950000
-88.053621,248.057000,0.870000
-77.655258,248.121000,2.820000
-67.099910,248.186000,-2.360000
-56.550089,248.251000,-0.040000
-46.005792,248.316000,-0.380000
-35.467013,248.381000,2.250000
-24.933749,248.446000,-0.500000
-14.405995,248.511000,-4.460000
-4.045586,248.575000,-1.220000
6.471245,248.640000,-0.810000
16.982580,248.705000,1.760000
27.488421,248.770000,-0.540000
37.827271,248.834000,0.380000
48.322224,248.899000,-0.380000
58.811696,248.964000,0.440000
69.134442,249.028000,-3.140000
79.613052,249.093000,-0.590000
90.086194,249.158000,-2.050000
100.392873,249.222000,-2.240000
110.855177,249.287000,-0.810000
121.312027,249.352000,2.090000
131.602677,249.416000,-1.920000
142.048715,249.481000,-0.280000
152.328727,249.545000,-0.910000
162.763968,249.610000,0.010000
173.033359,249.674000,-0.010000
183.457821,249.739000,-0.060000
193.716607,249.803000,4.110000
204.130307,249.868000,-0.610000
214.378504,249.932000,1.710000
224.781458,249.997000,-106.210000
235.019083,250.061000,-314.340000
245.411309,250.126000,-181.980000
255.638378,250.190000,-45.800000
265.860216,250.254000,83.560000
276.236420,250.319000,9.860000
286.447727,250.383000,-42.470000
296.813243,250.448000,-39.820000
307.014035,250.512000,-59.650000
317.209616,250.576000,-19.000000
327.399990,250.640000,-9.860000
337.744263,250.705000,3.510000
347.924154,250.769000,-25.620000
358.098850,250.833000,36.910000
368.268355,250.897000,30.180000
378.591450,250.962000,3.750000
388.750505,251.026000,53.560000
398.904381,251.090000,173.650000
409.053082,251.154000,100.530000
419.196612,251.218000,69.610000
429.334975,251.282000,7.190000
439.626466,251.347000,5.780000
449.754426,251.411000,4.400000
459.877231,251.475000,-31.400000
469.994885,251.539000,11.520000
480.107392,251.603000,22.100000
490.214756,251.667000,70.970000
500.316980,251.731000,-9.000000
510.414069,251.795000,165.410000
520.506026,251.859000,223.480000
530.592855,251.923000,4.700000
540.674561,251.987000,15.300000
550.751147,252.051000,37.570000
560.822617,252.115000,27.190000
570.888975,252.179000,-0.610000
580.950225,252.243000,-0.210000
590.849282,252.306000,-4.570000
600.900407,252.370000,0.330000
610.946435,252.434000,20.950000
620.987371,252.498000,14.780000
631.023218,252.562000,14.800000
641.053980,252.626000,7.620000
650.923048,252.689000,-1.570000
660.943731,252.753000,-5.890000
670.959341,252.817000,63.570000
680.969880,252.881000,42.750000
690.819058,252.944000,-23.320000
700.819549,253.008000,56.140000
710.814983,253.072000,5.300000
720.805362,253.136000,8.080000
730.634708,253.199000,31.070000
740.615069,253.263000,42.760000
750.434561,253.326000,23.010000
760.404919,253.390000,153.850000
770.370241,253.454000,48.930000
780.174941,253.517000,16.990000
790.130283,253.581000,43.370000
799.925166,253.644000,41.390000
809.870542,253.708000,15.120000
819.655623,253.771000,14.620000
829.591048,253.835000,1.240000
839.366341,253.898000,-3.940000
849.291831,253.962000,-54.910000
859.057350,254.025000,-25.350000
868.972920,254.089000,-16.830000
878.728681,254.152000,-60.560000
888.634344,254.216000,-162.960000
898.380361,254.279000,11.570000
908.121550,254.342000,28.370000
918.012421,254.406000,16.030000
927.743888,254.469000,3.970000
937.470538,254.532000,-13.930000
947.346650,254.596000,-5.660000
957.063600,254.659000,-2.480000
966.775743,254.722000,14.410000
976.637128,254.786000,7.970000
986.339593,254.849000,-35.150000
996.037261,254.912000,36.700000
1005.730138,254.975000,-26.270000
1015.571966,255.039000,-15.510000
1025.255192,255.102000,11.470000
1034.933637,255.165000,-0.670000
1044.607304,255.228000,-44.260000
1054.276196,255.291000,24.760000
1063.940318,255.354000,12.820000
1073.599672,255.417000,42.210000
1083.407471,255.481000,33.110000
1093.057225,255.544000,57.820000
1102.702223,255.607000,15.550000
1112.342467,255.670000,-288.070000
1121.977961,255.733000,-0.860000
1131.608710,255.796000,73.830000
1141.234715,255.859000,28.600000
1150.855981,255.922000,-47.330000
1160.472512,255.985000,-63.710000
1170.084310,256.048000,-38.030000
1179.691379,256.111000,29.550000
1189.293724,256.174000,19.180000
1198.739040,256.236000,11.090000
1208.332019,256.299000,59.590000
1217.920283,256.362000,11.560000
1227.503835,256.425000,3.980000
1237.082680,256.488000,2.050000
1246.656820,256.551000,-12.450000
1256.226260,256.614000,-40.550000
1265.639217,256.676000,7.040000
1275.199339,256.739000,39.370000
1284.754770,256.802000,21.540000
1294.305515,256.865000,40.890000
1303.700087,256.927000,69.910000
1313.241541,256.990000,174.420000
1322.778319,257.053000,63.540000
1332.310423,257.116000,27.220000
1341.686664,257.178000,-6.400000
1351.209505,257.241000,9.350000
1360.727683,257.304000,176.010000
1370.090229,257.366000,197.590000
1379.599165,257.429000,100.410000
1388.952622,257.491000,68.180000
1398.452329,257.554000,109.310000
1407.796710,257.616000,87.340000
1417.287202,257.679000,2.250000
1426.773053,257.742000,28.760000
1436.103810,257.804000,4.890000
1445.580466,257.867000,-6.790000
1454.902179,257.929000,3.940000
1464.369654,257.992000,-35.410000
1473.682337,258.054000,-0.650000
1482.990547,258.116000,-16.760000
1492.444310,258.179000,-3.990000
1501.743510,258.241000,-6.710000
1511.188124,258.304000,-17.450000
1520.478327,258.366000,13.290000
1529.764072,258.428000,11.900000
1539.195025,258.491000,5.230000
1548.471792,258.553000,15.690000
1557.744112,258.615000,15.790000
1567.161432,258.678000,-23.910000
1576.424794,258.740000,-9.360000
1585.683718,258.802000,-15.600000
1594.938206,258.864000,35.390000
1604.337420,258.927000,23.140000
1613.582976,258.989000,3.120000
1622.824106,259.051000,462.530000
1632.060814,259.113000,527.070000
1641.293103,259.175000,181.520000
1650.669776,259.238000,9.070000
1659.893165,259.300000,49.570000
1669.112144,259.362000,1.500000
1678.326716,259.424000,-60.410000
1687.536886,259.486000,-37.220000
1696.742655,259.548000,8.590000
1705.944027,259.610000,17.870000
1715.141005,259.672000,3.910000
1724.333592,259.734000,21.930000
1733.521792,259.796000,13.160000
1742.705607,259.858000,33.510000
1751.885041,259.920000,-0.660000
1761.060096,259.982000,30.670000
1770.230777,260.044000,52.110000
1779.397086,260.106000,-96.110000
1788.559026,260.168000,23.910000
1797.716600,260.230000,3.810000
1806.869812,260.292000,27.820000
1816.018664,260.354000,-4.150000
1825.163160,260.416000,6.990000
1834.155916,260.477000,18.510000
1843.291778,260.539000,6.490000
1852.423294,260.601000,-11.680000
1861.550466,260.663000,5.810000
1870.673297,260.725000,-10.840000
1879.644752,260.786000,-0.580000
1888.758980,260.848000,72.340000
1897.868877,260.910000,222.360000
1906.974445,260.972000,25.120000
1915.928928,261.033000,4.030000
1925.025918,261.095000,2.450000
1934.118588,261.157000,-24.300000
1943.060391,261.218000,8.200000
1952.144502,261.280000,31.270000
1961.224302,261.342000,176.070000
1970.153451,261.403000,19.580000
1979.224710,261.465000,18.920000
1988.145460,261.526000,-18.560000
1997.208190,261.588000,-2.440000
2006.120554,261.649000,10.250000
2015.174766,261.711000,20.270000
2024.078756,261.772000,14.820000
2033.124461,261.834000,16.480000
2042.020089,261.895000,47.350000
2051.057301,261.957000,162.400000
2059.944578,262.018000,-109.710000
2068.973308,262.080000,-22.090000
2077.852245,262.141000,-24.870000
2086.872506,262.203000,-36.450000
2095.743116,262.264000,-43.350000
2104.609601,262.325000,36.770000
2113.617214,262.387000,90.900000
2122.475388,262.448000,-0.830000
2131.329447,262.509000,-25.130000
2140.324438,262.571000,8.650000
2149.170203,262.632000,37.670000
2158.011861,262.693000,11.880000
2166.994257,262.755000,-16.860000
2175.827640,262.816000,-5.620000
2184.656923,262.877000,21.120000
2193.482109,262.938000,14.430000
2202.303202,262.999000,91.220000
2211.264711,263.061000,-67.340000
2220.077557,263.122000,14.890000
2228.886318,263.183000,-26.490000
2237.690997,263.244000,-30.190000
2246.491597,263.305000,-71.990000
2255.288119,263.366000,-157.200000
2264.080568,263.427000,-38.300000
2272.868945,263.488000,182.800000
2281.653255,263.549000,-114.650000
2290.577403,263.611000,-70.340000
2299.353518,263.672000,-98.330000
2308.125573,263.733000,-147.220000
2316.893571,263.794000,-70.830000
2325.657515,263.855000,-61.280000
2334.273836,263.915000,-102.110000
2343.029746,263.976000,-16.240000
2351.781611,264.037000,282.050000
2360.529433,264.098000,155.610000
2369.273215,264.159000,103.780000
2378.012959,264.220000,154.500000
2386.748669,264.281000,3.270000
2395.480347,264.342000,-50.110000
2404.207997,264.403000,95.570000
2412.788642,264.463000,-47.930000
2421.508308,264.524000,-12.520000
2430.223953,264.585000,-24.310000
2438.935580,264.646000,-18.860000
2447.643192,264.707000,12.460000
2456.204142,264.767000,25.980000
2464.903798,264.828000,4.590000
2473.599447,264.889000,-27.940000
2482.148639,264.949000,-11.610000
2490.836348,265.010000,10.670000
2499.520059,265.071000,38.790000
2508.057516,265.131000,-8.350000
2516.733303,265.192000,54.670000
2525.405101,265.253000,-41.130000
2533.930847,265.313000,-159.190000
2542.594737,265.374000,-263.430000
2551.112712,265.434000,-47.010000
2559.768705,265.495000,-73.490000
2568.278918,265.555000,-10.450000
2576.927027,265.616000,0.620000
2585.571164,265.677000,33.810000
2594.069722,265.737000,6.610000
2602.564444,265.797000,21.390000
2611.196813,265.858000,-12.160000
2619.683805,265.918000,-9.580000
2628.308321,265.979000,-1.560000
2636.787594,266.039000,-3.420000
2645.404268,266.100000,-12.920000
2653.875831,266.160000,40.970000
2662.343577,266.220000,135.780000
2670.948539,266.281000,207.310000
2679.408591,266.341000,30.500000
2687.864833,266.401000,-95.570000
2696.458108,266.462000,-584.620000
2704.906672,266.522000,-405.200000
2713.351433,266.582000,21.920000
2721.792393,266.642000,118.710000
2730.370143,266.703000,69.880000
2738.803447,266.763000,79.600000
2747.232958,266.823000,-2.280000
2755.658679,266.883000,10.340000
2764.220946,266.944000,16.110000
2772.639032,267.004000,34.890000
