raman_shift_cm-1,wavelength_nm,intensity
-311.444523,246.690000,0.000000
-300.766377,246.755000,0.000000
-290.093855,246.820000,0.000000
-279.262891,246.886000,0.000000
-268.601691,246.951000,0.002660
-257.946101,247.016000,-0.033380
-247.296118,247.081000,0.680049
-236.651737,247.146000,-1.175299
-226.012953,247.211000,0.613195
-215.216219,247.277000,-0.390328
-204.588703,247.342000,-1.062262
-193.966771,247.407000,-1.943843
-183.350419,247.472000,0.133969
-172.739643,247.537000,-0.122722
-162.134437,247.602000,1.287306
-151.534799,247.667000,0.613901
-140.940722,247.732000,-0.914121
-130.352203,247.797000,1.679020
-119.769238,247.862000,2.433116
-109.191822,247.927000,0.328633
-98.619951,247.992000,2.339315
-88.053621,248.057000,-1.010775
-77.655258,248.121000,0.008780
-67.099910,248.186000,0.522573
-56.550089,248.251000,-0.660599
-46.005792,248.316000,0.186946
-35.467013,248.381000,-0.538279
-24.933749,248.446000,1.233965
-14.405995,248.511000,1.270265
-4.045586,248.575000,-1.340013
6.471245,248.640000,0.940146
16.982580,248.705000,2.324058
27.488421,248.770000,0.483151
37.827271,248.834000,0.072108
48.322224,248.899000,-0.414427
58.811696,248.964000,-0.612762
69.134442,249.028000,1.569664
79.613052,249.093000,2.535984
90.086194,249.158000,-1.355680
100.392873,249.222000,-0.397879
110.855177,249.287000,1.725188
121.312027,249.352000,0.331127
131.602677,249.416000,-1.017758
142.048715,249.481000,-0.457876
152.328727,249.545000,-0.338632
162.763968,249.610000,-0.743549
173.033359,249.674000,-2.019253
183.457821,249.739000,-0.457971
193.716607,249.803000,0.613569
204.130307,249.868000,0.611689
214.378504,249.932000,1.851902
224.781458,249.997000,3.077394
235.019083,250.061000,3.587769
245.411309,250.126000,0.593692
255.638378,250.190000,-3.380434
265.860216,250.254000,-5.575726
276.236420,250.319000,-2.350053
286.447727,250.383000,3.239362
296.813243,250.448000,4.949653
307.014035,250.512000,1.206884
317.209616,250.576000,-1.267255
327.399990,250.640000,2.798934
337.744263,250.705000,0.958081
347.924154,250.769000,3.743731
358.098850,250.833000,-1.834646
368.268355,250.897000,-4.981335
378.591450,250.962000,0.105569
388.750505,251.026000,-1.625070
398.904381,251.090000,1.921579
409.053082,251.154000,-0.570877
419.196612,251.218000,3.290920
429.334975,251.282000,-0.267859
439.626466,251.347000,-0.738022
449.754426,251.411000,4.836390
459.877231,251.475000,-1.197563
469.994885,251.539000,0.363999
480.107392,251.603000,1.145371
490.214756,251.667000,0.064420
500.316980,251.731000,7.753712
510.414069,251.795000,-4.448324
520.506026,251.859000,-1.385692
530.592855,251.923000,-4.143292
540.674561,251.987000,2.964869
550.751147,252.051000,-3.856628
560.822617,252.115000,1.320315
570.888975,252.179000,3.393243
580.950225,252.243000,-2.997912
590.849282,252.306000,2.459998
600.900407,252.370000,3.304079
610.946435,252.434000,1.828930
620.987371,252.498000,5.896505
631.023218,252.562000,5.644250
641.053980,252.626000,0.230344
650.923048,252.689000,4.686779
660.943731,252.753000,1.838858
670.959341,252.817000,1.989617
680.969880,252.881000,1.342136
690.819058,252.944000,-2.715279
700.819549,253.008000,0.259239
710.814983,253.072000,7.008918
720.805362,253.136000,1.772618
730.634708,253.199000,3.854165
740.615069,253.263000,0.404679
750.434561,253.326000,1.199032
760.404919,253.390000,-3.755689
770.370241,253.454000,0.825093
780.174941,253.517000,4.277516
790.130283,253.581000,-0.607941
799.925166,253.644000,3.897548
809.870542,253.708000,4.937905
819.655623,253.771000,2.157559
829.591048,253.835000,0.929119
839.366341,253.898000,-2.510959
849.291831,253.962000,-0.203377
859.057350,254.025000,-8.149522
868.972920,254.089000,4.898021
878.728681,254.152000,0.437408
888.634344,254.216000,0.226826
898.380361,254.279000,-1.651826
908.121550,254.342000,0.937364
918.012421,254.406000,0.340386
927.743888,254.469000,4.923947
937.470538,254.532000,-1.409258
947.346650,254.596000,-3.973282
957.063600,254.659000,4.544874
966.775743,254.722000,2.996630
976.637128,254.786000,-4.022955
986.339593,254.849000,6.895720
996.037261,254.912000,-8.837141
1005.730138,254.975000,4.646305
1015.571966,255.039000,1.045742
1025.255192,255.102000,0.993960
1034.933637,255.165000,1.035246
1044.607304,255.228000,-1.258718
1054.276196,255.291000,2.415956
1063.940318,255.354000,-8.621895
1073.599672,255.417000,-6.373714
1083.407471,255.481000,-8.530411
1093.057225,255.544000,-2.097560
1102.702223,255.607000,-1.816847
1112.342467,255.670000,1.104185
1121.977961,255.733000,0.720448
1131.608710,255.796000,-7.574943
1141.234715,255.859000,-0.910187
1150.855981,255.922000,0.958258
1160.472512,255.985000,3.528995
1170.084310,256.048000,3.051358
1179.691379,256.111000,2.496535
1189.293724,256.174000,-2.355894
1198.739040,256.236000,-1.499216
1208.332019,256.299000,4.866605
1217.920283,256.362000,1.446893
1227.503835,256.425000,1.370698
1237.082680,256.488000,0.238368
1246.656820,256.551000,-5.075682
1256.226260,256.614000,-4.579449
1265.639217,256.676000,-3.858827
1275.199339,256.739000,3.077144
1284.754770,256.802000,-0.816335
1294.305515,256.865000,-0.673588
1303.700087,256.927000,-3.364720
1313.241541,256.990000,-0.967825
1322.778319,257.053000,0.343094
1332.310423,257.116000,-3.293597
1341.686664,257.178000,1.651718
1351.209505,257.241000,1.629336
1360.727683,257.304000,-1.066374
1370.090229,257.366000,-5.158931
1379.599165,257.429000,0.381164
1388.952622,257.491000,-8.984307
1398.452329,257.554000,-3.286869
1407.796710,257.616000,-8.274649
1417.287202,257.679000,-2.576741
1426.773053,257.742000,-2.294498
1436.103810,257.804000,-1.825143
1445.580466,257.867000,0.566684
1454.902179,257.929000,0.158406
1464.369654,257.992000,0.692986
1473.682337,258.054000,-4.697497
1482.990547,258.116000,2.354337
1492.444310,258.179000,-5.748968
1501.743510,258.241000,-4.227609
1511.188124,258.304000,0.317429
1520.478327,258.366000,-2.537008
1529.764072,258.428000,5.228094
1539.195025,258.491000,0.499757
1548.471792,258.553000,2.220713
1557.744112,258.615000,0.710983
1567.161432,258.678000,-2.357754
1576.424794,258.740000,-0.201296
1585.683718,258.802000,-2.589826
1594.938206,258.864000,-0.294867
1604.337420,258.927000,1.560539
1613.582976,258.989000,3.503880
1622.824106,259.051000,-0.844580
1632.060814,259.113000,2.065450
1641.293103,259.175000,4.009400
1650.669776,259.238000,5.670174
1659.893165,259.300000,4.448130
1669.112144,259.362000,-0.957537
1678.326716,259.424000,0.259868
1687.536886,259.486000,2.508585
1696.742655,259.548000,-1.938391
1705.944027,259.610000,0.360207
1715.141005,259.672000,-1.493508
1724.333592,259.734000,0.237030
1733.521792,259.796000,5.354910
1742.705607,259.858000,2.791255
1751.885041,259.920000,-0.621502
1761.060096,259.982000,0.990179
1770.230777,260.044000,-1.214818
1779.397086,260.106000,-0.219647
1788.559026,260.168000,1.716607
1797.716600,260.230000,-0.183775
1806.869812,260.292000,-2.715021
1816.018664,260.354000,1.615396
1825.163160,260.416000,-1.411240
1834.155916,260.477000,-3.654604
1843.291778,260.539000,2.251664
1852.423294,260.601000,0.102758
1861.550466,260.663000,5.817983
1870.673297,260.725000,2.627296
1879.644752,260.786000,-3.195754
1888.758980,260.848000,3.167153
1897.868877,260.910000,-4.792850
1906.974445,260.972000,3.300748
1915.928928,261.033000,4.089204
1925.025918,261.095000,1.732117
1934.118588,261.157000,-2.264428
1943.060391,261.218000,-0.156583
1952.144502,261.280000,0.328191
1961.224302,261.342000,-0.046481
1970.153451,261.403000,2.038259
1979.224710,261.465000,-0.661211
1988.145460,261.526000,-2.449679
1997.208190,261.588000,-2.709610
2006.120554,261.649000,-2.172516
2015.174766,261.711000,-0.679149
2024.078756,261.772000,-0.435106
2033.124461,261.834000,5.946164
2042.020089,261.895000,-4.621161
2051.057301,261.957000,0.099232
2059.944578,262.018000,-2.607698
2068.973308,262.080000,-1.394980
2077.852245,262.141000,0.692154
2086.872506,262.203000,-6.220579
2095.743116,262.264000,0.802833
2104.609601,262.325000,3.085840
2113.617214,262.387000,-5.087254
2122.475388,262.448000,1.630897
2131.329447,262.509000,-0.525980
2140.324438,262.571000,0.262624
2149.170203,262.632000,-1.708516
2158.011861,262.693000,4.008564
2166.994257,262.755000,0.323860
2175.827640,262.816000,2.240282
2184.656923,262.877000,0.527870
2193.482109,262.938000,-1.239525
2202.303202,262.999000,-2.724840
2211.264711,263.061000,-0.625233
2220.077557,263.122000,-0.894571
2228.886318,263.183000,-0.311282
2237.690997,263.244000,-4.574143
2246.491597,263.305000,-1.070417
2255.288119,263.366000,-4.798762
2264.080568,263.427000,-0.624242
2272.868945,263.488000,-1.731631
2281.653255,263.549000,-2.326250
2290.577403,263.611000,-5.447128
2299.353518,263.672000,9.632428
2308.125573,263.733000,0.002927
2316.893571,263.794000,-2.146982
2325.657515,263.855000,-1.413499
2334.273836,263.915000,-0.624804
2343.029746,263.976000,0.293603
2351.781611,264.037000,-1.582896
2360.529433,264.098000,-2.153450
2369.273215,264.159000,4.675959
2378.012959,264.220000,0.275261
2386.748669,264.281000,-1.974353
2395.480347,264.342000,0.399083
2404.207997,264.403000,0.841207
2412.788642,264.463000,-4.537062
2421.508308,264.524000,-7.200066
2430.223953,264.585000,-0.495041
2438.935580,264.646000,-0.902253
2447.643192,264.707000,-2.182675
2456.204142,264.767000,1.100004
2464.903798,264.828000,-1.299383
2473.599447,264.889000,4.155039
2482.148639,264.949000,0.734867
2490.836348,265.010000,-5.826559
2499.520059,265.071000,-2.809143
2508.057516,265.131000,4.585085
2516.733303,265.192000,-3.930073
2525.405101,265.253000,1.807823
2533.930847,265.313000,0.285900
2542.594737,265.374000,3.767415
2551.112712,265.434000,-1.219263
2559.768705,265.495000,1.312708
2568.278918,265.555000,-0.218023
2576.927027,265.616000,-1.392049
2585.571164,265.677000,5.305181
2594.069722,265.737000,-5.983093
2602.564444,265.797000,3.503508
2611.196813,265.858000,-3.715462
2619.683805,265.918000,-0.988148
2628.308321,265.979000,-1.456556
2636.787594,266.039000,-7.147939
2645.404268,266.100000,-1.779038
2653.875831,266.160000,1.579748
2662.343577,266.220000,-2.829234
2670.948539,266.281000,3.314398
2679.408591,266.341000,-3.389358
2687.864833,266.401000,-2.266826
2696.458108,266.462000,6.866438
2704.906672,266.522000,0.390736
2713.351433,266.582000,0.220801
2721.792393,266.642000,-5.105904
2730.370143,266.703000,-2.437094
2738.803447,266.763000,0.859099
2747.232958,266.823000,-1.620728
2755.658679,266.883000,-4.430827
2764.220946,266.944000,-2.831235
