raman_shift_cm-1,intensity
60.707031,0.0
62.675781,3.809368
64.644531,5.080464
66.613281,-1.270443
68.580078,-2.541539
70.548828,2.542192
72.515625,3.814268
74.480469,-1.271749
76.447266,-6.360379
78.412109,-3.817207
80.376953,3.818186
82.341797,5.09222
84.304688,-2.546763
86.267578,0.0
88.230469,0.0
90.193359,3.823081
92.154297,14.021553
94.117188,5.100051
96.078125,28.057459
98.037109,36.994289
99.998047,40.831722
101.957031,57.43428
103.916016,47.235806
105.873047,43.416962
107.832031,51.091816
109.789063,52.382473
111.746094,54.951733
113.701172,43.461288
115.658203,53.701157
117.613281,51.156994
119.566406,55.007774
121.521484,57.580936
123.474609,65.275009
125.427734,60.170704
127.380859,57.624905
129.333984,62.763073
131.285156,71.747459
133.236328,61.513451
135.1875,65.374641
137.138672,58.980339
139.087891,66.690353
141.037109,71.8386
142.986328,57.742092
144.933594,68.024597
146.882813,68.041847
148.830078,50.081215
150.775391,50.093903
152.722656,61.669643
154.667969,80.961899
156.613281,65.557167
158.558594,55.287674
160.503906,63.018166
162.447266,65.606918
164.390625,60.476559
166.333984,70.788315
168.275391,61.794498
170.216797,59.234676
172.158203,70.841942
174.099609,56.687855
176.041016,68.300316
177.980469,69.606544
179.919922,55.441406
181.859375,58.034695
183.796875,65.789215
185.734375,52.902687
187.671875,65.822342
189.609375,65.838905
191.546875,74.894455
193.482422,61.9972
195.417969,63.304714
197.353516,73.658684
199.287109,67.214272
201.222656,60.766617
203.15625,64.661568
205.087891,51.742233
207.021484,59.518497
208.953125,71.181267
210.884766,62.137405
212.816406,66.037537
214.746094,69.939613
216.677734,50.524597
218.607422,66.087166
220.537109,68.696007
222.464844,53.155491
224.392578,70.027184
226.320313,66.15332
228.248047,60.980064
230.175781,75.270798
232.101563,73.991501
234.027344,63.622612
235.953125,70.132217
237.876953,58.458099
239.802734,51.975719
241.726563,70.184723
243.650391,57.201805
245.572266,63.717888
247.496094,57.23032
249.417969,59.8466
251.339844,59.8615
253.259766,55.971416
255.181641,71.609161
257.101563,62.510815
259.021484,62.52636
260.939453,71.662598
262.859375,59.950886
264.777344,63.876591
266.695313,70.412094
268.611328,67.821075
270.529297,61.315033
272.445313,53.500851
274.361328,69.176796
276.275391,57.444031
278.191406,69.211098
280.105469,64.003479
282.019531,77.084503
283.933594,69.26255
285.845703,81.044174
287.757813,61.45192
289.669922,54.92807
291.582031,74.563675
293.494141,61.497532
295.404297,70.674202
297.314453,52.364201
299.224609,61.543137
301.132813,68.107094
303.041016,78.604507
