raman_shift_cm-1,intensity
60.707031,5.07785
62.675781,1.269789
64.644531,1.270116
66.613281,-8.8931
68.580078,2.541539
70.548828,10.168768
72.515625,2.542845
74.480469,7.630495
76.447266,2.544151
78.412109,6.362011
80.376953,5.090915
82.341797,2.54611
84.304688,7.640289
86.267578,2.547415
88.230469,12.740341
90.193359,14.017964
92.154297,44.614033
94.117188,61.200615
96.078125,93.099747
98.037109,128.842178
99.998047,149.290985
101.957031,154.434402
103.916016,157.02713
105.873047,158.344208
107.832031,186.485123
109.789063,171.201263
111.746094,187.858246
113.701172,171.288605
115.658203,194.347046
117.613281,182.886246
119.566406,188.049835
121.521484,200.893494
123.474609,193.265213
125.427734,222.759628
127.380859,227.938507
129.333984,217.749435
131.285156,252.397324
133.236328,257.587585
135.1875,255.089294
137.138672,265.41153
139.087891,262.913879
141.037109,252.717941
142.986328,270.746246
144.933594,245.145248
146.882813,256.761688
148.830078,259.39502
150.775391,267.16748
152.722656,264.665558
154.667969,255.736786
156.613281,266.084991
158.558594,291.867493
160.503906,261.075256
162.447266,249.563568
164.390625,301.096039
166.333984,280.579163
168.275391,292.236481
170.216797,300.03653
172.158203,271.775452
174.099609,305.3414
176.041016,297.686279
177.980469,284.871246
179.919922,284.943024
181.859375,279.856171
183.796875,288.956573
185.734375,282.577759
187.671875,282.648895
189.609375,296.920563
191.546875,298.28653
193.482422,288.028656
195.417969,279.057526
197.353516,288.173431
199.287109,285.660675
201.222656,284.439484
203.15625,279.337982
205.087891,257.417603
207.021484,258.776062
208.953125,249.781525
210.884766,266.673035
212.816406,247.317047
214.746094,247.379013
216.677734,237.07695
218.607422,257.869537
220.537109,239.787964
222.464844,265.777466
224.392578,294.373535
226.320313,258.127655
228.248047,255.59729
230.175781,246.576752
232.101563,276.494568
234.027344,271.369934
235.953125,251.956497
237.876953,252.019363
239.802734,257.279816
241.726563,249.54567
243.650391,267.808472
245.572266,250.970459
247.496094,277.046783
249.417969,252.39653
251.339844,251.158035
253.259766,264.237152
255.181641,257.792999
257.101563,281.298676
259.021484,274.855469
260.939453,273.620819
262.859375,260.656036
264.777344,262.024384
266.695313,302.51123
268.611328,273.892792
270.529297,280.483643
272.445313,270.114044
274.361328,283.233276
276.275391,309.414429
278.191406,293.820709
280.105469,303.036865
282.019531,318.790161
283.933594,296.652802
285.845703,296.726257
287.757813,330.794373
289.669922,315.182495
291.582031,333.574341
293.494141,328.423004
295.404297,355.988586
297.314453,332.512665
299.224609,328.666534
301.132813,323.508698
303.041016,335.379242
304.949219,356.428406
306.857422,348.652008
308.765625,331.694427
310.671875,338.333069
312.578125,337.104767
314.484375,337.187866
316.390625,322.835205
318.294922,338.666656
320.199219,338.750031
322.103516,308.62735
324.007813,313.957825
325.910156,303.523407
327.8125,321.997925
329.714844,301.043488
331.617188,310.32196
333.517578,324.865906
335.417969,297.318756
337.318359,306.602997
339.21875,314.575562
341.119141,309.386597
343.017578,317.363678
344.916016,297.683746
346.814453,304.344269
348.710938,284.651398
350.607422,293.948242
352.503906,294.020233
354.400391,296.729858
356.296875,302.078979
358.191406,291.597351
360.085938,286.389648
361.980469,289.099884
363.875,307.656372
365.767578,302.448639
367.660156,307.806793
369.552734,323.738586
371.445313,292.096741
373.335938,313.320496
375.228516,288.272339
377.119141,287.02002
379.007813,308.257965
380.898438,292.453339
382.787109,292.524628
384.675781,283.328186
