raman_shift_cm-1,intensity
60.707031,1.269463
62.675781,2.539579
64.644531,6.35058
66.613281,-2.540885
68.580078,-2.541539
70.548828,2.542192
72.515625,2.542845
74.480469,2.543498
76.447266,6.360379
78.412109,-2.544804
80.376953,2.545457
82.341797,6.365275
84.304688,-2.546763
86.267578,6.368539
88.230469,10.192273
90.193359,8.920523
92.154297,22.944359
94.117188,47.175476
96.078125,48.462883
98.037109,59.956261
99.998047,82.93943
101.957031,84.236946
103.916016,93.194969
105.873047,108.542397
107.832031,99.629044
109.789063,98.376846
111.746094,107.347572
113.701172,88.200844
115.658203,98.452126
117.613281,89.524734
119.566406,99.781548
121.521484,95.968224
123.474609,110.071579
125.427734,120.341408
127.380859,128.055344
129.333984,142.177582
131.285156,142.213715
133.236328,158.909744
135.1875,132.031143
137.138672,134.629028
139.087891,151.3358
141.037109,146.242874
142.986328,144.996811
144.933594,128.348297
146.882813,127.097031
148.830078,143.822968
150.775391,128.445892
152.722656,133.617569
154.667969,140.076935
156.613281,141.397812
158.558594,138.862076
160.503906,144.041519
162.447266,149.223572
164.390625,146.68782
166.333984,158.308426
168.275391,142.89978
170.216797,128.771042
172.158203,150.700134
174.099609,130.12439
176.041016,150.776169
177.980469,154.681213
179.919922,145.694855
181.859375,134.124619
183.796875,147.058258
185.734375,148.38559
187.671875,158.748001
189.609375,140.714523
191.546875,148.49762
193.482422,152.409775
195.417969,156.323883
197.353516,142.148331
199.287109,153.817276
201.222656,127.997772
203.15625,153.894531
205.087891,135.823364
207.021484,142.326843
208.953125,130.714691
210.884766,147.57634
212.816406,132.075073
214.746094,146.355118
216.677734,147.687286
218.607422,149.020081
220.537109,146.465073
222.464844,145.205246
224.392578,159.506363
226.320313,175.111725
228.248047,181.642746
230.175781,184.283676
232.101563,171.34874
234.027344,168.794693
235.953125,140.264435
237.876953,144.196655
239.802734,144.23262
241.726563,139.069717
243.650391,131.304153
245.572266,143.040161
247.496094,131.369598
249.417969,144.412445
251.339844,147.051071
253.259766,149.690994
255.181641,136.708405
257.101563,135.440094
259.021484,152.408005
260.939453,136.81041
262.859375,148.573929
264.777344,138.182022
266.695313,135.608475
268.611328,138.250656
270.529297,152.635284
272.445313,135.709473
274.361328,144.8797
276.275391,135.776794
278.191406,130.586975
280.105469,146.293655
282.019531,171.153732
283.933594,151.593506
285.845703,149.016708
287.757813,152.976059
289.669922,145.167038
291.582031,164.824966
293.494141,157.014969
295.404297,149.201096
297.314453,157.092606
299.224609,168.91626
301.132813,157.170212
303.041016,155.898941
304.949219,159.868622
306.857422,174.326004
308.765625,163.880646
310.671875,169.166534
312.578125,153.467941
314.484375,165.313889
316.390625,160.10527
318.294922,179.834625
320.199219,153.619202
322.103516,169.416718
324.007813,158.949356
325.910156,169.500092
327.8125,157.713272
329.714844,170.898056
331.617188,172.254974
333.517578,156.514343
335.417969,173.655197
337.318359,160.53891
339.21875,151.364807
341.119141,157.98465
343.017578,146.171646
344.916016,151.476242
346.814453,152.830887
348.710938,146.27919
350.607422,163.451035
352.503906,145.03241
354.400391,139.792725
356.296875,134.550461
358.191406,129.305618
360.085938,133.296555
361.980469,146.530075
363.875,146.565903
365.767578,161.129837
367.660156,151.921799
369.552734,144.030624
371.445313,161.247971
373.335938,157.321259
375.228516,160.004364
377.119141,154.752731
379.007813,156.11348
380.898438,137.625092
382.787109,140.305939
384.675781,139.016174
386.564453,136.401474
388.451172,144.382355
390.339844,149.717255
392.226563,160.355743
394.113281,153.766891
395.998047,139.219421
397.884766,163.125275
399.769531,137.960602
401.654297,140.647888
403.539063,142.009262
405.421875,164.611465
407.304688,142.078278
409.1875,158.050659
411.070313,139.490326
412.951172,150.154602
414.833984,155.507523
416.714844,166.180817
418.595703,126.328056
420.474609,151.630417
422.353516,142.354279
424.234375,145.050247
426.111328,155.733856
427.990234,150.446045
429.867188,147.819061
431.746094,133.20256
433.623047,143.89357
435.498047,150.591736
437.375,157.293121
439.25,149.331268
441.125,158.70282
443.0,146.735535
444.873047,141.433853
446.748047,152.144836
448.621094,160.191132
450.494141,158.894562
452.365234,152.255051
454.238281,156.299454
456.109375,149.656082
457.980469,157.71138
459.849609,163.096848
461.720703,141.741241
463.589844,165.850464
465.458984,147.160843
467.328125,153.887024
469.195313,156.600998
471.064453,160.65506
472.931641,148.641693
474.798828,159.392944
476.664063,164.790298
478.53125,152.769196
480.396484,175.592758
482.261719,138.09465
484.126953,168.971909
485.990234,155.598785
487.853516,156.977844
489.716797,162.383575
491.580078,159.737869
493.443359,161.118851
495.304688,153.099609
497.166016,147.763123
499.027344,159.891144
500.888672,174.71286
502.748047,161.312042
504.607422,161.350677
506.466797,188.287537
508.326172,178.915985
510.183594,173.576584
512.042969,165.542862
513.900391,166.92865
515.757813,152.156845
517.613281,179.130081
519.470703,177.825729
521.326172,169.78331
523.181641,192.736618
525.035156,181.997604
526.890625,186.086411
528.744141,178.038193
530.597656,176.731583
532.451172,188.918518
534.302734,176.815918
536.15625,193.058823
538.007813,190.404083
539.859375,208.008636
541.708984,190.494858
543.560547,212.161819
545.410156,186.530594
547.259766,225.782806
549.109375,193.380997
550.957031,206.953384
552.804688,220.532211
554.654297,194.872345
556.5,209.808319
558.347656,203.088577
560.193359,195.011383
562.041016,205.894257
563.886719,196.458954
565.730469,199.216034
567.576172,197.907806
569.419922,191.175507
571.263672,193.933243
573.107422,187.196762
574.951172,170.959335
576.792969,196.785568
578.634766,188.687439
580.476563,194.163315
582.318359,200.999863
584.158203,187.463196
585.998047,188.866348
587.839844,199.783661
589.677734,174.002472
591.517578,187.640808
593.355469,183.605103
595.193359,170.044952
597.03125,185.052658
598.869141,171.486389
600.707031,196.030777
602.542969,187.907227
604.378906,177.055878
606.214844,190.720612
608.048828,181.227371
609.884766,183.996033
611.71875,203.125046
613.552734,190.900787
615.384766,200.493118
617.21875,200.540421
619.050781,195.129547
620.882813,214.283646
622.714844,210.238602
624.546875,217.115692
626.376953,193.947754
628.207031,221.316467
630.037109,239.132721
631.867188,228.254669
633.695313,226.941284
635.525391,231.097015
637.353516,265.345367
639.181641,277.72052
641.007813,276.41745
642.835938,266.901367
644.662109,314.880737
646.488281,310.846619
648.3125,316.398407
650.138672,302.772614
651.962891,357.657074
653.787109,352.258423
655.611328,401.696289
657.435547,425.102631
659.257813,430.688843
661.080078,428.04599
662.902344,461.080719
664.724609,480.405029
666.546875,495.619629
668.367188,503.975159
670.1875,524.696472
672.007813,500.089691
673.828125,507.077789
675.646484,529.188782
677.464844,501.815887
679.283203,496.432709
681.101563,496.548859
682.919922,458.142517
684.736328,456.873535
686.552734,455.603912
688.369141,433.682129
690.185547,407.618774
692.0,388.430237
693.816406,355.455383
695.630859,359.672577
697.445313,323.918732
699.257813,325.373047
701.072266,329.58606
702.884766,303.455444
704.697266,278.692291
706.509766,259.437469
708.320313,259.497986
710.132813,245.752167
711.943359,241.666595
713.753906,236.19783
715.5625,233.48967
717.373047,193.468445
719.181641,205.953659
720.990234,190.793442
722.798828,174.243256
724.605469,174.283798
726.414063,174.324356
728.220703,178.516449
730.027344,181.326309
731.833984,161.985596
733.638672,171.716949
735.443359,132.973053
737.25,131.6185
739.052734,167.679337
740.857422,141.382355
742.662109,146.960892
744.464844,158.088974
746.267578,127.610184
748.070313,131.801971
749.871094,133.220261
751.673828,126.310997
753.474609,136.058777
755.275391,145.811066
757.074219,129.17688
758.875,126.428177
760.673828,109.781769
762.472656,120.926918
764.271484,111.222923
766.070313,109.85807
767.867188,107.101639
769.666016,104.343925
771.462891,100.193352
773.259766,116.919296
775.054688,101.631935
776.851563,110.010689
778.646484,100.286087
780.441406,108.668381
782.234375,108.693497
784.029297,110.112442
785.822266,92.013924
787.615234,99.007545
789.408203,107.39917
791.201172,96.263039
792.994141,96.285263
794.785156,104.682045
796.576172,96.329704
798.367188,101.937546
800.15625,103.357788
801.947266,99.190475
803.736328,100.61071
805.525391,116.00853
807.314453,111.841217
809.101563,107.671974
810.890625,104.89946
812.677734,111.918533
814.464844,96.551956
816.251953,83.977554
818.037109,99.396317
819.824219,93.818108
821.609375,100.842651
823.394531,92.460365
825.177734,106.493996
826.962891,109.321602
828.746094,105.14109
830.529297,85.534409
832.3125,93.969215
834.095703,91.185112
835.876953,84.190208
837.658203,92.630493
839.439453,91.247948
841.220703,92.673035
843.001953,94.098763
844.78125,95.525139
846.560547,77.280708
848.339844,85.730988
850.119141,95.590889
851.896484,82.958168
853.675781,92.821938
855.453125,92.843208
857.230469,78.794113
859.005859,97.107841
860.783203,92.907036
862.558594,97.152328
864.333984,101.399559
866.109375,91.562218
867.884766,87.356262
869.658203,85.966957
871.433594,91.625092
873.207031,71.906898
874.980469,87.436226
876.751953,91.687965
878.525391,91.708931
880.296875,93.141121
882.068359,80.458435
883.839844,77.653076
885.609375,72.022026
887.380859,86.163666
889.150391,94.660385
890.919922,83.376686
892.689453,93.290123
894.457031,86.242363
896.224609,77.777252
897.994141,69.308266
899.761719,91.960503
901.527344,75.000275
903.294922,75.017372
905.060547,83.528946
906.826172,72.219437
908.591797,86.399796
910.357422,86.419479
912.121094,83.605087
913.886719,77.954697
915.650391,77.972443
917.414063,100.678246
919.175781,95.027855
920.939453,103.561371
922.701172,86.557266
924.462891,69.545425
926.224609,68.141624
927.986328,78.096695
929.746094,71.01313
931.505859,96.599808
933.265625,78.149956
935.025391,78.167709
936.785156,85.293236
938.542969,65.406326
940.300781,82.487572
942.058594,86.773865
943.816406,83.947868
945.574219,86.813255
947.330078,91.103432
949.085938,88.276466
950.841797,85.448212
952.597656,95.438805
954.353516,85.486969
956.107422,76.955711
957.861328,84.100296
959.615234,85.545097
961.369141,92.694855
963.123047,94.14225
964.875,78.469635
966.626953,101.320107
968.378906,82.78727
970.130859,95.65522
971.882813,72.828659
973.632813,75.701805
975.382813,84.290886
977.132813,81.451981
978.882813,77.182487
980.630859,88.636963
982.380859,88.656998
984.128906,75.804558
985.876953,88.697067
987.623047,80.131584
989.371094,81.580925
991.117188,85.894051
992.863281,84.481552
994.609375,78.771767
996.355469,93.114914
998.101563,78.807327
999.845703,84.557838
1001.589844,77.409378
1003.333984,84.595985
1005.078125,88.917526
1006.820313,88.937569
1008.5625,70.305214
1010.306641,86.107422
1012.046875,78.949585
1013.789063,87.581993
1015.53125,80.421257
1017.271484,89.057869
1019.011719,73.273773
1020.751953,89.097977
1022.492188,83.368477
1024.230469,84.824951
1025.96875,81.967964
1027.708984,79.109688
1029.445313,82.004845
1031.183594,83.462288
1032.921875,89.238373
1034.658203,83.499825
1036.394531,80.638634
1038.130859,64.813469
1039.867188,79.234253
1041.601563,89.338676
1043.337891,72.063499
1045.072266,57.663746
1046.806641,67.770111
1048.539063,76.438774
1050.273438,96.651833
1052.005859,86.573303
1053.738281,86.59272
1055.470703,69.289719
1057.203125,73.636833
1058.933594,102.53701
1060.666016,89.559433
1062.396484,85.245018
1064.126953,88.154427
1065.855469,83.837746
1067.585938,89.63974
1069.314453,76.644676
1071.042969,82.447639
1072.771484,81.019333
1074.5,72.354881
1076.228516,89.740135
1077.955078,83.969231
1079.681641,73.85154
1081.408203,76.764847
1083.134766,89.820465
1084.859375,68.104935
1086.585938,82.613815
1088.310547,79.732903
1090.035156,98.600899
1091.757813,72.516861
1093.482422,88.490334
1095.205078,87.05912
1096.927734,81.273323
1098.650391,78.388206
1100.373047,90.02137
1102.095703,81.327774
1103.816406,95.871979
1105.537109,84.269936
1107.257813,77.022469
1108.978516,69.771759
1110.699219,78.510735
1112.417969,85.79937
1114.136719,75.636642
1115.855469,77.108383
1117.574219,97.49836
1119.292969,90.242462
1121.009766,90.262566
1122.726563,88.8265
1124.443359,77.194313
1126.160156,96.150177
1127.876953,100.543015
1129.591797,84.533234
1131.306641,94.756599
1133.021484,77.280266
1134.736328,86.048119
1136.451172,80.232193
1138.164063,86.086403
1139.878906,80.267876
1141.591797,89.044167
1143.304688,89.063957
1145.015625,86.162971
1146.728516,83.260689
1148.439453,84.740227
1150.150391,87.681778
1151.861328,95.009689
1153.572266,87.720726
1155.28125,90.664871
1156.990234,95.072983
1158.701172,87.779152
1160.410156,96.578491
1162.117188,90.745377
1163.826172,65.878189
1165.533203,74.678505
1167.240234,86.411942
1168.947266,104.010307
1170.654297,84.985001
1172.361328,77.675919
1174.066406,82.090851
1175.771484,68.912941
1177.476563,86.526901
1179.181641,83.612297
1180.884766,80.696396
1182.589844,90.986992
1184.292969,99.81427
1185.996094,93.963638
1187.699219,74.893837
1189.402344,80.785736
1191.103516,88.149391
1192.804688,91.107849
1194.505859,86.718575
1196.207031,91.14814
1197.908203,79.40464
1199.607422,100.013123
1201.308594,86.795265
