raman_shift_cm-1,intensity
61.103516,-5.078053
63.072266,20.317442
65.041016,24.133169
67.009766,12.704935
68.976563,12.708202
70.945313,20.338348
72.912109,6.357367
74.876953,16.5334
76.84375,36.89167
78.808594,25.44906
80.773438,34.365047
82.738281,78.932564
84.701172,120.976067
86.664063,210.170181
88.626953,369.48465
90.589844,642.303284
92.550781,1156.18689
94.511719,1904.94519
96.472656,2677.043457
98.433594,3509.494873
100.392578,4024.636963
102.351563,4380.496094
104.310547,4515.667969
106.269531,4639.415039
108.226563,4786.216797
110.183594,4839.822754
112.140625,4839.779297
114.095703,5060.885254
116.052734,5243.743652
118.007813,5539.244141
119.962891,6005.041992
121.916016,6756.432617
123.869141,7833.312988
125.822266,9243.613281
127.775391,10579.073242
129.728516,12238.006836
131.679688,14050.25
133.630859,16464.474609
135.582031,20236.181641
137.53125,26531.953125
139.482422,37741.832031
141.431641,55152.4375
143.378906,72225.40625
145.328125,69743.398438
147.275391,51209.304688
149.222656,34812.96875
151.169922,24843.710938
153.115234,19135.054688
155.0625,15788.199219
157.007813,13707.136719
158.951172,12171.488281
160.896484,11188.099609
162.839844,10673.770508
164.783203,10323.887695
166.726563,9775.612305
168.667969,9449.785156
170.609375,9448.307617
172.550781,9261.342773
174.492188,8995.689453
176.433594,9034.042969
178.373047,8935.773438
180.3125,8914.817383
182.25,9025.398438
184.189453,8967.040039
186.126953,8869.94043
188.064453,8910.893555
190.001953,9029.326172
191.9375,8932.164063
193.875,8993.826172
195.808594,9509.004883
197.744141,10096.810547
199.679688,9677.948242
201.613281,9216.206055
203.546875,9106.003906
205.480469,9056.544922
207.412109,9009.647461
209.34375,8966.607422
211.275391,9005.103516
213.207031,8964.628906
215.138672,9013.50293
217.068359,9028.71582
218.998047,9001.170898
220.927734,9085.083984
222.855469,9121.067383
224.783203,9105.192383
226.710938,9198.271484
228.638672,9108.448242
230.566406,9319.673828
232.492188,9320.703125
234.417969,9190.586914
236.34375,9364.322266
238.267578,9449.802734
240.191406,9381.990234
242.115234,9659.880859
244.039063,9436.073242
245.962891,9524.251953
247.884766,9671.006836
249.806641,9616.168945
251.728516,9718.770508
253.650391,9548.061523
255.570313,9636.37207
257.490234,9727.329102
259.410156,9810.514648
261.328125,9694.379883
263.248047,9874.041992
265.166016,9806.097656
267.083984,9863.300781
269.0,9784.882813
270.917969,9960.826172
272.833984,9965.908203
274.75,9925.305664
276.664063,10026.992188
278.580078,10079.102539
280.494141,9981.019531
282.408203,10095.857422
284.320313,10098.357422
286.234375,10162.296875
288.146484,10278.568359
290.058594,10333.425781
291.970703,10601.543945
293.880859,10381.71875
295.791016,10634.271484
297.701172,10668.319336
299.611328,10803.212891
301.519531,10841.245117
303.429688,10860.954102
305.337891,10912.121094
307.244141,11032.783203
309.152344,11165.303711
311.058594,11299.198242
312.964844,11643.037109
314.871094,11761.368164
316.777344,11806.262695
318.681641,12065.149414
320.585938,12296.588867
322.490234,12434.891602
324.394531,12466.852539
326.296875,12462.035156
328.199219,12300.808594
330.101563,12056.677734
332.003906,11891.324219
333.904297,11762.71582
335.804688,11560.368164
337.705078,11575.050781
339.605469,11689.774414
341.503906,11514.90332
343.402344,11670.490234
345.300781,11693.111328
347.199219,11591.891602
349.097656,11822.726563
350.994141,11841.441406
352.890625,11953.780273
354.787109,12008.143555
356.681641,12119.255859
358.576172,12318.827148
360.472656,12390.47168
362.365234,12100.430664
364.259766,12232.794922
366.152344,12200.124023
368.044922,12388.061523
369.9375,12397.695313
371.830078,12279.12207
373.720703,12451.34668
375.613281,12617.041992
377.501953,12871.438477
379.392578,13077.004883
381.283203,13432.210938
383.171875,13819.357422
385.060547,14226.550781
386.949219,14787.564453
388.835938,15415.082031
390.722656,15826.931641
392.609375,16347.654297
394.496094,16716.181641
396.382813,17005.328125
398.267578,16947.130859
400.152344,16597.050781
402.037109,15895.166016
403.921875,15390.695313
405.804688,14677.550781
407.6875,14087.550781
409.570313,13770.874023
411.453125,13403.556641
413.333984,13010.811523
415.216797,12863.771484
417.097656,12749.896484
418.976563,12400.585938
420.857422,12471.429688
422.736328,12422.564453
424.615234,12376.334961
426.494141,12065.191406
428.373047,12175.958984
430.25,12180.239258
432.126953,12139.228516
434.003906,12072.880859
435.880859,12103.789063
437.755859,11984.076172
439.632813,12082.975586
441.507813,12121.90625
443.380859,12014.112305
445.255859,12259.863281
447.128906,12277.505859
449.001953,12128.282227
450.875,12209.993164
452.748047,12214.274414
454.619141,12344.136719
456.490234,12240.211914
458.361328,12386.178711
460.232422,12234.082031
462.101563,12453.663086
463.970703,12231.953125
465.839844,12455.649414
467.708984,12351.592773
469.576172,12097.569336
471.445313,12147.34082
473.3125,12385.957031
475.179688,12392.954102
477.044922,12382.536133
478.910156,12369.431641
480.777344,12578.834961
482.642578,12529.567383
484.505859,12599.631836
486.371094,12473.880859
488.234375,12814.995117
490.097656,12709.364258
491.960938,12692.277344
493.822266,12877.930664
495.683594,13063.671875
497.544922,13150.091797
499.40625,13385.700195
501.267578,13496.427734
503.126953,13666.357422
504.986328,14107.983398
506.845703,14420.704102
508.705078,14895.005859
510.564453,15465.072266
512.421875,15781.02832
514.279297,16019.050781
516.136719,16115.794922
517.992188,16125.036133
519.847656,15859.446289
521.705078,15502.095703
523.558594,15151.311523
525.414063,14695.199219
527.269531,14714.890625
529.123047,14404.125977
530.976563,14106.704102
532.828125,14180.242188
534.681641,13928.513672
536.533203,13634.80957
538.384766,13644.8125
540.236328,13679.131836
542.087891,13497.293945
543.9375,13464.021484
545.787109,13456.414063
547.636719,13310.893555
549.486328,13497.984375
551.335938,13507.959961
553.183594,13603.178711
555.03125,13753.927734
556.878906,13697.637695
558.724609,13650.796875
560.572266,13472.56543
562.417969,13249.545898
564.263672,13171.396484
566.107422,13148.775391
567.953125,12922.802734
569.796875,12974.683594
571.640625,13240.871094
573.484375,12979.485352
575.326172,13038.196289
577.169922,12935.427734
579.011719,13052.525391
580.853516,12922.551758
582.693359,12977.223633
584.535156,12900.148438
586.375,12900.486328
588.214844,12994.602539
590.054688,13091.481445
591.892578,13119.055664
593.732422,13092.238281
595.570313,13005.547852
597.408203,13110.679688
599.244141,13034.837891
601.082031,13095.097656
602.917969,13253.426758
604.753906,13195.267578
606.589844,13297.835938
608.423828,13474.035156
610.259766,13516.743164
612.09375,13714.886719
613.927734,13595.396484
615.759766,14010.518555
617.59375,14116.143555
619.425781,14228.640625
