Raman Shift,Intensity
89.02838,2483.566
89.5105,2528.64
89.99261,2575.249
90.47473,2622.295
90.95685,2669.628
91.43896,2717.536
91.92108,2766.04
92.4032,2812.484
92.88531,2822.483
93.36743,2779.427
93.84955,2698.943
94.33167,2622.623
94.81378,2544.762
95.2959,2478.947
95.77802,2423.955
96.26013,2377.047
96.74225,2337.315
97.22437,2303.528
97.70648,2271.408
98.1886,2238.905
98.67072,2208.124
99.15283,2179.634
99.63495,2153.284
100.1171,2129.189
100.5992,2107.917
101.0813,2089.585
101.5634,2072.625
102.0455,2055.188
102.5277,2038.343
103.0098,2022.745
103.4919,2008.554
103.974,1995.669
104.4561,1984.263
104.9382,1975.883
105.4204,1966.809
105.9025,1956.79
106.3846,1945.654
106.8667,1932.837
107.3488,1917.445
107.8309,1900.177
108.3131,1886.749
108.7952,1878.412
109.2773,1871.953
109.7594,1866.17
110.2415,1860.918
110.7236,1855.532
111.2058,1848.723
111.6879,1841.296
112.17,1835.936
112.6521,1835.342
113.1342,1836.605
113.6163,1834.744
114.0985,1828.663
114.5806,1821.207
115.0627,1813.116
115.5448,1805.089
116.0269,1798.874
116.509,1796.688
116.9912,1798.425
117.4733,1798.495
117.9554,1794.53
118.4375,1790.64
118.9196,1789.229
119.4017,1789.848
119.8839,1790.022
120.366,1786.052
120.8481,1774.09
121.3302,1767.74
121.8123,1772.082
122.2944,1777.284
122.7766,1775.994
123.2587,1766.521
123.7408,1753.44
124.2229,1745.463
124.705,1747.665
125.1871,1748.725
125.6693,1748.673
126.1514,1747.341
126.6335,1744.237
127.1156,1738.95
127.5977,1732.272
128.0798,1726.552
128.562,1722.043
129.0441,1717.773
129.5262,1713.567
130.0083,1709.364
130.4904,1704.856
130.9725,1699.527
131.4547,1694.044
131.9368,1689.763
132.4189,1687.328
132.901,1685.445
133.3831,1682.55
133.8652,1678.321
134.3474,1674.895
134.8295,1674.771
135.3116,1675.679
135.7937,1674.902
136.2758,1670.558
136.7579,1664.479
137.2401,1661.905
137.7222,1666.087
138.2043,1668.774
138.6864,1666.681
139.1685,1661.625
139.6507,1656.216
140.1328,1652.084
140.6149,1649.191
141.097,1647.017
141.5791,1646.409
142.0612,1645.761
142.5434,1645.356
143.0255,1644.666
143.5076,1642.576
143.9897,1637.896
144.4718,1630.023
144.9539,1622.874
145.4361,1616.533
145.9182,1610.636
146.4003,1605.249
146.8824,1600.262
147.3645,1595.115
147.8466,1589.03
148.3288,1581.419
148.8109,1575.026
149.293,1570.041
149.7751,1566.186
150.2572,1563.599
150.7393,1562.461
151.2215,1561.521
151.7036,1558.683
152.1857,1554.055
152.6678,1549.655
153.1499,1546.513
153.632,1544.102
154.1142,1541.228
154.5963,1537.853
155.0784,1533.509
155.5605,1526.818
156.0426,1517.797
156.5247,1510.543
157.0069,1509.129
157.489,1513.427
157.9711,1516.63
158.4532,1517.345
158.9353,1516.315
159.4174,1513.095
159.8996,1507.741
160.3817,1502.654
160.8638,1501.296
161.3459,1505.336
161.828,1507.422
162.3102,1505.586
162.7923,1502.205
163.2744,1498.783
163.7565,1495.74
164.2386,1492.485
164.7207,1487.518
165.2029,1477.961
165.685,1471.634
166.1671,1470.778
166.6492,1472.18
167.1313,1472.805
167.6134,1471.358
168.0956,1468.882
168.5777,1468.431
169.0598,1473.137
169.5419,1476.367
170.024,1477.308
170.5061,1476.571
170.9883,1474.681
171.4704,1471.72
171.9525,1468.257
172.4346,1466.861
172.9167,1469.328
173.3988,1471.379
173.881,1471.417
174.3631,1470.012
174.8452,1468.654
175.3273,1468.208
175.8094,1468.373
176.2915,1468.025
176.7737,1466.909
177.2558,1465.618
177.7379,1464.282
178.22,1462.948
178.7021,1462.141
179.1842,1462.617
179.6664,1463.659
180.1485,1463.894
180.6306,1462.996
181.1127,1461.423
181.5948,1459.546
182.0769,1457.303
182.5591,1455.043
183.0412,1452.812
183.5233,1450.693
184.0054,1448.65
184.4875,1446.313
184.9696,1444.476
185.4518,1445.131
185.9339,1449.92
186.416,1453.427
186.8981,1453.804
187.3802,1451.968
187.8623,1448.55
188.3445,1443.479
188.8266,1437.509
189.3087,1433.238
189.7908,1431.144
190.2729,1430.328
190.755,1431.382
191.2372,1433.248
191.7193,1434.622
192.2014,1434.754
192.6835,1433.741
193.1656,1432.176
193.6477,1429.435
194.1299,1426.749
194.612,1424.182
195.0941,1421.825
195.5762,1419.987
196.0583,1419.006
196.5404,1418.74
197.0226,1416.507
197.5047,1409.01
197.9868,1403.112
198.4689,1401.095
198.951,1402.25
199.4331,1405.047
199.9153,1408.811
200.3974,1413.394
200.8795,1414.294
201.3616,1408.173
201.8437,1402.422
202.3258,1400.673
202.808,1402.27
203.2901,1404.1
203.7722,1403.846
204.2543,1401.721
204.7364,1401.015
205.2185,1403.067
205.7007,1405.302
206.1828,1405.867
206.6649,1404.89
207.147,1404.049
207.6291,1404.607
208.1112,1406.345
208.5934,1407.812
209.0755,1409.071
209.5576,1409.969
210.0397,1410.176
210.5218,1409.666
211.0039,1409.23
211.4861,1409.48
211.9682,1410.172
212.4503,1410.787
212.9324,1410.935
213.4145,1411.164
213.8967,1412.171
214.3788,1414.036
214.8609,1416.282
215.343,1419.411
215.8251,1422.575
216.3072,1424.727
