Raman Shift,Intensity
166.926,1232.0
168.308,1214.0
169.689,1268.0
171.07,1286.0
172.452,1305.0
173.833,1344.0
175.213,1450.0
176.594,1520.0
177.974,1569.0
179.354,1529.0
180.734,1531.0
182.114,1526.0
183.493,1460.0
184.872,1408.0
186.251,1430.0
187.63,1372.0
189.008,1337.0
190.387,1317.0
191.765,1296.0
193.143,1293.0
194.52,1328.0
195.898,1315.0
197.275,1306.0
198.652,1361.0
200.029,1402.0
201.405,1458.0
202.782,1527.0
204.158,1595.0
205.534,1644.0
206.909,1789.0
208.285,1850.0
209.66,1850.0
211.035,1900.0
212.41,1852.0
213.784,1774.0
215.159,1691.0
216.533,1612.0
217.907,1541.0
219.281,1498.0
220.654,1436.0
222.027,1396.562
223.4,1365.0
224.773,1335.0
226.146,1316.0
227.518,1312.0
228.891,1287.0
230.263,1263.0
231.634,1296.0
233.006,1275.0
234.377,1277.0
235.748,1270.0
237.119,1263.675
238.49,1261.0
239.86,1254.0
241.231,1269.0
242.601,1258.0
243.97,1228.0
245.34,1294.0
246.709,1270.0
248.079,1292.0
249.448,1254.0
250.816,1268.0
252.185,1248.0
253.553,1245.0
254.921,1228.0
256.289,1270.0
257.657,1285.0
259.024,1285.0
260.391,1281.0
261.758,1274.0
263.125,1272.0
264.492,1270.0
265.858,1274.0
267.224,1300.0
268.59,1254.0
269.956,1313.0
271.321,1321.0
272.687,1298.0
274.052,1325.0
275.416,1263.0
276.781,1304.0
278.146,1346.0
279.51,1317.0
280.874,1298.0
282.237,1328.0
283.601,1336.0
284.964,1340.0
286.327,1347.437
287.69,1339.0
289.053,1356.0
290.416,1333.0
291.778,1360.0
293.14,1357.0
294.502,1362.0
295.863,1361.0
297.225,1344.0
298.586,1358.0
299.947,1376.0
301.308,1344.0
302.668,1374.0
304.029,1380.0
305.389,1431.0
306.749,1427.057
308.108,1415.0
309.468,1426.0
310.827,1448.0
312.186,1432.0
313.545,1466.0
314.903,1420.0
316.262,1426.0
317.62,1441.0
318.978,1429.0
320.336,1426.0
321.693,1449.0
323.051,1448.0
324.408,1426.0
325.765,1433.0
327.121,1369.0
328.478,1394.0
329.834,1376.0
