Raman Shift,Intensity
209.0,6.989
210.0,7.883
211.0,11.757
212.0,15.694
213.0,15.939
214.0,14.067
215.0,12.187
216.0,10.316
217.0,8.459
218.0,7.517
219.0,6.492
220.0,5.637
221.0,4.681
222.0,3.516
223.0,2.028
224.0,0.567
225.0,0.411
226.0,0.746
227.0,0.707
228.0,0.127
229.0,0.446
230.0,0.218
231.0,0.875
232.0,0.711
233.0,0.088
234.0,0.313
235.0,0.112
236.0,0.075
237.0,0.254
238.0,0.43
239.0,0.378
240.0,0.153
241.0,0.034
242.0,0.112
243.0,0.248
244.0,0.375
245.0,0.356
246.0,0.468
247.0,0.585
248.0,0.693
249.0,0.793
250.0,0.726
251.0,0.735
252.0,0.803
253.0,0.709
254.0,0.349
255.0,0.008
256.0,0.448
257.0,0.823
258.0,0.967
259.0,0.982
260.0,0.877
261.0,0.483
262.0,0.088
263.0,0.094
264.0,0.12
265.0,0.142
266.0,0.168
267.0,0.301
268.0,0.759
269.0,1.227
270.0,0.948
271.0,0.492
272.0,0.518
273.0,0.933
274.0,1.178
275.0,0.909
276.0,0.556
277.0,0.463
278.0,0.418
279.0,0.368
280.0,0.317
281.0,0.259
282.0,0.196
283.0,0.132
284.0,0.064
285.0,0.012
286.0,0.107
287.0,0.447
288.0,0.67
289.0,0.149
290.0,0.375
291.0,0.235
292.0,0.073
293.0,0.181
294.0,0.056
295.0,0.019
296.0,0.28
297.0,0.577
298.0,0.533
299.0,0.389
300.0,0.426
301.0,0.679
302.0,0.99
303.0,1.313
304.0,1.64
305.0,1.972
306.0,2.136
307.0,2.578
308.0,3.361
309.0,4.099
310.0,4.469
311.0,4.845
312.0,5.573
313.0,6.399
314.0,6.838
315.0,6.833
316.0,6.851
317.0,6.88
318.0,6.92
319.0,6.619
320.0,6.247
321.0,5.463
322.0,4.255
323.0,3.131
324.0,2.373
325.0,1.625
326.0,1.249
327.0,0.947
328.0,0.654
329.0,0.399
330.0,0.303
331.0,0.364
332.0,0.095
333.0,0.212
334.0,0.379
335.0,0.549
336.0,0.72
337.0,0.783
338.0,0.525
339.0,0.267
340.0,0.415
341.0,0.588
342.0,0.506
343.0,0.261
344.0,0.005
345.0,0.279
346.0,0.553
347.0,0.474
348.0,1.452
349.0,1.821
350.0,1.922
351.0,1.856
352.0,1.564
353.0,1.262
354.0,1.34
355.0,1.421
356.0,1.16
357.0,0.795
358.0,0.831
359.0,1.312
360.0,1.606
361.0,1.017
362.0,0.275
363.0,1.01
364.0,1.905
365.0,1.8
366.0,0.929
367.0,0.391
368.0,0.801
369.0,1.283
370.0,1.559
371.0,1.592
372.0,1.513
373.0,1.403
374.0,1.439
375.0,1.762
376.0,2.091
377.0,1.718
378.0,1.238
379.0,1.427
380.0,1.758
381.0,1.835
382.0,1.624
383.0,1.267
384.0,0.584
385.0,0.104
386.0,0.364
387.0,0.935
388.0,0.953
389.0,0.626
390.0,0.294
391.0,0.045
392.0,0.378
393.0,0.313
394.0,0.284
395.0,0.255
396.0,0.22
397.0,0.018
398.0,0.489
399.0,0.963
400.0,1.359
401.0,1.536
402.0,2.734
403.0,4.122
404.0,6.348
405.0,9.081
406.0,12.737
407.0,18.043
408.0,23.645
409.0,34.655
410.0,45.736
411.0,63.842
412.0,83.826
413.0,102.752
414.0,120.651
415.0,133.497
416.0,130.361
417.0,127.264
418.0,108.882
419.0,90.006
420.0,72.062
421.0,54.545
422.0,40.035
423.0,29.616
424.0,20.132
425.0,15.256
426.0,10.286
427.0,7.602
428.0,5.309
429.0,3.696
430.0,2.397
431.0,1.364
432.0,0.884
433.0,0.439
434.0,0.401
435.0,0.367
436.0,0.338
437.0,0.317
438.0,0.054
439.0,0.405
440.0,0.606
441.0,0.213
442.0,0.124
443.0,0.008
444.0,0.125
445.0,0.065
446.0,0.346
447.0,0.639
448.0,0.888
449.0,1.072
450.0,1.24
451.0,1.476
452.0,1.764
453.0,1.836
454.0,1.795
455.0,1.747
456.0,2.004
457.0,2.517
458.0,2.831
459.0,2.565
460.0,2.104
461.0,1.647
462.0,1.209
463.0,1.093
464.0,1.071
465.0,0.802
466.0,0.276
467.0,0.068
468.0,0.221
469.0,0.479
470.0,0.173
471.0,0.857
472.0,0.883
473.0,0.681
474.0,0.253
475.0,0.387
476.0,1.024
477.0,1.649
478.0,2.264
