Raman Shift,Intensity
104.516,16295.0
105.908,16949.0
107.3,17425.0
108.691,17468.0
110.082,17608.0
111.473,17016.0
112.864,16784.0
114.254,16736.0
115.644,17027.0
117.034,17583.0
118.424,17709.0
119.813,17522.0
121.203,17824.0
122.592,17687.0
123.981,17764.0
125.369,17757.0
126.758,17388.0
128.146,17190.0
129.534,17158.0
130.922,17156.0
132.309,16873.0
133.696,17188.0
135.083,17319.0
136.47,17753.0
137.857,17738.0
139.243,17979.0
140.63,17695.0
142.016,17540.0
143.401,17381.0
144.787,17456.0
146.172,17526.0
147.557,17627.0
148.942,17640.0
150.327,17475.0
151.711,17481.0
153.096,17478.0
154.48,17428.0
155.863,17150.0
157.247,16996.0
158.63,16987.0
160.013,16896.0
161.396,17205.0
162.779,17585.0
164.161,17974.0
165.544,18183.0
166.926,18472.0
168.308,18547.0
169.689,18679.0
171.07,18507.0
172.452,18613.0
173.833,18395.0
175.213,18150.0
176.594,18294.0
177.974,17987.0
179.354,18376.0
180.734,18694.0
182.114,18650.0
183.493,18919.0
184.872,19002.0
186.251,19080.0
187.63,19171.0
189.008,19215.0
190.387,19261.0
191.765,19542.0
193.143,19553.0
194.52,19549.0
195.898,19346.0
197.275,19414.0
198.652,19011.0
200.029,18747.0
201.405,18530.0
202.782,18308.0
204.158,18007.0
205.534,18249.0
206.909,18356.0
208.285,18212.0
209.66,18554.0
211.035,18744.0
212.41,18813.0
213.784,19052.0
215.159,18984.0
216.533,18912.0
217.907,18823.0
219.281,18599.0
220.654,18342.0
222.027,18075.0
223.4,18345.0
224.773,18281.0
226.146,18411.0
227.518,18638.0
228.891,18731.0
230.263,18575.0
231.634,18782.0
233.006,18649.0
234.377,18457.0
235.748,18398.0
237.119,18224.0
238.49,18039.0
239.86,18135.0
241.231,17830.0
242.601,17976.0
243.97,17994.0
245.34,18051.0
246.709,18110.0
248.079,18169.629
249.448,18252.0
250.816,18360.625
252.185,18486.0
253.553,18626.0
254.921,18782.0
256.289,18957.0
257.657,19025.0
259.024,19304.0
260.391,19343.0
261.758,19522.0
263.125,19386.0
264.492,19366.0
265.858,19200.0
267.224,19194.0
268.59,18987.0
269.956,18838.0
271.321,19062.0
272.687,18904.0
274.052,18803.0
275.416,18880.0
276.781,19068.0
278.146,19114.0
279.51,19014.0
280.874,19273.0
282.237,19166.0
283.601,19382.0
284.964,19496.0
286.327,19440.0
287.69,19713.0
289.053,19756.0
290.416,20007.0
291.778,20352.0
293.14,20409.0
294.502,20867.0
295.863,20912.0
297.225,21249.0
298.586,21320.0
299.947,21262.0
301.308,21410.0
302.668,21066.0
304.029,20992.0
305.389,20884.0
306.749,20668.0
308.108,20598.0
309.468,20697.0
310.827,20541.0
312.186,20802.0
313.545,20515.0
314.903,20718.0
316.262,20921.0
317.62,20769.0
318.978,20866.0
320.336,20884.0
321.693,20807.0
323.051,20978.0
324.408,21116.0
325.765,20796.0
327.121,21313.0
328.478,21166.0
329.834,21042.0
331.19,21184.0
332.546,21222.0
333.902,21017.0
335.257,21179.0
336.612,21182.0
337.967,21229.0
339.322,21202.0
340.677,21295.242
342.031,21406.965
343.385,21401.0
344.739,21577.0
346.093,21494.0
347.446,21285.0
348.799,21376.0
350.153,21414.0
351.505,21499.0
352.858,21512.0
354.21,21365.0
355.563,21564.0
356.915,21494.0
358.267,21560.0
359.618,21826.0
360.969,21903.0
362.321,22281.0
363.672,22237.0
365.022,22321.0
366.373,22440.0
367.723,22340.0
369.073,22502.0
370.423,22469.0
371.773,22565.0
373.122,22241.0
374.471,22366.0
375.821,22558.0
377.169,22068.0
378.518,22487.0
379.866,22064.0
381.215,22104.0
382.563,22278.0
383.91,22186.0
385.258,22195.0
386.605,22369.0
387.952,22490.0
389.299,22194.0
390.646,22360.0
391.992,22369.0
393.339,22186.0
394.685,22171.0
396.031,22072.0
397.376,22061.014
398.722,22118.0
400.067,22116.0
401.412,22066.0
402.757,22144.0
404.101,22236.0
405.446,22218.0
406.79,22096.0
408.134,22328.0
409.478,22241.0
410.821,22473.0
412.165,22434.0
413.508,22451.0
414.851,22841.0
416.193,22882.0
417.536,22805.0
418.878,22905.0
420.22,23044.0
421.562,22897.0
422.904,22802.0
424.245,23078.0
425.586,23146.0
426.927,23317.0
428.268,23540.0
429.609,23588.0
430.949,23917.238
432.289,24141.0
433.629,24494.0
434.969,24778.0
436.309,25036.0
437.648,25129.0
438.987,25586.0
440.326,25203.0
441.665,24503.0
443.003,24366.0
444.342,24444.0
445.68,23960.0
447.018,24065.0
448.355,23876.0
449.693,23418.0
451.03,23653.0
452.367,23470.0
453.704,23620.0
455.041,23290.0
456.377,23530.0
457.713,23624.0
459.049,23494.0
460.385,23564.0
461.721,23651.0
463.056,23851.0
464.391,23856.0
465.726,23867.0
467.061,24304.0
468.395,24227.0
469.73,24298.0
471.064,24768.0
472.398,24546.0
473.731,25112.0
475.065,24946.0
476.398,25480.0
477.731,25752.0
479.064,26242.0
480.397,26173.0
481.729,26340.0
483.062,26457.0
484.394,26364.0
485.725,26329.0
487.057,26216.0
488.389,26048.0
489.72,25964.0
491.051,25811.0
492.382,25743.0
493.712,25607.0
495.043,25725.0
496.373,25564.0
497.703,25381.0
499.032,25572.0
500.362,25569.0
501.691,25399.0
503.02,25626.0
504.349,25257.0
505.678,25432.0
507.007,25387.0
508.335,25475.0
509.663,25369.0
510.991,25545.0
512.319,25607.0
513.646,25700.0
514.973,25796.0
516.3,25930.0
517.627,26112.0
518.954,26352.0
520.28,26494.607
521.607,26608.0
522.933,26922.0
524.259,27250.0
525.584,27642.0
526.91,27644.0
528.235,28053.0
529.56,28226.0
530.885,28067.0
532.209,27348.0
533.534,27089.0
534.858,27038.0
536.182,26904.0
537.506,26865.0
538.829,26774.275
540.152,26808.0
541.476,26657.0
542.799,26726.0
544.121,26761.646
545.444,26829.0
546.766,26781.0
548.088,26916.0
549.41,26929.0
550.732,27088.0
552.053,27289.0
553.375,27410.0
554.696,27453.482
556.017,27248.0
557.337,27458.0
558.658,27336.0
559.978,27303.0
561.298,27382.0
562.618,27534.0
563.938,27405.0
565.257,27687.0
566.576,27833.0
567.895,27601.0
569.214,27971.0
570.533,28206.0
571.851,28314.0
573.17,28275.0
574.488,28864.0
575.805,28911.0
577.123,29254.0
578.44,29581.0
579.758,29980.0
581.075,30818.0
582.391,31189.0
583.708,32505.0
585.024,32907.0
586.341,34234.0
587.657,35585.0
588.972,36967.0
590.288,38251.0
591.603,38771.0
592.918,38661.0
594.233,38635.0
595.548,37849.0
596.863,36850.0
598.177,35671.0
599.491,34385.0
600.805,33546.0
602.119,32803.0
603.432,31800.0
604.746,31387.0
606.059,30742.0
607.372,30344.0
608.685,29817.0
609.997,29935.0
611.309,29499.0
612.621,29371.199
613.933,29032.0
615.245,29128.0
616.557,29128.0
617.868,29136.0
619.179,28938.0
620.49,29076.0
621.801,28616.0
623.111,29097.0
624.421,28566.0
625.731,29184.0
627.041,28436.0
628.351,29082.0
629.66,28535.0
630.97,28413.0
632.279,29072.0
633.588,28550.0
634.896,28578.0
636.205,28598.0
637.513,28766.0
638.821,28512.0
640.129,28678.0
641.437,29008.0
642.744,28809.0
644.051,28808.0
645.358,28723.0
646.665,28864.0
647.972,29046.0
649.278,28896.0
650.584,29009.0
651.89,28844.0
653.196,29224.0
654.502,29038.0
655.807,29204.0
657.113,29013.0
658.418,29199.0
659.722,29332.0
661.027,29264.0
662.331,29165.0
663.636,29232.0
664.94,29486.0
666.244,29209.0
667.547,29474.0
668.851,29402.0
670.154,29532.0
671.457,29458.0
672.76,29554.0
674.062,29889.0
675.365,29581.0
676.667,30180.0
677.969,29883.0
679.271,29692.0
680.572,29921.0
681.874,29685.0
683.175,30099.0
684.476,30026.0
685.777,29924.0
687.077,29992.0
688.378,29854.0
689.678,30155.0
690.978,30262.0
692.278,30128.0
693.577,29712.0
694.877,30662.0
