Raman Shift,Intensity
209.0,6.06
210.0,8.628
211.0,14.845
212.0,21.309
213.0,28.006
214.0,34.837
215.0,41.379
216.0,47.055
217.0,52.832
218.0,45.085
219.0,35.623
220.0,25.985
221.0,16.143
222.0,7.07
223.0,6.97
224.0,6.976
225.0,8.33
226.0,10.169
227.0,14.392
228.0,22.61
229.0,31.12
230.0,35.289
231.0,39.355
232.0,39.371
233.0,37.243
234.0,33.974
235.0,27.881
236.0,21.703
237.0,16.59
238.0,11.579
239.0,7.92
240.0,5.393
241.0,2.981
242.0,1.224
243.0,0.58
244.0,1.088
245.0,1.379
246.0,1.017
247.0,0.172
248.0,1.335
249.0,2.833
250.0,4.282
251.0,6.298
252.0,8.494
253.0,11.742
254.0,16.795
255.0,21.801
256.0,28.001
257.0,34.108
258.0,39.795
259.0,44.931
260.0,48.946
261.0,51.046
262.0,53.325
263.0,51.408
264.0,49.413
265.0,46.566
266.0,43.101
267.0,39.164
268.0,33.898
269.0,28.243
270.0,23.641
271.0,19.113
272.0,14.988
273.0,11.191
274.0,7.507
275.0,4.466
276.0,1.394
277.0,0.459
278.0,0.133
279.0,0.368
280.0,0.261
281.0,0.228
282.0,0.264
283.0,0.362
284.0,0.873
285.0,2.386
286.0,3.869
287.0,5.324
288.0,6.81
289.0,8.645
290.0,10.461
291.0,13.561
292.0,16.847
293.0,19.789
294.0,22.306
295.0,25.11
296.0,30.664
297.0,36.302
298.0,40.411
299.0,44.055
300.0,46.278
301.0,46.421
302.0,46.098
303.0,42.011
304.0,37.956
305.0,31.586
306.0,24.598
307.0,18.237
308.0,12.637
309.0,7.415
310.0,4.52
311.0,1.694
312.0,0.299
313.0,0.674
314.0,0.388
315.0,1.34
316.0,3.063
317.0,4.469
318.0,5.93
319.0,6.392
320.0,6.668
321.0,6.152
322.0,4.951
323.0,4.099
324.0,4.422
325.0,4.55
326.0,5.467
327.0,6.571
328.0,7.263
329.0,7.499
330.0,7.721
331.0,7.672
332.0,7.652
333.0,6.122
334.0,4.425
335.0,2.748
336.0,1.09
337.0,0.218
338.0,0.411
339.0,0.439
340.0,1.015
341.0,2.477
342.0,4.338
343.0,6.252
344.0,7.647
345.0,8.151
346.0,8.647
347.0,8.705
348.0,8.753
349.0,7.28
350.0,5.138
351.0,3.321
352.0,2.019
353.0,0.634
354.0,0.06
355.0,0.83
356.0,0.719
357.0,0.461
358.0,0.169
359.0,1.242
360.0,2.818
361.0,6.916
362.0,11.007
363.0,13.592
364.0,15.938
365.0,18.034
366.0,19.936
367.0,21.491
368.0,22.082
369.0,22.53
370.0,21.978
371.0,21.151
372.0,20.128
373.0,19.135
374.0,18.273
375.0,17.268
376.0,16.284
377.0,15.311
378.0,14.344
379.0,12.695
380.0,10.856
381.0,9.231
382.0,7.826
383.0,6.851
384.0,7.652
385.0,8.525
