Raman Shift,Intensity
209.0,903.941
210.0,700.063
211.0,559.87
212.0,290.33
213.0,143.428
214.0,70.968
215.0,6.523
216.0,2.587
217.0,19.668
218.0,3.643
219.0,5.646
220.0,19.16
221.0,38.175
222.0,50.616
223.0,65.206
224.0,72.987
225.0,77.503
226.0,76.741
227.0,72.796
228.0,69.879
229.0,67.611
230.0,68.064
231.0,68.65
232.0,72.242
233.0,76.24
234.0,80.642
235.0,89.403
236.0,99.773
237.0,118.124
238.0,136.682
239.0,157.679
240.0,180.909
241.0,207.25
242.0,248.108
243.0,289.083
244.0,336.569
245.0,385.398
246.0,429.32
247.0,467.341
248.0,501.967
249.0,502.946
250.0,503.77
251.0,486.756
252.0,462.962
253.0,441.744
254.0,425.054
255.0,408.378
256.0,414.027
257.0,419.442
258.0,435.541
259.0,457.096
260.0,472.241
261.0,472.765
262.0,473.149
263.0,439.939
264.0,404.683
265.0,372.423
266.0,342.129
267.0,317.793
268.0,312.533
269.0,307.04
270.0,312.702
271.0,319.473
272.0,322.965
273.0,323.678
274.0,321.376
275.0,307.644
276.0,293.866
277.0,278.959
278.0,263.822
279.0,251.055
280.0,240.667
281.0,230.781
282.0,223.412
283.0,215.972
284.0,208.839
285.0,201.795
286.0,194.132
287.0,185.803
288.0,177.541
289.0,169.643
290.0,161.752
291.0,154.523
292.0,147.457
293.0,141.366
294.0,136.43
295.0,131.641
296.0,128.0
297.0,124.365
298.0,121.768
299.0,119.451
300.0,117.316
301.0,115.438
302.0,113.706
303.0,113.115
304.0,112.515
305.0,111.909
306.0,111.302
307.0,110.111
308.0,108.205
309.0,106.455
310.0,105.831
311.0,105.197
312.0,103.182
313.0,100.806
314.0,120.983
315.0,138.913
316.0,154.173
317.0,167.313
318.0,177.713
319.0,184.028
320.0,186.493
321.0,187.673
322.0,188.427
323.0,186.179
324.0,182.833
325.0,178.089
326.0,175.416
327.0,173.189
328.0,171.543
329.0,170.451
330.0,169.544
331.0,169.023
332.0,168.536
333.0,169.991
334.0,171.679
335.0,173.369
336.0,175.068
337.0,177.105
338.0,180.139
339.0,183.188
340.0,186.306
341.0,189.495
342.0,191.681
343.0,193.329
344.0,194.645
345.0,195.159
346.0,195.711
347.0,191.642
348.0,187.686
349.0,182.034
350.0,175.783
351.0,169.732
352.0,163.896
353.0,158.4
354.0,154.296
355.0,150.367
356.0,147.608
357.0,145.144
358.0,144.116
359.0,144.622
360.0,144.87
361.0,144.3
362.0,143.654
363.0,144.068
364.0,144.686
365.0,145.588
366.0,146.764
367.0,148.051
368.0,149.418
369.0,150.798
370.0,150.09
371.0,149.159
372.0,147.215
373.0,144.685
374.0,141.068
375.0,135.706
376.0,130.409
377.0,125.915
378.0,121.458
379.0,117.049
380.0,112.677
381.0,108.334
382.0,104.007
383.0,99.639
384.0,95.217
385.0,90.762
386.0,87.844
387.0,85.066
388.0,81.716
389.0,78.015
390.0,74.877
391.0,72.912
392.0,70.906
393.0,68.477
394.0,66.042
395.0,63.59
396.0,61.139
397.0,58.67
398.0,56.176
399.0,53.865
400.0,52.256
401.0,50.648
402.0,49.045
403.0,47.44
404.0,45.566
405.0,43.528
406.0,41.665
407.0,40.098
408.0,38.548
409.0,37.019
410.0,35.511
411.0,34.028
412.0,32.558
413.0,31.098
414.0,29.657
415.0,28.558
416.0,28.482
417.0,28.442
418.0,27.156
419.0,25.837
420.0,24.83
421.0,23.969
422.0,22.923
423.0,21.638
424.0,20.365
425.0,19.112
426.0,17.88
427.0,17.051
428.0,16.275
429.0,15.239
430.0,14.052
431.0,13.042
432.0,12.359
433.0,11.758
434.0,11.611
435.0,11.52
436.0,11.108
437.0,10.635
438.0,9.938
439.0,9.09
440.0,8.279
441.0,7.475
442.0,6.67
443.0,5.918
444.0,5.217
445.0,4.892
446.0,4.701
447.0,4.324
448.0,3.792
449.0,3.313
450.0,2.873
451.0,2.476
452.0,2.96
453.0,3.455
454.0,3.3
