Raman Shift,Intensity
91.55994,573.6298
92.04205,593.0452
92.52417,622.2574
93.00629,655.826
93.4884,687.7962
93.97052,711.8655
94.45264,723.2486
94.93475,730.0087
95.41687,735.1423
95.89898,738.8728
96.3811,742.1205
96.86321,745.8968
97.34533,750.1562
97.82745,752.9109
98.30956,754.3422
98.79168,753.8511
99.2738,753.6207
99.75591,753.8822
100.238,754.5813
100.7201,755.8043
101.2023,757.6449
101.6844,760.0628
102.1665,762.563
102.6486,765.3114
103.1307,767.9503
103.6128,769.9435
104.095,771.106
104.5771,772.4391
105.0592,774.6256
105.5413,777.1888
106.0234,779.4821
106.5055,781.2556
106.9877,782.515
107.4698,783.1472
107.9519,781.4452
108.434,781.2678
108.9161,785.15
109.3982,791.8685
109.8804,798.4506
110.3625,802.2628
110.8446,802.8694
111.3267,802.753
111.8088,800.4092
112.2909,798.5782
112.7731,798.7303
113.2552,800.9691
113.7373,804.3466
114.2194,807.6133
114.7015,811.7877
115.1836,813.6887
115.6658,811.9825
116.1479,808.7492
116.63,806.0347
117.1121,804.5831
117.5942,803.704
118.0763,801.6799
118.5584,797.9908
119.0406,794.5146
119.5227,792.0743
120.0048,790.3104
120.4869,788.0331
120.969,784.1131
121.4511,779.9366
121.9333,778.0491
122.4154,779.1623
122.8975,781.311
123.3796,782.97
123.8617,784.1074
124.3438,785.0215
124.826,785.2325
125.3081,785.4971
125.7902,786.808
126.2723,789.9921
126.7544,793.7911
127.2365,795.0212
127.7187,791.5025
128.2008,789.0483
128.6829,789.3496
129.165,791.5858
129.6471,794.7686
130.1292,798.407
130.6114,802.4532
131.0935,806.1507
131.5756,808.8403
132.0577,811.8378
132.5398,815.6301
133.0219,820.0412
133.5041,824.4924
133.9862,828.4056
134.4683,831.5486
134.9504,836.0242
135.4325,842.9901
135.9146,850.1008
136.3968,855.7195
136.8789,859.801
137.361,863.7242
137.8431,869.009
138.3252,875.9906
138.8073,883.0375
139.2895,889.7181
139.7716,896.5706
140.2537,903.92
140.7358,911.5827
141.2179,920.6335
141.7,933.3531
142.1821,949.3557
142.6643,964.9583
143.1464,978.4459
143.6285,990.2628
144.1106,1002.192
144.5927,1015.031
145.0748,1027.516
145.557,1037.802
146.0391,1045.91
146.5212,1055.244
147.0033,1068.466
147.4854,1085.716
147.9675,1105.789
148.4497,1128.045
148.9318,1153.826
149.4139,1184.585
149.896,1220.427
150.3781,1260.317
150.8602,1302.879
151.3424,1350.373
151.8245,1396.457
152.3066,1444.959
152.7887,1489.98
153.2708,1529.314
153.7529,1561.576
154.2351,1584.071
154.7172,1589.778
155.1993,1572.658
155.6814,1542.554
156.1635,1495.079
156.6456,1436.619
157.1278,1372.901
157.6099,1306.221
158.092,1238.705
158.5741,1180.085
159.0562,1130.469
159.5383,1087.787
160.0205,1053.266
160.5026,1025.656
160.9847,1002.412
161.4668,982.6589
161.9489,966.2475
162.431,951.7663
162.9131,939.7278
163.3953,928.9432
163.8774,919.3565
164.3595,910.8232
164.8416,902.0382
165.3237,891.7405
165.8058,880.7493
166.288,870.8821
166.7701,862.2056
167.2522,854.7764
167.7343,848.8901
168.2164,844.7316
168.6985,841.2888
169.1807,837.7026
169.6628,834.5428
170.1449,832.6716
170.627,832.5405
171.1091,833.8321
171.5912,835.9804
172.0734,839.4861
172.5555,842.9603
173.0376,845.3261
173.5197,847.4235
174.0018,850.3712
174.4839,854.6263
174.9661,860.2775
175.4482,867.9443
175.9303,879.6677
176.4124,891.3048
176.8945,900.468
177.3766,908.79
177.8588,919.0706
178.3409,933.5263
178.823,952.2224
179.3051,971.4055
179.7872,994.2653
180.2693,1014.542
180.7515,1032.497
181.2336,1046.526
181.7157,1053.256
182.1978,1049.47
182.6799,1034.267
183.162,1015.942
183.6441,991.6078
184.1263,967.4414
184.6084,945.9132
185.0905,927.3512
185.5726,911.2679
186.0547,897.1534
186.5368,885.1898
187.019,877.2012
187.5011,874.7262
187.9832,874.959
188.4653,876.5665
188.9474,879.285
189.4296,882.1147
189.9117,883.8886
190.3938,884.6612
190.8759,886.2747
191.358,889.5808
191.8401,893.516
192.3223,896.8128
192.8044,899.2277
193.2865,901.5711
193.7686,904.5259
194.2507,908.001
194.7328,911.9741
195.215,916.1699
195.6971,920.9105
196.1792,926.8349
196.6613,934.0242
197.1434,942.4229
197.6255,951.7254
198.1077,962.0354
198.5898,973.6977
199.0719,986.4174
199.554,1000.569
200.0361,1017.549
200.5182,1037.465
201.0004,1060.713
201.4825,1085.778
201.9646,1113.5
202.4467,1145.598
202.9288,1182.73
203.4109,1225.018
203.893,1273.9
204.3752,1331.696
204.8573,1394.467
205.3394,1464.019
205.8215,1537.251
206.3036,1609.195
206.7857,1679.313
207.2679,1748.939
207.75,1790.407
208.2321,1800.515
208.7142,1782.969
209.1963,1729.111
209.6784,1645.903
210.1606,1547.99
210.6427,1445.632
211.1248,1337.371
211.6069,1243.53
212.089,1165.846
212.5711,1099.323
213.0533,1043.395
213.5354,997.264
214.0175,959.1074
214.4996,927.7284
214.9817,903.6663
