Raman Shift,Intensity
104.516,6945.0
105.908,7002.0
107.3,7060.0
108.691,7089.0
110.082,7100.0
111.473,7268.0
112.864,7235.0
114.254,7392.0
115.644,7446.0
117.034,7572.0
118.424,7566.0
119.813,7643.0
121.203,7529.0
122.592,7681.0
123.981,7712.0
125.369,7744.0
126.758,7735.0
128.146,7840.0
129.534,7885.0
130.922,7912.0
132.309,8159.0
133.696,8101.0
135.083,8317.0
136.47,8492.0
137.857,8829.0
139.243,9073.0
140.63,9414.0
142.016,9639.0
143.401,9686.0
144.787,9586.0
146.172,9567.0
147.557,9676.0
148.942,9862.0
150.327,10279.0
151.711,11094.0
153.096,11910.0
154.48,12630.0
155.863,12610.0
157.247,11774.0
158.63,10792.0
160.013,10073.0
161.396,9459.0
162.779,9180.0
164.161,8969.0
165.544,8857.0
166.926,8759.0
168.308,8718.0
169.689,8637.0
171.07,8604.0
172.452,8627.0
173.833,8674.0
175.213,8699.0
176.594,8615.0
177.974,8712.0
179.354,8614.0
180.734,8718.0
182.114,8785.0
183.493,8765.0
184.872,8723.0
186.251,8829.0
187.63,8719.0
189.008,8795.0
190.387,8868.0
191.765,8855.0
193.143,8905.0
194.52,8904.0
195.898,9001.0
197.275,8938.0
198.652,8960.0
200.029,9022.0
201.405,9044.0
202.782,9072.0
204.158,9030.0
205.534,8996.0
206.909,9180.0
208.285,9214.0
209.66,9072.0
211.035,9104.0
212.41,9143.0
213.784,9184.0
215.159,9240.0
216.533,9204.0
217.907,9156.0
219.281,9290.0
220.654,9304.0
222.027,9287.0
223.4,9260.0
224.773,9332.0
226.146,9358.0
227.518,9411.0
228.891,9476.0
230.263,9449.0
231.634,9405.0
233.006,9473.0
234.377,9564.0
235.748,9543.0
237.119,9602.0
238.49,9558.0
239.86,9515.0
241.231,9781.0
242.601,9785.0
243.97,9768.0
245.34,9711.0
246.709,9828.0
248.079,9832.0
249.448,9810.0
250.816,9976.0
252.185,9945.0
253.553,10090.0
254.921,10140.0
256.289,10113.0
257.657,10278.0
259.024,10143.0
260.391,10402.0
261.758,10466.0
263.125,10599.0
264.492,10634.0
265.858,10904.0
267.224,10916.0
268.59,11134.0
269.956,11334.0
271.321,11574.0
272.687,12024.0
274.052,12558.0
275.416,13107.0
276.781,13889.0
278.146,15168.0
279.51,16065.0
280.874,16824.0
282.237,17054.0
283.601,16602.0
284.964,15658.0
286.327,14371.0
287.69,13339.0
289.053,12678.0
290.416,12088.0
291.778,11780.0
293.14,11580.0
294.502,11210.0
295.863,11257.0
297.225,11104.0
298.586,11085.0
299.947,10914.0
301.308,10891.0
302.668,10793.0
304.029,10789.0
305.389,10738.0
306.749,10857.0
308.108,10870.0
309.468,10823.0
310.827,10914.0
312.186,10803.0
313.545,10807.0
314.903,10808.0
316.262,10792.0
317.62,10902.0
318.978,10899.0
320.336,10914.0
321.693,10922.0
323.051,10858.0
324.408,10954.0
325.765,11063.0
327.121,10960.0
328.478,11026.0
329.834,10980.0
331.19,11055.0
332.546,11148.0
333.902,11086.0
335.257,11084.0
336.612,11179.0
337.967,11079.0
339.322,11214.0
340.677,11198.0
342.031,11177.0
343.385,11155.0
344.739,11251.0
346.093,11321.0
347.446,11281.0
348.799,11278.0
350.153,11392.0
351.505,11305.0
352.858,11380.0
354.21,11480.0
355.563,11360.0
356.915,11510.0
358.267,11465.0
359.618,11486.0
360.969,11457.0
362.321,11518.0
363.672,11591.0
365.022,11618.0
366.373,11698.0
367.723,11641.0
369.073,11605.0
370.423,11735.0
371.773,11741.0
373.122,11793.0
374.471,11633.0
375.821,11696.0
377.169,11876.0
378.518,11870.0
379.866,11952.0
381.215,11955.0
382.563,11890.0
383.91,11979.0
385.258,11868.0
386.605,11874.0
387.952,11993.0
389.299,12166.0
390.646,12035.0
391.992,12132.0
393.339,12137.0
394.685,12053.0
396.031,12144.0
397.376,12248.0
398.722,12413.0
400.067,12228.0
401.412,12220.0
402.757,12112.0
404.101,12244.0
405.446,12318.0
406.79,12331.0
408.134,12285.0
409.478,12326.0
410.821,12390.0
412.165,12458.0
413.508,12385.0
414.851,12289.0
416.193,12562.0
417.536,12488.0
418.878,12494.0
420.22,12440.0
421.562,12679.0
422.904,12523.0
424.245,12478.0
425.586,12680.0
426.927,12748.0
428.268,12721.0
