Raman Shift,Intensity
209.0,4.916
210.0,9.548
211.0,7.518
212.0,5.532
213.0,6.737
214.0,10.586
215.0,13.051
216.0,12.928
217.0,13.186
218.0,12.663
219.0,11.67
220.0,8.874
221.0,4.462
222.0,0.697
223.0,1.333
224.0,1.976
225.0,1.031
226.0,0.418
227.0,1.047
228.0,0.369
229.0,0.329
230.0,1.865
231.0,3.403
232.0,5.214
233.0,7.175
234.0,8.903
235.0,10.017
236.0,11.13
237.0,15.694
238.0,20.61
239.0,24.383
240.0,27.195
241.0,30.242
242.0,34.342
243.0,38.454
244.0,43.607
245.0,49.004
246.0,54.978
247.0,61.664
248.0,68.501
249.0,76.497
250.0,84.482
251.0,94.935
252.0,106.296
253.0,118.278
254.0,131.32
255.0,144.418
256.0,162.544
257.0,180.659
258.0,201.558
259.0,223.906
260.0,247.788
261.0,275.233
262.0,302.676
263.0,337.781
264.0,373.303
265.0,417.431
266.0,467.414
267.0,522.367
268.0,592.811
269.0,663.313
270.0,766.94
271.0,874.542
272.0,1017.864
273.0,1191.139
274.0,1386.35
275.0,1671.441
276.0,1956.539
277.0,2366.317
278.0,2798.281
279.0,3216.791
280.0,3622.032
281.0,3957.427
282.0,3924.104
283.0,3890.774
284.0,3499.595
285.0,3027.73
286.0,2554.544
287.0,2079.838
288.0,1630.347
289.0,1343.434
290.0,1055.673
291.0,872.867
292.0,717.344
293.0,592.601
294.0,504.597
295.0,420.855
296.0,368.744
297.0,316.668
298.0,279.65
299.0,246.789
300.0,218.122
301.0,194.632
302.0,171.976
303.0,155.77
304.0,139.55
305.0,126.327
306.0,113.923
307.0,102.86
308.0,93.432
309.0,84.316
310.0,77.452
311.0,70.58
312.0,65.068
313.0,59.89
314.0,55.023
315.0,50.076
316.0,45.317
317.0,42.068
318.0,38.81
319.0,35.535
320.0,32.238
321.0,29.564
322.0,27.54
323.0,25.509
324.0,23.467
325.0,21.407
326.0,19.336
327.0,17.261
328.0,16.084
329.0,15.699
330.0,14.827
331.0,12.248
332.0,9.672
333.0,9.0
334.0,8.521
335.0,7.754
336.0,6.844
337.0,5.962
338.0,5.094
339.0,4.238
340.0,3.386
341.0,2.54
342.0,1.699
343.0,0.86
344.0,0.294
345.0,0.316
346.0,0.337
347.0,0.786
348.0,1.232
349.0,1.07
350.0,0.643
351.0,0.213
352.0,0.222
353.0,0.587
354.0,0.161
355.0,0.261
356.0,0.343
357.0,0.324
358.0,0.301
359.0,0.275
360.0,0.247
361.0,0.214
362.0,0.178
363.0,0.141
364.0,0.105
365.0,0.183
366.0,0.668
367.0,0.928
368.0,0.551
369.0,0.178
370.0,3.588
371.0,7.141
372.0,6.336
373.0,3.367
374.0,1.052
375.0,0.167
376.0,1.349
377.0,2.126
378.0,2.9
379.0,2.988
380.0,2.882
381.0,2.774
382.0,2.661
383.0,2.717
384.0,3.47
385.0,4.218
386.0,2.981
387.0,1.538
388.0,1.17
389.0,1.465
390.0,1.757
391.0,2.045
392.0,2.329
393.0,2.61
394.0,2.887
395.0,3.159
396.0,3.426
397.0,3.269
398.0,2.646
399.0,2.186
400.0,2.434
401.0,2.678
402.0,2.92
403.0,3.16
404.0,3.672
405.0,4.346
406.0,4.864
407.0,5.093
408.0,5.321
409.0,5.546
410.0,5.769
411.0,5.294
412.0,4.634
413.0,4.652
414.0,5.307
415.0,5.641
416.0,4.972
417.0,4.301
418.0,5.33
419.0,6.415
420.0,6.888
421.0,7.09
422.0,7.102
423.0,6.857
424.0,6.745
425.0,7.376
426.0,8.005
427.0,8.631
428.0,9.255
429.0,8.789
430.0,7.644
431.0,7.113
432.0,7.728
433.0,8.266
434.0,7.994
435.0,7.719
436.0,8.166
437.0,8.771
438.0,9.371
439.0,9.958
440.0,10.141
441.0,9.382
442.0,8.665
443.0,9.226
444.0,9.782
445.0,9.647
446.0,9.306
447.0,9.188
448.0,9.274
449.0,9.351
450.0,9.418
451.0,9.469
452.0,9.945
453.0,10.421
454.0,10.232
455.0,9.833
456.0,9.441
457.0,9.044
458.0,8.637
459.0,8.213
460.0,7.759
461.0,8.158
462.0,8.594
463.0,8.398
464.0,7.973
465.0,7.546
466.0,7.117
467.0,6.794
468.0,6.805
469.0,6.814
470.0,5.932
471.0,5.045
472.0,5.492
473.0,6.363
474.0,6.747
475.0,6.672
476.0,6.741
477.0,7.164
478.0,7.328
479.0,6.371
480.0,5.47
481.0,5.473
482.0,5.833
483.0,5.792
484.0,5.367
485.0,5.084
486.0,5.119
487.0,5.184
488.0,5.664
489.0,6.142
490.0,6.247
491.0,6.277
492.0,6.044
493.0,5.633
494.0,5.54
495.0,6.004
496.0,6.232
497.0,4.903
498.0,3.576
499.0,3.458
500.0,3.48
501.0,4.103
502.0,5.025
503.0,5.16
504.0,4.288
505.0,3.415
506.0,2.539
507.0,1.66
508.0,2.995
509.0,4.364
510.0,4.368
511.0,3.942
512.0,3.758
513.0,3.786
514.0,3.675
515.0,3.256
516.0,2.878
517.0,2.911
518.0,2.945
519.0,3.368
520.0,3.846
521.0,3.739
522.0,3.319
523.0,3.095
524.0,3.124
525.0,3.15
526.0,3.18
527.0,3.216
528.0,4.605
529.0,5.998
530.0,5.269
531.0,3.951
532.0,3.92
533.0,4.864
534.0,5.327
535.0,4.92
536.0,4.583
537.0,4.63
538.0,4.671
539.0,5.134
540.0,5.629
541.0,5.469
542.0,5.059
543.0,4.884
544.0,4.929
545.0,5.26
546.0,6.218
547.0,6.948
548.0,5.664
549.0,4.381
550.0,5.529
551.0,6.943
552.0,7.746
553.0,8.31
554.0,8.642
555.0,8.74
556.0,8.952
557.0,9.464
558.0,9.947
559.0,10.055
560.0,10.175
561.0,10.7
562.0,11.265
563.0,11.507
564.0,11.601
565.0,12.131
566.0,13.101
567.0,13.65
568.0,13.253
569.0,12.963
570.0,13.492
571.0,14.01
572.0,14.109
573.0,14.172
574.0,14.57
575.0,15.089
576.0,15.117
577.0,14.726
578.0,14.171
579.0,13.317
580.0,12.614
581.0,12.683
582.0,12.752
583.0,13.269
584.0,13.798
585.0,13.243
586.0,12.402
587.0,11.84
588.0,11.463
589.0,10.7
590.0,9.408
591.0,8.446
592.0,8.531
593.0,8.615
594.0,8.701
595.0,8.787
596.0,8.874
597.0,8.961
598.0,9.048
599.0,9.137
600.0,8.745
601.0,7.915
602.0,7.563
603.0,8.114
604.0,8.507
605.0,8.139
606.0,7.771
607.0,7.403
608.0,7.037
609.0,7.049
610.0,7.144
611.0,7.239
612.0,7.334
613.0,7.43
614.0,7.527
615.0,7.336
616.0,6.512
617.0,5.886
618.0,6.447
619.0,7.007
620.0,6.668
621.0,6.307
622.0,5.946
623.0,5.586
624.0,5.524
625.0,5.627
626.0,5.508
627.0,5.149
628.0,4.938
629.0,5.043
630.0,5.076
631.0,4.719
632.0,4.363
633.0,4.469
634.0,4.576
635.0,4.685
636.0,4.794
637.0,4.588
638.0,4.234
639.0,3.881
640.0,3.528
641.0,3.347
642.0,3.459
643.0,3.374
644.0,2.558
645.0,1.798
646.0,1.912
647.0,2.027
648.0,1.72
649.0,1.371
650.0,1.023
651.0,0.675
652.0,0.327
653.0,0.02
654.0,0.366
655.0,0.712
656.0,0.769
657.0,0.182
658.0,0.176
659.0,0.626
660.0,1.414
661.0,1.289
662.0,1.167
663.0,0.637
664.0,0.048
665.0,0.482
666.0,1.292
667.0,1.553
668.0,1.429
669.0,1.303
670.0,1.177
671.0,0.906
672.0,0.316
673.0,0.195
674.0,0.318
675.0,0.426
676.0,0.082
677.0,0.261
678.0,0.235
679.0,0.829
680.0,0.708
681.0,0.365
682.0,0.317
683.0,0.443
684.0,0.804
685.0,1.4
686.0,1.825
687.0,1.953
688.0,2.191
689.0,2.79
690.0,3.487
691.0,5.025
692.0,6.564
693.0,7.645
694.0,8.722
695.0,8.995
696.0,9.125
697.0,10.96
698.0,13.448
699.0,16.223
700.0,19.226
701.0,23.548
702.0,29.34
703.0,37.967
704.0,51.772
705.0,72.474
706.0,116.01
707.0,170.382
708.0,310.677
709.0,450.971
710.0,656.598
711.0,862.687
712.0,837.472
713.0,779.508
714.0,620.302
715.0,428.945
716.0,293.922
717.0,190.042
718.0,120.404
719.0,81.255
720.0,52.736
721.0,39.14
722.0,28.28
723.0,23.682
724.0,19.451
725.0,16.75
726.0,14.124
727.0,12.364
728.0,10.603
729.0,9.304
730.0,8.016
