Raman Shift,Intensity
209.0,0.074
210.0,0.066
211.0,4.169
212.0,8.471
213.0,8.015
214.0,4.849
215.0,2.367
216.0,1.79
217.0,1.239
218.0,2.193
219.0,3.368
220.0,3.924
221.0,3.87
222.0,3.885
223.0,4.279
224.0,4.685
225.0,5.42
226.0,6.267
227.0,6.473
228.0,5.65
229.0,4.833
230.0,4.022
231.0,3.218
232.0,3.235
233.0,3.708
234.0,4.071
235.0,4.132
236.0,4.198
237.0,3.501
238.0,2.729
239.0,2.649
240.0,3.153
241.0,3.66
242.0,4.169
243.0,4.681
244.0,5.196
245.0,5.713
246.0,6.423
247.0,7.367
248.0,8.237
249.0,8.338
250.0,8.44
251.0,8.853
252.0,9.382
253.0,9.754
254.0,9.862
255.0,9.981
256.0,10.523
257.0,11.066
258.0,11.612
259.0,12.162
260.0,12.584
261.0,12.71
262.0,12.836
263.0,13.365
264.0,13.917
265.0,14.977
266.0,16.384
267.0,17.481
268.0,17.613
269.0,17.745
270.0,19.017
271.0,20.425
272.0,21.834
273.0,23.243
274.0,24.652
275.0,26.061
276.0,27.47
277.0,30.329
278.0,33.445
279.0,36.562
280.0,39.678
281.0,42.93
282.0,46.903
283.0,50.875
284.0,54.849
285.0,58.823
286.0,63.204
287.0,68.036
288.0,73.326
289.0,81.577
290.0,89.828
291.0,105.215
292.0,122.455
293.0,143.99
294.0,170.651
295.0,198.993
296.0,239.791
297.0,280.59
298.0,321.737
299.0,362.98
300.0,389.07
301.0,396.49
302.0,399.047
303.0,363.724
304.0,328.366
305.0,283.222
306.0,235.329
307.0,193.603
308.0,159.46
309.0,127.146
310.0,107.992
311.0,88.854
312.0,76.563
313.0,65.96
314.0,57.332
315.0,51.012
316.0,44.867
317.0,39.825
318.0,34.784
319.0,31.141
320.0,27.837
321.0,25.191
322.0,23.209
323.0,21.367
324.0,20.246
325.0,19.151
326.0,18.073
327.0,16.929
328.0,15.982
329.0,15.24
330.0,14.497
331.0,13.756
332.0,13.017
333.0,13.817
334.0,14.808
335.0,16.044
336.0,17.464
337.0,19.106
338.0,21.39
339.0,23.675
340.0,22.296
341.0,20.692
342.0,18.543
343.0,16.074
344.0,13.748
345.0,11.715
346.0,9.687
347.0,8.517
348.0,7.347
349.0,6.478
350.0,5.74
351.0,5.169
352.0,4.863
353.0,4.557
354.0,4.25
355.0,3.943
356.0,4.31
357.0,4.87
358.0,4.817
359.0,4.075
360.0,3.479
361.0,3.606
362.0,3.732
363.0,3.858
364.0,3.985
365.0,3.621
366.0,2.877
367.0,2.478
368.0,3.038
369.0,3.599
370.0,4.159
371.0,4.719
372.0,4.407
373.0,3.66
374.0,3.076
375.0,2.764
376.0,2.419
377.0,1.671
378.0,0.923
379.0,1.197
380.0,1.756
381.0,2.101
382.0,2.224
383.0,2.173
384.0,1.422
385.0,0.67
386.0,0.711
387.0,0.832
388.0,0.953
389.0,1.074
390.0,1.05
391.0,0.733
392.0,0.434
393.0,0.554
394.0,0.673
395.0,0.461
396.0,0.142
397.0,0.177
398.0,0.497
399.0,0.734
400.0,0.617
401.0,0.501
402.0,0.385
403.0,0.269
404.0,0.154
405.0,0.04
406.0,0.075
407.0,0.189
408.0,0.272
409.0,0.054
410.0,0.38
411.0,0.358
412.0,0.247
413.0,0.137
414.0,0.028
415.0,0.025
416.0,0.356
417.0,0.689
418.0,0.171
419.0,0.374
420.0,0.307
421.0,0.029
422.0,0.179
423.0,0.076
424.0,0.027
425.0,0.13
426.0,0.233
427.0,0.054
428.0,0.393
429.0,0.462
430.0,0.362
431.0,0.416
432.0,0.759
433.0,0.992
434.0,0.013
435.0,0.966
436.0,1.222
437.0,1.317
438.0,1.166
439.0,0.823
440.0,0.624
441.0,0.718
442.0,0.827
443.0,1.363
444.0,1.899
445.0,2.092
446.0,2.185
447.0,2.278
448.0,2.37
449.0,2.233
450.0,1.454
451.0,0.694
452.0,0.79
453.0,0.881
454.0,0.971
455.0,1.062
456.0,1.152
457.0,1.244
458.0,1.342
459.0,1.436
460.0,1.528
461.0,1.618
462.0,1.707
463.0,1.795
464.0,1.883
465.0,1.971
466.0,2.058
467.0,2.145
468.0,2.232
469.0,2.318
470.0,1.964
471.0,1.618
472.0,1.938
473.0,2.473
474.0,2.551
475.0,2.19
476.0,1.945
477.0,2.029
478.0,2.122
479.0,2.652
480.0,3.181
481.0,3.011
482.0,2.647
483.0,2.766
484.0,3.294
485.0,3.687
486.0,3.767
487.0,3.848
488.0,3.928
489.0,4.007
490.0,3.715
491.0,3.347
492.0,2.978
493.0,2.608
494.0,2.725
495.0,3.699
496.0,4.498
497.0,4.127
498.0,3.756
499.0,3.787
500.0,3.863
501.0,3.639
502.0,3.266
503.0,3.09
504.0,3.162
505.0,3.121
506.0,2.704
507.0,2.268
508.0,2.282
509.0,2.31
510.0,2.687
511.0,3.178
512.0,2.954
513.0,2.111
514.0,1.553
515.0,1.618
516.0,1.644
517.0,1.245
518.0,0.822
519.0,1.184
520.0,1.669
521.0,1.574
522.0,1.172
523.0,0.963
524.0,0.986
525.0,0.986
526.0,1.02
527.0,1.083
528.0,1.142
529.0,1.185
530.0,1.216
531.0,1.254
532.0,1.043
533.0,0.64
534.0,0.565
535.0,1.068
536.0,1.504
537.0,1.51
538.0,1.523
539.0,1.108
540.0,0.64
541.0,0.813
542.0,1.301
543.0,1.348
544.0,0.96
545.0,0.572
546.0,0.186
547.0,0.101
548.0,0.417
549.0,0.934
550.0,1.041
551.0,1.107
552.0,0.867
553.0,0.508
554.0,0.352
555.0,0.416
556.0,0.345
557.0,0.034
558.0,0.324
559.0,0.199
560.0,0.72
561.0,0.832
562.0,0.903
563.0,0.672
564.0,0.316
565.0,0.186
566.0,0.275
567.0,0.342
568.0,0.404
569.0,0.521
570.0,1.054
571.0,1.573
572.0,1.249
573.0,0.855
574.0,0.795
575.0,0.856
576.0,0.671
577.0,0.275
578.0,0.04
579.0,0.101
580.0,0.236
581.0,0.754
582.0,1.271
583.0,1.343
584.0,1.403
585.0,1.102
586.0,0.704
