Raman Shift,Intensity
108.691,4295.0
110.082,4358.0
111.473,4423.0
112.864,4507.0
114.254,4679.0
115.644,4746.0
117.034,4848.0
118.424,4892.0
119.813,4821.0
121.203,4935.0
122.592,4797.0
123.981,4698.0
125.369,4738.0
126.758,4763.0
128.146,4838.0
129.534,4839.0
130.922,4911.0
132.309,4951.0
133.696,4928.0
135.083,4917.0
136.47,5059.0
137.857,5085.0
139.243,5140.0
140.63,5099.0
142.016,5159.0
143.401,5168.0
144.787,5164.0
146.172,5150.0
147.557,5203.0
148.942,5191.0
150.327,5231.0
151.711,5400.0
153.096,5696.0
154.48,5808.0
155.863,5806.013
157.247,6013.937
158.63,6031.712
160.013,6175.0
161.396,6134.0
162.779,6047.0
164.161,6048.0
165.544,6305.0
166.926,6776.0
168.308,7332.0
169.689,8006.0
171.07,8798.0
172.452,9601.0
173.833,10207.0
175.213,10532.0
176.594,10248.0
177.974,9542.0
179.354,8720.0
180.734,7923.0
182.114,7201.0
183.493,6617.0
184.872,6364.0
186.251,6102.0
187.63,5850.0
189.008,5746.0
190.387,5700.0
191.765,5633.0
193.143,5596.0
194.52,5526.0
195.898,5577.0
197.275,5575.0
198.652,5570.0
200.029,5632.0
201.405,5606.0
202.782,5614.0
204.158,5574.0
205.534,5588.0
206.909,5615.0
208.285,5618.0
209.66,5629.0
211.035,5593.0
212.41,5591.0
213.784,5598.0
215.159,5677.0
216.533,5612.0
217.907,5735.0
219.281,5666.0
220.654,5698.0
222.027,5692.0
223.4,5684.0
224.773,5725.0
226.146,5745.0
227.518,5753.0
228.891,5772.0
230.263,5797.0
231.634,5743.0
233.006,5782.0
234.377,5825.0
235.748,5808.0
237.119,5733.0
238.49,5862.0
239.86,5760.0
241.231,5846.0
242.601,5902.0
243.97,5838.0
245.34,5956.0
246.709,5962.0
248.079,5971.0
249.448,5970.0
250.816,5959.0
252.185,5997.0
253.553,6017.0
254.921,5993.0
256.289,6133.0
257.657,6062.0
259.024,6139.0
260.391,6106.0
261.758,6164.0
263.125,6245.0
264.492,6226.0
265.858,6311.0
267.224,6320.0
268.59,6309.0
269.956,6380.0
271.321,6371.0
272.687,6488.0
274.052,6449.0
275.416,6545.0
276.781,6662.0
278.146,6727.0
279.51,6838.0
280.874,6985.0
282.237,7108.0
283.601,7302.0
284.964,7490.0
286.327,7798.0
287.69,8109.0
289.053,8446.0
290.416,9083.0
291.778,9676.0
293.14,10494.0
294.502,11393.0
295.863,12199.0
297.225,12833.0
298.586,13176.0
299.947,12896.0
301.308,12473.0
302.668,11476.0
304.029,10732.0
305.389,9929.0
306.749,9195.0
308.108,8532.0
309.468,8237.0
310.827,7833.0
312.186,7573.0
313.545,7401.0
314.903,7221.0
316.262,7204.0
317.62,7063.0
318.978,7015.0
320.336,7032.0
321.693,6979.0
323.051,6902.0
324.408,6992.0
325.765,6927.0
327.121,6929.0
328.478,6991.0
329.834,6949.0
331.19,6959.0
332.546,7105.0
333.902,7134.0
335.257,7227.0
336.612,7301.0
337.967,7345.0
339.322,7254.0
340.677,7210.0
342.031,7173.0
343.385,7152.0
344.739,7150.0
346.093,7049.0
347.446,7050.0
348.799,6926.0
350.153,6964.0
351.505,7017.0
352.858,6929.0
354.21,6975.0
355.563,7026.0
356.915,6979.0
358.267,7024.0
359.618,6981.0
360.969,7034.0
362.321,7055.0
363.672,7032.0
365.022,7035.0
366.373,7057.858
367.723,7076.0
369.073,7107.0
370.423,7099.0
371.773,7125.0
373.122,7130.0
374.471,7154.0
375.821,7175.0
377.169,7183.0
378.518,7154.0
379.866,7188.0
381.215,7172.0
382.563,7232.0
383.91,7180.0
385.258,7199.0
386.605,7165.0
387.952,7196.597
389.299,7212.737
390.646,7288.0
391.992,7255.0
393.339,7331.0
394.685,7322.0
396.031,7347.0
397.376,7458.0
398.722,7413.0
400.067,7394.0
401.412,7326.0
402.757,7391.0
404.101,7402.0
405.446,7417.0
406.79,7451.971
408.134,7479.0
409.478,7479.0
410.821,7484.0
412.165,7462.0
413.508,7414.0
414.851,7467.0
416.193,7588.0
417.536,7598.0
418.878,7492.0
420.22,7560.0
421.562,7515.0
422.904,7507.0
424.245,7677.0
425.586,7670.0
426.927,7671.0
428.268,7683.0
429.609,7723.0
430.949,7661.0
432.289,7678.0
433.629,7706.0
434.969,7663.0
436.309,7759.0
437.648,7699.0
438.987,7759.0
440.326,7790.0
441.665,7760.0
443.003,7799.0
444.342,7870.0
445.68,7836.0
447.018,7788.0
448.355,7877.0
449.693,7847.0
451.03,7769.0
452.367,7834.0
453.704,7912.0
455.041,7827.0
456.377,7911.0
457.713,7920.0
459.049,7932.0
460.385,7969.0
461.721,7966.0
463.056,8048.0
464.391,8006.0
465.726,7930.0
467.061,7987.0
468.395,8026.0
469.73,7972.0
471.064,8071.0
472.398,8015.0
473.731,8095.0
475.065,8104.0
476.398,8124.0
477.731,8129.0
479.064,8148.326
480.397,8194.0
481.729,8173.0
483.062,8204.0
484.394,8196.0
485.725,8268.0
487.057,8236.0
488.389,8282.0
489.72,8267.0
491.051,8290.886
492.382,8304.0
493.712,8327.0
495.043,8394.0
496.373,8388.0
497.703,8269.0
499.032,8369.0
500.362,8370.0
501.691,8319.0
503.02,8398.0
504.349,8348.0
505.678,8394.0
507.007,8468.0
508.335,8440.0
509.663,8473.0
510.991,8458.0
512.319,8527.0
513.646,8478.0
514.973,8530.0
516.3,8545.0
517.627,8577.0
518.954,8609.0
520.28,8591.0
521.607,8608.0
522.933,8641.0
524.259,8695.0
525.584,8713.0
526.91,8689.0
528.235,8683.0
529.56,8636.0
530.885,8731.0
532.209,8753.0
533.534,8797.0
534.858,8753.0
536.182,8755.0
537.506,8763.0
538.829,8764.0
540.152,8787.0
541.476,8816.0
542.799,8898.0
544.121,8791.0
545.444,8855.0
546.766,8868.0
548.088,8985.0
549.41,8982.175
550.732,8862.0
552.053,9018.0
553.375,8960.0
554.696,8977.0
556.017,9005.0
557.337,8955.0
558.658,9033.0
559.978,9007.0
561.298,9034.0
562.618,8992.0
563.938,9145.0
565.257,9106.0
566.576,9187.0
567.895,9099.0
569.214,9124.0
570.533,9099.0
571.851,9080.0
573.17,9188.0
574.488,9236.0
575.805,9251.0
577.123,9223.0
578.44,9231.0
579.758,9228.0
581.075,9265.0
582.391,9228.0
583.708,9282.0
585.024,9306.0
586.341,9269.0
587.657,9303.0
588.972,9303.244
590.288,9308.939
591.603,9346.0
592.918,9330.0
594.233,9394.0
595.548,9397.0
596.863,9425.278
598.177,9436.0
599.491,9475.0
600.805,9502.0
602.119,9514.0
603.432,9552.254
604.746,9559.612
606.059,9608.0
607.372,9588.0
608.685,9602.0
609.997,9628.0
611.309,9570.0
612.621,9645.0
613.933,9679.0
615.245,9670.0
616.557,9742.0
617.868,9662.0
619.179,9681.0
620.49,9626.0
621.801,9775.0
623.111,9741.0
624.421,9773.0
625.731,9915.0
627.041,9774.0
628.351,9795.0
629.66,9858.0
630.97,9777.0
632.279,9852.0
633.588,9890.0
634.896,9964.0
636.205,9777.0
637.513,9871.0
638.821,9978.0
640.129,9942.0
641.437,10074.0
642.744,9936.0
644.051,9866.0
645.358,9960.0
646.665,10080.0
647.972,10186.0
649.278,10076.0
650.584,10038.0
651.89,10086.0
653.196,10101.0
654.502,10202.0
655.807,10199.0
657.113,10170.0
658.418,10202.0
659.722,10196.0
661.027,10271.0
662.331,10266.662
663.636,10219.0
664.94,10315.0
666.244,10266.0
667.547,10332.0
668.851,10389.0
670.154,10379.0
671.457,10405.0
672.76,10355.0
674.062,10443.0
675.365,10398.0
676.667,10435.0
677.969,10421.0
679.271,10395.0
680.572,10423.0
681.874,10466.0
683.175,10485.4
684.476,10579.0
685.777,10551.0
687.077,10581.0
688.378,10574.0
689.678,10543.0
690.978,10792.0
692.278,10586.0
693.577,10662.0
694.877,10842.0
696.176,10688.0
697.475,10829.0
698.774,10791.0
700.072,10888.0
701.371,10901.0
702.669,10905.0
703.967,10977.0
705.265,10988.0
706.562,11115.0
707.86,11202.0
709.157,11252.129
710.454,11421.0
711.751,11324.0
713.047,11523.0
714.344,11449.0
715.64,11765.0
716.936,11902.0
718.232,12297.0
719.527,12580.0
720.823,12992.0
722.118,13352.0
723.413,13554.0
724.708,13444.0
726.002,13279.0
727.297,13030.0
728.591,12452.0
729.885,12341.0
731.179,12089.0
732.472,11682.0
733.766,11555.0
735.059,11385.0
736.352,11483.0
737.645,11497.0
738.937,11456.0
740.23,11394.0
741.522,11283.0
742.814,11361.0
744.106,11316.0
745.397,11322.0
746.689,11434.0
747.98,11328.0
749.271,11310.0
750.562,11386.0
751.853,11367.0
753.143,11366.0
754.433,11384.0
755.723,11377.0
757.013,11410.604
758.303,11470.0
759.592,11438.0
760.881,11524.0
762.17,11461.0
763.459,11562.0
764.748,11503.0
766.036,11504.0
767.325,11563.0
768.613,11573.0
769.901,11554.0
771.188,11577.0
772.476,11586.0
773.763,11689.0
775.05,11570.0
776.337,11668.0
777.624,11662.0
778.91,11648.0
780.196,11651.0
781.482,11670.697
782.768,11701.0
784.054,11720.0
785.339,11782.0
786.625,11797.0
787.91,11728.0
789.195,11930.0
790.479,11834.0
791.764,11864.0
793.048,11925.0
794.332,11909.0
795.616,11842.0
796.9,11955.0
798.183,11922.0
799.467,11962.0
800.75,11975.0
802.033,12000.0
803.316,11870.0
804.598,12127.0
805.88,11992.0
807.163,12112.0
808.445,12141.0
809.726,12184.0
811.008,12128.0
812.289,12234.0
813.57,12224.0
814.851,12086.0
816.132,12187.0
817.413,12181.0
818.693,12110.0
819.973,12182.0
821.253,12194.0
822.533,12254.0
823.813,12239.0
825.092,12350.0
826.371,12302.0
827.65,12358.0
828.929,12441.0
830.208,12443.0
831.486,12473.0
832.764,12438.0
834.042,12373.0
835.32,12446.0
836.598,12389.0
837.875,12644.0
839.152,12423.0
840.429,12552.0
841.706,12475.0
842.983,12547.0
844.259,12421.0
845.536,12613.0
846.812,12690.0
848.088,12649.0
849.363,12528.0
850.639,12816.0
851.914,12710.0
853.189,12598.0
854.464,12711.0
855.739,12810.0
857.013,12764.0
858.288,12716.0
859.562,12740.0
860.836,12764.0
862.11,12828.0
863.383,12890.0
864.656,12836.0
865.93,12904.0
867.203,12967.0
868.475,12884.0
869.748,13031.0
871.02,12827.0
872.292,12962.0
873.564,13056.0
874.836,13170.0
876.108,13001.0
877.379,13100.0
878.65,13231.0
879.922,13350.0
881.192,13424.0
882.463,13292.0
883.733,13296.0
885.004,13144.0
886.274,13169.0
887.544,13125.468
888.813,13298.0
890.083,13144.0
891.352,13296.0
892.621,13429.0
893.89,13320.0
895.159,13425.0
896.427,13268.0
897.695,13316.0
898.964,13465.0
900.232,13347.0
901.499,13373.0
902.767,13454.0
904.034,13544.0
905.301,13452.0
906.568,13582.0
907.835,13549.0
909.102,13549.0
910.368,13416.0
911.634,13639.0
912.9,13617.0
914.166,13599.0
915.432,13808.0
916.697,13730.0
917.962,13686.0
919.227,13794.0
920.492,13675.0
921.757,13808.0
923.021,13769.0
924.285,13715.0
925.55,13884.0
926.813,13889.0
928.077,13784.0
929.341,13905.0
930.604,13918.0
931.867,13894.0
933.13,13859.0
934.393,13983.0
935.655,13959.0
936.918,13875.0
938.18,14021.0
939.442,13960.0
940.703,14000.0
941.965,13994.0
943.226,13994.0
944.488,14211.0
945.749,14107.0
947.009,14180.0
948.27,14129.0
949.53,14130.0
950.791,14187.0
952.051,14105.0
953.311,14144.0
954.57,14153.0
955.83,14216.0
957.089,14198.0
958.348,14298.0
959.607,14252.0
960.866,14394.0
962.124,14341.0
963.383,14346.0
964.641,14325.0
965.899,14334.0
967.156,14417.0
968.414,14350.0
969.671,14452.0
970.928,14512.0
972.185,14500.0
973.442,14576.0
974.699,14518.0
975.955,14489.0
977.211,14630.0
978.468,14572.0
979.723,14661.0
980.979,14560.0
982.234,14658.0
983.49,14756.0
984.745,14587.0
986.0,14757.0
987.254,14640.0
988.509,14618.0
989.763,14793.0
991.017,14781.0
992.271,14915.0
993.525,14853.0
994.779,14854.0
996.032,14869.0
997.285,14951.0
998.538,14948.0
999.791,14760.0
1001.044,14957.0
1002.296,14842.0
1003.548,15037.0
1004.8,14995.0
1006.052,15201.0
1007.304,15066.0
1008.555,15060.0
1009.807,15073.0
1011.058,15202.0
1012.309,15149.0
1013.559,15254.0
1014.81,15157.0
1016.06,15176.0
1017.31,15264.0
1018.56,15278.0
1019.81,15321.0
1021.06,15200.0
1022.309,15464.0
1023.558,15288.0
1024.807,15426.0
1026.056,15451.0
1027.305,15466.0
1028.553,15535.0
1029.801,15569.0
1031.049,15556.0
1032.297,15614.672
1033.545,15521.0
1034.793,15663.0
1036.04,15619.0
1037.287,15600.0
1038.534,15642.0
1039.781,15680.0
1041.027,15898.0
1042.274,15700.0
1043.52,15858.0
1044.766,15948.0
1046.012,15818.0
1047.257,15734.0
1048.503,15908.0
1049.748,16051.0
1050.993,15981.0
1052.238,16070.0
1053.483,16005.0
1054.727,16085.0
1055.971,16026.0
1057.216,16166.0
1058.459,16159.0
1059.703,16123.0
1060.947,16189.0
1062.19,16246.273
1063.433,16325.975
1064.676,16462.0
1065.919,16586.0
1067.162,16742.0
1068.404,16952.0
1069.646,16877.0
1070.888,17134.0
1072.13,17301.0
1073.372,17297.0
1074.613,17553.0
1075.855,17794.0
1077.096,17703.0
