Raman Shift,Intensity
57.065,603.0
58.464,587.0
59.863,607.0
61.262,609.0
62.661,641.0
64.059,641.0
65.458,739.0
66.856,870.0
68.253,917.0
69.651,940.0
71.048,962.0
72.445,982.0
73.842,994.0
75.239,835.0
76.635,734.0
78.031,752.0
79.427,717.0
80.823,711.0
82.218,740.0
83.614,764.0
85.009,722.0
86.404,724.0
87.798,723.0
89.193,725.0
90.587,764.0
91.981,772.0
93.375,758.0
94.768,766.0
96.161,751.0
97.554,730.0
98.947,735.0
100.34,735.0
101.732,724.0
103.124,719.0
104.516,753.0
105.908,762.0
107.3,755.184
108.691,760.0
110.082,747.0
111.473,743.0
112.864,757.0
114.254,758.0
115.644,786.0
117.034,796.0
118.424,793.0
119.813,752.0
121.203,718.0
122.592,722.0
123.981,711.0
125.369,698.0
126.758,682.0
128.146,684.0
129.534,677.6
130.922,673.367
132.309,677.0
133.696,673.0
135.083,669.0
136.47,677.0
137.857,674.0
139.243,677.0
140.63,678.0
142.016,675.0
143.401,659.0
144.787,658.094
146.172,630.0
147.557,643.0
148.942,634.0
150.327,623.0
151.711,628.0
153.096,620.0
154.48,622.0
155.863,625.0
157.247,597.0
158.63,606.0
160.013,623.0
161.396,663.0
162.779,675.0
164.161,647.0
165.544,660.0
166.926,640.0
168.308,658.0
169.689,654.0
171.07,653.0
172.452,662.0
173.833,637.0
175.213,652.0
176.594,647.0
177.974,655.0
179.354,666.0
180.734,649.0
182.114,676.0
183.493,655.0
184.872,676.0
186.251,666.0
187.63,676.0
189.008,693.0
190.387,705.0
191.765,714.0
193.143,744.0
194.52,757.0
195.898,762.0
197.275,814.0
198.652,851.0
200.029,886.0
201.405,964.0
202.782,1155.0
204.158,1568.0
205.534,2282.0
206.909,3306.0
208.285,4039.0
209.66,4146.0
211.035,3783.0
212.41,3323.0
213.784,2811.0
215.159,2386.0
216.533,1729.0
217.907,1197.0
219.281,947.0
220.654,786.0
222.027,710.0
223.4,663.0
224.773,646.0
226.146,612.0
227.518,583.0
228.891,604.0
230.263,596.0
231.634,585.0
233.006,576.0
234.377,588.0
235.748,570.0
237.119,590.0
238.49,569.0
239.86,562.0
241.231,564.0
242.601,577.0
243.97,550.0
245.34,565.0
246.709,566.0
248.079,567.0
249.448,578.0
250.816,575.796
252.185,576.445
253.553,580.0
254.921,576.0
256.289,582.0
257.657,591.0
259.024,579.0
260.391,582.0
261.758,605.0
263.125,593.0
264.492,578.0
265.858,570.0
267.224,588.0
268.59,591.0
269.956,579.0
271.321,573.0
272.687,582.0
274.052,577.0
275.416,589.0
276.781,591.0
278.146,593.0
279.51,587.0
280.874,585.0
282.237,571.0
283.601,598.0
284.964,595.0
286.327,603.0
287.69,583.0
289.053,605.0
290.416,605.0
291.778,612.0
293.14,610.0
294.502,630.0
295.863,628.0
297.225,651.0
298.586,653.0
299.947,667.0
301.308,671.0
302.668,689.0
304.029,700.0
