Raman Shift,Intensity
136.47,716.0
137.857,711.0
139.243,691.0
140.63,683.0
142.016,724.0
143.401,694.0
144.787,694.0
146.172,689.0
147.557,698.0
148.942,710.0
150.327,705.0
151.711,695.0
153.096,679.0
154.48,687.0
155.863,707.0
157.247,714.0
158.63,698.0
160.013,713.0
161.396,725.0
162.779,757.0
164.161,761.0
165.544,778.0
166.926,777.0
168.308,792.0
169.689,832.0
171.07,844.0
172.452,906.0
173.833,998.0
175.213,1146.0
176.594,1364.0
177.974,1656.0
179.354,1868.0
180.734,2034.0
182.114,2159.0
183.493,2238.0
184.872,2265.0
186.251,2160.0
187.63,1882.0
189.008,1515.0
190.387,1258.0
191.765,1051.0
193.143,976.0
194.52,902.0
195.898,861.0
197.275,790.0
198.652,799.0
200.029,784.0
201.405,765.0
202.782,735.0
204.158,752.0
205.534,731.0
206.909,773.0
208.285,774.0
209.66,735.0
211.035,710.0
212.41,684.0
213.784,655.0
215.159,644.0
216.533,649.0
217.907,660.0
219.281,666.0
220.654,655.0
222.027,634.0
223.4,669.0
224.773,669.0
226.146,657.0
227.518,663.0
228.891,662.0
230.263,651.0
231.634,659.0
233.006,650.0
234.377,654.0
235.748,646.0
237.119,679.0
238.49,644.0
239.86,685.0
241.231,662.0
242.601,675.0
243.97,655.0
245.34,695.0
246.709,675.0
248.079,663.0
249.448,670.0
250.816,695.0
252.185,669.0
253.553,668.0
254.921,684.0
256.289,683.0
257.657,719.0
259.024,698.0
260.391,714.0
261.758,719.0
263.125,743.0
264.492,785.0
265.858,773.0
267.224,805.0
268.59,793.0
269.956,848.0
271.321,867.0
272.687,932.0
274.052,1024.0
275.416,1097.0
276.781,1286.0
278.146,1473.0
279.51,1749.0
280.874,2177.0
282.237,2745.0
283.601,3250.0
284.964,3963.0
286.327,4446.0
287.69,4870.0
289.053,5007.0
290.416,4911.0
291.778,4548.0
293.14,3985.0
294.502,3272.0
295.863,2698.0
297.225,2207.0
298.586,1830.0
299.947,1543.0
301.308,1382.0
302.668,1230.0
304.029,1113.0
305.389,1067.0
306.749,1001.0
308.108,980.0
309.468,908.0
310.827,852.0
312.186,875.0
313.545,844.0
314.903,846.0
316.262,800.0
317.62,819.0
318.978,799.0
320.336,800.0
321.693,784.0
323.051,755.0
324.408,774.0
325.765,780.0
327.121,745.0
328.478,758.0
329.834,738.0
331.19,735.0
332.546,763.0
333.902,761.0
335.257,719.0
336.612,723.0
337.967,729.0
339.322,724.0
340.677,732.0
342.031,730.0
343.385,714.0
344.739,705.0
346.093,730.0
347.446,687.0
348.799,703.0
350.153,697.0
351.505,714.0
352.858,711.0
354.21,694.0
355.563,697.0
356.915,726.0
358.267,703.0
359.618,734.0
360.969,701.0
362.321,698.0
363.672,690.0
365.022,689.0
366.373,704.0
367.723,708.0
369.073,687.0
370.423,699.0
371.773,691.0
373.122,699.0
374.471,697.0
375.821,679.0
377.169,692.0
378.518,682.0
379.866,730.0
381.215,709.0
382.563,706.0
383.91,727.0
385.258,716.0
386.605,687.0
387.952,695.0
