Raman Shift,Intensity
209.0,2.83
210.0,5.716
211.0,4.923
212.0,4.163
213.0,4.773
214.0,6.178
215.0,7.049
216.0,6.371
217.0,5.712
218.0,5.073
219.0,4.453
220.0,3.214
221.0,1.366
222.0,0.042
223.0,1.903
224.0,3.744
225.0,3.443
226.0,2.446
227.0,1.959
228.0,2.268
229.0,2.578
230.0,2.061
231.0,1.553
232.0,1.599
233.0,1.956
234.0,2.206
235.0,2.162
236.0,2.127
237.0,2.104
238.0,2.096
239.0,2.119
240.0,2.188
241.0,2.333
242.0,2.621
243.0,2.821
244.0,2.818
245.0,2.704
246.0,2.818
247.0,3.286
248.0,3.708
249.0,3.748
250.0,3.694
251.0,3.507
252.0,3.219
253.0,2.855
254.0,2.432
255.0,1.88
256.0,1.233
257.0,0.509
258.0,0.552
259.0,0.966
260.0,1.072
261.0,0.54
262.0,0.039
263.0,0.27
264.0,0.534
265.0,0.597
266.0,0.541
267.0,0.529
268.0,0.56
269.0,0.635
270.0,0.381
271.0,0.144
272.0,0.932
273.0,2.63
274.0,4.661
275.0,7.92
276.0,11.289
277.0,18.248
278.0,25.737
279.0,37.546
280.0,53.601
281.0,71.948
282.0,101.954
283.0,132.09
284.0,178.018
285.0,227.569
286.0,277.702
287.0,328.432
288.0,373.092
289.0,377.891
290.0,382.798
291.0,348.756
292.0,304.678
293.0,257.176
294.0,205.68
295.0,156.475
296.0,123.264
297.0,90.127
298.0,68.752
299.0,50.579
300.0,36.067
301.0,26.113
302.0,16.838
303.0,12.439
304.0,8.159
305.0,5.613
306.0,3.534
307.0,1.8
308.0,0.498
309.0,0.731
310.0,0.876
311.0,1.025
312.0,0.843
313.0,0.57
314.0,0.059
315.0,0.708
316.0,1.239
317.0,0.615
318.0,0.023
319.0,0.006
320.0,0.142
321.0,0.42
322.0,0.859
323.0,1.333
324.0,2.136
325.0,2.775
326.0,2.938
327.0,2.91
328.0,2.624
329.0,2.14
330.0,1.929
331.0,2.436
332.0,2.895
333.0,2.899
334.0,2.545
335.0,2.328
336.0,2.235
337.0,2.031
338.0,1.549
339.0,1.104
340.0,1.144
341.0,1.241
342.0,1.325
343.0,1.396
344.0,1.298
345.0,0.838
346.0,0.327
347.0,0.335
348.0,0.305
