Raman Shift,Intensity
135.083,832.0
136.47,821.0
137.857,833.0
139.243,843.0
140.63,832.0
142.016,833.0
143.401,845.0
144.787,832.0
146.172,825.0
147.557,822.0
148.942,841.0
150.327,846.0
151.711,858.0
153.096,869.0
154.48,851.0
155.863,849.0
157.247,874.0
158.63,900.0
160.013,909.0
161.396,933.887
162.779,958.08
164.161,978.0
165.544,1008.0
166.926,1045.0
168.308,1065.0
169.689,1064.0
171.07,1114.0
172.452,1153.0
173.833,1216.0
175.213,1276.0
176.594,1330.0
177.974,1439.0
179.354,1481.0
180.734,1590.0
182.114,1728.0
183.493,1839.0
184.872,1957.0
186.251,2141.0
187.63,2188.0
189.008,2238.0
190.387,2186.0
191.765,2095.0
193.143,1947.0
194.52,1740.0
195.898,1595.0
197.275,1379.0
198.652,1245.0
200.029,1148.0
201.405,1048.0
202.782,976.0
204.158,924.0
205.534,888.0
206.909,890.0
208.285,866.0
209.66,832.0
211.035,769.0
212.41,730.0
213.784,703.0
215.159,722.0
216.533,710.0
217.907,692.0
219.281,699.0
220.654,670.0
222.027,695.0
223.4,692.0
224.773,686.0
226.146,694.0
227.518,714.0
228.891,709.0
230.263,719.0
231.634,707.0
233.006,701.0
234.377,707.0
235.748,711.0
237.119,722.0
238.49,721.0
239.86,718.0
241.231,731.0
242.601,745.0
243.97,757.0
245.34,739.0
246.709,763.0
248.079,753.0
249.448,779.0
250.816,795.0
252.185,798.0
253.553,817.0
254.921,810.0
256.289,820.0
257.657,836.0
259.024,851.0
260.391,867.0
261.758,890.0
263.125,909.0
264.492,918.0
265.858,994.0
267.224,973.0
268.59,1008.0
269.956,1105.0
271.321,1142.0
272.687,1201.0
274.052,1265.0
275.416,1359.0
276.781,1520.0
278.146,1596.0
279.51,1817.0
280.874,1977.0
282.237,2263.0
283.601,2606.0
284.964,2944.0
286.327,3273.0
287.69,3653.0
289.053,4079.0
290.416,4338.0
291.778,4487.0
293.14,4629.0
294.502,4464.0
295.863,4373.0
297.225,4008.0
298.586,3673.0
299.947,3276.0
301.308,2973.0
302.668,2654.0
304.029,2329.0
305.389,2053.0
306.749,1856.0
308.108,1692.0
309.468,1527.0
310.827,1396.0
312.186,1301.0
313.545,1211.511
314.903,1177.0
316.262,1105.0
317.62,1083.0
318.978,1060.0
320.336,1009.0
321.693,975.0
323.051,938.0
324.408,960.0
325.765,884.0
327.121,907.0
328.478,858.0
329.834,883.0
331.19,841.0
332.546,844.0
333.902,818.0
335.257,806.0
336.612,802.583
337.967,816.0
339.322,795.0
340.677,795.0
342.031,797.0
343.385,792.0
344.739,796.0
346.093,780.0
347.446,768.0
348.799,766.616
350.153,757.0
351.505,753.0
352.858,750.089
354.21,755.0
355.563,747.0
356.915,738.0
358.267,741.0
359.618,724.0
360.969,731.0
362.321,710.0
363.672,702.0
365.022,725.0
366.373,706.0
367.723,723.0
369.073,710.0
370.423,698.0
371.773,703.0
373.122,713.0
374.471,704.0
375.821,716.0
377.169,692.0
378.518,687.0
379.866,695.0
381.215,662.0
382.563,686.0
383.91,707.0
385.258,686.0
386.605,682.0
387.952,698.0
389.299,686.0
390.646,705.0
391.992,692.0
393.339,679.0
394.685,679.0
396.031,677.0
397.376,671.0
398.722,643.0
400.067,633.0
401.412,650.0
402.757,663.0
404.101,649.0
405.446,653.0
406.79,665.0
408.134,642.0
409.478,668.0
410.821,655.0
412.165,654.0
413.508,651.0
414.851,657.0
416.193,652.0
417.536,655.0
418.878,683.0
420.22,641.0
421.562,657.0
422.904,698.0
424.245,655.0
425.586,679.0
426.927,670.0
428.268,673.0
429.609,679.0
430.949,670.0
432.289,678.622
433.629,663.0
434.969,683.0
436.309,679.0
437.648,671.0
438.987,659.0
440.326,683.0
441.665,663.0
443.003,690.0
444.342,679.0
445.68,695.0
447.018,695.0
448.355,677.0
449.693,685.0
