Raman Shift,Intensity
209.0,2.794
210.0,0.114
211.0,3.233
212.0,6.59
213.0,9.433
214.0,11.986
215.0,13.005
216.0,9.322
217.0,5.55
218.0,4.389
219.0,3.686
220.0,3.11
221.0,2.685
222.0,2.547
223.0,1.88
224.0,1.848
225.0,1.135
226.0,1.173
227.0,1.439
228.0,1.469
229.0,1.49
230.0,0.684
231.0,0.124
232.0,0.125
233.0,0.324
234.0,0.777
235.0,1.233
236.0,1.685
237.0,1.751
238.0,1.767
239.0,1.548
240.0,1.161
241.0,0.901
242.0,1.362
243.0,1.839
244.0,1.984
245.0,2.062
246.0,2.336
247.0,2.832
248.0,3.283
249.0,3.36
250.0,3.414
251.0,3.734
252.0,4.13
253.0,4.215
254.0,3.801
255.0,3.376
256.0,3.782
257.0,4.233
258.0,4.844
259.0,5.592
260.0,6.05
261.0,6.083
262.0,5.753
263.0,5.528
264.0,5.161
265.0,4.958
266.0,4.788
267.0,4.378
268.0,3.566
269.0,2.673
270.0,2.057
271.0,1.381
272.0,0.625
273.0,0.215
274.0,0.983
275.0,1.167
276.0,1.449
277.0,1.119
278.0,0.753
279.0,0.65
280.0,0.792
281.0,0.6
282.0,1.414
283.0,3.453
284.0,5.471
285.0,7.443
286.0,11.045
287.0,16.438
288.0,22.24
289.0,30.863
290.0,39.378
291.0,52.498
292.0,66.919
293.0,83.7
294.0,103.175
295.0,123.148
296.0,145.183
297.0,167.435
298.0,186.901
299.0,205.689
300.0,219.839
301.0,228.241
302.0,230.897
303.0,227.37
304.0,219.977
305.0,203.023
306.0,183.533
307.0,162.467
308.0,139.572
309.0,117.595
310.0,99.556
311.0,81.654
312.0,66.884
313.0,52.83
314.0,41.142
315.0,32.357
316.0,23.993
317.0,17.921
318.0,11.924
319.0,8.447
320.0,5.555
321.0,3.089
322.0,1.057
323.0,0.794
324.0,1.603
325.0,2.37
326.0,1.995
327.0,1.514
328.0,0.746
329.0,0.305
330.0,1.195
331.0,1.679
332.0,2.097
333.0,2.446
334.0,2.742
335.0,3.238
336.0,3.849
337.0,4.468
338.0,5.308
339.0,5.914
340.0,4.915
341.0,3.341
342.0,2.773
343.0,2.827
344.0,2.856
345.0,2.836
346.0,2.924
347.0,2.973
348.0,2.945
349.0,2.544
350.0,1.938
351.0,1.635
352.0,1.854
353.0,2.089
354.0,2.723
355.0,3.351
356.0,2.872
357.0,1.98
358.0,1.512
359.0,1.591
360.0,1.641
361.0,1.33
362.0,1.019
363.0,1.84
364.0,2.821
365.0,2.555
366.0,1.31
367.0,0.407
368.0,0.583
369.0,0.745
370.0,0.899
371.0,1.033
372.0,0.874
373.0,0.563
374.0,0.411
375.0,0.543
376.0,0.647
377.0,0.342
378.0,0.031
379.0,0.423
380.0,1.005
381.0,0.943
382.0,0.209
383.0,0.366
384.0,0.241
385.0,0.114
386.0,0.012
387.0,0.139
388.0,0.611
389.0,1.181
390.0,1.444
391.0,1.123
392.0,0.801
393.0,0.481
394.0,0.148
395.0,0.153
396.0,0.26
397.0,0.571
398.0,1.105
399.0,1.374
400.0,0.966
401.0,0.587
