Raman Shift,Intensity
87.308,7840.0
88.542,8115.0
89.777,8561.0
91.012,9429.0
92.246,10950.0
93.48,12704.0
94.714,14697.0
95.948,16798.0
97.182,18265.0
98.416,18949.0
99.649,19070.0
100.883,19050.0
102.116,18706.0
103.349,19738.0
104.582,21239.0
105.815,24101.0
107.047,26937.0
108.28,28951.0
109.512,27542.0
110.744,24223.0
111.976,20501.0
113.208,16573.0
114.44,13704.0
115.671,11999.0
116.903,10603.0
118.134,9877.0
119.365,9317.0
120.596,8925.0
121.827,8740.0
123.058,8584.0
124.288,8445.0
125.519,8369.0
126.749,8660.0
127.979,8881.0
129.209,9618.0
130.439,10390.0
131.668,11648.0
132.898,13221.0
134.127,15605.0
135.356,18720.0
136.585,22465.0
137.814,26417.0
139.043,29161.0
140.271,30379.0
141.5,28365.0
142.728,24403.0
143.956,20577.0
145.184,17460.0
146.412,15363.0
147.639,14155.0
148.867,13381.0
150.094,13059.0
151.321,12977.0
152.549,13046.0
153.775,13097.0
155.002,12899.0
156.229,12531.0
157.455,11946.0
158.681,11619.0
159.908,11568.0
161.134,11747.0
162.359,12083.0
163.585,12716.0
164.811,13665.0
166.036,14542.0
167.261,15745.0
168.486,17142.0
169.711,18838.0
170.936,20222.0
172.161,21707.0
173.385,23004.0
174.61,23786.0
175.834,24885.0
177.058,26381.0
178.282,28193.0
179.505,30500.0
180.729,33492.0
181.952,36723.0
183.176,39719.0
184.399,41400.0
185.622,41427.0
186.845,39508.0
188.067,35683.0
189.29,30945.0
190.512,26780.0
191.734,23245.0
192.956,20218.0
194.178,17965.0
195.4,16302.0
196.622,15250.0
197.843,14471.0
199.064,13822.0
200.286,13528.0
201.507,13398.0
202.727,13264.0
203.948,12933.0
205.169,12549.0
206.389,12423.0
207.609,12427.0
208.829,12470.0
210.049,12561.0
211.269,12781.0
212.489,12961.0
213.708,13202.0
214.928,13392.0
216.147,13535.0
217.366,13701.0
218.585,14338.0
219.803,15143.0
221.022,16161.0
222.24,16851.0
223.459,17424.0
224.677,17835.0
225.895,17862.0
227.112,17735.0
228.33,17138.0
229.548,16225.0
230.765,15372.0
231.982,14751.0
233.199,13799.0
234.416,13020.0
235.633,12581.0
236.849,11744.0
238.066,11308.0
239.282,10799.0
240.498,10366.0
241.714,10024.0
242.93,9570.0
244.146,9391.0
245.361,9094.0
246.577,8955.0
247.792,8721.0
249.007,8622.0
250.222,8599.0
251.437,8444.0
252.651,8368.0
253.866,8345.0
255.08,8170.0
256.294,8201.0
257.508,8102.0
258.722,8241.0
259.936,8234.0
261.149,8141.0
262.363,7912.0
263.576,7935.0
264.789,7874.0
266.002,7902.0
267.215,7903.0
268.427,7985.0
269.64,7987.0
270.852,7972.0
272.064,7868.0
273.276,7877.0
274.488,7834.0
275.7,7973.0
276.912,7802.0
278.123,7904.0
279.334,7857.0
280.545,7915.0
281.756,7981.0
282.967,7905.0
284.178,7904.0
285.388,7914.0
286.598,7949.0
287.809,7920.0
289.019,7788.0
290.229,7837.0
291.438,7897.0
292.648,7861.0
293.857,7901.0
295.067,7927.0
296.276,7961.0
297.485,7902.0
298.693,7849.0
299.902,7882.0
301.111,7874.0
302.319,7900.0
303.527,7884.0
304.735,7973.0
305.943,7973.0
307.151,7962.0
308.358,8014.0
309.566,8006.0
310.773,7958.0
311.98,7899.0
313.187,7919.0
314.394,7956.0
315.601,7964.0
316.807,7998.0
318.013,7952.0
319.22,8059.0
320.426,8067.0
321.631,7999.0
322.837,8124.0
324.043,7964.0
325.248,8090.0
326.454,8043.0
327.659,8037.0
328.864,8080.0
330.068,8053.0
331.273,8033.0
332.478,7994.0
333.682,8000.0
334.886,8100.0
336.09,8046.0
337.294,8087.0
338.498,8087.0
339.701,8153.0
340.905,8141.0
342.108,8208.0
343.311,8153.0
344.514,8100.0
345.717,8204.0
346.92,8230.0
348.122,8299.0
349.324,8289.0
350.527,8129.0
351.729,8170.0
352.931,8221.0
354.132,8367.0
355.334,8253.0
356.535,8315.0
357.737,8220.0
358.938,8191.0
360.139,8207.0
361.34,8353.0
362.54,8292.0
363.741,8363.0
364.941,8341.0
366.141,8304.0
367.341,8373.0
368.541,8398.0
369.741,8283.0
370.94,8411.0
372.14,8422.0
373.339,8362.0
374.538,8396.0
375.737,8378.0
376.936,8325.0
378.135,8432.0
379.333,8334.0
380.531,8487.0
381.73,8556.0
382.928,8416.0
384.126,8384.0
385.323,8513.0
386.521,8402.0
387.718,8528.0
388.916,8439.0
390.113,8488.0
391.31,8546.0
392.506,8503.0
393.703,8409.0
394.9,8582.0
396.096,8572.0
397.292,8526.0
398.488,8607.0
399.684,8556.0
400.88,8700.0
402.075,8581.0
403.271,8528.0
404.466,8524.0
405.661,8609.0
406.856,8544.0
408.051,8556.0
409.245,8612.0
410.44,8574.0
411.634,8547.0
412.828,8602.0
414.022,8596.0
415.216,8676.0
416.41,8658.0
417.603,8658.0
418.797,8593.0
419.99,8621.0
421.183,8730.0
422.376,8611.0
423.569,8765.0
424.761,8791.0
425.954,8775.0
427.146,8727.0
428.338,8689.0
429.53,8651.0
430.722,8771.0
431.914,8782.0
433.105,8642.0
434.297,8753.0
435.488,8714.0
436.679,8782.0
437.87,8734.0
439.061,8862.0
440.251,8825.0
441.442,8802.0
442.632,8819.0
443.822,8878.0
445.012,8866.0
446.202,8862.0
447.391,8849.0
448.581,8816.0
449.77,8945.0
450.96,8927.0
452.149,8940.0
453.337,9029.0
454.526,9045.0
455.715,9029.0
456.903,9030.0
458.091,8947.0
459.28,9027.0
460.467,8971.0
461.655,9040.0
462.843,9073.0
464.03,9031.0
465.218,9056.0
466.405,9012.0
467.592,9013.0
468.779,9059.0
469.965,8983.0
471.152,9012.0
472.338,9134.0
473.525,9166.0
474.711,9064.0
475.897,9121.0
477.082,9096.0
478.268,9128.0
479.454,9262.0
480.639,9243.0
481.824,9260.0
483.009,9370.0
484.194,9277.0
485.378,9234.0
486.563,9353.0
487.747,9318.0
488.932,9325.0
490.116,9216.0
491.3,9269.0
492.483,9305.0
493.667,9228.0
494.85,9296.0
496.034,9366.0
497.217,9327.0
498.4,9438.0
499.582,9364.0
500.765,9414.0
501.948,9319.0
503.13,9326.0
504.312,9368.0
505.494,9458.0
506.676,9383.0
507.858,9580.0
509.039,9684.0
510.221,9468.0
511.402,9483.0
512.583,9405.0
513.764,9538.0
514.945,9581.0
516.125,9487.0
517.306,9585.0
518.486,9562.0
519.666,9491.0
520.846,9618.0
522.026,9666.0
523.206,9656.0
524.385,9637.0
525.565,9628.0
526.744,9652.0
527.923,9628.0
529.102,9677.0
530.281,9619.0
531.459,9682.0
532.638,9723.0
533.816,9606.0
534.994,9823.0
536.172,9912.0
537.35,9662.0
538.527,9771.0
539.705,9873.0
540.882,9864.0
542.059,9766.0
543.236,9813.0
544.413,9839.0
545.59,9883.0
546.766,9838.0
547.943,9873.0
549.119,9926.0
550.295,9968.0
551.471,9848.0
552.647,9836.0
553.822,9965.0
554.998,9997.0
556.173,9975.0
557.348,9903.0
558.523,10094.0
559.698,10041.0
560.873,10008.0
562.047,10063.0
563.222,10091.0
564.396,10046.0
565.57,10220.0
566.744,10095.0
567.917,10109.0
569.091,10229.0
570.264,10326.0
571.438,10280.0
572.611,10226.0
573.784,10248.0
574.957,10214.0
576.129,10274.0
577.302,10244.0
578.474,10303.0
579.646,10252.0
