Raman Shift,Intensity
142.016,1332.0
143.401,1388.0
144.787,1312.0
146.172,1320.0
147.557,1294.0
148.942,1284.0
150.327,1320.0
151.711,1344.0
153.096,1382.0
154.48,1392.0
155.863,1441.0
157.247,1487.0
158.63,1498.0
160.013,1457.0
161.396,1449.0
162.779,1405.0
164.161,1393.0
165.544,1403.0
166.926,1383.0
168.308,1366.0
169.689,1359.0
171.07,1335.0
172.452,1352.0
173.833,1351.0
175.213,1352.0
176.594,1363.0
177.974,1368.0
179.354,1351.0
180.734,1378.0
182.114,1388.0
183.493,1402.0
184.872,1417.0
186.251,1408.0
187.63,1423.0
189.008,1444.0
190.387,1460.0
191.765,1487.0
193.143,1529.0
194.52,1541.0
195.898,1586.0
197.275,1686.0
198.652,1724.0
200.029,1834.0
201.405,2004.0
202.782,2139.0
204.158,2325.0
205.534,2482.0
206.909,2658.0
208.285,2836.0
209.66,2862.0
211.035,2868.0
212.41,2863.0
213.784,2649.0
215.159,2502.0
216.533,2304.0
217.907,2238.0
219.281,2059.0
220.654,1952.0
222.027,1902.0
223.4,1835.0
224.773,1810.0
226.146,1819.0
227.518,1773.0
228.891,1821.0
230.263,1814.0
231.634,1782.0
233.006,1836.0
234.377,1798.0
235.748,1748.0
237.119,1705.0
238.49,1717.0
239.86,1680.0
241.231,1639.0
242.601,1603.0
243.97,1596.0
245.34,1541.0
246.709,1584.0
248.079,1536.0
249.448,1531.0
250.816,1565.0
252.185,1554.0
253.553,1550.0
254.921,1552.0
256.289,1530.0
257.657,1562.0
259.024,1534.0
260.391,1526.0
261.758,1520.0
263.125,1579.0
264.492,1569.0
265.858,1580.0
267.224,1550.0
268.59,1554.0
269.956,1588.0
271.321,1606.0
272.687,1612.0
274.052,1606.0
275.416,1623.0
276.781,1607.0
278.146,1636.0
279.51,1658.0
280.874,1664.0
282.237,1675.0
283.601,1710.0
284.964,1754.0
286.327,1729.0
287.69,1750.0
289.053,1817.0
290.416,1825.0
291.778,1835.0
293.14,1904.0
294.502,1930.0
295.863,1999.0
297.225,2005.0
298.586,2062.0
299.947,2113.0
301.308,2147.0
302.668,2174.0
304.029,2123.0
305.389,2103.0
306.749,2101.0
308.108,2048.0
309.468,2052.0
310.827,1986.0
312.186,1964.0
313.545,1892.0
314.903,1846.0
316.262,1883.0
317.62,1831.0
318.978,1784.0
320.336,1770.0
321.693,1778.0
323.051,1724.0
324.408,1674.0
325.765,1712.0
327.121,1666.0
328.478,1652.0
329.834,1630.0
331.19,1635.0
332.546,1643.0
333.902,1645.0
335.257,1651.0
336.612,1639.0
337.967,1624.0
339.322,1652.0
340.677,1616.0
342.031,1627.0
343.385,1641.0
344.739,1652.0
346.093,1610.0
347.446,1609.0
348.799,1647.0
350.153,1629.0
351.505,1623.0
352.858,1645.0
354.21,1616.0
355.563,1630.0
356.915,1615.0
358.267,1603.0
359.618,1632.0
360.969,1649.0
362.321,1616.0
363.672,1633.0
365.022,1597.0
366.373,1621.0
367.723,1651.0
369.073,1638.0
370.423,1611.0
371.773,1623.0
373.122,1653.0
374.471,1638.0
375.821,1664.0
377.169,1678.0
378.518,1706.0
379.866,1689.0
381.215,1682.0
382.563,1676.0
383.91,1705.0
385.258,1689.0
386.605,1707.0
387.952,1712.0
389.299,1707.0
390.646,1708.0
391.992,1707.0
393.339,1742.0
394.685,1709.0
396.031,1772.0
397.376,1747.0
398.722,1793.0
400.067,1750.0
401.412,1774.0
402.757,1771.0
404.101,1768.0
405.446,1789.0
406.79,1784.0
408.134,1790.0
409.478,1809.0
410.821,1821.0
412.165,1812.0
413.508,1867.0
414.851,1856.0
416.193,1881.0
417.536,1946.0
418.878,1971.0
420.22,2057.0
421.562,2108.0
422.904,2158.0
424.245,2297.0
425.586,2314.0
426.927,2407.0
428.268,2569.0
429.609,2558.0
430.949,2542.0
432.289,2474.0
433.629,2535.0
434.969,2526.0
436.309,2494.0
437.648,2474.0
438.987,2524.0
440.326,2508.0
441.665,2592.0
443.003,2710.0
444.342,2759.0
445.68,2899.0
447.018,2969.0
448.355,3128.0
449.693,3143.0
451.03,3157.0
452.367,3161.0
453.704,3136.0
455.041,3094.0
456.377,2877.0
457.713,2828.0
459.049,2673.0
460.385,2606.0
461.721,2516.0
463.056,2413.0
464.391,2356.0
465.726,2292.0
467.061,2216.0
468.395,2231.0
469.73,2217.0
471.064,2141.0
472.398,2140.0
473.731,2053.0
475.065,2062.0
476.398,2041.0
477.731,2058.0
479.064,2057.0
480.397,2061.0
481.729,2033.0
483.062,2012.0
484.394,2038.0
485.725,1993.0
487.057,1993.0
488.389,1997.0
489.72,2034.0
491.051,1989.0
492.382,1931.0
493.712,1984.0
495.043,2001.0
496.373,1984.0
497.703,2020.0
499.032,1960.0
500.362,1999.0
501.691,1976.0
503.02,2011.0
504.349,2017.0
505.678,1991.0
507.007,1970.0
508.335,1996.0
509.663,1992.0
510.991,1999.0
512.319,2014.0
513.646,2041.0
514.973,2013.0
516.3,2015.0
517.627,2014.0
518.954,2080.0
520.28,2074.0
521.607,2048.0
522.933,2064.0
524.259,2076.0
525.584,2073.0
526.91,2074.0
528.235,2062.0
529.56,2112.0
530.885,2118.0
532.209,2110.0
533.534,2097.0
534.858,2127.0
536.182,2135.0
537.506,2142.0
538.829,2180.0
540.152,2094.0
541.476,2179.0
542.799,2176.0
544.121,2162.0
545.444,2124.0
546.766,2165.0
548.088,2188.0
549.41,2130.0
550.732,2146.0
552.053,2190.0
553.375,2213.0
554.696,2214.0
556.017,2185.0
557.337,2246.0
558.658,2247.0
559.978,2279.0
561.298,2285.0
562.618,2342.0
563.938,2335.0
565.257,2323.0
566.576,2375.0
567.895,2391.0
569.214,2416.0
570.533,2480.0
571.851,2525.0
573.17,2546.0
574.488,2624.0
575.805,2657.0
577.123,2696.0
578.44,2832.0
579.758,2956.0
581.075,3098.0
582.391,3379.0
583.708,3714.0
585.024,4391.0
586.341,5111.0
587.657,6183.0
588.972,7273.0
590.288,7806.0
591.603,7492.0
592.918,6567.0
594.233,5478.0
595.548,4755.0
596.863,4185.0
598.177,3793.0
599.491,3609.0
600.805,3620.0
602.119,3767.0
603.432,4166.0
604.746,4738.0
606.059,5030.0
607.372,4970.0
608.685,4454.0
609.997,3875.0
611.309,3433.0
612.621,3200.0
613.933,3017.0
615.245,2884.0
616.557,2803.0
617.868,2757.0
619.179,2719.0
620.49,2756.0
621.801,2708.0
623.111,2665.0
624.421,2677.0
625.731,2607.0
627.041,2648.0
628.351,2620.0
629.66,2608.0
630.97,2590.0
632.279,2553.0
633.588,2657.0
634.896,2598.0
636.205,2590.0
637.513,2530.0
638.821,2598.0
640.129,2574.0
641.437,2546.0
642.744,2610.0
644.051,2617.0
645.358,2546.0
646.665,2609.0
647.972,2613.0
649.278,2631.0
650.584,2615.0
651.89,2667.0
653.196,2611.0
654.502,2686.0
655.807,2622.0
657.113,2612.0
658.418,2602.0
659.722,2650.0
661.027,2647.0
662.331,2636.0
663.636,2590.0
664.94,2608.0
666.244,2638.0
667.547,2570.0
668.851,2596.0
670.154,2556.0
671.457,2624.0
672.76,2581.0
674.062,2553.0
675.365,2608.0
676.667,2603.0
677.969,2554.0
679.271,2583.0
680.572,2518.0
681.874,2596.0
683.175,2606.0
684.476,2588.0
685.777,2603.0
687.077,2620.0
688.378,2586.0
689.678,2629.0
690.978,2645.0
692.278,2632.0
693.577,2607.0
694.877,2586.0
696.176,2656.0
697.475,2580.0
698.774,2663.0
700.072,2619.0
701.371,2713.0
702.669,2637.0
703.967,2647.0
705.265,2603.0
706.562,2663.0
707.86,2698.0
709.157,2715.0
710.454,2664.0
711.751,2717.0
713.047,2664.0
714.344,2693.0
715.64,2696.0
716.936,2780.0
718.232,2735.0
719.527,2708.0
720.823,2724.0
722.118,2720.0
723.413,2697.0
724.708,2707.0
726.002,2740.0
727.297,2697.0
728.591,2746.0
729.885,2734.0
731.179,2816.0
732.472,2795.0
733.766,2786.0
735.059,2793.0
