Raman Shift,Intensity
92.793,3131.0
94.188,3246.0
95.582,3280.0
96.976,3385.0
98.37,3444.0
99.764,3555.0
101.157,3566.0
102.55,3589.0
103.943,3626.0
105.336,3603.0
106.729,3659.0
108.121,3660.0
109.513,3690.0
110.905,3731.0
112.297,3635.0
113.688,3707.0
115.079,3604.0
116.47,3696.0
117.861,3687.0
119.251,3632.0
120.642,3657.0
122.032,3592.0
123.422,3692.0
124.811,3606.0
126.201,3679.0
127.59,3738.0
128.979,3753.0
130.367,3807.0
131.756,3847.0
133.144,4070.0
134.532,4147.0
135.92,4444.0
137.307,4716.0
138.695,4844.0
140.082,4858.0
141.469,4554.0
142.856,4374.0
144.242,4072.0
145.628,3905.0
147.014,3726.0
148.4,3631.0
149.786,3605.0
151.171,3584.0
152.556,3804.0
153.941,3703.0
155.325,3905.0
156.71,4003.0
158.094,3935.0
159.478,3998.0
160.862,3693.0
162.245,3668.0
163.629,3570.0
165.012,3581.0
166.395,3502.0
167.777,3423.0
169.16,3448.0
170.542,3308.0
171.924,3371.0
173.306,3275.0
174.687,3257.0
176.068,3189.0
177.449,3185.0
178.83,3212.0
180.211,3049.0
181.591,3151.0
182.972,3026.0
184.351,3085.0
185.731,3086.0
187.111,2975.0
188.49,3048.0
189.869,3025.0
191.248,3110.0
192.626,3045.0
194.005,3020.0
195.383,3074.0
196.761,3023.0
198.139,3162.0
199.516,2999.0
200.893,3124.0
202.271,3056.0
203.647,3104.0
205.024,3084.0
206.4,3123.0
207.777,3119.165
209.152,3040.0
210.528,3112.0
211.904,3082.0
213.279,3072.0
214.654,3102.0
216.029,2987.0
217.403,3110.0
218.778,2999.0
220.152,3042.0
221.526,3030.0
222.9,3040.0
224.273,3097.0
225.646,3004.0
227.019,3153.0
228.392,3124.0
229.765,3266.0
231.137,3300.0
232.509,3292.0
233.881,3416.0
235.253,3295.0
236.625,3441.0
237.996,3322.0
239.367,3296.0
240.738,3282.0
242.108,3179.0
243.479,3266.0
244.849,3074.0
246.219,3230.0
247.589,3097.0
248.958,3171.0
250.328,3179.0
251.697,3120.0
253.065,3240.0
254.434,3147.0
255.803,3266.0
257.171,3268.0
258.539,3360.0
259.906,3577.0
261.274,3576.0
262.641,3931.0
264.008,3940.0
265.375,4182.0
266.742,4276.0
268.108,4122.0
269.475,4186.0
270.84,3803.0
272.206,3774.0
273.572,3543.0
274.937,3472.0
276.302,3542.0
277.667,3385.0
279.032,3546.0
280.396,3328.0
281.76,3420.0
283.125,3383.0
284.488,3353.0
285.852,3396.0
287.215,3274.0
288.578,3441.0
289.941,3363.0
291.304,3399.0
292.666,3367.0
294.029,3328.0
295.391,3383.906
296.753,3373.0
298.114,3467.0
299.476,3502.0
300.837,3542.0
302.198,3641.0
303.558,3571.0
304.919,3775.0
306.279,3700.0
307.639,3842.0
308.999,3855.0
310.359,3770.0
311.718,3904.0
313.077,3662.0
314.436,3799.0
315.795,3578.0
317.154,3533.0
318.512,3517.0
319.87,3382.0
321.228,3491.0
322.586,3366.0
323.943,3464.0
325.3,3354.0
326.657,3364.0
328.014,3475.0
329.371,3305.0
330.727,3439.0
332.083,3280.0
333.439,3394.0
334.795,3420.0
336.15,3310.0
337.506,3560.0
338.861,3260.0
340.215,3459.0
341.57,3396.0
342.924,3409.0
344.279,3524.0
345.633,3350.0
346.986,3488.0
348.34,3402.0
349.693,3462.0
351.046,3503.0
352.399,3429.0
353.752,3574.0
355.104,3435.0
356.457,3536.0
357.809,3521.0
359.16,3475.0
360.512,3599.0
361.863,3482.0
363.214,3591.0
364.565,3426.0
365.916,3625.0
367.267,3558.0
368.617,3509.0
369.967,3641.0
371.317,3503.0
372.666,3650.0
374.016,3595.0
375.365,3587.0
376.714,3678.0
378.063,3558.0
379.411,3725.0
380.76,3579.0
