Raman Shift,Intensity
65.458,320.0
66.856,328.0
68.253,340.0
69.651,355.0
71.048,353.0
72.445,387.0
73.842,388.0
75.239,410.0
76.635,418.0
78.031,431.0
79.427,433.0
80.823,438.0
82.218,443.904
83.614,452.383
85.009,457.0
86.404,471.0
87.798,490.0
89.193,496.0
90.587,502.971
91.981,519.0
93.375,503.0
94.768,491.0
96.161,480.0
97.554,510.0
98.947,513.0
100.34,526.0
101.732,518.0
103.124,526.811
104.516,535.317
105.908,533.0
107.3,550.0
108.691,551.0
110.082,547.0
111.473,549.0
112.864,561.0
114.254,574.0
115.644,598.0
117.034,620.0
118.424,650.0
119.813,649.0
121.203,645.0
122.592,615.0
123.981,610.0
125.369,618.0
126.758,597.0
128.146,596.0
129.534,599.0
130.922,589.0
132.309,571.0
133.696,545.0
135.083,551.0
136.47,553.0
137.857,564.0
139.243,569.0
140.63,551.0
142.016,542.0
143.401,576.0
144.787,555.0
146.172,583.0
147.557,603.0
148.942,601.0
150.327,573.0
151.711,586.0
153.096,576.0
154.48,591.0
155.863,564.0
157.247,562.0
158.63,576.0
160.013,637.0
161.396,735.0
162.779,862.0
164.161,946.0
165.544,977.0
166.926,930.0
168.308,841.0
169.689,738.0
171.07,719.0
172.452,658.0
173.833,600.0
175.213,583.0
176.594,553.0
177.974,562.0
179.354,530.0
180.734,543.0
182.114,532.0
183.493,548.0
184.872,543.0
186.251,534.0
187.63,546.0
189.008,538.0
190.387,548.0
191.765,549.0
193.143,552.0
194.52,574.0
195.898,557.0
197.275,554.0
198.652,586.0
200.029,564.0
201.405,583.0
202.782,583.0
204.158,597.0
205.534,596.0
206.909,622.0
208.285,625.0
209.66,614.0
211.035,563.0
212.41,560.0
213.784,556.0
215.159,577.0
216.533,597.0
217.907,602.0
219.281,645.0
220.654,683.0
222.027,754.0
223.4,832.0
224.773,954.0
226.146,1105.0
227.518,1196.0
228.891,1257.0
230.263,1357.0
231.634,1327.0
233.006,1277.0
234.377,1159.0
235.748,1062.0
237.119,961.0
238.49,867.0
239.86,778.0
241.231,735.0
242.601,686.0
243.97,647.0
245.34,622.0
246.709,618.0
248.079,611.0
249.448,583.0
250.816,577.0
252.185,555.0
253.553,570.0
254.921,596.0
256.289,578.0
257.657,577.0
259.024,572.0
260.391,576.0
261.758,586.0
263.125,599.0
264.492,576.0
265.858,591.0
267.224,585.0
268.59,565.0
269.956,587.0
271.321,584.0
272.687,583.0
274.052,604.0
275.416,623.0
276.781,624.0
278.146,623.0
279.51,650.0
280.874,657.0
282.237,611.0
283.601,622.0
284.964,614.0
286.327,592.0
287.69,598.0
289.053,586.0
290.416,585.0
291.778,555.0
293.14,575.0
294.502,563.0
295.863,581.0
297.225,570.0
298.586,553.0
299.947,569.0
301.308,574.0
302.668,586.0
304.029,584.787
305.389,578.0
306.749,578.0
308.108,572.0
309.468,567.0
310.827,563.836
312.186,559.0
313.545,560.0
314.903,569.0
316.262,579.0
317.62,572.0
318.978,572.0
320.336,577.0
321.693,582.0
323.051,578.0
324.408,569.0
325.765,583.0
327.121,573.0
328.478,585.0
329.834,599.0
331.19,597.0
332.546,601.0
333.902,593.0
335.257,586.0
336.612,603.0
337.967,590.0
339.322,615.0
340.677,613.0
342.031,613.0
343.385,605.0
344.739,598.0
346.093,579.0
347.446,581.0
348.799,580.0
350.153,599.0
351.505,591.743
352.858,593.335
354.21,575.0
355.563,599.0
356.915,564.0
358.267,592.0
359.618,580.0
360.969,586.0
362.321,585.0
363.672,599.0
365.022,595.0
366.373,599.0
367.723,598.0
369.073,596.0
370.423,591.0
371.773,612.0
373.122,607.0
374.471,660.0
375.821,671.0
377.169,675.0
378.518,657.0
379.866,655.0
381.215,634.0
382.563,622.0
383.91,612.0
385.258,628.0
386.605,602.0
387.952,612.0
389.299,628.0
390.646,610.0
391.992,619.0
393.339,623.0
394.685,633.0
396.031,618.0
397.376,631.0
398.722,636.0
400.067,619.0
401.412,643.0
402.757,623.0
404.101,640.0
405.446,650.0
406.79,671.0
408.134,727.0
409.478,819.0
410.821,1007.0
412.165,1258.0
413.508,1446.0
414.851,1421.0
416.193,1355.0
417.536,1239.0
418.878,1062.0
420.22,856.0
421.562,774.0
422.904,724.0
424.245,709.0
425.586,693.0
426.927,673.0
428.268,662.0
429.609,686.0
430.949,663.0
432.289,677.0
433.629,661.0
434.969,661.0
436.309,682.0
437.648,678.0
438.987,686.022
440.326,689.0
441.665,679.0
443.003,674.0
444.342,671.347
445.68,686.0
447.018,668.0
448.355,674.0
449.693,684.0
451.03,669.0
452.367,677.0
453.704,685.0
455.041,681.877
456.377,692.0
457.713,694.0
459.049,702.0
460.385,721.0
461.721,725.0
463.056,682.0
464.391,730.0
465.726,704.0
467.061,739.0
468.395,746.0
469.73,743.0
471.064,739.0
472.398,768.0
473.731,775.0
475.065,775.0
476.398,794.0
477.731,832.0
479.064,836.0
480.397,876.0
481.729,926.0
483.062,939.0
484.394,1033.0
485.725,1134.0
487.057,1219.0
488.389,1374.0
489.72,1635.0
491.051,1943.0
492.382,2422.0
493.712,2999.0
495.043,3599.0
496.373,3899.0
497.703,3831.0
499.032,3518.0
500.362,3129.0
501.691,2602.0
503.02,2135.0
504.349,1736.0
505.678,1445.0
507.007,1286.0
508.335,1136.0
509.663,1033.0
510.991,972.0
512.319,871.0
513.646,900.0
514.973,838.0
516.3,828.0
517.627,784.0
518.954,788.0
520.28,781.0
521.607,768.0
522.933,785.0
524.259,758.0
525.584,762.0
526.91,758.0
528.235,741.0
529.56,785.0
530.885,772.0
532.209,787.0
533.534,777.0
534.858,779.646
536.182,774.0
537.506,774.0
538.829,774.0
540.152,754.0
541.476,762.0
542.799,746.0
544.121,732.0
545.444,764.0
546.766,769.0
548.088,779.0
549.41,763.0
550.732,754.0
552.053,751.0
553.375,757.0
554.696,750.0
556.017,745.0
557.337,762.0
558.658,760.0
559.978,770.0
561.298,780.0
562.618,759.0
563.938,775.0
565.257,764.0
566.576,751.0
567.895,765.0
569.214,768.0
570.533,781.0
571.851,758.0
573.17,761.0
574.488,756.0
575.805,763.0
577.123,770.0
578.44,765.722
579.758,750.0
581.075,760.0
582.391,756.0
583.708,748.0
585.024,756.0
586.341,764.0
587.657,763.863
588.972,761.0
590.288,764.0
591.603,762.0
592.918,744.0
594.233,752.0
595.548,755.0
596.863,754.0
598.177,776.0
599.491,762.0
600.805,794.0
602.119,812.0
603.432,877.0
604.746,986.0
606.059,1098.0
607.372,1157.0
608.685,1160.0
609.997,1075.0
611.309,1000.0
612.621,883.0
613.933,866.0
615.245,888.0
616.557,922.0
617.868,897.0
619.179,992.0
620.49,1152.0
621.801,1591.0
623.111,2347.0
624.421,3089.0
625.731,3266.0
627.041,2944.0
628.351,2292.0
629.66,1720.0
630.97,1323.0
632.279,1043.0
633.588,981.0
634.896,875.0
636.205,880.0
637.513,780.0
638.821,818.0
640.129,791.0
641.437,804.0
642.744,804.0
644.051,808.0
645.358,805.0
646.665,806.006
647.972,803.562
649.278,802.0
650.584,800.0
651.89,792.0
653.196,796.0
654.502,820.0
655.807,839.0
657.113,837.0
658.418,823.0
659.722,856.0
661.027,908.0
662.331,919.0
663.636,974.0
664.94,1064.0
666.244,1239.0
667.547,1509.0
668.851,2183.0
670.154,3441.0
671.457,5628.0
672.76,7560.0
674.062,8122.0
675.365,7134.0
676.667,5327.0
677.969,3520.0
679.271,2215.0
680.572,1578.0
681.874,1276.0
683.175,1111.0
684.476,1001.0
685.777,969.0
687.077,914.0
688.378,896.0
689.678,841.0
690.978,874.0
692.278,842.0
693.577,849.0
694.877,843.0
696.176,862.0
697.475,840.0
698.774,855.0
700.072,823.0
701.371,839.0
702.669,832.0
703.967,832.0
705.265,855.0
706.562,844.0
707.86,869.0
709.157,880.0
710.454,864.0
711.751,908.0
713.047,863.0
714.344,862.0
715.64,860.0
716.936,863.0
718.232,848.0
719.527,859.0
720.823,844.0
722.118,847.0
723.413,849.0
724.708,846.167
726.002,844.0
727.297,849.0
728.591,855.0
729.885,854.0
731.179,853.0
732.472,857.0
733.766,851.0
735.059,846.0
736.352,846.0
737.645,848.0
738.937,864.0
740.23,864.0
741.522,882.0
742.814,873.92
744.106,880.214
745.397,858.0
746.689,871.0
747.98,864.0
749.271,834.0
750.562,856.0
751.853,849.0
753.143,872.0
754.433,863.0
755.723,846.0
757.013,872.0
758.303,877.0
759.592,874.0
760.881,873.0
762.17,881.0
763.459,871.0
764.748,876.0
766.036,874.0
767.325,862.0
768.613,858.298
769.901,860.0
771.188,849.0
772.476,862.0
773.763,882.0
775.05,878.547
776.337,876.0
777.624,887.0
778.91,884.0
780.196,884.0
781.482,874.0
782.768,882.0
784.054,861.0
785.339,888.0
786.625,904.0
787.91,900.0
789.195,890.0
790.479,908.0
791.764,865.0
793.048,904.0
794.332,891.0
795.616,904.0
796.9,906.0
798.183,901.0
799.467,902.0
800.75,888.0
802.033,899.0
803.316,915.0
804.598,891.0
805.88,912.0
807.163,903.0
808.445,923.0
809.726,903.0
811.008,907.0
812.289,902.0
813.57,906.0
814.851,901.0
816.132,917.0
817.413,903.0
818.693,901.0
819.973,899.0
821.253,924.0
822.533,925.0
823.813,896.0
825.092,935.0
826.371,913.0
827.65,934.0
828.929,919.0
830.208,932.0
831.486,933.0
832.764,943.0
834.042,943.0
835.32,958.0
836.598,972.0
837.875,965.0
839.152,972.0
840.429,962.0
841.706,963.0
842.983,960.204
844.259,963.0
845.536,957.0
846.812,972.0
848.088,980.0
849.363,981.0
850.639,979.0
851.914,990.0
853.189,981.0
854.464,974.0
855.739,956.0
857.013,965.089
858.288,994.0
859.562,974.0
860.836,988.0
862.11,979.0
863.383,995.0
864.656,964.0
865.93,985.0
867.203,986.0
868.475,962.0
869.748,994.0
871.02,987.0
872.292,987.0
873.564,985.0
874.836,1004.0
876.108,1004.0
877.379,1008.0
878.65,983.0
879.922,1003.0
881.192,1001.0
882.463,958.0
883.733,967.0
885.004,988.0
886.274,986.0
887.544,970.0
888.813,996.0
890.083,981.798
891.352,978.0
892.621,975.0
893.89,980.0
895.159,976.0
896.427,996.0
897.695,1011.0
898.964,1003.0
900.232,1011.0
901.499,1013.0
902.767,986.0
904.034,1002.0
905.301,1010.0
906.568,996.0
907.835,1013.0
909.102,993.0
910.368,1010.0
911.634,1013.0
912.9,1020.0
914.166,1041.0
915.432,1059.0
916.697,1042.0
917.962,1027.0
919.227,1045.0
920.492,1049.0
921.757,1026.0
923.021,1041.0
924.285,1026.0
925.55,1049.0
926.813,1050.0
928.077,1026.0
929.341,1027.0
930.604,1062.0
931.867,1074.0
933.13,1084.0
934.393,1073.0
935.655,1082.738
936.918,1090.0
938.18,1086.0
939.442,1085.0
940.703,1088.0
941.965,1097.0
943.226,1118.0
944.488,1119.0
945.749,1138.0
947.009,1127.0
948.27,1147.0
949.53,1151.939
950.791,1157.452
952.051,1157.0
953.311,1174.0
954.57,1152.0
955.83,1157.0
957.089,1203.0
958.348,1160.0
959.607,1228.0
960.866,1188.0
962.124,1190.0
963.383,1201.0
964.641,1226.0
965.899,1244.0
967.156,1238.0
968.414,1249.0
969.671,1256.0
970.928,1258.0
972.185,1266.0
973.442,1257.0
974.699,1272.0
975.955,1278.0
977.211,1305.0
978.468,1318.0
979.723,1337.0
980.979,1332.0
982.234,1340.0
983.49,1365.0
984.745,1384.0
986.0,1398.091
987.254,1397.0
988.509,1440.0
989.763,1462.0
991.017,1504.0
992.271,1590.0
993.525,1615.0
994.779,1708.0
996.032,1808.0
997.285,2087.0
998.538,2288.0
999.791,2450.0
1001.044,2475.0
1002.296,2605.0
1003.548,2676.0
1004.8,2972.0
1006.052,3466.0
1007.304,4058.0
1008.555,5102.0
1009.807,6592.0
1011.058,9158.0
1012.309,13985.0
1013.559,23948.0
1014.81,40393.0
1016.06,58160.0
1017.31,63206.0
1018.56,52024.0
1019.81,32124.0
1021.06,18725.0
1022.309,11948.0
1023.558,8170.0
1024.807,6001.0
1026.056,4690.0
1027.305,3795.0
1028.553,3186.0
1029.801,2800.0
1031.049,2573.0
1032.297,2296.0
1033.545,2127.0
1034.793,1963.0
1036.04,1888.0
1037.287,1834.0
1038.534,1716.0
1039.781,1688.0
1041.027,1630.0
1042.274,1563.0
1043.52,1536.0
1044.766,1500.0
1046.012,1492.0
1047.257,1458.0
1048.503,1446.0
1049.748,1400.0
1050.993,1448.0
1052.238,1361.0
1053.483,1396.0
1054.727,1378.0
1055.971,1344.0
1057.216,1371.0
1058.459,1364.0
1059.703,1346.0
1060.947,1315.0
1062.19,1328.0
1063.433,1335.0
1064.676,1319.0
1065.919,1304.0
1067.162,1274.0
1068.404,1289.0
1069.646,1284.0
1070.888,1259.0
1072.13,1281.0
1073.372,1300.0
1074.613,1275.0
1075.855,1287.0
1077.096,1301.0
1078.337,1293.0
1079.578,1249.0
1080.818,1333.0
1082.059,1359.0
1083.299,1424.0
1084.539,1618.0
1085.779,1835.0
1087.018,2010.0
1088.258,1869.0
1089.497,1569.0
1090.736,1408.0
1091.975,1305.0
1093.213,1315.0
1094.452,1284.0
1095.69,1301.0
1096.928,1310.0
1098.166,1306.0
1099.404,1318.0
1100.642,1334.0
1101.879,1360.0
1103.116,1346.0
1104.353,1390.0
1105.59,1403.0
1106.827,1465.0
1108.063,1561.0
1109.299,1683.0
1110.536,1743.0
1111.771,1839.0
1113.007,1894.0
1114.243,1921.0
1115.478,1984.0
1116.713,2089.0
1117.948,2219.0
1119.183,2460.0
1120.418,2830.0
1121.652,3345.0
1122.886,4359.0
1124.12,6163.0
1125.354,9532.0
1126.588,16187.0
1127.821,26091.0
1129.055,34083.0
1130.288,32325.0
1131.521,21787.0
1132.753,12160.0
1133.986,7178.0
1135.218,4712.0
1136.45,3560.0
1137.682,2872.0
1138.914,2456.0
1140.146,2203.0
1141.377,2031.0
1142.609,1880.0
1143.84,1788.0
1145.071,1713.0
1146.301,1678.0
1147.532,1654.0
1148.762,1603.0
1149.992,1634.0
1151.222,1608.0
1152.452,1598.0
1153.682,1724.0
1154.911,1835.0
1156.14,2079.0
1157.369,2613.0
1158.598,3698.0
1159.827,5033.0
1161.055,5691.0
1162.284,4647.0
1163.512,3234.0
1164.74,2277.0
1165.967,1892.0
1167.195,1692.0
1168.422,1557.0
1169.65,1459.0
1170.877,1438.0
1172.103,1393.0
1173.33,1401.0
1174.557,1361.0
1175.783,1339.0
1177.009,1331.0
