Raman Shift,Intensity
209.0,0.556
210.0,1.325
211.0,2.609
212.0,3.971
213.0,4.325
214.0,4.118
215.0,3.845
216.0,3.294
217.0,2.774
218.0,2.281
219.0,1.81
220.0,1.361
221.0,0.929
222.0,0.568
223.0,0.588
224.0,0.62
225.0,0.662
226.0,0.715
227.0,0.941
228.0,1.437
229.0,1.93
230.0,1.6
231.0,1.277
232.0,2.049
233.0,3.427
234.0,4.462
235.0,4.584
236.0,4.709
237.0,6.373
238.0,8.195
239.0,9.563
240.0,10.546
241.0,11.756
242.0,14.014
243.0,16.273
244.0,18.881
245.0,21.572
246.0,23.888
247.0,25.749
248.0,27.775
249.0,31.346
250.0,34.917
251.0,39.109
252.0,43.538
253.0,48.125
254.0,52.979
255.0,57.855
256.0,64.409
257.0,70.963
258.0,78.633
259.0,86.886
260.0,95.525
261.0,105.053
262.0,114.581
263.0,128.14
264.0,141.92
265.0,157.474
266.0,174.235
267.0,192.861
268.0,217.296
269.0,241.731
270.0,276.439
271.0,312.379
272.0,357.595
273.0,410.587
274.0,469.095
275.0,550.23
276.0,631.365
277.0,739.35
278.0,852.112
279.0,968.097
280.0,1087.255
281.0,1196.591
282.0,1253.965
283.0,1311.359
284.0,1276.18
285.0,1220.093
286.0,1129.771
287.0,1001.469
288.0,874.266
289.0,754.263
290.0,634.062
291.0,541.488
292.0,456.12
293.0,384.789
294.0,330.194
295.0,278.103
296.0,244.621
297.0,211.184
298.0,185.963
299.0,163.015
300.0,143.505
301.0,128.242
302.0,113.521
303.0,102.972
304.0,92.423
305.0,83.88
306.0,75.896
307.0,68.877
308.0,63.035
309.0,57.4
310.0,53.271
311.0,49.142
312.0,46.036
313.0,43.196
314.0,40.143
315.0,36.844
316.0,33.775
317.0,32.207
318.0,30.642
319.0,28.731
320.0,26.742
321.0,24.755
322.0,22.77
323.0,20.786
324.0,18.803
325.0,16.822
326.0,15.571
327.0,14.453
328.0,13.337
329.0,12.221
330.0,11.017
331.0,9.471
332.0,7.926
333.0,7.148
334.0,6.467
335.0,6.034
336.0,5.785
337.0,5.315
338.0,4.204
339.0,3.092
340.0,2.795
341.0,2.548
342.0,2.029
343.0,1.349
344.0,0.945
345.0,1.131
346.0,1.317
347.0,1.503
348.0,1.689
349.0,1.574
350.0,1.327
351.0,1.249
352.0,1.436
353.0,1.586
354.0,1.339
355.0,1.092
356.0,1.518
357.0,2.138
358.0,1.94
359.0,0.823
360.0,0.149
361.0,0.398
362.0,0.647
363.0,0.522
364.0,0.338
365.0,0.4
366.0,0.651
367.0,0.789
368.0,0.607
369.0,0.425
370.0,1.085
371.0,1.775
372.0,1.594
373.0,0.979
374.0,0.204
375.0,0.845
376.0,1.761
377.0,1.067
378.0,0.372
379.0,0.358
380.0,0.535
381.0,0.711
382.0,0.887
383.0,0.89
384.0,0.192
385.0,0.506
386.0,0.808
387.0,1.071
388.0,0.795
389.0,0.185
390.0,0.28
391.0,0.451
392.0,0.641
393.0,1.249
394.0,1.855
395.0,1.797
396.0,1.526
397.0,1.668
398.0,2.27
399.0,2.872
400.0,3.474
401.0,4.075
402.0,4.278
403.0,4.441
404.0,5.703
405.0,7.618
406.0,9.686
407.0,12.039
408.0,14.635
409.0,20.503
410.0,26.371
411.0,34.677
412.0,43.624
413.0,52.35
414.0,60.867
415.0,66.949
416.0,65.359
417.0,63.773
418.0,55.384
419.0,46.76
420.0,38.434
421.0,30.249
422.0,23.575
423.0,18.931
424.0,14.684
425.0,12.685
426.0,10.71
427.0,9.526
428.0,8.436
429.0,7.338
430.0,6.232
431.0,5.426
432.0,5.186
433.0,4.938
434.0,4.683
435.0,4.42
436.0,4.514
437.0,4.684
438.0,4.855
439.0,5.045
440.0,5.125
441.0,4.885
442.0,4.653
443.0,4.82
444.0,4.98
445.0,4.455
446.0,3.732
447.0,3.92
448.0,4.96
449.0,5.767
450.0,5.919
451.0,6.072
452.0,6.223
453.0,6.374
454.0,6.192
455.0,5.897
456.0,6.259
457.0,7.294
458.0,8.327
459.0,9.357
460.0,10.387
461.0,12.297
462.0,14.215
463.0,15.804
464.0,17.277
465.0,17.876
466.0,17.57
467.0,17.046
468.0,15.834
469.0,14.605
470.0,13.357
471.0,12.117
472.0,11.221
473.0,10.431
474.0,9.847
475.0,9.472
476.0,9.343
477.0,9.882
478.0,10.364
479.0,10.36
480.0,10.368
481.0,11.464
482.0,12.905
483.0,14.858
484.0,17.221
485.0,19.856
486.0,23.11
487.0,26.514
488.0,32.005
489.0,37.496
490.0,43.733
491.0,50.121
492.0,55.701
493.0,60.691
494.0,63.877
495.0,63.901
496.0,63.303
497.0,58.458
498.0,53.642
499.0,46.813
500.0,39.756
501.0,33.298
502.0,27.138
503.0,22.158
504.0,18.685
505.0,15.593
506.0,13.916
507.0,12.239
508.0,10.116
509.0,7.987
510.0,6.882
511.0,6.101
512.0,5.318
513.0,4.535
514.0,3.891
515.0,3.556
516.0,3.262
517.0,3.376
518.0,3.491
519.0,2.821
520.0,2.033
521.0,1.537
522.0,1.199
523.0,0.86
524.0,0.52
525.0,0.277
526.0,0.387
527.0,0.496
528.0,0.155
529.0,0.188
530.0,0.179
531.0,0.072
532.0,0.224
533.0,0.569
534.0,0.754
535.0,0.649
536.0,0.544
537.0,0.44
538.0,0.334
539.0,0.23
540.0,0.126
541.0,0.024
542.0,0.077
543.0,0.178
544.0,0.277
545.0,0.234
546.0,0.121
547.0,0.43
548.0,0.334
549.0,0.239
550.0,0.267
551.0,0.818
552.0,0.729
553.0,0.364
554.0,0.677
555.0,1.675
556.0,2.268
557.0,1.902
558.0,1.578
559.0,1.665
560.0,1.752
561.0,1.838
562.0,1.924
563.0,2.009
564.0,2.094
565.0,2.408
566.0,2.947
567.0,3.346
568.0,3.429
569.0,3.512
570.0,3.594
571.0,3.676
572.0,3.758
573.0,3.839
574.0,3.92
575.0,4.001
576.0,4.081
577.0,4.161
578.0,4.401
579.0,4.938
580.0,5.326
581.0,4.948
582.0,4.57
583.0,4.638
584.0,4.717
585.0,4.796
586.0,4.875
587.0,4.954
588.0,5.034
589.0,5.113
590.0,5.193
591.0,5.272
592.0,5.351
593.0,5.456
594.0,5.993
595.0,6.529
596.0,6.259
597.0,5.877
598.0,6.459
599.0,7.455
600.0,7.969
601.0,8.045
602.0,8.281
603.0,8.817
604.0,9.274
605.0,9.351
606.0,9.427
607.0,10.879
608.0,12.335
609.0,13.412
610.0,14.408
611.0,16.305
612.0,18.682
613.0,20.617
614.0,22.074
615.0,23.818
616.0,26.196
617.0,28.509
618.0,30.427
619.0,32.345
620.0,32.912
621.0,33.445
622.0,31.734
623.0,29.495
624.0,26.958
625.0,24.256
626.0,21.552
627.0,18.845
628.0,16.281
629.0,14.03
630.0,11.85
631.0,10.056
632.0,8.259
633.0,6.917
634.0,5.58
635.0,4.634
636.0,3.755
637.0,3.169
638.0,2.731
639.0,2.3
640.0,1.858
641.0,1.57
642.0,1.583
643.0,1.482
644.0,1.016
645.0,0.587
646.0,0.615
647.0,0.653
648.0,0.695
649.0,0.743
650.0,0.795
651.0,0.849
652.0,0.904
653.0,0.957
654.0,0.989
655.0,1.004
656.0,0.904
657.0,0.509
658.0,0.367
659.0,1.391
660.0,2.376
661.0,2.893
662.0,3.413
663.0,3.939
664.0,4.465
665.0,7.034
666.0,10.357
667.0,14.51
668.0,19.239
669.0,23.756
670.0,28.017
671.0,30.547
672.0,29.2
673.0,27.293
674.0,22.673
675.0,18.101
676.0,14.886
677.0,11.671
678.0,8.872
679.0,6.122
680.0,4.798
681.0,3.919
682.0,3.335
683.0,2.924
684.0,2.746
685.0,2.804
686.0,2.861
687.0,2.919
688.0,2.866
689.0,2.453
690.0,2.139
691.0,2.666
692.0,3.193
693.0,3.719
694.0,4.246
695.0,4.374
696.0,4.43
697.0,5.168
698.0,6.166
699.0,7.165
700.0,8.168
701.0,10.292
702.0,13.649
703.0,18.172
704.0,24.826
705.0,33.122
706.0,46.857
707.0,62.601
708.0,94.275
709.0,125.949
710.0,184.391
711.0,243.022
712.0,278.479
713.0,310.654
714.0,294.409
715.0,262.788
716.0,220.814
717.0,173.116
718.0,131.653
719.0,95.742
720.0,66.717
721.0,47.36
722.0,31.454
723.0,23.453
724.0,16.367
725.0,13.104
726.0,9.919
727.0,7.602
728.0,5.282
729.0,5.274
730.0,5.327
731.0,4.56
732.0,3.666
733.0,3.131
734.0,2.708
735.0,2.285
736.0,1.861
737.0,1.437
738.0,1.014
739.0,0.807
740.0,0.861
741.0,0.747
742.0,0.323
743.0,0.018
744.0,0.073
745.0,0.128
746.0,0.182
747.0,0.214
748.0,0.208
749.0,0.629
750.0,0.144
751.0,0.383
752.0,0.091
753.0,0.339
754.0,0.404
755.0,0.351
756.0,0.298
757.0,0.248
758.0,0.198
759.0,0.149
760.0,0.099
761.0,0.05
762.0,0.188
763.0,0.616
764.0,0.901
765.0,0.851
766.0,0.699
767.0,0.168
768.0,0.301
769.0,0.351
770.0,0.421
771.0,0.951
772.0,1.48
773.0,1.092
774.0,0.661
775.0,1.07
776.0,1.604
777.0,1.376
778.0,0.944
779.0,1.193
780.0,1.721
781.0,1.645
782.0,1.211
783.0,1.044
784.0,1.097
785.0,1.15
786.0,1.203
787.0,1.256
788.0,1.309
789.0,1.363
790.0,1.416
791.0,1.469
792.0,1.522
793.0,1.569
794.0,1.613
795.0,1.657
796.0,1.7
797.0,1.745
798.0,1.797
799.0,1.853
800.0,1.909
801.0,1.994
802.0,2.115
803.0,2.183
804.0,2.225
805.0,2.268
806.0,1.594
807.0,0.67
