Raman Shift,Intensity
92.04205,301.4507
92.52417,307.5308
93.00629,313.0795
93.4884,315.9425
93.97052,314.5793
94.45264,309.1196
94.93475,304.0511
95.41687,298.7238
95.89898,293.6185
96.3811,288.4338
96.86321,282.6522
97.34533,275.8358
97.82745,268.0318
98.30956,262.0087
98.79168,258.5388
99.2738,255.393
99.75591,252.2531
100.238,248.9849
100.7201,245.2444
101.2023,240.6034
101.6844,235.3361
102.1665,230.6907
102.6486,226.6095
103.1307,223.0851
103.6128,220.2422
104.095,218.1284
104.5771,216.2571
105.0592,214.0736
105.5413,211.8503
106.0234,210.1041
106.5055,209.3821
106.9877,209.3506
107.4698,208.6867
107.9519,207.4575
108.434,205.3413
108.9161,201.9721
109.3982,197.6436
109.8804,193.0489
110.3625,188.6413
110.8446,184.3139
111.3267,180.8559
111.8088,178.7733
112.2909,177.0464
112.7731,175.2414
113.2552,173.2891
113.7373,171.3485
114.2194,169.67
114.7015,168.3724
115.1836,167.1421
115.6658,166.1812
116.1479,165.1921
116.63,163.8625
117.1121,162.0701
117.5942,159.9597
118.0763,157.8125
118.5584,155.4327
119.0406,153.3775
119.5227,151.9326
120.0048,150.9588
120.4869,150.0287
120.969,148.836
121.4511,147.7185
121.9333,147.283
122.4154,147.8372
122.8975,148.5413
123.3796,148.7732
123.8617,148.534
124.3438,147.8192
124.826,146.1232
125.3081,144.1157
125.7902,142.3342
126.2723,140.9287
126.7544,139.9157
127.2365,139.4133
127.7187,139.7476
128.2008,140.0748
128.6829,140.0953
129.165,139.9618
129.6471,139.8874
130.1292,140.0219
130.6114,140.3447
131.0935,140.5429
131.5756,140.7163
132.0577,140.6585
132.5398,140.2034
133.0219,139.45
133.5041,138.6157
133.9862,137.869
134.4683,137.1958
134.9504,136.7483
135.4325,136.5939
135.9146,136.5589
136.3968,136.5423
136.8789,136.535
137.361,136.6101
137.8431,136.9131
138.3252,137.5426
138.8073,137.8042
139.2895,137.4561
139.7716,136.8009
140.2537,136.1943
140.7358,135.7318
141.2179,135.257
141.7,134.4819
142.1821,133.4318
142.6643,132.5259
143.1464,132.0734
143.6285,131.9367
144.1106,131.5849
144.5927,130.7355
145.0748,129.83
145.557,129.288
146.0391,129.1133
146.5212,128.9905
147.0033,128.5306
147.4854,127.657
147.9675,127.1962
148.4497,127.9089
148.9318,128.7094
149.4139,128.964
149.896,128.5507
150.3781,127.8523
150.8602,127.4002
151.3424,127.1849
151.8245,127.2759
152.3066,127.8072
152.7887,128.5038
153.2708,129.1761
153.7529,129.7463
154.2351,130.2408
154.7172,130.7236
155.1993,131.2278
155.6814,131.6709
156.1635,132.1607
156.6456,132.558
157.1278,132.6407
157.6099,132.2809
158.092,131.6122
158.5741,131.2082
159.0562,131.0736
159.5383,131.1445
160.0205,131.5875
160.5026,132.2436
160.9847,132.7248
161.4668,132.7534
161.9489,132.4651
