Raman Shift,Intensity
166.7798,1989.603
167.262,1981.305
167.7441,1974.463
168.2262,1969.769
168.7083,1966.741
169.1904,1964.166
169.6725,1962.111
170.1547,1960.25
170.6368,1958.609
171.1189,1957.106
171.601,1955.447
172.0831,1953.476
172.5652,1951.276
173.0474,1949.0
173.5295,1946.549
174.0116,1944.216
174.4937,1941.972
174.9758,1939.814
175.4579,1938.66
175.9401,1940.25
176.4222,1942.415
176.9043,1942.599
177.3864,1939.864
177.8685,1936.208
178.3506,1934.292
178.8328,1934.652
179.3149,1934.833
179.797,1933.251
180.2791,1931.445
180.7612,1931.167
181.2433,1933.328
181.7255,1936.225
182.2076,1935.718
182.6897,1928.565
183.1718,1924.013
183.6539,1925.477
184.136,1929.404
184.6181,1932.287
185.1003,1932.429
185.5824,1930.43
186.0645,1928.421
186.5466,1926.528
187.0287,1924.434
187.5108,1921.712
187.993,1918.889
188.4751,1916.618
188.9572,1915.283
189.4393,1914.782
189.9214,1914.581
190.4035,1915.645
190.8857,1915.962
191.3678,1914.293
191.8499,1911.689
192.332,1910.18
192.8141,1911.195
193.2962,1914.182
193.7784,1914.724
194.2605,1910.823
194.7426,1907.231
195.2247,1905.691
195.7068,1905.786
196.1889,1906.268
196.6711,1906.543
197.1532,1906.504
197.6353,1905.854
198.1174,1904.068
198.5995,1902.196
199.0816,1900.403
199.5638,1898.807
200.0459,1898.357
200.528,1900.366
201.0101,1903.721
201.4922,1905.17
201.9743,1903.861
202.4565,1901.383
202.9386,1898.493
203.4207,1895.148
203.9028,1892.857
204.3849,1892.977
204.867,1894.577
205.3492,1896.501
205.8313,1899.032
206.3134,1901.196
206.7955,1901.713
207.2776,1900.406
207.7597,1898.271
208.2419,1893.929
208.724,1889.66
209.2061,1888.301
209.6882,1891.543
210.1703,1896.442
210.6524,1897.312
211.1346,1891.887
211.6167,1888.291
212.0988,1890.089
212.5809,1894.294
213.063,1898.379
213.5451,1901.401
214.0273,1903.473
214.5094,1904.644
214.9915,1904.033
215.4736,1904.143
215.9557,1905.47
216.4378,1907.613
216.92,1910.531
217.4021,1914.251
217.8842,1918.079
218.3663,1919.952
218.8484,1918.346
219.3305,1916.832
219.8127,1915.18
220.2948,1914.081
220.7769,1914.389
221.259,1916.495
221.7411,1919.857
222.2232,1922.88
222.7054,1925.277
223.1875,1927.638
223.6696,1930.131
224.1517,1932.563
224.6338,1934.361
225.1159,1935.262
225.598,1936.028
226.0802,1938.928
226.5623,1946.197
227.0444,1953.004
227.5265,1958.36
228.0086,1963.251
228.4907,1968.962
228.9729,1976.059
229.455,1984.0
229.9371,1991.25
230.4192,1996.74
230.9013,2003.238
231.3834,2012.175
231.8656,2022.139
232.3477,2031.491
232.8298,2039.827
233.3119,2046.409
233.794,2049.397
234.2761,2049.386
234.7583,2045.75
235.2404,2037.176
235.7225,2025.026
236.2046,2011.285
236.6867,1996.194
237.1688,1980.529
237.651,1965.341
238.1331,1950.658
238.6152,1936.292
239.0973,1921.383
239.5794,1906.768
240.0615,1894.493
240.5437,1885.347
241.0258,1878.111
241.5079,1871.492
241.99,1865.487
242.4721,1859.238
242.9542,1851.217
243.4364,1842.68
243.9185,1837.232
244.4006,1836.6
244.8827,1837.385
245.3648,1836.346
245.8469,1833.687
246.329,1830.403
246.8112,1826.318
247.2933,1821.931
247.7754,1818.783
248.2575,1817.47
248.7396,1816.818
249.2217,1815.97
249.7039,1814.972
250.186,1813.989
250.6681,1813.252
251.1502,1812.623
251.6323,1811.63
252.1144,1810.386
252.5966,1808.49
253.0787,1805.128
253.5608,1801.002
254.0429,1797.687
254.525,1796.465
255.0071,1796.785
255.4893,1796.404
255.9714,1794.677
256.4535,1793.316
256.9356,1793.198
257.4177,1793.875
257.8998,1794.706
258.382,1795.6
258.8641,1796.278
259.3462,1795.62
259.8283,1792.753
260.3104,1789.928
260.7925,1788.083
261.2747,1786.645
261.7568,1784.826
262.2389,1782.155
262.721,1778.979
263.2031,1776.344
263.6852,1774.796
264.1674,1772.833
264.6495,1768.867
265.1316,1764.86
265.6137,1763.192
266.0958,1764.973
266.5779,1768.804
267.0601,1771.556
267.5422,1773.539
268.0243,1773.622
268.5064,1770.842
268.9885,1766.891
269.4706,1763.076
269.9528,1759.883
270.4349,1757.261
270.917,1755.225
271.3991,1754.366
271.8812,1752.931
272.3633,1750.17
272.8455,1747.289
273.3276,1744.999
273.8097,1743.549
274.2918,1743.037
274.7739,1744.028
275.256,1748.693
275.7382,1750.017
276.2202,1745.315
276.7024,1740.0
277.1845,1737.733
277.6666,1738.831
278.1487,1740.92
278.6308,1741.004
279.1129,1738.089
279.5951,1736.62
280.0772,1737.763
280.5593,1739.062
281.0414,1739.795
281.5235,1739.592
282.0056,1737.819
282.4878,1733.531
282.9699,1726.006
283.452,1721.141
283.9341,1720.779
284.4162,1720.855
284.8983,1720.108
285.3805,1718.453
285.8626,1716.037
286.3447,1712.789
286.8268,1708.766
287.3089,1706.572
287.791,1707.883
288.2732,1709.077
288.7553,1708.859
289.2374,1707.791
289.7195,1707.186
290.2016,1707.915
290.6837,1709.566
291.1659,1709.803
291.648,1706.739
292.1301,1704.454
292.6122,1704.862
293.0943,1706.123
293.5764,1705.327
294.0586,1701.064
294.5407,1694.814
295.0228,1690.569
295.5049,1689.339
295.987,1689.057
296.4691,1690.393
296.9513,1692.335
297.4334,1694.14
297.9155,1695.515
298.3976,1695.959
298.8797,1694.505
299.3618,1689.367
299.844,1685.65
300.3261,1683.918
300.8082,1683.236
301.2903,1683.062
301.7724,1683.213
302.2545,1683.506
302.7367,1683.88
303.2188,1684.707
303.7009,1683.721
304.183,1678.464
304.6651,1673.532
305.1472,1672.429
305.6294,1674.798
306.1115,1677.436
306.5936,1677.511
307.0757,1674.823
307.5578,1673.356
308.0399,1674.368
308.5221,1675.129
309.0042,1674.442
309.4863,1672.523
309.9684,1669.984
310.4505,1667.084
310.9326,1664.003
311.4148,1662.122
311.8969,1662.617
312.379,1662.761
312.8611,1661.215
313.3432,1659.026
313.8253,1658.173
314.3075,1659.668
314.7896,1662.312
315.2717,1662.995
315.7538,1660.213
316.2359,1657.639
316.718,1655.315
317.2001,1653.447
317.6823,1652.383
318.1644,1652.199
318.6465,1652.497
319.1286,1652.736
319.6107,1653.068
320.0928,1652.837
320.575,1652.024
321.0571,1650.664
321.5392,1648.34
322.0213,1645.221
322.5034,1642.34
322.9855,1640.689
323.4677,1640.33
323.9498,1641.083
324.4319,1644.046
324.914,1646.915
325.3961,1648.963
325.8782,1649.987
326.3604,1649.604
326.8425,1647.32
327.3246,1643.412
327.8067,1640.976
328.2888,1640.564
328.7709,1640.786
329.2531,1642.074
329.7352,1643.653
330.2173,1644.314
330.6994,1643.482
331.1815,1641.502
331.6636,1639.27
332.1458,1636.054
332.6279,1633.533
333.11,1631.421
333.5921,1630.203
334.0742,1630.559
334.5563,1632.621
335.0385,1635.744
335.5206,1639.2
336.0027,1644.087
336.4848,1646.141
336.9669,1643.057
337.449,1639.279
337.9312,1637.526
338.4133,1637.981
338.8954,1639.527
339.3775,1641.296
339.8596,1643.401
340.3417,1644.257
340.8239,1642.781
341.306,1641.35
341.7881,1641.204
342.2702,1641.727
342.7523,1641.508
343.2344,1639.629
343.7166,1636.462
344.1987,1633.842
344.6808,1632.889
345.1629,1631.19
345.645,1627.774
346.1271,1623.824
346.6093,1620.661
347.0914,1618.786
347.5735,1617.727
348.0556,1616.749
348.5377,1616.584
349.0198,1615.076
349.502,1611.683
349.9841,1607.581
350.4662,1603.18
350.9483,1598.778
351.4304,1594.955
351.9125,1592.594
352.3947,1592.139
352.8768,1590.216
353.3589,1584.151
353.841,1579.282
354.3231,1577.764
354.8052,1578.921
355.2874,1581.327
355.7695,1584.338
356.2516,1587.48
356.7337,1588.014
357.2158,1583.61
357.6979,1579.61
358.18,1576.584
358.6621,1574.592
359.1443,1573.953
359.6264,1574.776
360.1085,1576.207
360.5906,1576.574
361.0727,1575.181
361.5548,1574.568
