Raman Shift,Intensity
66.856,1612.0
68.253,1682.0
69.651,1744.0
71.048,1935.0
72.445,2076.0
73.842,2215.0
75.239,2467.0
76.635,2610.0
78.031,2847.0
79.427,2911.0
80.823,2881.0
82.218,3092.0
83.614,3281.0
85.009,3355.0
86.404,3222.0
87.798,3227.0
89.193,3286.0
90.587,3520.0
91.981,3474.0
93.375,3482.0
94.768,3414.171
96.161,3342.542
97.554,3286.743
98.947,3170.0
100.34,3146.0
101.732,3089.0
103.124,3066.0
104.516,3115.0
105.908,3083.705
107.3,3058.715
108.691,3069.0
110.082,3003.0
111.473,2934.0
112.864,2956.0
114.254,3018.0
115.644,3172.0
117.034,3315.0
118.424,3266.0
119.813,3264.0
121.203,3280.0
122.592,3216.0
123.981,3049.0
125.369,3068.0
126.758,3100.0
128.146,3270.0
129.534,3539.0
130.922,3924.0
132.309,4524.0
133.696,5476.0
135.083,6661.0
136.47,7875.0
137.857,7969.0
139.243,7269.0
140.63,5913.0
142.016,4664.0
143.401,3817.0
144.787,3400.0
146.172,3091.0
147.557,2870.0
148.942,2764.0
150.327,2645.0
151.711,2595.0
153.096,2558.0
154.48,2526.0
155.863,2492.0
157.247,2351.0
158.63,2375.0
160.013,2343.0
161.396,2377.0
162.779,2340.0
164.161,2292.0
165.544,2307.0
166.926,2301.0
168.308,2274.0
169.689,2311.0
171.07,2219.0
172.452,2216.0
173.833,2193.0
175.213,2196.0
176.594,2210.0
177.974,2215.0
179.354,2245.0
180.734,2282.0
182.114,2355.0
183.493,2404.387
184.872,2503.0
186.251,2556.0
187.63,2644.0
189.008,2761.0
190.387,2852.0
191.765,3020.0
193.143,3148.0
194.52,3347.0
195.898,3494.0
197.275,3652.0
198.652,3821.0
200.029,4072.0
201.405,4188.749
202.782,4369.0
204.158,4507.0
205.534,4790.0
206.909,5025.0
208.285,5515.0
209.66,5734.21
211.035,6027.0
212.41,6556.0
213.784,7411.0
215.159,8363.0
216.533,9708.0
217.907,11400.0
219.281,12851.0
220.654,14041.0
222.027,14459.0
223.4,14279.0
224.773,13137.0
226.146,11569.0
227.518,10428.0
228.891,8500.0
230.263,6904.0
231.634,5881.0
233.006,5139.0
234.377,4562.0
235.748,4156.0
237.119,3885.0
238.49,3583.805
239.86,3461.0
241.231,3271.0
242.601,3175.0
243.97,3131.0
245.34,3041.0
246.709,2965.0
248.079,2957.0
249.448,2879.0
250.816,2866.0
252.185,2825.0
253.553,2805.0
254.921,2747.0
256.289,2717.0
257.657,2752.0
259.024,2694.0
260.391,2702.0
261.758,2695.0
263.125,2704.0
264.492,2710.0
265.858,2674.0
267.224,2658.0
268.59,2658.0
269.956,2662.0
271.321,2638.0
272.687,2707.0
274.052,2698.0
275.416,2747.0
276.781,2793.0
278.146,2860.0
279.51,2900.0
280.874,2984.0
282.237,3099.0
283.601,3241.0
284.964,3379.0
286.327,3535.0
287.69,3799.0
289.053,4072.0
290.416,4243.0
291.778,4709.0
293.14,4963.0
294.502,5274.0
295.863,5616.0
297.225,5835.0
298.586,5785.0
299.947,5566.0
301.308,5248.0
302.668,4813.0
304.029,4342.0
305.389,3944.0
306.749,3652.0
308.108,3445.0
309.468,3330.0
310.827,3106.0
312.186,2942.0
313.545,2835.0
314.903,2758.0
316.262,2678.0
317.62,2611.889
318.978,2559.0
320.336,2515.0
321.693,2480.0
323.051,2465.0
324.408,2416.0
325.765,2357.0
327.121,2446.0
328.478,2350.0
329.834,2356.0
331.19,2372.0
332.546,2349.0
333.902,2276.0
335.257,2257.0
336.612,2222.0
337.967,2231.0
339.322,2230.0
340.677,2210.0
342.031,2282.0
343.385,2323.0
344.739,2327.0
346.093,2406.0
347.446,2538.0
348.799,2612.0
350.153,2789.0
351.505,2861.0
352.858,2933.0
354.21,2993.0
355.563,3037.449
356.915,3112.0
358.267,3119.0
359.618,3120.0
360.969,3176.0
362.321,3196.0
363.672,3155.0
365.022,3084.0
366.373,2975.0
367.723,2825.0
369.073,2717.0
370.423,2591.0
371.773,2529.0
373.122,2424.0
374.471,2423.0
375.821,2350.0
377.169,2288.0
378.518,2317.0
379.866,2292.0
381.215,2247.0
382.563,2271.0
383.91,2255.0
385.258,2255.0
386.605,2242.004
387.952,2242.474
389.299,2246.303
390.646,2245.0
391.992,2256.0
393.339,2259.0
394.685,2256.0
396.031,2289.0
397.376,2330.0
398.722,2324.0
400.067,2399.0
401.412,2374.0
402.757,2432.0
404.101,2491.0
