Raman Shift,Intensity
123.861,0.011864
124.3431,0.142246
124.8252,0.203572
125.3074,0.111081
125.7895,0.010491
126.2716,0.022221001
126.7537,0.125443
127.2358,0.303306
127.7179,0.495421
128.2001,0.680564
128.6822,0.837976
129.1643,0.958793
129.6464,1.041279
130.1285,1.048754
130.6106,0.821015
131.0928,0.669765
131.5749,0.713361
132.057,0.900065
132.5391,1.103148
133.0212,1.208173
133.5033,1.19379
133.9855,1.226307
134.4676,1.261903
134.9497,1.365835
135.4318,1.630341
135.9139,2.045683
136.396,2.460089
136.8782,2.698212
137.3603,2.711811
137.8424,2.78943
138.3245,3.028685
138.8066,3.303254
139.2887,3.453154
139.7709,3.417161
140.253,3.325924
140.7351,3.345342
141.2172,3.462606
141.6993,3.593191
142.1814,3.705916
142.6636,3.80427
143.1457,3.906853
143.6278,4.048413
144.1099,3.559698
144.592,4.214237
145.0741,4.549288
145.5563,4.576291
146.0384,3.371495
146.5205,3.755672
147.0026,3.527718
147.4847,3.287757
147.9668,3.96803
148.449,3.061258
148.9311,3.734158
149.4132,3.686469
149.8953,3.949224
150.3774,3.677175
150.8595,3.642011
151.3417,4.166721
151.8238,4.358069
152.3059,4.018732
152.788,4.417022
153.2701,3.509108
153.7522,3.736074
154.2344,4.376529
154.7165,3.982738
155.1986,4.439177
155.6807,4.476593
156.1628,3.256986
156.6449,4.180978
157.1271,4.185624
157.6092,3.2383
158.0913,4.096795
158.5734,3.285757
159.0555,3.074154
159.5376,3.314276
160.0198,3.088706
160.5019,3.603892
160.984,3.410402
161.4661,2.850489
161.9482,2.457199
162.4303,2.176878
162.9125,1.84933
163.3946,1.374469
163.8767,1.016729
164.3588,1.036267
164.8409,1.250833
165.323,1.346995
165.8052,1.222665
166.2873,1.005255
166.7694,0.843941
167.2515,0.733716
167.7336,0.699326
168.2157,0.86455
168.6979,1.078993
169.18,1.150884
169.6621,0.95898
170.1442,0.601237
170.6263,0.355396
171.1084,0.285083
171.5906,0.234827
172.0727,0.153217
172.5548,0.056271002
173.0369,0.040008999
173.519,0.135472
174.0011,0.220705
174.4833,0.214315
174.9654,0.052067999
175.4475,0.24544
175.9296,0.286163
176.4117,0.201498
176.8938,0.037501998
177.376,0.187724
177.8581,0.479572
178.3402,0.612705
178.8223,0.432635
179.3044,0.264487
179.7865,0.229472
180.2687,0.309493
180.7508,0.403247
181.2329,0.465581
181.715,0.491746
182.1971,0.512009
182.6792,0.534845
183.1614,0.546709
183.6435,0.551749
184.1256,0.544883
184.6077,0.490773
185.0898,0.321157
185.5719,0.035197999
186.054,0.047371
186.5362,0.366259
187.0183,0.821638
187.5004,0.822844
187.9825,0.297137
188.4646,0.289739
188.9467,0.502509
189.4289,0.413847
189.911,0.292699
190.3931,0.084665
190.8752,0.087545998
191.3573,0.037519
191.8394,0.599993
192.3216,1.114525
192.8037,1.071958
193.2858,0.686126
193.7679,0.440532
194.25,0.639382
194.7321,1.154041
195.2143,1.576097
195.6964,1.87023
196.1785,2.104147
196.6606,2.283365
197.1427,2.439146
197.6248,2.636111
198.107,2.891626
198.5891,3.213173
199.0712,3.679129
199.5533,4.33828
200.0354,5.111741
200.5175,5.916286
200.9997,6.795579
201.4818,7.823393
201.9639,8.976904
202.446,10.23952
202.9281,12.17747
203.4102,15.00065
203.8924,18.364
204.3745,22.24564
204.8566,26.61959
205.3387,31.43206
205.8208,36.73761
206.3029,42.68482
206.7851,47.90068
207.2672,52.85712
207.7493,56.77549
208.2314,59.02853
208.7135,59.83094
209.1956,59.83866
209.6778,59.53955
210.1599,58.82312
210.642,58.75668
211.1241,59.30964
211.6062,60.38131
212.0883,62.02395
212.5705,64.17472
213.0526,66.6545
213.5347,69.3593
214.0168,72.32229
214.4989,75.20545
214.981,77.7776
215.4632,80.45896
215.9453,83.64741
216.4274,87.32698
216.9095,90.99412
217.3916,94.17974
217.8737,96.88414
218.3559,99.75594
218.838,102.7107
219.3201,105.9252
219.8022,109.6613
220.2843,113.9382
220.7664,118.3227
221.2486,122.3344
221.7307,126.1677
222.2128,130.4771
222.6949,135.5378
223.177,141.0379
223.6591,147.2518
224.1413,154.5147
224.6234,160.2605
225.1055,163.5317
225.5876,163.8257
226.0697,159.2734
226.5518,147.7828
227.034,132.0087
227.5161,115.0354
227.9982,96.16531
228.4803,78.5327
228.9624,63.72275
229.4445,51.35749
229.9267,41.269
230.4088,33.88044
230.8909,28.47983
231.373,23.89028
231.8551,20.1747
232.3372,17.19539
232.8194,15.02938
233.3015,13.42517
233.7836,12.14417
234.2657,11.1201
234.7478,10.30991
235.2299,9.63962
235.7121,9.157137
236.1942,8.720617
236.6763,8.303778
237.1584,7.918257
237.6405,7.568901
238.1227,7.253971
238.6048,6.964838
239.0869,6.679335
239.569,6.360598
240.0511,6.124184
240.5332,5.977776
241.0154,5.914368
241.4975,5.97197
241.9796,6.170589
242.4617,6.408844
242.9438,6.413467
243.4259,5.965225
243.9081,5.621763
244.3902,5.465401
244.8723,5.381304
245.3544,5.338203
245.8365,5.340014
246.3186,5.303123
246.8007,5.044674
247.2829,4.310471
247.765,3.717379
248.2471,3.29274
248.7292,3.006287
249.2113,2.861874
249.6934,2.85076
250.1756,2.922632
250.6577,2.978577
251.1398,2.967758
251.6219,3.018978
252.104,3.181675
252.5861,3.376394
253.0683,3.541279
253.5504,3.655725
254.0325,3.725128
254.5146,3.750141
254.9967,3.644361
255.4788,3.667976
255.961,3.887268
256.4431,4.194798
256.9252,4.533836
257.4073,4.883142
257.8894,5.181131
258.3716,5.31871
258.8537,5.140903
259.3358,5.252165
259.8179,5.84236
260.3,6.607555
260.7821,7.289515
261.2643,7.84474
261.7464,8.38508
262.2285,9.049147
262.7106,9.884182
263.1927,10.61709
263.6748,11.02402
264.157,11.46526
264.6391,12.31536
265.1212,13.59385
265.6033,14.91062
266.0854,15.79582
266.5675,16.24265
267.0497,17.26391
267.5318,19.14176
268.0139,21.41535
268.496,23.74496
268.9781,26.10654
269.4602,28.61473
269.9424,31.30368
270.4245,34.23603
270.9066,37.55879
271.3887,41.29794
271.8708,45.42698
272.3529,50.07217
272.8351,55.19581
273.3172,60.33332
273.7993,65.46603
274.2814,70.30151
274.7635,74.21442
275.2456,76.67715
275.7278,78.76721
276.2099,81.1662
276.692,83.84483
277.1741,86.53867
277.6562,88.98118
278.1383,91.47955
278.6204,94.50752
279.1025,98.1639
279.5847,102.1891
280.0668,106.5166
280.5489,111.1266
281.031,115.7915
281.5131,120.4469
281.9952,125.1157
282.4774,129.8725
282.9595,134.7674
283.4416,139.4297
283.9237,143.5011
284.4058,147.1111
284.8879,150.7876
285.3701,154.4917
285.8522,158.5089
286.3343,163.2314
286.8164,168.6245
287.2985,173.9935
287.7806,179.2485
288.2628,184.2211
288.7449,188.3299
289.227,191.4356
289.7091,193.7373
290.1912,195.8648
290.6733,197.5849
291.1555,197.8384
291.6376,196.5186
292.1197,193.3645
292.6018,187.4536
293.0839,178.2516
293.566,167.4249
294.0482,154.7447
294.5303,141.4218
295.0124,129.6063
295.4945,120.5237
295.9766,113.3148
296.4587,106.5421
296.9409,100.1788
297.423,94.36738
297.9051,89.51363
298.3872,85.10494
298.8693,80.56023
299.3514,75.68433
299.8336,70.63223
300.3157,65.45594
300.7978,60.03888
301.2799,55.05077
301.762,50.99617
302.2441,47.37263
302.7263,43.71606
303.2084,39.89921
303.6905,36.22216
304.1726,33.01138
304.6547,30.28891
305.1368,27.71986
305.619,25.15453
306.1011,22.78636
306.5832,20.79651
307.0653,19.18874
307.5474,17.75802
308.0295,16.33135
308.5117,14.92433
308.9938,13.70312
309.4759,12.77466
309.958,11.95569
310.4401,11.09378
310.9222,10.21811
311.4044,9.444723
311.8865,8.867399
