Raman Shift,Intensity
142.016,14482.0
143.401,14425.0
144.787,14476.0
146.172,14478.0
147.557,14504.0
148.942,14645.0
150.327,14624.0
151.711,14568.0
153.096,14537.0
154.48,14656.0
155.863,14825.0
157.247,14684.0
158.63,14571.0
160.013,14852.0
161.396,14802.0
162.779,14884.0
164.161,14901.0
165.544,14966.0
166.926,14928.0
168.308,15037.0
169.689,14953.0
171.07,15067.0
172.452,14861.0
173.833,15218.0
175.213,15061.0
176.594,15186.0
177.974,15278.0
179.354,15112.0
180.734,15368.0
182.114,15227.0
183.493,15226.0
184.872,15280.0
186.251,15304.0
187.63,15429.0
189.008,15442.0
190.387,15392.0
191.765,15491.0
193.143,15706.0
194.52,15628.0
195.898,15756.0
197.275,15627.0
198.652,15699.0
200.029,15904.0
201.405,15930.0
202.782,15981.0
204.158,16060.0
205.534,16020.0
206.909,16038.683
208.285,16004.34
209.66,16059.0
211.035,15834.0
212.41,15972.0
213.784,15759.0
215.159,15745.0
216.533,15777.0
217.907,15843.0
219.281,15898.0
220.654,15880.0
222.027,15850.0
223.4,15878.0
224.773,16014.0
226.146,16184.0
227.518,16018.0
228.891,16221.0
230.263,16187.0
231.634,16256.0
233.006,16170.0
234.377,16251.0
235.748,16291.0
237.119,16252.0
238.49,16326.0
239.86,16376.0
241.231,16390.547
242.601,16450.0
243.97,16495.0
245.34,16607.0
246.709,16736.0
248.079,16773.0
249.448,16622.0
250.816,16854.0
252.185,16636.0
253.553,16980.0
254.921,16916.0
256.289,17097.0
257.657,17337.0
259.024,17400.0
260.391,17596.0
261.758,17506.0
263.125,17998.0
264.492,18033.0
265.858,18385.0
267.224,18697.0
268.59,19086.0
269.956,19594.0
271.321,19939.0
272.687,20848.0
274.052,21338.0
275.416,21737.0
276.781,21798.0
278.146,21876.0
279.51,21368.0
280.874,20828.0
282.237,20388.0
283.601,19874.0
284.964,19610.0
286.327,19193.32
287.69,18463.0
289.053,18573.0
290.416,18275.0
291.778,18081.0
293.14,18369.0
294.502,17861.0
295.863,18146.0
297.225,17916.0
298.586,17932.0
299.947,18016.0
301.308,18117.0
302.668,18102.0
304.029,17845.0
305.389,17858.0
306.749,17937.0
308.108,17933.0
309.468,17988.0
310.827,18065.0
312.186,17924.0
313.545,18061.0
314.903,17905.0
316.262,18030.0
317.62,18150.0
318.978,17995.0
320.336,18160.0
321.693,18165.0
323.051,18102.0
324.408,18155.0
325.765,18374.0
327.121,18167.0
328.478,18516.0
329.834,18159.0
331.19,18463.0
