Raman Shift,Intensity
90.74744,518.0721
91.22955,521.1905
91.71167,526.2563
92.19379,533.3195
92.6759,542.0417
93.15802,547.6201
93.64014,543.8473
94.12225,533.9321
94.60437,527.0008
95.08649,527.1722
95.5686,530.5262
96.05072,527.6452
96.53284,518.6591
97.01495,508.4202
97.49707,501.1019
97.97919,496.5475
98.4613,493.4865
98.94342,491.1917
99.42554,489.7231
99.90765,491.4378
100.3898,497.4966
100.8719,504.3062
101.354,506.095
101.8361,501.5563
102.3182,497.3201
102.8004,495.8361
103.2825,497.5572
103.7646,499.6772
104.2467,501.5192
104.7288,504.0109
105.2109,509.293
105.6931,517.2233
106.1752,527.8737
106.6573,541.5001
107.1394,559.268
107.6215,577.7507
108.1036,598.0392
108.5858,619.4235
109.0679,637.7053
109.55,650.829
110.0321,662.5986
110.5142,674.952
110.9963,686.9864
111.4785,700.6179
111.9606,716.868
112.4427,735.6122
112.9248,753.1711
113.4069,766.8874
113.889,780.2654
114.3712,796.2993
114.8533,816.1307
115.3354,838.0297
115.8175,861.8793
116.2996,888.1318
116.7817,914.3953
117.2639,938.1258
117.746,962.0466
118.2281,989.6135
118.7102,1022.0
119.1923,1058.484
119.6744,1097.219
120.1566,1136.932
120.6387,1184.178
121.1208,1240.017
121.6029,1305.88
122.085,1384.39
122.5671,1471.951
123.0493,1574.946
123.5314,1698.886
124.0135,1843.362
124.4956,2012.871
124.9777,2201.54
125.4598,2414.522
125.942,2669.237
126.4241,2988.258
126.9062,3355.45
127.3883,3757.685
127.8704,4237.097
128.3525,4690.698
128.8347,4993.749
129.3168,5145.032
129.7989,5119.057
130.281,4827.963
130.7631,4323.583
131.2452,3799.703
131.7274,3279.249
132.2095,2783.514
132.6916,2370.976
133.1737,2041.606
133.6558,1780.43
134.1379,1573.454
134.6201,1420.301
135.1022,1297.402
135.5843,1203.809
136.0664,1136.811
136.5485,1080.865
137.0306,1036.42
137.5128,1001.531
137.9949,972.9636
138.477,950.7552
138.9591,934.4981
139.4412,925.1146
139.9233,923.217
140.4055,920.837
140.8876,917.884
141.3697,914.4893
141.8518,910.7392
142.3339,906.3518
142.816,902.2452
143.2982,898.6971
143.7803,895.7064
144.2624,893.431
144.7445,892.2286
145.2266,891.6355
145.7087,890.6991
146.1909,889.6589
146.673,887.9786
147.1551,885.3837
147.6372,881.3635
148.1193,877.3773
148.6014,873.8685
149.0836,870.4765
149.5657,865.7359
150.0478,858.4857
150.5299,850.9373
151.012,843.996
151.4941,837.6692
151.9763,831.9993
152.4584,827.6848
152.9405,824.2892
153.4226,819.5485
153.9047,811.2066
154.3868,802.8201
154.869,796.3251
155.3511,794.5378
155.8332,791.8804
156.3153,786.8536
156.7974,779.8057
157.2795,773.602
157.7617,768.4069
158.2438,764.5275
158.7259,762.1874
159.208,762.209
159.6901,763.0577
160.1722,764.5114
160.6544,766.5394
161.1365,768.6688
161.6186,768.9286
162.1007,769.9404
162.5828,774.1404
163.0649,785.3893
163.5471,797.4093
164.0292,807.3984
164.5113,815.2457
164.9934,822.4245
165.4755,828.5182
165.9576,834.6719
166.4398,842.2078
166.9219,853.7616
167.404,865.4659
167.8861,874.0286
168.3682,879.1522
168.8503,884.6803
169.3325,892.9265
169.8146,903.2712
170.2967,914.5638
170.7788,927.1786
171.2609,940.1929
171.743,952.3633
172.2252,963.542
172.7073,975.155
173.1894,988.3496
173.6715,1002.962
174.1536,1018.109
174.6357,1033.384
175.1179,1049.23
175.6,1066.375
176.0821,1084.823
176.5642,1103.951
177.0463,1123.02
177.5284,1142.281
178.0106,1162.168
178.4927,1181.705
178.9748,1202.391
179.4569,1226.757
179.939,1255.774
180.4211,1286.546
180.9033,1316.115
181.3854,1344.934
181.8675,1374.257
182.3496,1404.303
182.8317,1435.396
183.3138,1470.252
183.796,1509.242
184.2781,1550.852
184.7602,1591.851
185.2423,1632.835
185.7244,1675.508
186.2065,1721.002
186.6887,1769.287
187.1708,1821.373
187.6529,1877.74
188.135,1936.85
188.6171,1993.716
189.0992,2048.96
189.5814,2107.475
190.0635,2172.874
190.5456,2245.374
191.0277,2319.809
191.5098,2395.909
191.9919,2474.004
192.4741,2552.663
192.9562,2631.455
193.4383,2712.964
193.9204,2797.667
194.4025,2885.614
194.8846,2978.046
195.3668,3075.73
195.8489,3177.265
196.331,3279.544
196.8131,3382.528
197.2952,3485.998
197.7773,3590.919
198.2595,3696.834
198.7416,3804.818
199.2237,3914.873
199.7058,4025.919
200.1879,4133.462
200.67,4238.4
201.1522,4340.512
201.6343,4440.781
202.1164,4539.643
202.5985,4633.241
203.0806,4721.227
203.5627,4802.759
204.0449,4874.712
204.527,4937.938
205.0091,4988.668
205.4912,5023.596
205.9733,5041.773
206.4554,5049.805
206.9376,5048.981
207.4197,5038.362
207.9018,5013.199
208.3839,4971.403
208.866,4920.217
209.3481,4865.579
209.8303,4808.5
210.3124,4742.208
210.7945,4664.215
211.2766,4577.065
211.7587,4488.15
212.2408,4398.042
212.723,4304.491
213.2051,4205.111
213.6872,4099.535
214.1693,3988.196
214.6514,3870.349
215.1335,3746.672
215.6157,3626.004
216.0978,3507.286
216.5799,3391.443
217.062,3277.922
217.5441,3166.25
218.0262,3057.089
218.5084,2948.739
218.9905,2841.502
219.4726,2743.159
219.9547,2654.683
220.4368,2570.81
220.9189,2489.269
221.4011,2409.111
221.8832,2331.922
222.3653,2256.165
222.8474,2183.417
223.3295,2117.615
223.8116,2062.534
224.2938,2010.729
224.7759,1957.628
225.258,1901.711
225.7401,1849.172
226.2222,1800.234
226.7043,1754.944
227.1865,1711.394
227.6686,1670.727
228.1507,1631.35
228.6328,1592.807
229.1149,1554.986
229.597,1518.481
230.0792,1483.758
230.5613,1450.418
231.0434,1417.939
231.5255,1386.222
232.0076,1356.14
232.4897,1328.796
232.9719,1305.618
233.454,1281.995
233.9361,1256.665
234.4182,1230.735
234.9003,1207.826
235.3824,1189.193
235.8646,1171.769
236.3467,1154.078
236.8288,1135.826
237.3109,1117.888
237.793,1100.24
238.2751,1082.834
238.7573,1065.995
239.2394,1049.264
239.7215,1033.695
240.2036,1019.659
240.6857,1007.465
241.1678,996.1484
241.65,986.0798
242.1321,976.8187
242.6142,966.8425
243.0963,954.8565
243.5784,944.1601
244.0605,936.528
244.5427,933.464
245.0248,929.3755
245.5069,923.3424
245.989,916.649
246.4711,912.523
246.9532,913.0112
247.4354,912.6429
247.9175,909.015
248.3996,900.6677
248.8817,893.8089
249.3638,888.8145
249.8459,885.1135
250.3281,881.7762
250.8102,879.2073
251.2923,876.2946
251.7744,872.3423
252.2565,866.7879
252.7386,862.7957
253.2208,860.7794
253.7029,860.0252
254.185,859.3863
254.6671,858.6973
255.1492,858.3942
255.6313,858.3182
256.1135,858.1669
256.5956,860.0939
257.0777,864.0235
257.5598,870.0369
258.0419,878.2632
258.524,888.585
259.0062,901.1545
259.4883,916.2961
259.9704,933.806
260.4525,952.254
260.9346,969.6307
261.4167,990.1329
261.8989,1018.621
262.381,1055.515
262.8631,1098.803
263.3452,1148.491
263.8273,1205.235
264.3094,1266.14
264.7916,1340.78
265.2737,1406.077
265.7558,1442.436
266.2379,1449.951
266.72,1425.742
267.2021,1361.723
267.6843,1262.206
268.1664,1165.779
268.6485,1070.56
269.1306,982.6138
269.6127,908.3469
270.0948,849.0043
270.577,798.7186
271.0591,757.6742
271.5412,725.357
272.0233,699.2167
272.5054,680.7999
272.9875,665.495
273.4697,649.8209
273.9518,633.0824
274.4339,619.928
274.916,611.7254
275.3981,607.0003
275.8802,601.0856
276.3624,593.7528
276.8445,586.497
277.3266,580.3652
277.8087,575.4368
278.2908,570.4628
278.7729,565.2575
279.2551,560.0656
279.7372,555.6841
280.2193,552.213
280.7014,548.8238
281.1835,544.9719
281.6656,540.6675
282.1478,536.5148
282.6299,532.4453
283.112,528.7213
283.5941,525.9442
284.0762,524.1454
284.5583,522.4629
285.0405,520.4815
285.5226,518.2367
286.0047,516.0304
286.4868,513.8419
286.9689,511.7632
287.451,509.8881
287.9332,508.2169
288.4153,506.7958
288.8974,505.9438
289.3795,505.385
289.8616,504.0311
290.3438,501.8179
290.8259,499.2425
291.308,496.5032
291.7901,493.7436
292.2722,491.7108
292.7543,490.9655
293.2365,490.9809
293.7186,490.7037
294.2007,490.1398
294.6828,489.082
295.1649,486.9811
295.647,484.1776
296.1292,481.7039
296.6113,479.8306
297.0934,478.4579
297.5755,477.5509
298.0576,477.0742
298.5397,476.6758
299.0219,476.1866
299.504,475.5773
299.9861,474.7744
300.4682,473.7311
300.9503,472.5732
301.4324,471.1613
301.9146,469.6627
302.3967,468.7089
302.8788,469.6036
303.3609,471.0189
303.843,470.761
304.3251,468.1678
304.8073,465.2837
305.2894,464.1734
305.7715,464.2535
306.2536,464.0743
306.7357,461.7781
307.2178,459.4218
307.7,459.7419
308.1821,463.2475
308.6642,466.3735
309.1463,465.6834
309.6284,463.0139
310.1105,461.2192
310.5927,462.2632
311.0748,464.0823
311.5569,465.5776
312.039,466.6904
312.5211,466.9325
313.0032,465.0629
313.4854,462.5552
313.9675,461.0005
314.4496,462.0771
314.9317,463.2032
315.4138,462.845
315.8959,461.2876
316.3781,460.2474
316.8602,461.1963
317.3423,462.5446
317.8244,463.1161
318.3065,462.2558
318.7886,461.1629
319.2708,459.5603
319.7529,457.9312
320.235,457.6369
320.7171,461.2621
321.1992,464.6773
321.6813,465.5293
322.1635,461.9658
322.6456,459.3798
323.1277,460.0072
323.6098,462.0556
324.0919,462.5313
324.574,458.3719
325.0562,454.9354
325.5383,454.2445
326.0204,457.2671
326.5025,459.4369
326.9846,460.1515
327.4667,460.0064
327.9489,459.6404
328.431,458.6849
328.9131,457.9517
329.3952,457.7001
329.8773,457.9532
330.3594,457.8119
330.8416,456.3536
331.3237,455.285
331.8058,455.973
332.2879,460.2147
332.77,463.091
333.2521,463.5367
333.7343,462.2112
334.2164,462.3894
334.6985,464.7012
335.1806,467.5162
335.6627,469.9012
336.1448,471.4359
336.627,473.7831
337.1091,477.1172
337.5912,481.1532
338.0733,485.3204
338.5554,489.4405
339.0375,494.1559
339.5197,500.0494
340.0018,507.1837
340.4839,513.4684
340.966,518.7476
341.4481,523.2647
341.9302,526.7941
342.4124,529.2357
342.8945,532.4702
343.3766,537.296
343.8587,543.3531
344.3408,548.939
344.8229,553.8403
345.3051,559.5627
345.7872,567.7502
346.2693,578.0916
346.7514,588.7194
347.2335,598.7385
347.7156,609.382
348.1978,622.1972
348.6799,637.2723
349.162,655.692
349.6441,676.8643
350.1262,702.0012
350.6083,733.5888
351.0905,772.0615
351.5726,817.7441
352.0547,868.0498
352.5368,925.37
353.0189,996.9523
353.501,1085.483
353.9832,1190.74
354.4653,1321.804
354.9474,1481.431
355.4295,1631.021
355.9116,1773.352
356.3937,1880.159
356.8759,1907.648
357.358,1802.134
357.8401,1644.535
358.3222,1469.283
358.8043,1280.5
359.2864,1112.539
359.7686,983.7286
360.2507,882.7281
360.7328,802.173
361.2149,744.2129
361.697,698.4005
362.1791,663.876
362.6613,638.5533
363.1434,617.6329
363.6255,601.3525
364.1076,587.7252
364.5897,575.8373
365.0718,565.86
365.554,557.5402
366.0361,551.4479
366.5182,546.8035
367.0003,542.6727
367.4824,539.5135
367.9645,536.2913
368.4467,532.5283
368.9288,528.2333
369.4109,524.7919
369.893,522.4771
370.3751,520.8215
370.8572,519.5551
371.3394,519.0311
371.8215,518.3268
372.3036,517.2596
372.7857,515.9681
373.2678,514.9456
373.7499,514.2758
374.2321,513.6933
374.7142,512.9117
375.1963,511.6022
375.6784,511.5617
376.1605,513.152
376.6426,515.5477
377.1248,517.4015
377.6069,518.6241
378.089,519.9963
378.5711,522.0855
379.0532,524.6434
379.5353,525.2339
380.0175,523.4431
380.4996,521.8107
380.9817,523.368
381.4638,527.6624
381.9459,530.8497
382.428,531.7382
382.9102,531.6235
383.3923,532.7859
383.8744,535.1829
384.3565,538.3198
384.8386,542.2668
385.3207,546.6541
385.8029,550.3385
386.285,553.0355
386.7671,556.1473
387.2492,561.1572
387.7313,567.7126
388.2134,574.9288
388.6956,581.3812
389.1777,588.8703
389.6598,599.1003
390.1419,612.0317
390.624,626.8849
391.1061,641.567
391.5883,658.7698
392.0704,681.316
392.5525,710.1564
393.0346,744.1688
393.5167,793.2264
393.9988,848.7119
394.481,887.0883
394.9631,900.9192
395.4452,895.0609
395.9273,867.6776
396.4094,810.0192
396.8915,758.2795
397.3737,717.4537
397.8558,686.5875
398.3379,664.5084
398.82,653.7083
399.3021,649.0255
399.7842,650.1976
400.2664,657.1935
400.7485,667.3964
401.2306,680.5501
401.7127,697.0013
402.1948,717.6811
402.6769,746.515
403.1591,771.8721
403.6412,797.0595
404.1233,816.5358
404.6054,815.0544
405.0875,787.656
405.5696,753.9023
406.0518,719.4686
406.5339,684.1646
407.016,655.4727
407.4981,634.0992
407.9802,618.1228
408.4623,606.3537
408.9445,598.7133
409.4266,592.6512
409.9087,587.5226
410.3908,583.5342
410.8729,581.4268
411.355,581.1762
411.8372,581.9382
412.3193,583.7606
412.8014,586.0984
413.2835,587.5108
413.7656,587.6115
414.2477,587.5949
414.7299,588.7154
415.212,590.7106
415.6941,592.9258
416.1762,595.3181
416.6583,597.6263
417.1404,599.546
417.6226,601.0921
418.1047,602.5965
418.5868,603.9778
419.0689,605.5377
419.551,607.6364
420.0331,610.9589
420.5153,614.0139
420.9974,615.7445
421.4795,616.7298
421.9616,618.3652
422.4437,621.7074
422.9258,625.2178
423.408,628.2422
423.8901,630.6393
424.3722,633.06
424.8543,635.5449
425.3364,638.1041
425.8185,640.7327
426.3007,643.4855
426.7828,646.2728
427.2649,648.9671
427.747,651.6345
428.2291,654.8517
428.7112,658.751
429.1934,662.9193
429.6755,667.2773
430.1576,671.8716
430.6397,676.1533
431.1218,679.8546
431.6039,683.6143
432.0861,688.5994
432.5682,694.874
433.0503,701.4514
433.5324,708.0219
434.0145,714.678
434.4966,721.6278
434.9788,728.8669
435.4609,736.6939
435.943,745.3412
436.4251,754.8771
436.9072,765.4033
437.3893,777.0563
437.8715,789.5956
438.3536,802.3715
438.8357,815.7549
439.3178,830.7762
439.7999,847.9032
440.282,867.0192
440.7642,887.9871
441.2463,910.9705
441.7284,935.0529
442.2105,958.0233
442.6926,982.8397
443.1747,1012.37
443.6569,1048.652
444.139,1088.35
444.6211,1128.106
445.1032,1170.213
445.5853,1220.052
446.0674,1280.106
446.5496,1347.122
447.0317,1419.887
447.5138,1498.619
447.9959,1583.68
448.478,1676.394
448.9601,1775.045
449.4423,1879.627
449.9244,1989.38
450.4065,2104.618
450.8886,2226.468
451.3707,2353.31
451.8528,2481.671
452.335,2610.327
452.8171,2746.743
453.2992,2895.52
453.7813,3057.317
454.2634,3234.13
454.7455,3425.958
455.2277,3637.608
455.7098,3875.795
456.1919,4139.491
456.674,4438.188
457.1561,4763.94
457.6382,5128.932
458.1204,5539.453
458.6025,6000.204
459.0846,6516.715
459.5667,7093.817
460.0488,7735.085
460.5309,8447.603
461.0131,9229.255
461.4952,10084.61
461.9773,11031.8
462.4594,12039.74
462.9415,13077.07
463.4236,14242.0
463.9058,15315.43
464.3879,16291.23
464.87,17130.71
465.3521,17645.46
465.8342,17792.82
466.3163,17604.54
466.7985,17082.1
467.2806,16091.89
467.7627,15009.03
468.2448,13771.78
468.7269,12485.85
469.209,11278.95
469.6912,10125.49
470.1733,9075.507
470.6554,8140.668
471.1375,7319.071
471.6196,6596.454
472.1017,5977.597
472.5839,5442.478
473.066,4972.596
473.5481,4570.41
474.0302,4215.937
474.5123,3910.86
474.9944,3644.526
475.4766,3404.816
475.9587,3191.194
476.4408,2999.647
476.9229,2833.706
477.405,2687.846
477.8871,2556.582
478.3693,2439.442
478.8514,2332.179
479.3335,2232.685
479.8156,2140.606
480.2977,2056.573
480.7798,1981.188
481.262,1912.776
481.7441,1852.673
482.2262,1798.549
482.7083,1746.979
483.1904,1696.641
483.6725,1648.608
484.1547,1603.721
484.6368,1562.082
485.1189,1522.45
485.601,1483.963
486.0831,1447.952
486.5652,1415.549
487.0474,1388.458
487.5295,1360.696
488.0116,1331.154
488.4937,1302.082
488.9758,1276.503
489.4579,1255.041
489.9401,1235.063
490.4222,1215.905
490.9043,1197.683
491.3864,1180.234
491.8685,1163.558
492.3506,1147.19
492.8328,1130.023
493.3149,1112.731
493.797,1098.517
494.2791,1087.975
494.7612,1078.55
495.2433,1066.751
495.7255,1053.63
496.2076,1041.771
496.6897,1032.963
497.1718,1025.001
497.6539,1015.489
498.136,1005.022
498.6182,995.6813
499.1003,989.2393
499.5824,983.9186
500.0645,978.4279
500.5466,972.1465
501.0287,967.4012
501.5109,964.5729
501.993,963.7048
502.4751,964.8883
502.9572,967.808
503.4393,973.2061
503.9214,981.2159
504.4036,991.6744
504.8857,1003.938
505.3678,1016.511
505.8499,1033.655
506.332,1056.168
506.8141,1083.727
507.2963,1122.716
507.7784,1176.027
508.2605,1234.494
508.7426,1299.635
509.2247,1369.056
509.7068,1405.581
510.189,1400.635
510.6711,1363.128
511.1532,1296.381
511.6353,1205.584
512.1174,1117.729
512.5995,1041.938
513.0817,978.4764
513.5638,929.9763
514.0459,896.025
514.528,868.2744
515.0101,842.2803
515.4922,819.4947
515.9744,801.848
516.4565,791.2548
516.9386,782.4572
517.4207,774.249
517.9028,766.661
518.3849,759.7398
518.8671,754.0081
519.3492,748.3978
519.8313,742.4432
520.3134,736.2565
520.7955,730.7735
521.2776,726.1024
521.7598,721.9445
522.2419,718.3778
522.724,715.638
523.2061,711.9674
523.6882,707.0161
524.1703,701.7819
524.6525,697.4857
525.1346,694.0867
525.6167,691.3826
526.0988,689.8848
526.5809,688.4464
527.063,684.1013
527.5452,677.4827
528.0273,672.0953
528.5094,670.7912
528.9915,671.4091
529.4736,672.0827
529.9557,672.7236
530.4379,671.7664
530.92,666.213
531.4021,659.5652
531.8842,655.3138
532.3663,655.8442
532.8484,656.6035
533.3306,656.9437
533.8127,656.7155
534.2948,655.5787
534.7769,652.3278
535.259,649.525
535.7411,647.9405
536.2233,647.5358
536.7054,646.6425
537.1875,645.2181
537.6696,643.4279
538.1517,641.2037
538.6339,638.5074
539.116,636.204
539.5981,634.3386
540.0802,632.9255
540.5623,632.368
541.0444,632.4187
541.5266,631.5975
542.0087,629.0364
542.4908,625.8395
542.9729,623.1864
543.455,621.1943
543.9371,620.2415
544.4193,622.0462
544.9014,623.9667
545.3835,623.2308
545.8656,619.4387
546.3477,616.5707
546.8298,617.2289
547.312,618.9304
547.7941,619.6315
548.2762,618.5027
548.7583,617.0422
549.2404,615.2853
549.7225,613.2853
550.2047,611.1337
550.6868,608.8715
551.1689,606.3414
551.651,603.3837
552.1331,600.1151
552.6152,597.369
553.0974,595.1855
553.5795,593.3638
554.0616,591.8779
554.5437,590.6854
555.0258,589.4665
555.5079,588.1835
555.9901,587.0598
556.4722,586.8959
556.9543,587.0018
557.4364,585.7443
557.9185,581.662
558.4006,577.6804
558.8828,576.1478
559.3649,576.4665
559.847,577.2158
560.3291,579.0748
560.8112,580.0821
561.2933,578.8934
561.7755,575.4397
562.2576,572.5774
562.7397,570.7571
563.2218,569.6067
563.7039,569.059
564.186,569.5773
564.6682,569.4785
565.1503,568.6268
565.6324,567.3434
566.1145,565.8857
566.5966,564.1741
567.0787,563.1367
567.5609,563.2922
568.043,563.8575
568.5251,562.7403
569.0072,560.1912
569.4893,558.2547
569.9714,558.4965
570.4536,559.7949
570.9357,560.6389
571.4178,561.0022
571.8999,561.1591
572.382,561.1624
572.8641,561.0956
573.3463,560.9761
573.8284,560.6652
574.3105,560.6718
574.7926,561.5461
575.2747,562.6699
575.7568,563.2625
576.239,563.1953
576.7211,562.6494
577.2032,561.2964
577.6853,559.503
578.1674,558.6589
578.6495,559.0667
579.1317,559.5326
579.6138,559.4153
580.0959,558.862
580.578,559.321
581.0601,560.9031
581.5422,562.3528
582.0244,562.3957
582.5065,561.5178
582.9886,560.9366
583.4707,560.8436
583.9528,560.8604
584.4349,560.0756
584.9171,559.3235
585.3992,559.8654
585.8813,563.8415
586.3634,567.3562
586.8455,568.1672
587.3276,567.2231
587.8098,567.0819
588.2919,569.7114
588.774,571.6658
589.2561,571.4992
589.7382,569.1502
590.2203,568.3263
590.7025,569.6877
591.1846,571.3967
591.6667,572.3949
592.1488,572.6785
592.6309,572.1159
593.113,570.4872
593.5952,568.8326
594.0773,568.8912
594.5594,570.114
595.0415,570.2049
595.5236,568.0611
596.0057,565.5844
596.4879,565.1057
596.97,565.9594
597.4521,566.5921
597.9342,566.0259
598.4163,565.2685
