Raman Shift,Intensity
91.55994,1382.08
92.04205,1401.274
92.52417,1428.968
93.00629,1458.87
93.4884,1481.056
93.97052,1485.848
94.45264,1469.718
94.93475,1452.05
95.41687,1434.23
95.89898,1416.795
96.3811,1400.534
96.86321,1386.341
97.34533,1373.628
97.82745,1359.201
98.30956,1345.235
98.79168,1331.721
99.2738,1319.052
99.75591,1306.95
100.238,1295.314
100.7201,1284.387
101.2023,1274.237
101.6844,1264.871
102.1665,1256.006
102.6486,1247.362
103.1307,1239.129
103.6128,1231.491
104.095,1224.336
104.5771,1217.722
105.0592,1211.169
105.5413,1204.816
106.0234,1199.134
106.5055,1194.518
106.9877,1190.682
107.4698,1186.657
107.9519,1183.031
108.434,1178.185
108.9161,1171.255
109.3982,1162.594
109.8804,1153.121
110.3625,1143.209
110.8446,1132.404
111.3267,1123.748
111.8088,1118.306
112.2909,1113.875
112.7731,1109.653
113.2552,1105.439
113.7373,1101.309
114.2194,1097.391
114.7015,1093.384
115.1836,1090.209
115.6658,1089.154
116.1479,1088.307
116.63,1085.51
117.1121,1079.904
117.5942,1072.805
118.0763,1067.398
118.5584,1064.232
119.0406,1061.107
119.5227,1057.106
120.0048,1052.614
120.4869,1048.695
120.969,1045.934
121.4511,1044.028
121.9333,1042.135
122.4154,1040.245
122.8975,1038.367
123.3796,1036.577
123.8617,1034.887
124.3438,1033.079
124.826,1031.364
125.3081,1029.357
125.7902,1026.465
126.2723,1022.203
126.7544,1017.323
127.2365,1013.612
127.7187,1011.598
128.2008,1009.966
128.6829,1008.721
129.165,1007.461
129.6471,1005.606
130.1292,1002.686
130.6114,998.8099
131.0935,995.5115
131.5756,993.2154
132.0577,991.1249
132.5398,989.4868
133.0219,987.9679
133.5041,985.8485
133.9862,982.3685
134.4683,977.1395
134.9504,973.1125
135.4325,970.674
135.9146,968.849
136.3968,967.226
136.8789,965.7117
137.361,964.2751
137.8431,962.8861
138.3252,961.5218
138.8073,960.3578
139.2895,959.5353
139.7716,958.8604
140.2537,958.3174
140.7358,958.0563
141.2179,957.3241
141.7,954.7525
142.1821,950.5297
142.6643,946.4152
